parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
81852,1,1350,Enterococcus,47091,47091
1350,2,53346,Enterococcus mundtii,46534,46534
1350,2,1352,Enterococcus faecium,48,48
1350,1,2608891,unclassified Enterococcus,14,14
2608891,2,2230878,Enterococcus sp. DIV1094,13,13
2608891,2,2060307,Enterococcus sp. FDAARGOS_375,1,1
1350,2,1351,Enterococcus faecalis,11,11
1350,2,1354,Enterococcus hirae,5,5
1350,2,160453,Enterococcus gilvus,3,3
1350,2,3031993,Enterococcus montenegrensis,1,1
1350,2,44008,Enterococcus cecorum,1,1
1350,2,37734,Enterococcus casseliflavus,1,1
81852,1,51668,Tetragenococcus,21328,21328
51668,2,51669,Tetragenococcus halophilus,21142,21142
51668,2,290335,Tetragenococcus koreensis,7,7
81852,1,2737,Vagococcus,8609,8609
2737,2,2571750,Vagococcus zengguangii,8586,8586
2737,2,2562451,Vagococcus xieshaowenii,1,1
81852,1,33969,Melissococcus,7615,7615
33969,2,33970,Melissococcus plutonius,7615,7615
33958,1,2767887,Ligilactobacillus,13172,13172
2767887,2,1624,Ligilactobacillus salivarius,13146,13146
2767887,2,1601,Ligilactobacillus agilis,1,1
2767887,2,1623,Ligilactobacillus ruminis,1,1
33958,1,2759736,Lacticaseibacillus,9620,9620
2759736,2,47715,Lacticaseibacillus rhamnosus,9553,9553
2759736,2,2100821,Lacticaseibacillus chiayiensis,1,1
33958,1,1253,Pediococcus,5454,5454
1253,2,1255,Pediococcus pentosaceus,5446,5446
1253,1,1670797,Pediococcus acidilactici group,1,1
1670797,2,1254,Pediococcus acidilactici,1,1
33958,1,2767885,Latilactobacillus,4602,4602
2767885,2,28038,Latilactobacillus curvatus,4539,4539
2767885,2,1599,Latilactobacillus sakei,5,5
33958,1,1243,Leuconostoc,3563,3563
1243,2,1245,Leuconostoc mesenteroides,3506,3506
1243,2,1511761,Leuconostoc suionicum,1,1
33958,1,2742598,Limosilactobacillus,3451,3451
2742598,2,1613,Limosilactobacillus fermentum,3431,3431
33958,1,1578,Lactobacillus,449,449
1578,2,147802,Lactobacillus iners,446,446
1578,2,1584,Lactobacillus delbrueckii,2,2
1578,2,1604,Lactobacillus amylovorus,1,1
33958,1,2767842,Lactiplantibacillus,5,5
2767842,2,1590,Lactiplantibacillus plantarum,3,3
2767842,2,2993456,Lactiplantibacillus carotarum,1,1
33958,1,2767889,Loigolactobacillus,2,2
2767889,2,1610,Loigolactobacillus coryniformis,2,2
33958,1,2930384,Periweissella,1,1
2930384,2,2506420,Periweissella cryptocerci,1,1
33958,1,2767886,Levilactobacillus,1,1
2767886,2,1580,Levilactobacillus brevis,1,1
186828,1,2747,Carnobacterium,22599,22599
2747,2,2751,Carnobacterium maltaromaticum,22589,22589
2747,2,147709,Carnobacterium inhibens,1,1
186828,1,1470540,Jeotgalibaca,5082,5082
1470540,2,2496265,Jeotgalibaca ciconiae,5059,5059
186828,1,191769,Marinilactibacillus,3964,3964
191769,1,2632303,unclassified Marinilactibacillus,3964,3964
2632303,2,1911586,Marinilactibacillus sp. 15R,3964,3964
186828,1,29393,Dolosigranulum,2,2
29393,2,29394,Dolosigranulum pigrum,2,2
1300,1,1301,Streptococcus,9885,9885
1301,2,1888195,Streptococcus himalayensis,9796,9796
1301,1,119603,Streptococcus dysgalactiae group,7,7
119603,2,1334,Streptococcus dysgalactiae,6,6
119603,2,1336,Streptococcus equi,1,1
1301,1,2608887,unclassified Streptococcus,4,4
2608887,2,2759692,Streptococcus sp. Marseille-Q3533,2,2
2608887,2,2664091,Streptococcus sp. zg-86,1,1
1301,2,28037,Streptococcus mitis,4,4
1301,2,1314,Streptococcus pyogenes,4,4
1301,2,1501662,Streptococcus parasuis,2,2
1301,2,1313,Streptococcus pneumoniae,2,2
1301,1,671232,Streptococcus anginosus group,1,1
671232,2,1328,Streptococcus anginosus,1,1
1301,2,1825069,Streptococcus marmotae,1,1
1301,2,1348,Streptococcus parauberis,1,1
1301,2,1311,Streptococcus agalactiae,1,1
1301,2,1309,Streptococcus mutans,1,1
1301,2,1308,Streptococcus thermophilus,1,1
1301,2,2781599,Streptococcus oriscaviae,1,1
1300,1,1357,Lactococcus,4173,4173
1357,2,1358,Lactococcus lactis,3905,3905
1357,2,1359,Lactococcus cremoris,18,18
1357,1,2643510,unclassified Lactococcus,4,4
2643510,2,2879149,Lactococcus sp. NH2-7C,4,4
1357,2,1151742,Lactococcus taiwanensis,1,1
1357,2,2419773,Lactococcus allomyrinae,1,1
1357,2,2592653,Lactococcus protaetiae,1,1
186827,1,1375,Aerococcus,4893,4893
1375,2,51665,Aerococcus urinaeequi,4828,4828
186827,1,66831,Facklamia,3,3
66831,2,178214,Facklamia hominis,3,3
186817,1,1386,Bacillus,14723,14723
1386,1,86661,Bacillus cereus group,11668,11668
86661,2,1405,Bacillus mycoides,10402,10402
86661,2,1396,Bacillus cereus,107,107
86661,2,1428,Bacillus thuringiensis,55,55
86661,2,2026193,Bacillus nitratireducens,35,35
86661,2,1890302,Bacillus wiedmannii,27,27
86661,2,64104,Bacillus pseudomycoides,23,23
86661,2,1392,Bacillus anthracis,20,20
86661,2,2026191,Bacillus luti,20,20
86661,2,580165,Bacillus cytotoxicus,17,17
86661,2,155322,Bacillus toyonensis,9,9
86661,2,2026186,Bacillus paranthracis,8,8
86661,2,2026188,Bacillus tropicus,7,7
86661,2,2817477,Bacillus paramobilis,6,6
86661,2,2026187,Bacillus pacificus,3,3
86661,2,2026194,Bacillus paramycoides,3,3
86661,2,2026189,Bacillus albus,2,2
86661,1,2750818,unclassified Bacillus cereus group,2,2
