read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP041379.1,15100,root,15099,Bacteria,15099,Bacteroidota,15099,Bacteroidia,15097,Bacteroidales,15096,Bacteroidaceae,15007,Bacteroides,14987,Bacteroides intestinalis,14139
NZ_CP065983.1,3903,root,3901,Bacteria,3901,Pseudomonadota,3901,Gammaproteobacteria,3901,Pasteurellales,3892,Pasteurellaceae,3892,Aggregatibacter,3861,Aggregatibacter segnis,3265
NZ_CP032364.1,178088,root,178013,Bacteria,177987,Bacillota,177768,Clostridia,177484,Eubacteriales,5,Lachnospiraceae,177425,Lachnoanaerobaculum,177382,Lachnoanaerobaculum umeaense,175972
NZ_CP033459.1,7380,root,7377,Bacteria,7377,Bacteroidota,7376,Bacteroidia,7373,Bacteroidales,7373,Prevotellaceae,7373,Pseudoprevotella,7366,Pseudoprevotella muciniphila,7366
NZ_CP015402.2,1348,root,1348,Bacteria,1348,Bacteroidota,1348,Bacteroidia,1348,Bacteroidales,1348,Muribaculaceae,1337,Muribaculum,1318,Muribaculum intestinale,1311
NZ_CP073277.1,25065,root,25013,Bacteria,24980,Bacillota,24972,Clostridia,24965,Eubacteriales,24960,Clostridiaceae,24960,Clostridium,24939,Clostridium butyricum,12086
NZ_CP050134.2,15220,root,15215,Bacteria,15215,Actinomycetota,15211,Actinomycetes,15211,Mycobacteriales,15205,Corynebacteriaceae,15205,Corynebacterium,15205,Corynebacterium matruchotii,15195
NZ_CP027235.1,16568,root,16565,Bacteria,16563,Pseudomonadota,16559,Gammaproteobacteria,16556,Pasteurellales,16527,Pasteurellaceae,16527,Haemophilus,16392,Haemophilus sp. oral taxon 036,13698
NZ_CP046027.1,893,root,893,Bacteria,893,Pseudomonadota,890,Betaproteobacteria,884,Neisseriales,883,Neisseriaceae,882,Neisseria,878,Neisseria brasiliensis,866
NZ_AP019822.1,2397,root,2374,Bacteria,2366,Fusobacteriota,2364,Fusobacteriia,2364,Fusobacteriales,2364,Leptotrichiaceae,2363,Pseudoleptotrichia,2362,Pseudoleptotrichia goodfellowii,2362
NZ_CP040121.1,5199,root,5199,Bacteria,5199,Bacteroidota,5199,Bacteroidia,5199,Bacteroidales,5199,Muribaculaceae,5172,Duncaniella,5049,Duncaniella sp. B8,46
NZ_AP025240.1,53944,root,53942,Bacteria,53942,Bacteroidota,53941,Bacteroidia,53885,Bacteroidales,53885,Bacteroidaceae,52052,Phocaeicola,50603,Phocaeicola vulgatus,44677
NZ_AP019735.1,11402,root,11400,Bacteria,11400,Bacteroidota,11399,Bacteroidia,11302,Bacteroidales,11302,Rikenellaceae,11124,Alistipes,11124,Alistipes communis,11004
NZ_CP022022.1,52177,root,52096,Bacteria,52086,Bacteroidota,52081,Flavobacteriia,52080,Flavobacteriales,52080,Flavobacteriaceae,52003,Capnocytophaga,51997,Capnocytophaga endodontalis,47157
NZ_CP127164.1,16463,root,16461,Bacteria,16461,Bacillota,16320,Bacilli,16319,Bacillales,16311,Bacillaceae,16301,Bacillus,16288,Bacillus velezensis,636
NZ_CP045696.1,14215,root,14212,Bacteria,14212,Bacteroidota,14211,Bacteroidia,14131,Bacteroidales,14131,Muribaculaceae,14044,Sodaliphilus,14042,Sodaliphilus pleomorphus,14042
NZ_AP019831.1,94097,root,93030,Bacteria,92576,Fusobacteriota,92169,Fusobacteriia,92169,Fusobacteriales,92169,Leptotrichiaceae,92088,Leptotrichia,92051,Leptotrichia trevisanii,85518
NZ_CP046313.1,17150,root,17069,Bacteria,17033,Bacillota,16978,Bacilli,16963,Bacillales,16935,unclassified Bacillales family,0,Gemella,16923,Gemella sanguinis,16695
NZ_CP066560.1,8823,root,8822,Bacteria,8812,Pseudomonadota,8787,Gammaproteobacteria,8782,Pasteurellales,8751,Pasteurellaceae,8751,Histophilus,8481,Histophilus somni,8481
NZ_CP072373.1,7011,root,7007,Bacteria,7007,Bacteroidota,7007,Bacteroidia,7007,Bacteroidales,7007,Prevotellaceae,6984,Prevotella,6912,Prevotella denticola,6546
