read_accession_id,taxid,count
NZ_CP020468.1,1960083,3220
NZ_CP020468.1,2763540,1
NZ_CP020468.1,1654,7
NZ_CP020468.1,2744574,1
NZ_CP020468.1,2049,1
NZ_CP069240.1,33010,3824
NZ_CP069240.1,1912216,20
NZ_CP069240.1,31957,7
NZ_CP069240.1,1170318,7
NZ_CP017761.1,1911586,8133
NZ_CP017761.1,186826,42
NZ_CP017761.1,186828,43
NZ_CP017761.1,91061,16
NZ_CP017761.1,526944,1
NZ_CP017761.1,2897333,1
NZ_CP017761.1,1352,2
NZ_CP017761.1,2060307,2
NZ_CP098447.1,584,11300
NZ_CP098447.1,91347,491
NZ_CP098447.1,2,87
NZ_CP098447.1,1078032,4
NZ_CP098447.1,1,13
NZ_CP098447.1,583,90
NZ_CP098447.1,1266738,10
NZ_CP098447.1,1224,63
NZ_CP098447.1,562,9
NZ_CP098447.1,543,4
NZ_CP098447.1,1236,26
NZ_CP098447.1,573,3
NZ_CP098447.1,1903414,12
NZ_CP098447.1,183417,1
NZ_CP098447.1,3020843,1
NZ_CP098447.1,529507,3
NZ_CP098447.1,586,1
NZ_CP098447.1,588,5
NZ_CP098447.1,585,3
NZ_CP098447.1,57706,1
NZ_CP098447.1,3015951,1
NZ_CP098447.1,1987580,2
NZ_CP098447.1,22,1
NZ_CP098447.1,135621,1
NZ_CP098447.1,1005665,1
NZ_CP098447.1,351671,1
NZ_CP098447.1,1840293,1
NZ_CP098447.1,626774,1
NZ_CP098447.1,83334,1
NZ_CP048000.1,2696063,5581
NZ_CP048000.1,1843210,12
NZ_CP066560.1,731,2944
NZ_CP066560.1,712,75
NZ_CP066560.1,228400,9
NZ_CP066560.1,2,4
NZ_CP066560.1,75985,5
NZ_CP066560.1,1,3
NZ_CP066560.1,747,1
NZ_CP066560.1,1236,9
NZ_CP096671.1,33038,3997
NZ_CP096671.1,186801,41
NZ_CP096671.1,186803,40
NZ_CP096671.1,1783272,3
NZ_CP096671.1,1239,38
NZ_CP096671.1,2316020,3
NZ_CP096671.1,39491,1
NZ_CP096671.1,116085,1
NZ_CP096671.1,657323,1
NZ_CP096671.1,411470,1
NZ_CP096671.1,166486,1
NZ_CP096671.1,33035,1
NZ_CP096671.1,88431,1
NZ_CP096671.1,2763062,1
NZ_CP096671.1,3085636,1
NZ_CP096671.1,1912897,1
NZ_CP096671.1,3050072,1
NZ_CP120618.1,2800373,970
NZ_CP120618.1,1404,814
NZ_CP120618.1,592022,7
NZ_CP120618.1,412384,30
NZ_CP120618.1,1006007,5
NZ_CP120618.1,186817,4
NZ_CP120618.1,2,1
NZ_CP120618.1,1385,1
NZ_CP120618.1,545693,2
NZ_CP120618.1,2886505,1
NZ_CP120618.1,1138452,1
NZ_CP120618.1,91061,1
NZ_CP120618.1,1452722,1
NC_074775.1,1313215,2323
NZ_CP012196.1,824,4401
NZ_CP012196.1,194,2
NZ_CP012069.2,712411,508
NZ_CP126312.1,28038,4914
NZ_CP126312.1,186826,9
NZ_CP126312.1,33958,71
NZ_CP126312.1,2767885,67
NZ_CP126312.1,1293592,8
NZ_CP126312.1,91061,1
NZ_CP126312.1,2742598,2
NZ_CP126312.1,267363,1
NZ_CP126312.1,1613,1
NZ_CP126312.1,2,1
NZ_CP126312.1,1610,3
NZ_CP126312.1,492670,1
NZ_CP126312.1,1590,1
NZ_CP126312.1,1599,1
NZ_CP077403.1,43674,1389
NZ_CP077403.1,85006,1
NZ_CP029197.1,54571,5494
NZ_CP029197.1,1883,104
NZ_CP029197.1,953739,6
NZ_CP029197.1,1,10
NZ_CP029197.1,2062,2
