parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1268,1,32207,Rothia,275504,275504
32207,2,2047,Rothia dentocariosa,274821,274821
32207,2,172042,Rothia aeria,30,30
32207,2,43675,Rothia mucilaginosa,4,4
32207,2,396015,Rothia terrae,3,3
32207,1,2689056,unclassified Rothia (in: high G+C Gram-positive bacteria),1,1
2689056,2,3047030,Rothia sp. SD9660Na,1,1
1268,1,1269,Micrococcus,3778,3778
1269,2,1270,Micrococcus luteus,3533,3533
1269,1,2620948,unclassified Micrococcus,8,8
2620948,2,3142261,Micrococcus sp. 2A,6,6
2620948,2,3101753,Micrococcus sp. HOU1,2,2
1269,2,566027,Micrococcus yunnanensis,5,5
1269,2,1273,Micrococcus lylae,3,3
1269,2,2856555,Micrococcus porci,2,2
1268,1,1663,Arthrobacter,3720,3720
1663,2,656366,Arthrobacter alpinus,3719,3719
1268,1,57493,Kocuria,1,1
1268,1,169133,Citricoccus,1,1
169133,1,2632435,unclassified Citricoccus,1,1
2632435,2,3004095,Citricoccus sp. NR2,1,1
1268,1,1742992,Paenarthrobacter,1,1
1742992,1,2634190,unclassified Paenarthrobacter,1,1
2634190,2,2735317,Paenarthrobacter sp. YJN-D,1,1
1268,1,1742989,Glutamicibacter,1,1
1742989,2,1775880,Glutamicibacter mishrai,1,1
85019,1,1696,Brevibacterium,4472,4472
1696,2,273384,Brevibacterium aurantiacum,3726,3726
1696,2,2898795,Brevibacterium zhoupengii,31,31
1696,2,629680,Brevibacterium sandarakinum,9,9
1696,1,2614124,unclassified Brevibacterium,9,9
2614124,2,2777556,Brevibacterium sp. SMBL_HHYL_HB1,5,5
2614124,2,2575923,Brevibacterium sp. CS2,1,1
2614124,2,2725563,Brevibacterium sp. 'Marine',1,1
2614124,2,3020906,Brevibacterium sp. BDJS002,1,1
1696,2,2697565,Brevibacterium limosum,5,5
1696,2,1136497,Brevibacterium siliguriense,3,3
1696,2,1703,Brevibacterium linens,2,2
1696,2,33889,Brevibacterium casei,2,2
1696,2,358099,Brevibacterium oceani,2,2
1696,2,1496080,Brevibacterium pigmentatum,2,2
1696,2,2697563,Brevibacterium atlanticum,2,2
1696,2,199591,Brevibacterium luteolum,1,1
1696,2,2909672,Brevibacterium spongiae,1,1
85020,1,36739,Dermabacter,1567,1567
36739,2,1667168,Dermabacter jinjuensis,1441,1441
36739,2,1630135,Dermabacter vaginalis,6,6
85020,1,43668,Brachybacterium,1,1
43668,2,2017484,Brachybacterium vulturis,1,1
85022,1,43673,Jonesia,1390,1390
43673,2,43674,Jonesia denitrificans,1390,1390
145358,1,154116,Georgenia,449,449
154116,2,2589797,Georgenia yuyongxinii,449,449
85023,1,55968,Leucobacter,11,11
55968,2,683042,Leucobacter denitrificans,6,6
55968,2,2873270,Leucobacter tenebrionis,5,5
85023,1,33882,Microbacterium,8,8
33882,2,904291,Microbacterium sediminis,1,1
33882,2,69362,Microbacterium schleiferi,1,1
33882,2,683047,Microbacterium suwonense,1,1
33882,2,582680,Microbacterium azadirachtae,1,1
33882,2,156977,Microbacterium resistens,1,1
33882,1,2609290,unclassified Microbacterium,1,1
