read_accession_id,count
NZ_CP071986.1,4448
NZ_CP068103.1,3794
NZ_CP054018.1,147520
NZ_CP040348.1,55940
NZ_CP066811.1,5518
NZ_CP033459.1,13780
NZ_CP027228.1,4962
NZ_AP025575.1,8584
NZ_CP073804.1,5808
NZ_CP050134.2,43431
NZ_CP017428.1,5928
NZ_CP077403.1,20901
NZ_CP117966.1,6379
NZ_CP040915.1,3709
NZ_CP023482.1,24144
NZ_CP017038.2,9354
NZ_CP029197.1,5441
NZ_CP012069.2,14646
NZ_CP118095.1,9844
NZ_CP017042.1,2502
NZ_CP097775.1,130876
NZ_CP120209.1,1499
NZ_CP020566.1,4319
NZ_CP015348.1,40964
NZ_CP027286.1,19594
NZ_CP054494.1,30920
NZ_CP013476.1,7725
NZ_CP085178.1,7919
NZ_CP017761.1,41924
NZ_CP040004.1,2187
NZ_CP047630.1,44644
NZ_CP008852.1,5368
NZ_CP032819.1,2477
NZ_CP029033.1,9534
NZ_CP045696.1,4327
NZ_CP025330.1,19626
NZ_CP046313.1,11963
NZ_CP039712.1,37566
NZ_CP098491.1,31266
NZ_CP012196.1,9182
NZ_CP026548.1,5799
NZ_AP019735.1,8108
NZ_CP033719.1,96465
NZ_CP036259.1,4308
NZ_CP072246.1,5543
NZ_CP040235.1,11685
NZ_CP016839.1,4008
