accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP071986.1,4461,Helicobacter,209,4456,995395,0,5,Helicobacter pylori,210,4440,995395,0,21
NZ_CP068103.1,3808,Peptoniphilus,162289,3517,996048,0,291,Peptoniphilus harei,54005,3492,996048,0,316
NZ_CP054018.1,148070,Rothia,32207,147221,851786,0,849,Rothia dentocariosa,2047,145123,851786,0,2947
NZ_CP040348.1,56150,Collinsella,102106,55437,943706,0,713,Collinsella aerofaciens,74426,55391,943706,0,759
NZ_CP066811.1,5535,Peptacetobacter,2743582,5440,994321,0,95,Peptacetobacter hiranonis,89152,5440,994321,0,95
NZ_CP033459.1,13813,Pseudoprevotella,2884814,13783,986043,0,30,Pseudoprevotella muciniphila,2133944,13783,986043,0,30
NZ_CP027228.1,4981,Mogibacterium,86331,4944,994875,0,37,Mogibacterium diversum,114527,4886,994875,0,95
NZ_AP025575.1,8613,Eggerthella,84111,8575,991243,0,38,Eggerthella lenta,84112,8401,991243,0,212
NZ_CP073804.1,5827,Macrococcoides,3076173,5611,994028,1,216,Macrococcoides canis,1855823,5570,994028,1,257
NZ_CP050134.2,43579,Corynebacterium,1716,43535,956252,25,44,Corynebacterium matruchotii,43768,43516,956275,2,63
NZ_CP017428.1,5944,Staphylococcus,1279,5922,993890,22,22,Staphylococcus simulans,1286,5879,993912,0,65
NZ_CP077403.1,20971,Jonesia,43673,20896,978885,0,75,Jonesia denitrificans,43674,20896,978885,0,75
NZ_CP117966.1,6404,Roseburia,841,6016,993451,1,388,Roseburia hominis,301301,5994,993452,0,410
NZ_CP040915.1,3723,Georgenia,154116,3712,996133,0,11,Georgenia yuyongxinii,2589797,3710,996133,0,13
NZ_CP023482.1,24231,Dermabacter,36739,23244,975625,0,987,Dermabacter jinjuensis,1667168,18221,975625,0,6010
NZ_CP017038.2,9385,Tannerella,195950,9372,990471,0,13,Tannerella serpentiformis,712710,9369,990471,0,16
NZ_CP029197.1,5459,Streptomyces,1883,5412,994374,23,47,Streptomyces venezuelae,54571,4937,994397,0,522
NZ_CP012069.2,14703,Olsenella,133925,14696,985153,0,7,Olsenella sp. oral taxon 807,712411,14694,985153,0,9
NZ_CP118095.1,9872,Aerococcus,1375,9687,989974,10,185,Aerococcus christensenii,87541,9683,989984,0,189
NZ_CP017042.1,2512,Selenomonas,970,2512,997344,0,0,Selenomonas sp. oral taxon 920,1884263,2480,997344,0,32
NZ_CP097775.1,131316,Paenibacillus,44249,130989,868534,6,327,Paenibacillus polymyxa,1406,118822,868539,1,12494
NZ_CP120209.1,1505,Chryseobacterium,59732,1473,998351,0,32,Chryseobacterium indologenes,253,1432,998351,0,73
NZ_CP020566.1,4334,Veillonella,29465,4329,995522,0,5,Veillonella atypica,39777,4261,995522,0,73
NZ_CP015348.1,41116,Sporosarcina,1569,40936,958739,1,180,Sporosarcina ureae,1571,40784,958740,0,332
NZ_CP027286.1,19661,Clostridium,1485,19502,980190,5,159,Clostridium chauvoei,46867,19149,980195,0,512
NZ_CP054494.1,30932,Flavobacterium,237,30758,968921,3,174,Flavobacterium columnare,996,28258,968924,0,2674
NZ_CP013476.1,7750,Turicibacter,191303,7673,992105,1,77,Turicibacter sp. H121,1712675,2046,992106,0,5704
NZ_CP085178.1,7951,Pediococcus,1253,7907,991904,1,44,Pediococcus pentosaceus,1255,7876,991904,1,75
NZ_CP017761.1,42090,Marinilactibacillus,191769,41196,957765,1,894,Marinilactibacillus sp. 15R,1911586,41196,957765,1,894
NZ_CP040004.1,2194,Candidatus Nanosynbacter,2093823,2184,997662,0,10,Candidatus Nanosynbacter featherlites,2572088,2176,997662,0,18
NZ_CP047630.1,44807,Lactococcus,1357,43890,955047,2,917,Lactococcus raffinolactis,1366,42616,955049,0,2191
