parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1268,1,32207,Rothia,147221,147221
32207,2,2047,Rothia dentocariosa,145123,145123
32207,2,172042,Rothia aeria,41,41
32207,2,43675,Rothia mucilaginosa,3,3
32207,1,2689056,unclassified Rothia (in: high G+C Gram-positive bacteria),2,2
2689056,2,2810516,Rothia sp. ZJ932,1,1
2689056,2,3047030,Rothia sp. SD9660Na,1,1
32207,2,85336,Rothia nasimurium,1,1
32207,2,169480,Rothia amarae,1,1
1268,1,57493,Kocuria,7,7
57493,1,2649579,unclassified Kocuria,4,4
2649579,2,2711328,Kocuria sp. TGY1127_2,4,4
57493,2,72000,Kocuria rhizophila,2,2
1268,1,1663,Arthrobacter,3,3
1663,1,235627,unclassified Arthrobacter,3,3
235627,2,2828862,Arthrobacter sp. Helios,1,1
235627,2,2991715,Arthrobacter sp. ATA002,1,1
235627,2,2578107,Arthrobacter sp. KBS0702,1,1
1268,1,1269,Micrococcus,3,3
1269,2,1270,Micrococcus luteus,2,2
1268,1,1742992,Paenarthrobacter,1,1
1742992,2,37931,Paenarthrobacter ureafaciens,1,1
1268,1,1160973,Auritidibacter,1,1
1160973,2,678932,Auritidibacter ignavus,1,1
1268,1,1742991,Pseudoglutamicibacter,1,1
1742991,2,98671,Pseudoglutamicibacter albus,1,1
85020,1,36739,Dermabacter,23244,23244
36739,2,1667168,Dermabacter jinjuensis,18221,18221
36739,2,1630135,Dermabacter vaginalis,37,37
36739,2,36740,Dermabacter hominis,17,17
85020,1,43668,Brachybacterium,5,5
43668,2,1652028,Brachybacterium huguangmaarense,2,2
43668,2,2017484,Brachybacterium vulturis,1,1
43668,1,2623841,unclassified Brachybacterium,1,1
2623841,2,1903186,Brachybacterium sp. P6-10-X1,1,1
85022,1,43673,Jonesia,20896,20896
43673,2,43674,Jonesia denitrificans,20896,20896
85019,1,1696,Brevibacterium,19056,19056
1696,2,273384,Brevibacterium aurantiacum,11222,11222
1696,2,2898795,Brevibacterium zhoupengii,41,41
1696,2,629680,Brevibacterium sandarakinum,26,26
1696,1,2614124,unclassified Brevibacterium,16,16
2614124,2,3020906,Brevibacterium sp. BDJS002,5,5
2614124,2,2777556,Brevibacterium sp. SMBL_HHYL_HB1,4,4
2614124,2,2575923,Brevibacterium sp. CS2,3,3
2614124,2,2725563,Brevibacterium sp. 'Marine',2,2
2614124,2,2823518,Brevibacterium sp. W7.2,1,1
1696,2,2697563,Brevibacterium atlanticum,7,7
1696,2,1703,Brevibacterium linens,5,5
1696,2,358099,Brevibacterium oceani,4,4
1696,2,33889,Brevibacterium casei,3,3
1696,2,1136497,Brevibacterium siliguriense,3,3
1696,2,2909672,Brevibacterium spongiae,2,2
1696,2,199591,Brevibacterium luteolum,1,1
1696,2,2697565,Brevibacterium limosum,1,1
145358,1,154116,Georgenia,3712,3712
154116,2,2589797,Georgenia yuyongxinii,3710,3710
85023,1,33882,Microbacterium,7,7
33882,1,2609290,unclassified Microbacterium,4,4
2609290,2,3135257,Microbacterium sp. LWH7-1.2,3,3
2609290,2,3019890,Microbacterium sp. nov. GSS16,1,1
33882,2,1572644,Microbacterium proteolyticum,1,1
33882,2,273677,Microbacterium oleivorans,1,1
85023,1,33877,Agromyces,3,3
33877,2,589382,Agromyces flavus,3,3
85023,1,2680004,Protaetiibacter,1,1
2680004,2,2592654,Protaetiibacter larvae,1,1
85023,1,55968,Leucobacter,1,1
55968,1,2621730,unclassified Leucobacter,1,1
2621730,2,2813744,Leucobacter sp. CX169,1,1
85023,1,337004,Microcella,1,1
85023,1,235888,Salinibacterium,1,1
235888,1,2632331,unclassified Salinibacterium,1,1
2632331,2,2708338,Salinibacterium sp. ZJ450,1,1
85021,1,53457,Janibacter,1,1
85021,1,2805645,Pedococcus,1,1
2805645,2,443156,Pedococcus dokdonensis,1,1
85016,1,1707,Cellulomonas,1,1
85017,1,254250,Isoptericola,1,1
254250,1,2623355,unclassified Isoptericola,1,1
2623355,2,3024246,Isoptericola sp. AK164,1,1
1331736,1,626119,Ruania,1,1
626119,2,2897773,Ruania halotolerans,1,1
31957,1,1743,Propionibacterium,96576,96576
1743,2,556499,Propionibacterium acidifaciens,96519,96519
1743,2,119981,Propionibacterium australiense,7,7
31957,1,72763,Tessaracoccus,2,2
72763,2,399497,Tessaracoccus flavescens,1,1
72763,1,2635419,unclassified Tessaracoccus,1,1
2635419,2,3041766,Tessaracoccus sp. T21,1,1
31957,1,203133,Propionimicrobium,1,1
203133,1,2633994,unclassified Propionimicrobium,1,1
2633994,2,3052086,Propionimicrobium sp. PCR01-08-3,1,1
31957,1,1085622,Propioniciclava,1,1
1085622,2,2714937,Propioniciclava coleopterorum,1,1
31957,1,1912216,Cutibacterium,1,1
1912216,2,33011,Cutibacterium granulosum,1,1
85015,1,1839,Nocardioides,4,4
1839,2,160826,Nocardioides aquaticus,1,1
1839,2,2849501,Nocardioides panacis,1,1
1839,1,2615069,unclassified Nocardioides,1,1
2615069,2,2917724,Nocardioides sp. TF02-7,1,1
1839,2,1774216,Nocardioides rotundus,1,1
1653,1,1716,Corynebacterium,43560,43560
1716,2,43768,Corynebacterium matruchotii,43518,43518
1716,2,37637,Corynebacterium pseudodiphtheriticum,5,5
1716,2,134034,Corynebacterium freneyi,2,2
1716,1,2624378,unclassified Corynebacterium,2,2
2624378,2,3059081,Corynebacterium sp. P4-C1,1,1
2624378,2,2815361,Corynebacterium sp. CNCTC7651,1,1
1716,2,1727,Corynebacterium variabile,2,2
1716,2,1705,Corynebacterium stationis,1,1
1716,2,146827,Corynebacterium simulans,1,1
1716,2,156978,Corynebacterium imitans,1,1
1716,2,187491,Corynebacterium glaucum,1,1
1716,2,38304,Corynebacterium tuberculostearicum,1,1
1716,2,2684405,Corynebacterium poyangense,1,1
1716,2,38289,Corynebacterium jeikeium,1,1
1716,2,38284,Corynebacterium accolens,1,1
1716,2,1032851,Corynebacterium nuruki,1,1
1716,2,35755,Corynebacterium kutscheri,1,1
1716,2,3049799,Corynebacterium breve,1,1
1762,1,1763,Mycobacterium,2,2
1763,1,2249310,Mycobacterium simiae complex,1,1
2249310,2,220927,Mycobacterium saskatchewanense,1,1
1762,1,1866885,Mycolicibacterium,2,2
1866885,2,85693,Mycolicibacterium monacense,1,1
1866885,2,1793,Mycolicibacterium fallax,1,1
1762,1,2126281,Mycolicibacillus,1,1
2126281,2,1069220,Mycolicibacillus koreensis,1,1
85025,1,1817,Nocardia,2,2
1817,2,2055889,Nocardia tengchongensis,1,1
85025,1,1827,Rhodococcus,1,1
1827,1,192944,unclassified Rhodococcus (in: high G+C Gram-positive bacteria),1,1
192944,2,2962047,Rhodococcus sp. Z13,1,1
85026,1,2053,Gordonia,1,1
2053,2,36822,Gordonia rubripertincta,1,1
85029,1,37914,Dietzia,1,1
37914,2,139021,Dietzia psychralcaliphila,1,1
316606,1,286801,Segniliparus,1,1
286801,2,286802,Segniliparus rotundus,1,1
31953,1,1678,Bifidobacterium,11699,11699
1678,2,216816,Bifidobacterium longum,9768,9768
1678,2,1685,Bifidobacterium breve,8,8
1678,2,1689,Bifidobacterium dentium,4,4
1678,2,1694,Bifidobacterium pseudolongum,3,3
1678,2,1680,Bifidobacterium adolescentis,2,2
1678,2,1683,Bifidobacterium angulatum,2,2
1678,1,2608897,unclassified Bifidobacterium,2,2
2608897,2,2983229,Bifidobacterium sp. ESL0769,1,1
1678,2,28025,Bifidobacterium animalis,2,2
1678,2,1681,Bifidobacterium bifidum,1,1
1678,2,1765219,Bifidobacterium eulemuris,1,1
1678,2,1603886,Bifidobacterium lemurum,1,1
1678,2,158787,Bifidobacterium scardovii,1,1
1678,2,28026,Bifidobacterium pseudocatenulatum,1,1
1678,2,1687,Bifidobacterium coryneforme,1,1
2049,1,76833,Actinobaculum,9554,9554
76833,1,2609299,unclassified Actinobaculum,9554,9554
2609299,2,2495645,Actinobaculum sp. 313,9554,9554
2049,1,2529408,Schaalia,11,11
2529408,2,1660,Schaalia odontolytica,11,11
2049,1,1654,Actinomyces,6,6
1654,1,2609248,unclassified Actinomyces,4,4
2609248,2,712122,Actinomyces sp. oral taxon 414,3,3
2609248,2,712116,Actinomyces sp. oral taxon 169,1,1
1654,2,111015,Actinomyces radicidentis,2,2
2049,1,2050,Mobiluncus,1,1
2050,2,3036302,Mobiluncus massiliensis,1,1
2049,1,1522056,Flaviflexus,1,1
1522056,2,2496867,Flaviflexus ciconiae,1,1
2049,1,2888879,Nanchangia,1,1
2888879,2,2692125,Nanchangia anserum,1,1
2062,1,1883,Streptomyces,5435,5435
1883,2,54571,Streptomyces venezuelae,4937,4937
1883,1,2593676,unclassified Streptomyces,56,56
2593676,2,2903641,Streptomyces sp. NBC_00250,4,4
2593676,2,2975769,Streptomyces sp. NBC_00536,3,3
2593676,2,2751189,Streptomyces sp. NEAU-sy36,3,3
2593676,2,2903671,Streptomyces sp. NBC_00691,3,3
2593676,2,2879427,Streptomyces sp. WA6-1-16,2,2
2593676,2,2903835,Streptomyces sp. NBC_01353,2,2
2593676,2,2903806,Streptomyces sp. NBC_01268,2,2
2593676,2,2967224,Streptomyces sp. SJL17-4,2,2
2593676,2,3038642,Streptomyces sp. 11x1,1,1
2593676,2,2903774,Streptomyces sp. NBC_01210,1,1
2593676,2,2059884,Streptomyces sp. CMB-StM0423,1,1
2593676,2,2903778,Streptomyces sp. NBC_01216,1,1
2593676,2,2903779,Streptomyces sp. NBC_01217,1,1
2593676,2,2903798,Streptomyces sp. NBC_01255,1,1
2593676,2,2949637,Streptomyces sp. Caat 7-52,1,1
2593676,2,2975720,Streptomyces sp. NBC_00344,1,1
2593676,2,2903815,Streptomyces sp. NBC_01294,1,1
2593676,2,3061628,Streptomyces sp. CGMCC 4.7035,1,1
2593676,2,1333528,Streptomyces sp. GMY02,1,1
2593676,2,2203205,Streptomyces sp. WAC 01529,1,1
2593676,2,2684468,Streptomyces sp. QHH-9511,1,1
2593676,2,2202000,Streptomyces sp. NEAU-S7GS2,1,1
2593676,2,2903670,Streptomyces sp. NBC_00683,1,1
2593676,2,2903665,Streptomyces sp. NBC_00576,1,1
2593676,2,2903657,Streptomyces sp. NBC_00490,1,1
2593676,2,2742136,Streptomyces sp. NA04227,1,1
2593676,2,2748873,Streptomyces sp. CB04723,1,1
2593676,2,2903643,Streptomyces sp. NBC_00259,1,1
2593676,2,2903638,Streptomyces sp. NBC_00234,1,1
2593676,2,2837956,Streptomyces sp. FIT100,1,1
2593676,2,2898276,Streptomyces sp. MRC013,1,1
2593676,2,2903862,Streptomyces sp. NBC_01429,1,1
2593676,2,3125779,Streptomyces sp. DG1A-41,1,1
2593676,2,3096006,Streptomyces sp. CL7,1,1
2593676,2,3081768,Streptomyces sp. HUAS YS2,1,1
2593676,2,2903882,Streptomyces sp. NBC_01478,1,1
2593676,2,2903863,Streptomyces sp. NBC_01431,1,1
1883,2,68286,Streptomyces zaomyceticus,10,10
1883,2,193462,Streptomyces niveus,4,4
1883,2,2508722,Streptomyces roseicoloratus,4,4
1883,2,68246,Streptomyces olivoreticuli,3,3
1883,2,362257,Streptomyces vietnamensis,2,2
1883,2,2878388,Streptomyces marincola,2,2
1883,2,2768069,Streptomyces xanthii,1,1
1883,2,3051092,Streptomyces vilmorinianum,1,1
1883,2,40318,Streptomyces nodosus,1,1
1883,2,2548456,Streptomyces aquilus,1,1
1883,2,47759,Streptomyces tubercidicus,1,1
1883,2,66425,Streptomyces luteoverticillatus,1,1
1883,2,66892,Streptomyces gardneri,1,1
1883,2,1827580,Streptomyces nigra,1,1
1883,2,67294,Streptomyces filamentosus,1,1
