accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP039712.1,80084,Vagococcus,2737,0.9995383459508715,0.9942934918335747,0.9999978122159299,79627,914165,2,457,Vagococcus zengguangii,2571750,0.9989378939523319,0.9868138454622646,1.0,79028,914167,0,1056
NZ_CP017038.2,9218,Tannerella,195950,0.9999758612261893,0.9973963983510523,1.0,9194,985033,0,24,Tannerella serpentiformis,712710,0.9999748554439473,0.9972879149490128,1.0,9193,985033,0,25
NZ_CP098491.1,217173,Bacillus,1386,0.9984229334443717,0.9928306004890111,0.9999858444068678,215616,777067,11,1557,Bacillus subtilis,1423,0.7896054416842427,0.03678634084347502,0.9999987131278971,7989,777077,1,209184
NZ_CP068103.1,68536,Peptoniphilus,162289,0.9934262072655697,0.9046486518034318,0.99999891975392,62001,925714,1,6535,Peptoniphilus harei,54005,0.9926738821484715,0.8937200887125014,1.0,61252,925715,0,7284
NZ_CP036259.1,9581,Sporomusa,2375,0.9999949710887894,0.999478133806492,1.0,9576,984670,0,5,Sporomusa termitida,2377,0.9999949710887894,0.999478133806492,1.0,9576,984670,0,5
NC_012756.1,48386,unclassified Caudoviricetes genus,,0.9513342204332709,0.0,1.0,0,945865,0,48386,Streptococcus phage PH10,644007,0.9986210725460674,0.9716653577481089,1.0,47015,945865,0,1371
NZ_CP046313.1,27449,Gemella,1378,0.9992104609399437,0.9714379394513462,0.9999989656620487,26665,966801,1,784,Gemella sanguinis,84135,0.9988182058655208,0.9571933403766986,1.0,26274,966802,0,1175
NZ_CP066560.1,23328,Histophilus,214906,0.9990837323774379,0.9609482167352538,1.0,22417,970923,0,911,Histophilus somni,731,0.9990837323774379,0.9609482167352538,1.0,22417,970923,0,911
NZ_CP117966.1,22029,Roseburia,841,0.9959748594670762,0.8183303826773798,1.0,18027,972222,0,4002,Roseburia hominis,301301,0.9957053098261908,0.8061646012074992,1.0,17759,972222,0,4270
NZ_CP072246.1,4747,Phocaeicola,909656,0.9994568775892606,0.8866652622709079,0.9999979787853308,4209,989502,2,538,Phocaeicola dorei,357276,0.9987900439627418,0.7469981040657258,0.9999979787853308,3546,989502,2,1201
NZ_CP017761.1,90615,Marinilactibacillus,191769,0.998197638222139,0.9802240247199691,1.0,88823,903636,0,1792,Marinilactibacillus sp. 15R,1911586,0.998197638222139,0.9802240247199691,1.0,88823,903636,0,1792
NZ_CP008852.1,66374,Pelosinus,365348,0.9998793061309468,0.9981920631572604,1.0,66254,927877,0,120,Pelosinus sp. UFO1,484770,0.9997083231497881,0.9956308192967126,1.0,66084,927877,0,290
NZ_CP019668.1,2220,Burkholderia,32008,0.9999708323149789,0.9882882882882883,0.9999969759009547,2194,992028,3,26,Burkholderia cenocepacia,95486,0.999075686119501,0.586036036036036,1.0,1301,992031,0,919
NZ_CP066811.1,11277,Peptacetobacter,2743582,0.9995866234984928,0.963642812804824,0.9999989826790943,10867,982973,1,410,Peptacetobacter hiranonis,89152,0.9995866234984928,0.963642812804824,0.9999989826790943,10867,982973,1,410
NZ_CP033459.1,4105,Pseudoprevotella,2884814,0.9999829017018841,0.9958587088915957,1.0,4088,990146,0,17,Pseudoprevotella muciniphila,2133944,0.9999829017018841,0.9958587088915957,1.0,4088,990146,0,17
NZ_CP116810.1,27955,Rhodopseudomonas,1073,0.999853155792652,0.9947773206939725,1.0,27809,966296,0,146,Rhodopseudomonas palustris,1076,0.9998501384459256,0.9946700053657664,1.0,27806,966296,0,149
NZ_CP050497.1,90707,Treponema,157,0.9998843350421573,0.9987432061472654,0.9999988932470362,90593,903543,1,114,Treponema vincentii,69710,0.9543032896119793,0.49911252714784965,1.0,45273,903544,0,45434
NZ_CP027228.1,8219,Mogibacterium,86331,0.999926577896326,0.9911181408930527,1.0,8146,986032,0,73,Mogibacterium diversum,114527,0.9998803119131889,0.9855213529626475,1.0,8100,986032,0,119
NZ_AP019735.1,21436,Alistipes,239759,0.999468946976166,0.975461839895503,0.999997944110648,20910,972813,2,526,Alistipes communis,2585118,0.9993070160351862,0.9678578092927785,1.0,20747,972815,0,689
NZ_CP027286.1,29462,Clostridium,1485,0.9992175014156385,0.9748829000067885,0.9999606131496109,28722,964751,38,740,Clostridium chauvoei,46867,0.9987950728739523,0.9593374516326115,1.0,28264,964789,0,1198
NZ_CP085178.1,65791,Pediococcus,1253,0.999524264999482,0.9928105667948504,1.0,65318,928460,0,473,Pediococcus pentosaceus,1255,0.9992647731810177,0.9888890577738596,1.0,65060,928460,0,731
NZ_CP118095.1,9682,Aerococcus,1375,0.9987930613094681,0.8790539144804792,0.9999705454874164,8511,984540,29,1171,Aerococcus christensenii,87541,0.9988151885187946,0.8783309233629415,1.0,8504,984569,0,1178
NZ_CP029033.1,43024,Actinobaculum,76833,0.9999145085094207,0.9980243584975828,1.0,42939,951227,0,85,Actinobaculum sp. 313,2495645,0.9999145085094207,0.9980243584975828,1.0,42939,951227,0,85
NZ_CP012672.1,12853,Sorangium,39643,0.9994438024201132,0.9569750252859255,1.0,12300,981398,0,553,Sorangium cellulosum,56,0.9879678270376394,0.06924453434995721,1.0,890,981398,0,11963
