read_accession_id,taxid,count
NZ_CP083898.1,120045,594
NZ_CP083898.1,542,24945
NZ_CP083898.1,622759,85
NZ_CP083898.1,627344,347
NZ_CP083898.1,555217,102
NZ_CP083898.1,579138,32
NZ_CP083898.1,1224,6
NZ_CP083898.1,204457,4
NZ_CP083898.1,487316,1
NZ_CP083898.1,29695,1
NZ_CP024700.1,2663009,28346
NZ_CP024700.1,848,2526
NZ_CP024700.1,76859,128
NZ_CP024700.1,860,122
NZ_CP024700.1,851,84
NZ_CP024700.1,1583098,40
NZ_CP024700.1,76857,158
NZ_CP024700.1,285729,29
NZ_CP024700.1,3369,1
NZ_CP024700.1,155615,24
NZ_CP024700.1,469616,4
NZ_CP024700.1,859,7
NZ_CP024700.1,2,30
NZ_CP024700.1,469615,1
NZ_CP024700.1,1437201,2
NZ_CP024700.1,186826,2
NZ_CP024700.1,1307427,6
NZ_CP024700.1,131567,1
NZ_CP024700.1,561,2
NZ_CP024700.1,856,2
NZ_CP024700.1,1307443,4
NZ_CP024700.1,469602,2
NZ_CP024700.1,671211,1
NZ_CP024700.1,1307442,4
NZ_CP024700.1,4072,1
NZ_CP024700.1,1313,2
NZ_CP024700.1,3911,1
NZ_CP031255.1,495,22210
NZ_CP031255.1,482,221
NZ_CP031255.1,88719,218
NZ_CP031255.1,481,57
NZ_CP031255.1,488,3
NZ_CP031255.1,4572,1
NZ_CP031255.1,490,3
NZ_CP031255.1,2912188,1
NZ_CP031255.1,641149,5
NZ_CP031255.1,2972775,2
NZ_CP031255.1,2709396,1
NZ_CP031255.1,3077590,1
NZ_CP031255.1,28449,3
NZ_CP031255.1,374833,1
NZ_CP031255.1,483,1
NZ_CP031255.1,485,1
NZ_CP031255.1,28216,1
NZ_CP031255.1,484,1
NZ_CP014239.1,713030,34282
NZ_CP014239.1,2637378,1712
NZ_CP014239.1,970,19
NZ_CP014239.1,1884263,3
NZ_CP014239.1,712538,28
NZ_CP019668.1,95486,2846
NZ_CP019668.1,87882,1429
NZ_CP019668.1,32008,151
NZ_CP019668.1,1503054,2
NZ_CP019668.1,179879,19
NZ_CP019668.1,406425,18
