read_accession_id,taxid,count
NZ_CP083898.1,542,25352
NZ_CP083898.1,120045,345
NZ_CP083898.1,627344,203
NZ_CP083898.1,1224,36
NZ_CP083898.1,555217,63
NZ_CP083898.1,579138,16
NZ_CP083898.1,204457,21
NZ_CP083898.1,622759,42
NZ_CP083898.1,2593676,2
NZ_CP083898.1,487316,1
NZ_CP083898.1,264203,3
NZ_CP083898.1,49451,1
NZ_CP083898.1,1194424,1
NZ_CP083898.1,9606,1
NZ_CP083898.1,2,3
NZ_CP083898.1,71275,1
NZ_CP083898.1,28211,2
NZ_CP083898.1,3369,1
NZ_CP083898.1,627343,1
NZ_CP024700.1,2663009,23462
NZ_CP024700.1,848,6935
NZ_CP024700.1,3760,1
NZ_CP024700.1,76859,153
NZ_CP024700.1,860,156
NZ_CP024700.1,2,37
NZ_CP024700.1,851,121
NZ_CP024700.1,76857,212
NZ_CP024700.1,1583098,45
NZ_CP024700.1,203491,29
NZ_CP024700.1,3888,2
NZ_CP024700.1,1307443,4
NZ_CP024700.1,1437183,4
NZ_CP024700.1,3369,5
NZ_CP024700.1,203492,7
NZ_CP024700.1,1307442,7
NZ_CP024700.1,469616,4
NZ_CP024700.1,285729,36
NZ_CP024700.1,155615,23
NZ_CP024700.1,4577,1
NZ_CP024700.1,131567,15
NZ_CP024700.1,9606,10
NZ_CP024700.1,3562,2
NZ_CP024700.1,671211,4
NZ_CP024700.1,94328,2
NZ_CP024700.1,2764326,1
NZ_CP024700.1,4564,1
NZ_CP024700.1,4232,1
NZ_CP024700.1,1437201,3
NZ_CP024700.1,1648030,2
NZ_CP024700.1,856,7
NZ_CP024700.1,3880,1
NZ_CP024700.1,861,3
NZ_CP024700.1,469602,4
NZ_CP024700.1,59895,1
NZ_CP024700.1,3641,2
NZ_CP024700.1,2230879,2
NZ_CP024700.1,71274,1
NZ_CP024700.1,55363,3
NZ_CP024700.1,1,2
NZ_CP024700.1,2829812,1
NZ_CP024700.1,526224,1
NZ_CP024700.1,112863,2
NZ_CP024700.1,1485,1
NZ_CP024700.1,859,9
