read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP120209.1,1968,root,1966,Bacteria,1966,Bacteroidota,1965,Flavobacteriia,1961,Flavobacteriales,1961,Weeksellaceae,1960,Chryseobacterium,1956,Chryseobacterium indologenes,1930
NZ_CP039381.1,7097,root,7072,Bacteria,7072,Bacillota,7067,Clostridia,7065,Eubacteriales,7062,Oscillospiraceae,7062,Ruminococcus,7062,Ruminococcus bovis,7062
NZ_CP019668.1,4491,root,4474,Bacteria,4474,Pseudomonadota,4474,Betaproteobacteria,4474,Burkholderiales,4474,Burkholderiaceae,4474,Burkholderia,4473,Burkholderia cenocepacia,3322
NZ_CP097775.1,9861,root,9839,Bacteria,9839,Bacillota,9839,Bacilli,9839,Bacillales,9839,Paenibacillaceae,9839,Paenibacillus,9839,Paenibacillus polymyxa,9627
NZ_CP017042.1,43090,root,42929,Bacteria,42929,Bacillota,42929,Negativicutes,42929,Selenomonadales,42929,Selenomonadaceae,42929,Selenomonas,42929,Selenomonas sp. oral taxon 920,42847
NZ_CP084018.1,1339,root,1330,Bacteria,1330,Bacillota,1330,Negativicutes,1330,Selenomonadales,1330,Selenomonadaceae,1330,Megamonas,1330,Megamonas funiformis,1329
NZ_CP068112.1,33104,root,32979,Bacteria,32979,Actinomycetota,32909,Actinomycetes,32909,Actinomycetales,32905,Actinomycetaceae,32905,Mobiluncus,32726,Mobiluncus curtisii,32712
NZ_CP040004.1,11906,root,11869,Bacteria,11869,Candidatus Saccharibacteria,11869,Candidatus Saccharimonadia,11868,Candidatus Nanosynbacterales,11868,Candidatus Nanosynbacteraceae,11868,Candidatus Nanosynbacter,11868,Candidatus Nanosynbacter featherlites,11839
NC_012753.1,6705,root,6682,Viruses,6682,Uroviricota,6682,Caudoviricetes,6682,unclassified Caudoviricetes order,0,unclassified Caudoviricetes family,0,unclassified Caudoviricetes genus,0,Streptococcus phage 5093,5320
NZ_CP012117.1,2542,root,2534,Bacteria,2534,Actinomycetota,2534,Actinomycetes,2534,Micrococcales,2510,Dermabacteraceae,2509,Dermabacter,2509,Dermabacter vaginalis,2478
NZ_CP027228.1,36535,root,36401,Bacteria,36401,Bacillota,36400,Clostridia,36376,Eubacteriales,0,Eubacteriales Family XIII. Incertae Sedis,0,Mogibacterium,36374,Mogibacterium diversum,36349
NZ_CP029197.1,7915,root,7894,Bacteria,7875,Actinomycetota,7874,Actinomycetes,7874,Kitasatosporales,7872,Streptomycetaceae,7872,Streptomyces,7871,Streptomyces venezuelae,7779
NZ_CP077403.1,22255,root,22174,Bacteria,22174,Actinomycetota,22174,Actinomycetes,22174,Micrococcales,22172,Jonesiaceae,22167,Jonesia,22167,Jonesia denitrificans,22167
NC_001422.1,9414,root,9383,Viruses,123,Phixviricota,123,Malgrandaviricetes,123,Petitvirales,123,Microviridae,123,Sinsheimervirus,0,Sinsheimervirus phiX174,0
NZ_CP040121.1,4622,root,4607,Bacteria,4607,Bacteroidota,4607,Bacteroidia,4607,Bacteroidales,4607,Muribaculaceae,4597,Duncaniella,4551,Duncaniella sp. B8,132
NC_000866.4,14307,root,14262,Viruses,14262,Uroviricota,14262,Caudoviricetes,14262,unclassified Caudoviricetes order,0,Straboviridae,14244,Tequatrovirus,14238,Tequatrovirus T4,11188
NZ_CP072246.1,10340,root,10311,Bacteria,10311,Bacteroidota,10302,Bacteroidia,10280,Bacteroidales,10280,Bacteroidaceae,9571,Phocaeicola,9244,Phocaeicola dorei,8923
NZ_CP015348.1,6618,root,6593,Bacteria,6593,Bacillota,6593,Bacilli,6593,Bacillales,6593,Planococcaceae,6591,Sporosarcina,6591,Sporosarcina ureae,6581
NZ_CP071986.1,14514,root,14451,Bacteria,14451,Campylobacterota,14451,Epsilonproteobacteria,14451,Campylobacterales,14451,Helicobacteraceae,14451,Helicobacter,14451,Helicobacter pylori,14448
NZ_CP050134.2,2544,root,2535,Bacteria,2535,Actinomycetota,2535,Actinomycetes,2535,Mycobacteriales,2535,Corynebacteriaceae,2535,Corynebacterium,2535,Corynebacterium matruchotii,2535
NZ_CP012069.2,18440,root,18369,Bacteria,18369,Actinomycetota,18369,Coriobacteriia,18369,Coriobacteriales,18369,Atopobiaceae,18369,Olsenella,18369,Olsenella sp. oral taxon 807,18369
NC_012756.1,4014,root,4002,Viruses,4002,Uroviricota,4002,Caudoviricetes,4002,unclassified Caudoviricetes order,0,unclassified Caudoviricetes family,0,unclassified Caudoviricetes genus,0,Streptococcus phage PH10,4002
NZ_CP014150.1,25377,root,25295,Bacteria,25295,Bacillota,25295,Clostridia,25276,Eubacteriales,5,Peptostreptococcaceae,25268,Paeniclostridium,0,Paeniclostridium sordellii,25217
NZ_CP026734.1,28022,root,27929,Bacteria,27929,Actinomycetota,27929,Actinomycetes,27929,Micrococcales,27866,Brevibacteriaceae,27860,Brevibacterium,27860,Brevibacterium linens,27238
NZ_CP020566.1,1912,root,1900,Bacteria,1900,Bacillota,1897,Negativicutes,1897,Veillonellales,1897,Veillonellaceae,1897,Veillonella,1897,Veillonella atypica,1895
NZ_CP016839.1,3074,root,3066,Bacteria,3066,Bacillota,3066,Bacilli,3066,Bacillales,3066,Listeriaceae,3066,Brochothrix,3066,Brochothrix thermosphacta,3066
NZ_CP047311.1,10588,root,10532,Bacteria,10532,Pseudomonadota,10532,Gammaproteobacteria,10532,Pseudomonadales,10527,Pseudomonadaceae,10527,Pseudomonas,10521,Pseudomonas putida,4227
NZ_CP065995.1,9690,root,9663,Bacteria,9663,Bacillota,9663,Bacilli,9663,Lactobacillales,9663,Lactobacillaceae,9663,Leuconostoc,9654,Leuconostoc mesenteroides,9553
NZ_CP116810.1,24756,root,24678,Bacteria,24678,Pseudomonadota,24678,Alphaproteobacteria,24678,Hyphomicrobiales,24678,Nitrobacteraceae,24678,Rhodopseudomonas,24674,Rhodopseudomonas palustris,24669
NZ_CP033719.1,10743,root,10701,Bacteria,10701,Actinomycetota,10700,Actinomycetes,10700,Propionibacteriales,10699,Propionibacteriaceae,10699,Propionibacterium,10699,Propionibacterium acidifaciens,10699
NZ_CP028105.1,3809,root,3792,Bacteria,3792,Fusobacteriota,3792,Fusobacteriia,3792,Fusobacteriales,3792,Fusobacteriaceae,3792,Fusobacterium,3792,Fusobacterium ulcerans,3745
NZ_CP008849.1,17352,root,17286,Bacteria,17286,Pseudomonadota,17286,Gammaproteobacteria,17286,Alteromonadales,17285,Alteromonadaceae,17284,Alteromonas,17278,Alteromonas australica,15998
NZ_CP068102.1,4451,root,4441,Bacteria,4441,Actinomycetota,4441,Actinomycetes,4441,Micrococcales,4441,Micrococcaceae,4441,Rothia,4441,Rothia aeria,4441
NZ_CP034465.1,9605,root,9571,Bacteria,9571,Bacillota,9567,Bacilli,9558,Lactobacillales,9537,Carnobacteriaceae,9506,Jeotgalibaca,9506,Jeotgalibaca ciconiae,9486
NZ_CP036259.1,2012,root,2007,Bacteria,2007,Bacillota,2007,Negativicutes,2007,Selenomonadales,2007,Sporomusaceae,2007,Sporomusa,2007,Sporomusa termitida,2007
NZ_CP040915.1,10168,root,10134,Bacteria,10134,Actinomycetota,10134,Actinomycetes,10134,Micrococcales,10134,Bogoriellaceae,10134,Georgenia,10134,Georgenia yuyongxinii,10133
NZ_CP050497.1,44601,root,44434,Bacteria,44434,Spirochaetota,44434,Spirochaetia,44434,Spirochaetales,44434,Treponemataceae,44434,Treponema,44434,Treponema vincentii,36968
NZ_CP040235.1,110628,root,110261,Bacteria,110261,Actinomycetota,110260,Actinomycetes,110260,Bifidobacteriales,110103,Bifidobacteriaceae,110103,Bifidobacterium,110099,Bifidobacterium longum,104678
NZ_AP025575.1,11767,root,11733,Bacteria,11733,Actinomycetota,11722,Coriobacteriia,11722,Eggerthellales,11722,Eggerthellaceae,11722,Eggerthella,11717,Eggerthella lenta,11686
NZ_CP040348.1,17279,root,17223,Bacteria,17223,Actinomycetota,17156,Coriobacteriia,17156,Coriobacteriales,17131,Coriobacteriaceae,17098,Collinsella,17098,Collinsella aerofaciens,17098
