accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP039381.1,4369,Ruminococcus,1263,0.9999333420205888,0.970244907301442,0.9999984931369924,4239,1990888,3,130,Ruminococcus bovis,2564099,0.9999318384571434,0.9688715953307393,1.0,4233,1990891,0,136
NZ_CP025420.1,6601,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus parauberis,1348,0.9996767338592464,0.9033479775791546,0.9999964800400672,5963,1988652,7,638
NZ_CP090007.1,6192,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus salivarius,1304,0.9985345268285838,0.5335917312661499,0.9999819010712555,3304,1989032,36,2888
NZ_CP125360.1,6170,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus dysgalactiae,1334,0.9975206238785923,0.20486223662884928,0.9999793875591351,1264,1989049,41,4906
NZ_CP124548.1,4140,Actinomyces,1654,0.9964480819542315,0.9463219620248363,0.999994096929491,124747,1863426,11,7076,Actinomyces israelii,1659,0.9979250824453956,0.0,1.0,0,1991120,0,4140
NZ_CP013476.1,3483,Turicibacter,191303,0.9999263253911771,0.9577950043066322,1.0,3336,1991777,0,147,Turicibacter sp. H121,1712675,0.9985615909706004,0.17599770312948607,1.0,613,1991777,0,2870
NZ_CP032621.1,6457,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus gwangjuense,1433513,0.9986132133155579,0.5717825615610965,0.9999989943699803,3692,1988801,2,2765
NZ_CP118095.1,41397,Aerococcus,1375,0.9963869370407866,0.8754838263754493,0.9999984515233913,50666,1937385,3,7206,Aerococcus christensenii,87541,0.996470635405912,0.8298910549073605,1.0,34355,1953863,0,7042
NZ_CP015402.2,2839,Muribaculum,1918540,0.9999619097260507,0.9732300105671011,1.0,2763,1992421,0,76,Muribaculum intestinale,1796646,0.9999538907210088,0.9675942233180698,1.0,2747,1992421,0,92
NZ_CP029458.1,3024,Clostridium,1485,0.9982137666269058,0.9419254038960175,0.9999638260840806,56670,1935026,70,3494,Clostridium novyi,1542,0.9987851207361447,0.19907407407407407,0.9999989961028714,602,1992234,2,2422
NZ_CP017042.1,11296,Selenomonas,970,0.9999614085382356,0.9934490084985835,0.999998487875788,11222,1983961,3,74,Selenomonas sp. oral taxon 920,1884263,0.9997804797369766,0.9612252124645893,1.0,10858,1983964,0,438
NZ_CP117966.1,11653,Roseburia,841,0.998613714503373,0.7628078606367459,0.9999989917357621,8889,1983605,2,2764,Roseburia hominis,301301,0.998560087407155,0.7535398609800051,0.9999994958678811,8781,1983606,1,2872
NZ_CP034169.1,22824,Enterococcus,1350,0.9990707977907641,0.9626694915254237,0.9999527735285361,45438,1947968,92,1762,Enterococcus avium,33945,0.9987214698836242,0.8882754994742377,0.9999994930127011,20274,1972435,1,2550
NZ_CP016953.1,24464,Streptococcus,1301,0.9972018684281748,0.9759799847941015,0.9999157731459917,220794,1768883,149,5434,Streptococcus himalayensis,1888195,0.9987966480558924,0.9021827992151733,0.9999959407264882,22071,1970788,8,2393
NZ_CP084018.1,19198,Megamonas,158846,0.9994932991189118,0.9474424419210334,0.9999989878860076,18189,1976060,2,1009,Megamonas funiformis,437897,0.9994045888756352,0.9382227315345348,0.9999989878860076,18012,1976060,2,1186
NZ_CP068112.1,4093,Mobiluncus,2050,0.9999684251676473,0.985096506230149,0.999998995563908,4032,1991165,2,61,Mobiluncus curtisii,2051,0.9999684251676473,0.985096506230149,0.999998995563908,4032,1991165,2,61
NZ_CP014161.1,16475,Aerococcus,1375,0.9963869370407866,0.8754838263754493,0.9999984515233913,50666,1937385,3,7206,Aerococcus urinae,1376,0.9998827220512615,0.9858573596358118,0.9999994946393873,16242,1978784,1,233
NZ_CP127126.1,9009,Pseudomonas,286,0.999781983300422,0.9802561743684098,0.9999212570206181,13852,1980973,156,279,Pseudomonas aeruginosa,287,0.9962030011126369,0.16283716283716285,0.99998288232454,1467,1986217,34,7542
NZ_CP072042.1,8105,Akkermansia,239934,0.9999679239798323,0.9922270203578039,0.9999994967679924,8042,1987154,1,63,Akkermansia muciniphila,239935,0.9999538907210088,0.98877236273905,0.9999994967679924,8014,1987154,1,91
NZ_AP019822.1,6581,Pseudoleptotrichia,2755140,0.9996331305193308,0.8899863242668288,0.9999959772291054,5857,1988671,8,724,Pseudoleptotrichia goodfellowii,157692,0.9996331305193308,0.8899863242668288,0.9999959772291054,5857,1988671,8,724
