read_accession_id,taxid,count
NZ_CP014264.1,712633,8439
NZ_CP014264.1,1301,175
NZ_CP014264.1,2608887,144
NZ_CP014264.1,2993430,1
NZ_CP014264.1,1891914,1
NZ_CP014264.1,2,18
NZ_CP014264.1,2972784,4
NZ_CP014264.1,1234680,4
NZ_CP014264.1,1313,7
NZ_CP014264.1,3077584,5
NZ_CP014264.1,1311,1
NZ_CP014264.1,1305,1
NZ_CP014264.1,1303,2
NZ_CP014264.1,365659,1
NZ_CP014264.1,2759692,2
NZ_CP014264.1,1783272,1
NZ_CP014264.1,1340,1
NZ_CP014264.1,68892,1
NZ_CP014264.1,1343,1
NZ_CP014264.1,1335,1
NZ_CP014264.1,2576376,2
NZ_CP014264.1,186826,1
NZ_CP072236.1,820,3730
NZ_CP072236.1,171549,268
NZ_CP072236.1,28111,6
NZ_CP072236.1,816,1026
NZ_CP072236.1,815,56
NZ_CP072236.1,976,65
NZ_CP072236.1,821,2
NZ_CP072236.1,246787,1
NZ_CP072236.1,997890,5
NZ_CP072236.1,818,2
NZ_CP072236.1,2785531,1
NZ_CP072236.1,823,3
NZ_CP072236.1,291644,2
NZ_CP072236.1,28119,1
NZ_CP072236.1,817,2
NZ_CP072236.1,2847299,1
NZ_CP072236.1,28116,3
NZ_CP072236.1,357276,1
NZ_CP072236.1,693979,2
NZ_CP072236.1,556259,1
NZ_CP072236.1,2685834,1
NZ_CP072236.1,997877,1
NZ_CP049272.1,199,6084
NZ_CP049272.1,360104,24
NZ_CP049272.1,194,5
NZ_CP024700.1,2663009,2340
NZ_CP024700.1,76857,15
NZ_CP024700.1,848,184
NZ_CP024700.1,851,8
NZ_CP024700.1,285729,7
NZ_CP024700.1,76859,9
NZ_CP024700.1,860,12
NZ_CP024700.1,2,2
NZ_CP024700.1,1307443,2
NZ_CP024700.1,91835,1
NZ_CP024700.1,1307427,2
NZ_CP024700.1,856,1
NZ_CP024700.1,1583098,1
NZ_CP024700.1,859,1
NZ_CP012589.1,1705617,965
NZ_CP012589.1,1016,174
NZ_CP012589.1,1018,26
NZ_CP012589.1,2640652,46
NZ_CP012589.1,45243,1
NZ_CP012589.1,1316593,4
NZ_CP012589.1,2708117,2
NZ_CP012589.1,1316596,1
NZ_CP012589.1,200644,1
NZ_CP012589.1,2748316,1
NZ_CP015402.2,1796646,6420
NZ_CP015402.2,1918540,39
NZ_CP015402.2,2005473,24
NZ_CP015402.2,171549,30
NZ_CP046316.1,2545799,2790
NZ_CP046316.1,1016,75
NZ_CP046316.1,1316596,1
NZ_CP046316.1,200644,1
NZ_CP046316.1,2640652,5
NZ_CP046316.1,327575,1
NZ_AP019735.1,2585118,5242
NZ_AP019735.1,976,38
NZ_AP019735.1,171549,83
NZ_AP019735.1,239759,14
NZ_AP019735.1,291645,1
NZ_AP019735.1,28251,1
NZ_AP019735.1,2025876,1
NZ_AP019735.1,667015,1
NZ_AP019735.1,816,2
NZ_AP019735.1,375288,1
NZ_AP019735.1,2847299,1
NZ_AP019735.1,371601,1
NZ_CP070914.1,543,4631
NZ_CP070914.1,562,1259
NZ_CP070914.1,570,6
NZ_CP070914.1,1224,4
NZ_CP070914.1,561,86
NZ_CP070914.1,2935450,1
NZ_CP070914.1,208962,18
NZ_CP070914.1,622,8
NZ_CP070914.1,91347,46
NZ_CP070914.1,1236,16
NZ_CP070914.1,564,8
NZ_CP070914.1,544,16
NZ_CP070914.1,547,9
NZ_CP070914.1,869729,1
NZ_CP070914.1,67824,3
NZ_CP070914.1,155864,6
NZ_CP070914.1,255519,1
NZ_CP070914.1,623,10
NZ_CP070914.1,1330547,1
NZ_CP070914.1,590,2
NZ_CP070914.1,57706,1
