read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP014264.1,8824,root,8813,Bacteria,8813,Bacillota,8794,Bacilli,8794,Lactobacillales,8794,Streptococcaceae,8793,Streptococcus,8793,Streptococcus sp. oral taxon 431,8439
NZ_CP072236.1,5180,root,5180,Bacteria,5180,Bacteroidota,5180,Bacteroidia,5115,Bacteroidales,5115,Bacteroidaceae,4843,Bacteroides,4783,Bacteroides uniformis,3735
NZ_CP049272.1,6113,root,6113,Bacteria,6113,Campylobacterota,6113,Epsilonproteobacteria,6113,Campylobacterales,6113,Campylobacteraceae,6113,Campylobacter,6113,Campylobacter concisus,6108
NZ_CP024700.1,2585,root,2585,Bacteria,2584,Fusobacteriota,2582,Fusobacteriia,2582,Fusobacteriales,2582,Fusobacteriaceae,2582,Fusobacterium,2582,Fusobacterium pseudoperiodonticum,2340
NZ_CP012589.1,1221,root,1221,Bacteria,1221,Bacteroidota,1221,Flavobacteriia,1221,Flavobacteriales,1221,Flavobacteriaceae,1220,Capnocytophaga,1220,Capnocytophaga sp. oral taxon 323,965
NZ_CP015402.2,6513,root,6513,Bacteria,6513,Bacteroidota,6513,Bacteroidia,6513,Bacteroidales,6513,Muribaculaceae,6483,Muribaculum,6459,Muribaculum intestinale,6420
NZ_CP046316.1,2874,root,2873,Bacteria,2873,Bacteroidota,2873,Flavobacteriia,2873,Flavobacteriales,2873,Flavobacteriaceae,2872,Capnocytophaga,2872,Capnocytophaga sp. FDAARGOS_737,2790
NZ_AP019735.1,5386,root,5386,Bacteria,5386,Bacteroidota,5386,Bacteroidia,5347,Bacteroidales,5347,Rikenellaceae,5256,Alistipes,5256,Alistipes communis,5242
NZ_CP070914.1,6284,root,6284,Bacteria,6253,Pseudomonadota,6250,Gammaproteobacteria,6246,Enterobacterales,6229,Enterobacteriaceae,6182,Escherichia,1419,Escherichia coli,1288
NZ_CP009227.1,2797,root,2797,Bacteria,2797,Spirochaetota,2797,Spirochaetia,2797,Spirochaetales,2797,Treponemataceae,2797,Treponema,2797,Treponema sp. OMZ 838,1442
NZ_CP090007.1,13347,root,13341,Bacteria,13341,Bacillota,13340,Bacilli,13340,Lactobacillales,13337,Streptococcaceae,13332,Streptococcus,13331,Streptococcus salivarius,11113
NZ_AP021887.1,1533,root,1532,Bacteria,1532,Bacillota,1532,Bacilli,1532,Lactobacillales,1532,Streptococcaceae,1532,Streptococcus,1532,Streptococcus sp. 116-D4,1488
NZ_CP065726.1,603,root,603,Bacteria,603,Pseudomonadota,603,Betaproteobacteria,603,Neisseriales,603,Neisseriaceae,603,Neisseria,603,Neisseria cinerea,573
