accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP014264.1,8791,Streptococcus,1301,181025,814908,87,466,Streptococcus sp. oral taxon 431,712633,8559,987685,10,232
NZ_CP072236.1,5157,Bacteroides,816,66469,927442,65,2510,Bacteroides uniformis,820,4119,991315,14,1038
NZ_CP049272.1,6097,Campylobacter,194,30638,965848,0,0,Campylobacter concisus,199,6094,990389,0,3
NZ_CP024700.1,2579,Fusobacterium,848,37081,959395,6,4,Fusobacterium pseudoperiodonticum,2663009,2460,993807,100,119
NZ_CP012589.1,1217,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga sp. oral taxon 323,1705617,1088,995258,11,129
NZ_CP015402.2,6495,Muribaculum,1918540,6455,989991,0,40,Muribaculum intestinale,1796646,6427,989991,0,68
NZ_CP046316.1,2864,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga sp. FDAARGOS_737,2545799,2820,993594,28,44
NZ_AP019735.1,5370,Alistipes,239759,5257,991101,15,113,Alistipes communis,2585118,5252,991116,0,118
NZ_CP070914.1,6264,Escherichia,561,3480,990194,28,2784,Escherichia coli,562,3103,990200,22,3161
NZ_CP009227.1,2781,Treponema,157,3980,992506,0,0,Treponema sp. OMZ 838,1539298,1674,993703,2,1107
NZ_CP090007.1,13295,Streptococcus,1301,181025,814908,87,466,Streptococcus salivarius,1304,11993,983074,117,1302
NZ_CP065726.1,598,Neisseria,482,100233,895918,1,334,Neisseria cinerea,483,588,995872,16,10
NZ_AP021887.1,1526,Streptococcus,1301,181025,814908,87,466,Streptococcus sp. 116-D4,2598453,1504,994950,10,22
NZ_CP022022.1,29913,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga endodontalis,2708117,29662,966566,7,251
NZ_CP046314.1,13697,Gemella,1378,24905,971032,2,547,Gemella morbillorum,29391,13131,982788,1,566
NZ_CP027229.1,13231,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga sp. oral taxon 878,1316596,13099,983240,15,132
NZ_CP046313.1,833,Gemella,1378,24905,971032,2,547,Gemella sanguinis,84135,832,995653,0,1
NZ_AP014938.1,15367,Rothia,32207,23299,973187,0,0,Rothia mucilaginosa,43675,15365,981119,0,2
NZ_CP068102.1,7932,Rothia,32207,23299,973187,0,0,Rothia aeria,172042,7928,988554,0,4
NZ_CP015424.1,4002,Haemophilus,724,44646,951771,34,35,[Haemophilus] ducreyi,730,4001,992484,0,1
NZ_CP013334.1,5065,Fusobacterium,848,37081,959395,6,4,Fusobacterium hwasookii,1583098,4514,991409,12,551
NZ_CP017038.2,6408,Tannerella,195950,6408,990074,4,0,Tannerella serpentiformis,712710,6408,990076,2,0
NZ_CP012544.1,8272,Campylobacter,194,30638,965848,0,0,Campylobacter showae,204,8253,988214,0,19
NZ_CP032364.1,5795,Lachnoanaerobaculum,1164882,5794,990690,1,1,Lachnoanaerobaculum umeaense,617123,5792,990691,0,3
NZ_CP121769.1,3344,Glaesserella,2094023,3270,993129,13,74,Glaesserella parasuis,738,3266,993131,11,78
NZ_CP097335.1,717,Mannheimia,75984,21722,974644,41,79,Mannheimia haemolytica,75985,631,995729,40,86
NZ_AP019846.1,9609,Leptotrichia,32067,46605,949847,0,34,Leptotrichia hongkongensis,554406,9447,986858,19,162
NZ_CP124126.1,10187,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga canimorsus,28188,10177,986295,4,10
NZ_CP125087.1,1897,Haemophilus,724,44646,951771,34,35,Haemophilus parainfluenzae,729,1888,994564,25,9
NZ_CP016753.1,3313,Leptotrichia,32067,46605,949847,0,34,Leptotrichia sp. oral taxon 498,712368,3211,993134,39,102
NZ_CP031255.1,3125,Neisseria,482,100233,895918,1,334,Neisseria elongata,495,3112,993322,39,13
NZ_CP041379.1,7000,Bacteroides,816,66469,927442,65,2510,Bacteroides intestinalis,329854,6936,989479,7,64
NZ_CP020431.2,1228,Streptococcus,1301,181025,814908,87,466,Streptococcus sp. FDAARGOS_192,1839799,783,995249,9,445
NZ_CP027228.1,24269,Mogibacterium,86331,24243,972217,0,26,Mogibacterium diversum,114527,24219,972217,0,50
NZ_CP044230.1,6560,Streptococcus,1301,181025,814908,87,466,Streptococcus sp. LPB0220,2610896,6048,989923,3,512
NZ_CP039886.1,17340,Neisseria,482,100233,895918,1,334,Neisseria flavescens,484,16930,979037,109,410
NZ_CP022379.1,34487,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga sputigena,1019,34302,961960,39,185
NZ_CP053939.1,7520,Neisseria,482,100233,895918,1,334,Neisseria mucosa,488,7139,988835,131,381
NZ_CP126076.1,2573,Clostridioides,1870884,2517,993908,5,56,Clostridioides difficile,1496,2517,993908,5,56
NZ_CP024696.1,5410,Prevotella,838,7891,988386,43,166,Prevotella intermedia,28131,5257,991066,10,153
NZ_CP046315.1,3777,Schaalia,2529408,5591,990895,0,0,Schaalia odontolytica,1660,3777,992709,0,0
NZ_CP019721.1,9329,Veillonella,29465,12836,983647,0,3,Veillonella parvula,29466,9279,987156,1,50
NZ_CP027231.1,7209,Bacteroides,816,66469,927442,65,2510,Bacteroides zoogleoformans,28119,6873,989272,5,336
NZ_CP114055.1,2341,Bergeyella,59735,2338,994145,0,3,Bergeyella cardium,1585976,2338,994145,0,3
NZ_CP017042.1,18081,Selenomonas,970,24097,972389,0,0,Selenomonas sp. oral taxon 920,1884263,18048,978405,0,33
NZ_CP028415.1,2617,Streptococcus,1301,181025,814908,87,466,Streptococcus mitis,28037,2562,993836,33,55
NZ_CP066560.1,13644,Histophilus,214906,13238,982833,9,406,Histophilus somni,731,13238,982833,9,406
NZ_CP050870.1,37544,Streptococcus,1301,181025,814908,87,466,Streptococcus thermophilus,1308,37066,958780,162,478
NZ_CP012067.1,3527,Aggregatibacter,416916,21410,975055,5,16,Aggregatibacter aphrophilus,732,3512,992954,5,15
NZ_CP072224.1,5962,Bacteroides,816,66469,927442,65,2510,Bacteroides thetaiotaomicron,818,5239,990407,117,723
NZ_CP014239.1,6016,Selenomonas,970,24097,972389,0,0,Selenomonas sp. oral taxon 136,713030,5945,990470,0,71
NZ_CP039462.1,1202,Streptococcus,1301,181025,814908,87,466,Streptococcus suis,1307,1169,995198,86,33
NZ_CP072244.1,7632,Bacteroides,816,66469,927442,65,2510,Bacteroides ovatus,28116,5181,988826,28,2451
NZ_CP017295.1,5628,Streptococcus,1301,181025,814908,87,466,Streptococcus gordonii,1302,5575,990627,231,53
NZ_CP107038.1,485,Streptococcus,1301,181025,814908,87,466,Streptococcus pneumoniae,1313,469,995914,87,16
NZ_CP126474.1,8086,Bacillus,1386,8680,987768,5,33,Bacillus thuringiensis,1428,2527,988398,2,5559
NZ_CP065983.1,1455,Aggregatibacter,416916,21410,975055,5,16,Aggregatibacter segnis,739,1395,995029,2,60
NZ_CP029206.1,6028,Actinobacillus,713,8690,987604,11,181,Actinobacillus porcitonsillarum,189834,5914,990455,3,114
NZ_CP038817.1,14372,Haemophilus,724,44646,951771,34,35,Haemophilus parahaemolyticus,735,14330,982114,0,42
NZ_CP073277.1,11446,Clostridium,1485,19151,977303,8,24,Clostridium butyricum,1492,9108,985040,0,2338
NZ_CP043435.1,14082,Campylobacter,194,30638,965848,0,0,Campylobacter fetus,196,14039,982404,0,43
NZ_CP066065.1,1814,Schaalia,2529408,5591,990895,0,0,Schaalia meyeri,52773,1814,994672,0,0
NZ_AP025240.1,3034,Phocaeicola,909656,6959,988900,36,591,Phocaeicola vulgatus,821,2831,993419,33,203
NZ_CP014227.1,7046,Capnocytophaga,1016,138747,857700,2,37,Capnocytophaga haemolytica,45243,7025,989435,5,21
NZ_CP064367.1,906,Neisseria,482,100233,895918,1,334,Neisseria meningitidis,487,889,995280,300,17
