read_accession_id,count
NZ_CP013195.1,20872
NZ_CP048246.1,10980
NZ_CP020566.1,1283
NZ_CP053939.1,7832
NZ_CP107038.1,5295
NZ_CP066065.1,4069
NZ_CP126341.1,63394
NZ_CP097843.1,1923
NC_002628.3,7184
NZ_CP027235.1,7854
NZ_CP046313.1,4344
NZ_CP038817.1,2263
NZ_CP070914.1,3569
NZ_CP101412.1,17340
NZ_CP034670.1,4512
NZ_CP083637.1,11371
NZ_CP031255.1,94077
NZ_CP075172.1,7696
NZ_CP032621.1,4140
NZ_CP009227.1,4792
NZ_AP018768.1,11687
NZ_CP007573.1,1548
NZ_CP008849.1,5063
NZ_CP124804.1,1881
NZ_CP073118.1,7807
NZ_CP031243.1,11625
NZ_CP032620.1,4225
NZ_CP064367.1,74932
NZ_CP027228.1,3252
NZ_CP126983.1,7236
NZ_AP021887.1,6590
NC_000866.4,1260
NZ_AP019829.2,10473
NZ_CP049272.1,2741
NZ_CP024700.1,40584
NZ_CP012067.1,6909
NZ_CP024696.1,12549
NZ_CP014264.1,8932
NZ_CP040798.1,8828
NZ_CP072373.1,114437
NZ_CP028101.1,7582
NZ_CP050870.1,16439
NZ_CP090007.1,48056
NZ_CP019721.1,10017
NZ_CP012410.1,5579
NZ_AP014880.1,5035
NZ_CP050133.1,12300
NC_001422.1,2088
NZ_CP044230.1,30985
NZ_CP039462.1,938
NZ_CP028415.1,9548
NZ_CP089305.1,3952
NZ_CP046314.1,607
NZ_CP054018.1,14006
NZ_CP046315.1,12737
NZ_AP014938.1,2535
NZ_CP020431.2,22742
NZ_CP126745.1,7181
NZ_CP012589.1,7303
NZ_CP083898.1,16811
NZ_CP125087.1,3388
NZ_CP027232.1,4017
NZ_CP032364.1,1648
NZ_CP050136.1,3498
NZ_CP031253.1,8460
NZ_CP013334.1,16266
NZ_CP017295.1,6544
NZ_CP050497.1,5239
NZ_CP110170.1,15962
NZ_CP082857.1,10924
NZ_CP019668.1,10638
NZ_CP065726.1,6718
NZ_CP012544.1,17454
NZ_CP039886.1,11987
NZ_CP014239.1,13333
