parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1300,1,1301,Streptococcus,232199,232199
1301,2,1335,Streptococcus equinus,38668,38668
1301,2,1313,Streptococcus pneumoniae,28517,28517
1301,1,2608887,unclassified Streptococcus,23662,23662
2608887,2,2598453,Streptococcus sp. 116-D4,14667,14667
2608887,2,2610896,Streptococcus sp. LPB0220,4396,4396
2608887,2,712633,Streptococcus sp. oral taxon 431,1635,1635
2608887,2,1839799,Streptococcus sp. FDAARGOS_192,1326,1326
2608887,2,1759399,Streptococcus sp. A12,109,109
2608887,2,3077723,Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,96,96
2608887,2,2763068,Streptococcus sp. NSJ-72,74,74
2608887,2,3098075,Streptococcus sp. S1,64,64
2608887,2,2993430,Streptococcus sp. SP4011,42,42
2608887,2,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,34,34
2608887,2,2972784,Streptococcus sp. Marseille-Q6470,29,29
2608887,2,1902136,Streptococcus sp. NPS 308,25,25
2608887,2,712624,Streptococcus sp. oral taxon 064,24,24
2608887,2,3098076,Streptococcus sp. S5,18,18
2608887,2,712623,Streptococcus sp. oral taxon 061,17,17
2608887,2,3038077,Streptococcus sp. D7B5,17,17
2608887,2,2759692,Streptococcus sp. Marseille-Q3533,16,16
2608887,2,2975324,Streptococcus sp. FSL R7-0248,14,14
2608887,2,3028082,Streptococcus sp. 29896,11,11
2608887,2,2954513,Streptococcus sp. FSL K6-1323,10,10
2608887,2,2975349,Streptococcus sp. FSL W8-0197,10,10
2608887,2,2576376,Streptococcus sp. 1643,9,9
2608887,2,3028084,Streptococcus sp. 29887,6,6
2608887,2,2598457,Streptococcus sp. KS 6,5,5
2608887,2,3020829,Streptococcus sp. HN38,4,4
2608887,2,3028083,Streptococcus sp. 29892,4,4
2608887,2,2664091,Streptococcus sp. zg-86,4,4
2608887,2,2954545,Streptococcus sp. FSL W7-1342,3,3
1301,2,1303,Streptococcus oralis,22754,22754
1301,2,2382163,Streptococcus koreensis,21236,21236
1301,2,45634,Streptococcus cristatus,15513,15513
1301,2,1433513,Streptococcus gwangjuense,11764,11764
1301,2,1304,Streptococcus salivarius,9780,9780
1301,2,1305,Streptococcus sanguinis,5658,5658
1301,2,28037,Streptococcus mitis,4794,4794
1301,2,1302,Streptococcus gordonii,3088,3088
1301,1,671232,Streptococcus anginosus group,230,230
671232,2,1338,Streptococcus intermedius,131,131
671232,2,1328,Streptococcus anginosus,54,54
671232,2,76860,Streptococcus constellatus,34,34
1301,2,1156431,Streptococcus ilei,151,151
1301,2,113107,Streptococcus australis,137,137
1301,2,1318,Streptococcus parasanguinis,102,102
1301,2,1308,Streptococcus thermophilus,100,100
1301,2,1234680,Streptococcus rubneri,95,95
1301,1,119603,Streptococcus dysgalactiae group,61,61
119603,2,1336,Streptococcus equi,34,34
119603,2,1334,Streptococcus dysgalactiae,27,27
1301,2,1307,Streptococcus suis,56,56
1301,2,684066,Streptococcus lactarius,49,49
1301,2,1343,Streptococcus vestibularis,47,47
1301,2,2819619,Streptococcus toyakuensis,43,43
1301,2,257758,Streptococcus pseudopneumoniae,39,39
1301,2,2686210,Streptococcus ruminicola,38,38
1301,2,1314,Streptococcus pyogenes,27,27
1301,2,68892,Streptococcus infantis,23,23
1301,2,1888195,Streptococcus himalayensis,21,21
1301,2,1311,Streptococcus agalactiae,20,20
1301,2,2021971,Streptococcus respiraculi,20,20
