read_accession_id,taxid,count
NZ_CP073277.1,1485,2088
NZ_CP073277.1,1492,4431
NZ_CP073277.1,238834,4
NZ_CP073277.1,2992805,17
NZ_CP073277.1,94869,3
NZ_CP073277.1,36745,6
NZ_CP073277.1,169679,7
NZ_CP073277.1,1491,3
NZ_CP073277.1,182773,1
NZ_CP073277.1,394958,3
NZ_CP073277.1,29341,1
NZ_CP073277.1,704125,3
NZ_CP073277.1,1529,3
NZ_CP073277.1,1561,5
NZ_CP073277.1,1520,2
NZ_CP073277.1,641107,7
NZ_CP073277.1,1702238,1
NZ_CP073277.1,1716543,1
NZ_CP073277.1,1121310,2
NZ_CP073277.1,1502,4
NZ_CP073277.1,1504,2
NZ_CP073277.1,1488,1
NZ_CP073277.1,1415775,2
NZ_CP073277.1,2483110,1
NZ_CP073277.1,2930219,2
NZ_CP073277.1,386415,1
NZ_CP073277.1,1501,1
NZ_CP073277.1,2320868,1
NZ_CP073277.1,86416,2
NZ_CP073277.1,1494,1
NZ_CP073277.1,46867,1
NZ_CP073277.1,1519,1
NZ_CP073277.1,1513,1
NZ_CP073277.1,1534,1
NZ_CP073277.1,360422,1
NZ_CP068103.1,54005,6588
NZ_CP068103.1,1737404,65
NZ_CP068103.1,2763670,2
NZ_CP068103.1,1239,122
NZ_CP068103.1,1570339,110
NZ_CP068103.1,1287640,21
NZ_CP068103.1,1352,1
NZ_CP068103.1,33037,5
NZ_CP068103.1,162289,16
NZ_CP068103.1,2,27
NZ_CP068103.1,86661,1
NZ_CP068103.1,1301,3
NZ_CP068103.1,1870984,2
NZ_CP068103.1,2044912,1
NZ_CP068103.1,1260,6
NZ_CP068103.1,1852374,4
NZ_CP068103.1,99822,1
NZ_CP068103.1,1496,5
NZ_CP068103.1,178214,5
NZ_CP068103.1,561,2
NZ_CP068103.1,1314,3
NZ_CP068103.1,186826,3
NZ_CP068103.1,1283,1
NZ_CP068103.1,40477,2
NZ_CP068103.1,1354,1
NZ_CP068103.1,3036303,4
NZ_CP068103.1,1582879,2
NZ_CP068103.1,1236,2
NZ_CP068103.1,564,1
NZ_CP068103.1,1351,1
NZ_CP068103.1,165779,2
NZ_CP068103.1,9606,1
NZ_CP068103.1,2976809,1
NZ_CP068103.1,36835,1
NZ_CP068103.1,861,1
NZ_CP047311.1,286,6521
NZ_CP047311.1,303,2350
NZ_CP047311.1,2892442,2
NZ_CP047311.1,3119004,1
NZ_CP047311.1,3077589,1
NZ_CP047311.1,485880,5
NZ_CP047311.1,1331671,3
NZ_CP047311.1,70775,5
NZ_CP047311.1,1081940,4
NZ_CP047311.1,196821,19
NZ_CP047311.1,437900,1
NZ_CP047311.1,1236,9
NZ_CP047311.1,2867409,2
NZ_CP047311.1,135621,5
NZ_CP047311.1,2944234,4
NZ_CP047311.1,1150601,4
NZ_CP047311.1,136845,12
NZ_CP047311.1,3040601,2
NZ_CP047311.1,2745482,2
NZ_CP047311.1,289370,1
NZ_CP047311.1,28253,1
NZ_CP047311.1,157783,2
NZ_CP047311.1,136842,1
NZ_CP047311.1,2986074,4
NZ_CP047311.1,317,3
NZ_CP047311.1,2675224,2
NZ_CP047311.1,2083052,8
NZ_CP047311.1,741155,1
NZ_CP047311.1,2841063,1
NZ_CP047311.1,2364649,1
NZ_CP047311.1,2874628,4
NZ_CP047311.1,78327,4
NZ_CP047311.1,2762577,2
NZ_CP047311.1,2487887,3
NZ_CP047311.1,294,6
NZ_CP047311.1,1338689,1
NZ_CP047311.1,2069256,5
NZ_CP047311.1,3019968,1
NZ_CP047311.1,1215087,2
NZ_CP047311.1,33069,1
NZ_CP047311.1,2893890,2
NZ_CP047311.1,2842346,1
NZ_CP047311.1,296,2
NZ_CP047311.1,2729423,1
NZ_CP047311.1,395598,2
NZ_CP047311.1,3034675,1
NZ_CP047311.1,3029060,5
NZ_CP047311.1,1408273,1
NZ_CP047311.1,47878,2
NZ_CP047311.1,2812000,1
NZ_CP047311.1,3122079,1
NZ_CP047311.1,136849,2
NZ_CP047311.1,2850559,1
NZ_CP047311.1,485898,6
NZ_CP047311.1,47884,1
NZ_CP047311.1,216142,1
NZ_CP047311.1,1506334,2
NZ_CP047311.1,3127460,1
NZ_CP047311.1,2866592,1
NZ_CP047311.1,1513890,1
NZ_CP047311.1,2320270,1
NZ_CP047311.1,237609,2
NZ_CP047311.1,2834406,1
NZ_CP047311.1,1855380,1
NZ_CP047311.1,587753,2
NZ_CP047311.1,2954091,1
NZ_CP047311.1,3135254,2
NZ_CP047311.1,931281,2
NZ_CP047311.1,2920387,2
NZ_CP047311.1,46257,1
NZ_CP047311.1,1196325,4
NZ_CP047311.1,2974552,1
NZ_CP047311.1,2745490,2
NZ_CP047311.1,160488,2
NZ_CP047311.1,2962597,1
NZ_CP047311.1,2219225,5
NZ_CP047311.1,2662033,1
NZ_CP047311.1,1755504,1
NZ_CP047311.1,198620,1
NZ_CP047311.1,129817,1
NZ_CP047311.1,380021,1
NZ_CP047311.1,1384061,3
NZ_CP047311.1,136843,1
NZ_CP047311.1,1259844,2
NZ_CP047311.1,287,1
NZ_CP047311.1,2931382,1
NZ_CP047311.1,2986927,1
NZ_CP047311.1,2954094,1
NZ_CP047311.1,1736226,4
NZ_CP047311.1,47879,1
NZ_CP047311.1,43263,1
NZ_CP047311.1,312306,2
NZ_CP047311.1,1274359,1
NZ_CP047311.1,2217867,1
NZ_CP047311.1,1940636,2
NZ_CP047311.1,76758,1
NZ_CP047311.1,2745504,1
NZ_CP047311.1,1357074,1
NZ_CP047311.1,200450,1
NZ_CP047311.1,2054914,1
NZ_CP047311.1,2972478,1
NZ_CP047311.1,2054919,1
NZ_CP047311.1,104087,1
NZ_CP047311.1,3094916,1
NZ_CP047311.1,47880,1
NZ_CP047311.1,1294143,1
NZ_CP047311.1,2883205,1
NZ_CP047311.1,556533,1
NZ_CP047311.1,2842357,1
NZ_CP047311.1,2049589,1
NZ_CP047311.1,2078786,2
NZ_CP047311.1,86265,1
NZ_CP047311.1,2895486,1
NZ_CP047311.1,2895493,1
NZ_CP047311.1,2994495,1
NZ_CP047311.1,2749999,1
NZ_CP047311.1,2842355,1
NZ_CP047311.1,1028989,1
NZ_CP047311.1,1306993,1
NZ_CP029197.1,54571,14308
NZ_CP029197.1,1883,307
NZ_CP029197.1,1,47
NZ_CP029197.1,953739,33
NZ_CP029197.1,66880,1
NZ_CP029197.1,2975756,2
NZ_CP029197.1,68249,1
NZ_CP029197.1,2903778,1
NZ_CP029197.1,68286,8
NZ_CP029197.1,2903806,3
NZ_CP029197.1,2903818,1
NZ_CP029197.1,2903634,1
NZ_CP029197.1,2748873,1
NZ_CP029197.1,2903671,6
NZ_CP029197.1,67367,3
NZ_CP029197.1,2593676,13
NZ_CP029197.1,66892,1
NZ_CP029197.1,1889,1
NZ_CP029197.1,2903798,2
NZ_CP029197.1,131567,1
