read_accession_id,count
NZ_CP073277.1,6590
NZ_CP068103.1,6985
NZ_CP047311.1,9086
NZ_CP029197.1,14749
NZ_CP026734.1,16558
NZ_CP072042.1,24739
NZ_CP014162.1,5337
NZ_CP040348.1,11842
NZ_CP015348.1,21912
NZ_AP019846.1,80312
NZ_CP033719.1,26960
NC_012753.1,15438
NZ_CP008849.1,1082
NZ_CP040004.1,10245
NZ_CP012672.1,3542
NZ_CP027228.1,27235
NZ_CP050497.1,5250
NZ_CP072373.1,52264
NZ_CP020566.1,19826
NZ_CP126077.1,3377
NZ_CP040121.1,10664
NZ_CP036259.1,18400
NZ_CP012069.2,32271
NZ_CP012196.1,4440
NZ_CP039381.1,14422
NZ_CP017042.1,17543
NZ_CP012117.1,10381
NC_001422.1,9804
NZ_CP046313.1,4467
NZ_CP027235.1,3785
NZ_CP034465.1,7129
NZ_CP124126.1,69887
NZ_CP046246.1,17824
NZ_CP072246.1,23560
NZ_CP029066.1,16838
NZ_CP073804.1,9304
NZ_CP016953.1,13928
NZ_AP019735.1,18024
NZ_CP071986.1,12203
NZ_CP077403.1,1478
NZ_CP016839.1,14214
NZ_CP050134.2,14892
NZ_CP017038.2,25801
NZ_AP025575.1,10412
NZ_CP068102.1,3478
NZ_CP032819.1,9748
NZ_CP120618.1,14433
NZ_CP014150.1,46602
NC_012756.1,30136
NZ_CP040235.1,48190
NZ_CP068112.1,11573
NZ_CP019668.1,9117
NZ_CP040915.1,1376
NC_000866.4,4160
NZ_CP028105.1,13607
NZ_CP084018.1,2818
NZ_CP065995.1,12428
NZ_CP120209.1,23224
NZ_CP097775.1,13877
NZ_CP116810.1,6785
