parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
186828,1,191769,Marinilactibacillus,162489,162504
191769,1,2632303,unclassified Marinilactibacillus,162489,162504
2632303,2,1911586,Marinilactibacillus sp. 15R,162489,162504
186828,1,29393,Dolosigranulum,16,16
29393,2,29394,Dolosigranulum pigrum,16,16
186828,1,82800,Desemzia,9,9
82800,2,82801,Desemzia incerta,9,9
186828,1,2747,Carnobacterium,6,6
2747,2,147709,Carnobacterium inhibens,2,2
2747,1,257487,unclassified Carnobacterium,2,2
257487,2,1564681,Carnobacterium sp. CP1,2,2
2747,2,2748,Carnobacterium divergens,1,1
2747,2,2751,Carnobacterium maltaromaticum,1,1
186828,1,1470540,Jeotgalibaca,5,5
1470540,2,1868793,Jeotgalibaca porci,1,1
1470540,2,1868794,Jeotgalibaca arthritidis,1,1
1470540,2,2496265,Jeotgalibaca ciconiae,1,1
1470540,1,2621505,unclassified Jeotgalibaca,1,1
2621505,2,1903686,Jeotgalibaca sp. PTS2502,1,1
186828,1,82802,Trichococcus,1,1
82802,2,82803,Trichococcus flocculiformis,1,1
81852,1,2737,Vagococcus,48235,48239
2737,2,2571750,Vagococcus zengguangii,47894,47898
2737,2,81947,Vagococcus lutrae,7,7
2737,2,2562451,Vagococcus xieshaowenii,4,4
2737,2,2738,Vagococcus fluvialis,1,1
2737,2,218144,Vagococcus carniphilus,1,1
2737,1,2648499,unclassified Vagococcus,1,1
2648499,2,3109030,Vagococcus sp. B2T-5,1,1
2737,2,2714946,Vagococcus coleopterorum,1,1
2737,2,2991418,Vagococcus intermedius,1,1
81852,1,1350,Enterococcus,101,101
1350,2,1352,Enterococcus faecium,35,35
1350,2,1351,Enterococcus faecalis,16,16
1350,1,2608891,unclassified Enterococcus,9,9
2608891,2,2060307,Enterococcus sp. FDAARGOS_375,7,7
2608891,2,2920934,Enterococcus sp. LX10,1,1
2608891,2,2603296,Enterococcus sp. DA9,1,1
1350,2,37734,Enterococcus casseliflavus,5,5
1350,2,53345,Enterococcus durans,2,2
1350,2,1353,Enterococcus gallinarum,1,1
1350,2,1354,Enterococcus hirae,1,1
1350,2,44008,Enterococcus cecorum,1,1
81852,1,51668,Tetragenococcus,3,3
51668,2,526944,Tetragenococcus osmophilus,2,2
51668,2,51669,Tetragenococcus halophilus,1,1
186827,1,1375,Aerococcus,23177,23179
1375,2,87541,Aerococcus christensenii,23133,23135
1375,2,1377,Aerococcus viridans,12,12
1375,2,51665,Aerococcus urinaeequi,2,2
1375,2,128944,Aerococcus urinaehominis,1,1
1375,2,2976809,Aerococcus loyolae,1,1
1375,1,3078850,Aerococcus incertae sedis,1,1
3078850,2,2976812,Aerococcus sp. Group 1,1,1
186827,1,13075,Globicatella,1,1
