read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP054494.1,7467,root,7467,Bacteria,7466,Bacteroidota,7466,Flavobacteriia,7466,Flavobacteriales,7466,Flavobacteriaceae,7466,Flavobacterium,7466,Flavobacterium columnare,7342
NZ_CP012672.1,14196,root,14195,Bacteria,14195,Myxococcota,14194,unclassified Myxococcota class,0,Polyangiales,14194,Polyangiaceae,14194,Sorangium,14194,Sorangium cellulosum,4122
NZ_CP029033.1,6118,root,6118,Bacteria,6118,Actinomycetota,6118,Actinomycetes,6118,Actinomycetales,6118,Actinomycetaceae,6118,Actinobaculum,6116,Actinobaculum sp. 313,6116
NZ_CP032819.1,4002,root,4002,Bacteria,4002,Bacteroidota,3993,Bacteroidia,3981,Bacteroidales,3981,Odoribacteraceae,3579,Butyricimonas,3579,Butyricimonas faecalis,3575
NZ_CP027228.1,15936,root,15936,Bacteria,15936,Bacillota,15936,Clostridia,15918,Eubacteriales,0,Eubacteriales Family XIII. Incertae Sedis,0,Mogibacterium,15916,Mogibacterium diversum,15904
NZ_CP040915.1,51396,root,51396,Bacteria,51396,Actinomycetota,51396,Actinomycetes,51396,Micrococcales,51396,Bogoriellaceae,51396,Georgenia,51396,Georgenia yuyongxinii,51393
NZ_CP066811.1,4196,root,4196,Bacteria,4196,Bacillota,4196,Clostridia,4188,Eubacteriales,0,Peptostreptococcaceae,4185,Peptacetobacter,4179,Peptacetobacter hiranonis,4179
NZ_CP116810.1,49994,root,49994,Bacteria,49993,Pseudomonadota,49992,Alphaproteobacteria,49992,Hyphomicrobiales,49992,Nitrobacteraceae,49992,Rhodopseudomonas,49988,Rhodopseudomonas palustris,49982
NZ_CP017761.1,31778,root,31778,Bacteria,31778,Bacillota,31778,Bacilli,31778,Lactobacillales,31737,Carnobacteriaceae,31640,Marinilactibacillus,31523,Marinilactibacillus sp. 15R,31523
NZ_CP050497.1,37292,root,37292,Bacteria,37292,Spirochaetota,37292,Spirochaetia,37292,Spirochaetales,37292,Treponemataceae,37292,Treponema,37292,Treponema vincentii,30990
NZ_CP015348.1,28287,root,28287,Bacteria,28287,Bacillota,28287,Bacilli,28287,Bacillales,28287,Planococcaceae,28284,Sporosarcina,28284,Sporosarcina ureae,28242
NZ_CP027286.1,17551,root,17551,Bacteria,17551,Bacillota,17551,Clostridia,17551,Eubacteriales,17551,Clostridiaceae,17551,Clostridium,17551,Clostridium chauvoei,17488
NZ_CP045696.1,5923,root,5923,Bacteria,5923,Bacteroidota,5923,Bacteroidia,5909,Bacteroidales,5909,Muribaculaceae,5876,Sodaliphilus,5876,Sodaliphilus pleomorphus,5876
NZ_CP046313.1,7742,root,7742,Bacteria,7742,Bacillota,7736,Bacilli,7735,Bacillales,7730,unclassified Bacillales family,0,Gemella,7728,Gemella sanguinis,7716
NZ_CP033459.1,11089,root,11089,Bacteria,11089,Bacteroidota,11089,Bacteroidia,11087,Bacteroidales,11087,Prevotellaceae,11086,Pseudoprevotella,11086,Pseudoprevotella muciniphila,11086
NZ_CP050134.2,10227,root,10227,Bacteria,10227,Actinomycetota,10227,Actinomycetes,10227,Mycobacteriales,10227,Corynebacteriaceae,10227,Corynebacterium,10227,Corynebacterium matruchotii,10227
NZ_CP117966.1,15195,root,15195,Bacteria,15195,Bacillota,15195,Clostridia,15184,Eubacteriales,17,Lachnospiraceae,15051,Roseburia,14709,Roseburia hominis,14683
NZ_CP017042.1,10457,root,10457,Bacteria,10457,Bacillota,10457,Negativicutes,10457,Selenomonadales,10457,Selenomonadaceae,10457,Selenomonas,10457,Selenomonas sp. oral taxon 920,10435
NZ_AP025575.1,9548,root,9548,Bacteria,9547,Actinomycetota,9538,Coriobacteriia,9538,Eggerthellales,9538,Eggerthellaceae,9538,Eggerthella,9535,Eggerthella lenta,9514
NZ_CP039712.1,4237,root,4237,Bacteria,4237,Bacillota,4237,Bacilli,4237,Lactobacillales,4236,Enterococcaceae,4236,Vagococcus,4234,Vagococcus zengguangii,4228
NZ_CP013334.1,6531,root,6531,Bacteria,6531,Fusobacteriota,6531,Fusobacteriia,6531,Fusobacteriales,6531,Fusobacteriaceae,6531,Fusobacterium,6531,Fusobacterium hwasookii,5805
NZ_CP040235.1,25927,root,25927,Bacteria,25927,Actinomycetota,25926,Actinomycetes,25926,Bifidobacteriales,25898,Bifidobacteriaceae,25898,Bifidobacterium,25898,Bifidobacterium longum,24628
NZ_CP012196.1,5978,root,5978,Bacteria,5978,Campylobacterota,5978,Epsilonproteobacteria,5978,Campylobacterales,5978,Campylobacteraceae,5978,Campylobacter,5978,Campylobacter gracilis,5978
NZ_CP017038.2,13622,root,13622,Bacteria,13622,Bacteroidota,13622,Bacteroidia,13622,Bacteroidales,13622,Tannerellaceae,13622,Tannerella,13622,Tannerella serpentiformis,13622
NZ_CP071986.1,3881,root,3881,Bacteria,3881,Campylobacterota,3881,Epsilonproteobacteria,3881,Campylobacterales,3881,Helicobacteraceae,3881,Helicobacter,3881,Helicobacter pylori,3881
NZ_CP026548.1,23117,root,23117,Bacteria,23117,Bacillota,23091,Clostridia,22977,Eubacteriales,22830,Oscillospiraceae,22820,Faecalibacterium,22793,Faecalibacterium prausnitzii,22459
NZ_CP066560.1,16973,root,16973,Bacteria,16972,Pseudomonadota,16962,Gammaproteobacteria,16959,Pasteurellales,16914,Pasteurellaceae,16914,Histophilus,16427,Histophilus somni,16427
NZ_CP118095.1,2197,root,2197,Bacteria,2197,Bacillota,2188,Bacilli,2179,Lactobacillales,2178,Aerococcaceae,2170,Aerococcus,2170,Aerococcus christensenii,2170
NC_012756.1,7670,root,7670,Viruses,7669,Uroviricota,7669,Caudoviricetes,7669,unclassified Caudoviricetes order,0,unclassified Caudoviricetes family,0,unclassified Caudoviricetes genus,0,Streptococcus phage PH10,7669
