accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP032364.1,165893,Lachnoanaerobaculum,1164882,0.9997781955900308,0.9987160398570163,0.9999987483117855,165680,798920,1,213,Lachnoanaerobaculum umeaense,617123,0.9997781955900308,0.9987160398570163,0.9999987483117855,165680,798920,1,213
NZ_CP046313.1,20050,Gemella,1378,0.9998818425105772,0.9944638403990025,0.9999968246038164,19939,944761,3,111,Gemella sanguinis,84135,0.999789596751291,0.9898753117206982,1.0,19847,944764,0,203
NZ_CP026548.1,6730,Faecalibacterium,216851,0.9998476390267969,0.9796433878157503,0.9999895625018266,6593,958074,10,137,Faecalibacterium prausnitzii,853,0.9996527828161698,0.9517087667161961,0.9999895625018266,6405,958074,10,325
NZ_CP040004.1,2710,Candidatus Nanosynbacter,2093823,1.0,1.0,1.0,2710,962104,0,0,Candidatus Nanosynbacter featherlites,2572088,0.9999906717771508,0.9966789667896679,1.0,2701,962104,0,9
NZ_CP050134.2,10080,Corynebacterium,1716,0.9999989635307945,1.0,0.9999989525878412,10080,954733,1,0,Corynebacterium matruchotii,43768,0.9999989635307945,0.9999007936507937,1.0,10079,954734,0,1
NZ_CP097843.1,61217,Streptococcus,1301,0.9995408441419797,0.9936292206413251,0.9999413455334624,60827,903544,53,390,Streptococcus oralis,1303,0.9974917445227784,0.9604684973128379,1.0,58797,903597,0,2420
NZ_CP072373.1,16287,Prevotella,838,0.9997491744522778,0.9853257198993062,0.9999968372012605,16048,948524,3,239,Prevotella denticola,28129,0.999221611626697,0.9540124025296248,0.999997891467507,15538,948525,2,749
NZ_CP127164.1,8643,Bacillus,1386,0.9999616506393979,0.9974545875274788,0.9999843124294713,8621,956156,15,22,Bacillus velezensis,492670,0.9919611448424256,0.10262640286937406,1.0,887,956171,0,7756
NZ_CP008849.1,72325,Alteromonas,226,0.9999139730559465,0.9988938817836156,0.9999966386140333,72245,892486,3,80,Alteromonas australica,589873,0.9823178353547938,0.7641202903560318,1.0,55265,892489,0,17060
NZ_CP046027.1,3565,Neisseria,482,0.9999502494781377,0.9865357643758765,1.0,3517,961249,0,48,Neisseria brasiliensis,2666100,0.9999201918711793,0.9784011220196354,1.0,3488,961249,0,77
NZ_CP017042.1,6433,Selenomonas,970,1.0,1.0,1.0,6433,958381,0,0,Selenomonas sp. oral taxon 920,1884263,0.9999575047625759,0.9936266127778641,1.0,6392,958381,0,41
NC_001422.1,14006,Sinsheimervirus,1910954,0.9854832123082791,0.0,1.0,0,950808,0,14006,Sinsheimervirus phiX174,10847,0.9854832123082791,0.0,1.0,0,950808,0,14006
