accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP126983.1,269249,Porphyromonas,836,0.9884863394275235,0.9573294608336521,0.9999986276856192,257760,728695,1,11489,Porphyromonas gingivalis,837,0.9873550145549104,0.9531363161980174,0.9999986276856192,256631,728695,1,12618
NZ_CP027286.1,2307,Clostridium,1485,0.999963925867658,0.988729952319029,0.999989956188896,2281,995628,10,26,Clostridium chauvoei,46867,0.9999468908607188,0.977026441265713,1.0,2254,995638,0,53
NZ_CP008852.1,14740,Pelosinus,365348,0.9999919835261463,0.9994572591587517,1.0,14732,983205,0,8,Pelosinus sp. UFO1,484770,0.9999629238084263,0.9974898236092266,1.0,14703,983205,0,37
NZ_CP045696.1,27369,Sodaliphilus,2815786,0.9997053945858739,0.9892579195440097,1.0,27075,970576,0,294,Sodaliphilus pleomorphus,2606626,0.9997053945858739,0.9892579195440097,1.0,27075,970576,0,294
NZ_CP033719.1,3370,Propionibacterium,1743,0.999988977348451,0.9967359050445104,1.0,3359,994575,0,11,Propionibacterium acidifaciens,556499,0.9999869732299876,0.9961424332344213,1.0,3357,994575,0,13
NZ_CP017042.1,32916,Selenomonas,970,0.9999869732299876,0.9998177178271965,0.9999927463319755,32910,965022,7,6,Selenomonas sp. oral taxon 920,1884263,0.9996202195511776,0.9884858427512456,1.0,32537,965029,0,379
NZ_CP036259.1,168938,Sporomusa,2375,0.9999328620314747,0.9996034047993939,1.0,168871,829007,0,67,Sporomusa termitida,2377,0.9999328620314747,0.9996034047993939,1.0,168871,829007,0,67
NZ_CP033459.1,1969,Pseudoprevotella,2884814,0.9999909814669146,0.9959370238699847,0.999998995959742,1961,995975,1,8,Pseudoprevotella muciniphila,2133944,0.9999909814669146,0.9959370238699847,0.999998995959742,1961,995975,1,8
NZ_CP073804.1,5748,Macrococcus,69965,0.9999448867422553,0.9904314544189283,1.0,5693,992197,0,55,Macrococcus canis,1855823,0.9997615099028504,0.9585942936673626,1.0,5510,992197,0,238
NZ_CP118095.1,2828,Aerococcus,1375,0.9996162113142508,0.864922206506365,0.9999989950930394,2446,995116,1,382,Aerococcus christensenii,87541,0.999615209255019,0.8642149929278642,1.0,2444,995117,0,384
NZ_CP071986.1,4408,Helicobacter,209,0.999992985585378,0.9984119782214156,1.0,4401,993537,0,7,Helicobacter pylori,210,0.9999829649930607,0.9961433756805808,1.0,4391,993537,0,17
NZ_CP012196.1,2916,Campylobacter,194,0.9999949897038414,0.9989711934156379,0.9999979900083314,2913,995027,2,3,Campylobacter gracilis,824,0.9999919835261463,0.9972565157750343,1.0,2908,995029,0,8
NZ_CP029033.1,7923,Actinobaculum,76833,0.9999869732299876,0.9983592073709453,1.0,7910,990022,0,13,Actinobaculum sp. 313,2495645,0.9999869732299876,0.9983592073709453,1.0,7910,990022,0,13
NZ_CP012069.2,5290,Olsenella,133925,0.9999979958815366,0.9996219281663516,1.0,5288,992655,0,2,Olsenella sp. oral taxon 807,712411,0.9999979958815366,0.9996219281663516,1.0,5288,992655,0,2
NZ_CP019962.1,890,Eubacterium,1730,1.0,1.0,1.0,890,997055,0,0,Eubacterium limosum,1736,0.9998967878991327,0.8842696629213483,1.0,787,997055,0,103
NZ_CP039712.1,3883,Vagococcus,2737,0.9999869732299876,0.9966520731393252,1.0,3870,994062,0,13,Vagococcus zengguangii,2571750,0.999956911453036,0.9889260880762297,1.0,3840,994062,0,43
NZ_CP020566.1,1002,Veillonella,29465,0.9999949897038414,0.9950099800399201,1.0,997,996943,0,5,Veillonella atypica,39777,0.999974948519207,0.9750499001996008,1.0,977,996943,0,25
NZ_CP017761.1,5689,Marinilactibacillus,191769,0.999902800254523,0.9829495517665671,1.0,5592,992256,0,97,Marinilactibacillus sp. 15R,1911586,0.999902800254523,0.9829495517665671,1.0,5592,992256,0,97
NZ_CP054018.1,27732,Rothia,32207,0.9998547014114004,0.9947713832395788,1.0,27587,970213,0,145,Rothia dentocariosa,2047,0.9994308303563824,0.9795182460695225,1.0,27164,970213,0,568
NZ_CP025330.1,8261,Brevibacterium,1696,0.9997234316520449,0.9665900012105072,1.0,7985,989684,0,276,Brevibacterium aurantiacum,273384,0.9963775558773279,0.5624016462897954,1.0,4646,989684,0,3615
NZ_CP085178.1,9298,Pediococcus,1253,0.9999659299861214,0.99634329963433,1.0,9264,988647,0,34,Pediococcus pentosaceus,1255,0.9999358682091698,0.99311679931168,1.0,9234,988647,0,64
NZ_CP040235.1,2685,Bifidobacterium,1678,0.9999919835261463,0.9973929236499068,0.9999989952374254,2678,995259,1,7,Bifidobacterium longum,216816,0.9995781330634453,0.8432029795158287,1.0,2264,995260,0,421
NZ_CP054494.1,9916,Flavobacterium,237,0.9998837611291204,0.9944534086325131,0.9999382609214912,9861,987968,61,55,Flavobacterium columnare,996,0.9992674947016118,0.9262807583703107,1.0,9185,988029,0,731
NZ_CP120209.1,22637,Chryseobacterium,59732,0.9933683720044691,0.7076909484472325,0.9999989746828694,16020,975307,1,6617,Chryseobacterium indologenes,253,0.9781571128669415,0.03706321509033882,1.0,839,975308,0,21798
NZ_AP025575.1,17384,Eggerthella,84111,0.999924845557621,0.9956856879889554,1.0,17309,980561,0,75,Eggerthella lenta,84112,0.9995681124711282,0.9752070869765301,1.0,16953,980561,0,431
NZ_CP013476.1,21733,Turicibacter,191303,0.9997595057843869,0.9891409377444439,0.9999959025293687,21497,976208,4,236,Turicibacter sp. H121,1712675,0.9839500172855218,0.2630101688676207,1.0,5716,976212,0,16017
NZ_CP032819.1,4819,Butyricimonas,574697,0.9993907479871135,0.8740402573147956,0.9999989930784211,4212,993125,1,607,Butyricimonas faecalis,2093856,0.9993827315132597,0.8723801618593069,0.9999989930784211,4204,993125,1,615
NZ_CP016839.1,3321,Brochothrix,2755,0.9999939876446097,0.998193315266486,1.0,3315,994624,0,6,Brochothrix thermosphacta,2756,0.9999939876446097,0.998193315266486,1.0,3315,994624,0,6
NZ_CP040004.1,6198,Candidatus Nanosynbacter,2093823,0.9999879752892193,0.9980638915779284,1.0,6186,991747,0,12,Candidatus Nanosynbacter featherlites,2572088,0.999945888801487,0.9912875121006777,1.0,6144,991747,0,54
NZ_AP019735.1,1760,Alistipes,239759,0.999945888801487,0.9698863636363636,0.99999899617039,1707,996184,1,53,Alistipes communis,2585118,0.9999338640907064,0.9630681818181818,0.99999899617039,1695,996184,1,65
NZ_CP098491.1,37600,Bacillus,1386,0.9997575016659235,0.9937765957446808,0.9999916696603824,37366,960337,8,234,Bacillus subtilis,1423,0.9641252774451498,0.047872340425531915,0.9999989587075478,1800,960344,1,35800
NZ_CP015348.1,2301,Sporosarcina,1569,0.9999969938223049,0.9986962190352021,1.0,2298,995644,0,3,Sporosarcina ureae,1571,0.9999959917630731,0.9982616253802694,1.0,2297,995644,0,4
NZ_CP072246.1,16221,Phocaeicola,909656,0.9981151265851325,0.8841008569138771,0.9999989813837697,14341,981723,1,1880,Phocaeicola dorei,357276,0.9962132181633256,0.7670920411811849,0.9999989813837697,12443,981723,1,3778
NZ_CP040915.1,17250,Georgenia,154116,0.9999178311429988,0.9952463768115942,1.0,17168,980695,0,82,Georgenia yuyongxinii,2589797,0.9999148249653037,0.995072463768116,1.0,17165,980695,0,85
NZ_CP097775.1,12515,Paenibacillus,44249,0.9999899794076827,0.9994406711945665,0.9999969556437291,12508,985427,3,7,Paenibacillus polymyxa,1406,0.9986462179779447,0.8921294446664003,0.9999989852145764,11165,985429,1,1350
NZ_CP047630.1,4046,Lactococcus,1357,0.9999108167283768,0.9780029658922392,1.0,3957,993899,0,89,Lactococcus raffinolactis,1366,0.9997564996066918,0.939940682155215,1.0,3803,993899,0,243
NZ_CP026548.1,7177,Faecalibacterium,216851,0.9996883595789348,0.9685105197157586,0.9999142079679602,6951,990683,85,226,Faecalibacterium prausnitzii,853,0.9993095811893441,0.9069248989828619,0.9999788043214961,6509,990747,21,668
NZ_CP117966.1,9252,Roseburia,841,0.9984337814208197,0.8310635538261998,1.0,7689,988693,0,1563,Roseburia hominis,301301,0.9983155384314767,0.8183095546908776,1.0,7571,988693,0,1681
NZ_CP066811.1,10971,Peptacetobacter,2743582,0.9997294440074352,0.9753896636587367,1.0,10701,986974,0,270,Peptacetobacter hiranonis,89152,0.9997294440074352,0.9753896636587367,1.0,10701,986974,0,270
NZ_CP050134.2,7317,Corynebacterium,1716,0.9999939876446097,0.999726663933306,0.9999959621573385,7315,990624,4,2,Corynebacterium matruchotii,43768,0.9999939876446097,0.999179991799918,1.0,7311,990628,0,6
NZ_CP046313.1,3696,Gemella,1378,0.9999378723276333,0.9837662337662337,0.9999979884314694,3636,994247,2,60,Gemella sanguinis,84135,0.9998997940768278,0.9729437229437229,1.0,3596,994249,0,100
NZ_CP011861.1,5418,Erysipelothrix,1647,0.9999959917630731,0.9992617201919527,1.0,5414,992527,0,4,Erysipelothrix rhusiopathiae,1648,0.9971130673534112,0.46825396825396826,1.0,2537,992527,0,2881
NZ_CP040348.1,13185,Collinsella,102106,0.9998396705229247,0.9878649981039059,1.0,13025,984760,0,160,Collinsella aerofaciens,74426,0.9998356622859977,0.9875616230565036,1.0,13021,984760,0,164
NZ_CP017428.1,8431,Staphylococcus,1279,0.9999779546969021,0.99833946151109,0.9999919152230287,8417,989506,8,14,Staphylococcus simulans,1286,0.9999298558537795,0.9916973075554502,1.0,8361,989514,0,70
NZ_CP068103.1,3357,Peptoniphilus,162289,0.9997655181397772,0.9305927911826035,0.9999989945585509,3124,994587,1,233,Peptoniphilus harei,54005,0.9997454769551428,0.9243372058385463,1.0,3103,994588,0,254
NZ_CP029197.1,1602,Streptomyces,1883,0.9999879752892193,0.9943820224719101,0.9999969889887318,1593,996340,3,9,Streptomyces venezuelae,54571,0.9999108167283768,0.9444444444444444,1.0,1513,996343,0,89
NZ_CP077403.1,2422,Jonesia,43673,0.999988977348451,0.9954582989265071,1.0,2411,995523,0,11,Jonesia denitrificans,43674,0.999988977348451,0.9954582989265071,1.0,2411,995523,0,11
NZ_CP017038.2,3579,Tannerella,195950,0.9994027726978941,0.9983235540653814,0.999406657106136,3573,993776,590,6,Tannerella serpentiformis,712710,0.999992985585378,0.9980441464096116,1.0,3572,994366,0,7
NZ_CP027228.1,127906,Mogibacterium,86331,0.9991933423184645,0.9937063155755007,1.0,127101,870039,0,805,Mogibacterium diversum,114527,0.9987043374133845,0.9898910137131957,1.0,126613,870039,0,1293
NZ_CP023482.1,6520,Dermabacter,36739,0.9998296499306074,0.9739263803680982,1.0,6350,991425,0,170,Dermabacter jinjuensis,1667168,0.9996582978019831,0.9476993865030675,1.0,6179,991425,0,341
