accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP126983.1,37686,Porphyromonas,836,37461,958844,6,225,Porphyromonas gingivalis,837,37397,958844,6,289
NZ_CP027286.1,26067,Clostridium,1485,26067,970443,26,0,Clostridium chauvoei,46867,25962,970469,0,105
NZ_CP008852.1,22555,Pelosinus,365348,22555,973981,0,0,Pelosinus sp. UFO1,484770,22553,973981,0,2
NZ_CP045696.1,9132,Sodaliphilus,2815786,9066,987404,0,66,Sodaliphilus pleomorphus,2606626,9066,987404,0,66
NZ_CP033719.1,40603,Propionibacterium,1743,40597,955930,3,6,Propionibacterium acidifaciens,556499,40597,955933,0,6
NZ_CP017042.1,3905,Selenomonas,970,3905,992631,0,0,Selenomonas sp. oral taxon 920,1884263,3898,992631,0,7
NZ_CP036259.1,12631,Sporomusa,2375,12631,983905,0,0,Sporomusa termitida,2377,12631,983905,0,0
NZ_CP033459.1,26839,Pseudoprevotella,2884814,26833,969697,0,6,Pseudoprevotella muciniphila,2133944,26833,969697,0,6
NZ_CP073804.1,37694,Macrococcoides,3076173,37251,958841,1,443,Macrococcoides canis,1855823,37156,958841,1,538
NZ_CP118095.1,92668,Aerococcus,1375,91448,903864,4,1220,Aerococcus christensenii,87541,91445,903867,1,1223
NZ_CP071986.1,5097,Helicobacter,209,5097,991439,0,0,Helicobacter pylori,210,5097,991439,0,0
NZ_CP012196.1,7806,Campylobacter,194,7806,988730,0,0,Campylobacter gracilis,824,7806,988730,0,0
NZ_CP029033.1,9981,Actinobaculum,76833,9981,986555,0,0,Actinobaculum sp. 313,2495645,9981,986555,0,0
NZ_CP012069.2,39356,Olsenella,133925,39356,957180,0,0,Olsenella sp. oral taxon 807,712411,39355,957180,0,1
NZ_CP019962.1,9309,Eubacterium,1730,9309,987225,2,0,Eubacterium limosum,1736,8770,987227,0,539
NZ_CP039712.1,18621,Vagococcus,2737,18609,977914,1,12,Vagococcus zengguangii,2571750,18569,977915,0,52
