read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_CP040121.1,42081,root,42081,Bacteria,42081,Bacteroidota,42081,Bacteroidia,42081,Bacteroidales,42081,Muribaculaceae,41952,Duncaniella,41412,Duncaniella sp. B8,1078
NZ_CP039381.1,12345,root,12345,Bacteria,12345,Bacillota,12336,Clostridia,12336,Eubacteriales,12335,Oscillospiraceae,12335,Ruminococcus,12335,Ruminococcus bovis,12335
NZ_AP019846.1,16715,root,16714,Bacteria,16714,Fusobacteriota,16711,Fusobacteriia,16711,Fusobacteriales,16711,Leptotrichiaceae,16707,Leptotrichia,16707,Leptotrichia hongkongensis,16417
NZ_CP028415.1,3538,root,3538,Bacteria,3538,Bacillota,3530,Bacilli,3530,Lactobacillales,3530,Streptococcaceae,3530,Streptococcus,3529,Streptococcus mitis,3449
NZ_CP097775.1,13604,root,13604,Bacteria,13604,Bacillota,13604,Bacilli,13604,Bacillales,13604,Paenibacillaceae,13604,Paenibacillus,13604,Paenibacillus polymyxa,13324
NZ_CP027235.1,6114,root,6114,Bacteria,6114,Pseudomonadota,6114,Gammaproteobacteria,6114,Pasteurellales,6114,Pasteurellaceae,6114,Haemophilus,6106,Haemophilus sp. oral taxon 036,5981
NZ_CP073804.1,21218,root,21218,Bacteria,21218,Bacillota,21218,Bacilli,21218,Bacillales,21218,Staphylococcaceae,21216,Macrococcus,13,Macrococcus canis,20908
NZ_CP050497.1,7974,root,7974,Bacteria,7974,Spirochaetota,7974,Spirochaetia,7974,Spirochaetales,7974,Treponemataceae,7974,Treponema,7974,Treponema vincentii,6682
NZ_CP016839.1,27761,root,27761,Bacteria,27761,Bacillota,27761,Bacilli,27761,Bacillales,27758,Listeriaceae,27757,Brochothrix,27757,Brochothrix thermosphacta,27757
NZ_CP012117.1,33359,root,33359,Bacteria,33359,Actinomycetota,33359,Actinomycetes,33359,Micrococcales,32940,Dermabacteraceae,32925,Dermabacter,32925,Dermabacter vaginalis,32507
NZ_CP068103.1,5121,root,5121,Bacteria,5121,Bacillota,5105,Tissierellia,5040,Tissierellales,4992,Peptoniphilaceae,4992,Peptoniphilus,4907,Peptoniphilus harei,4904
NZ_CP085964.1,23454,root,23454,Bacteria,23454,Campylobacterota,23454,Epsilonproteobacteria,23454,Campylobacterales,23454,Campylobacteraceae,23454,Campylobacter,23454,Campylobacter curvus,23453
NZ_CP072246.1,14415,root,14415,Bacteria,14415,Bacteroidota,14398,Bacteroidia,14359,Bacteroidales,14359,Bacteroidaceae,13349,Phocaeicola,12905,Phocaeicola dorei,12384
NZ_CP034465.1,11464,root,11464,Bacteria,11464,Bacillota,11458,Bacilli,11445,Lactobacillales,11420,Carnobacteriaceae,11386,Jeotgalibaca,11386,Jeotgalibaca ciconiae,11373
NZ_CP029066.1,2791,root,2791,Bacteria,2791,Bacillota,2791,Bacilli,2791,Lactobacillales,2791,Enterococcaceae,2790,Enterococcus,2790,Enterococcus mundtii,2775
NZ_CP019668.1,14025,root,14025,Bacteria,14025,Pseudomonadota,14025,Betaproteobacteria,14025,Burkholderiales,14025,Burkholderiaceae,14024,Burkholderia,14020,Burkholderia cenocepacia,10423
NZ_CP015348.1,9778,root,9778,Bacteria,9778,Bacillota,9778,Bacilli,9778,Bacillales,9778,Planococcaceae,9777,Sporosarcina,9777,Sporosarcina ureae,9761
NZ_CP028105.1,6315,root,6315,Bacteria,6314,Fusobacteriota,6314,Fusobacteriia,6314,Fusobacteriales,6314,Fusobacteriaceae,6314,Fusobacterium,6314,Fusobacterium ulcerans,6256
NZ_AP019735.1,10965,root,10965,Bacteria,10965,Bacteroidota,10965,Bacteroidia,10912,Bacteroidales,10912,Rikenellaceae,10733,Alistipes,10733,Alistipes communis,10722
NC_001422.1,25621,root,25621,Viruses,382,Phixviricota,382,Malgrandaviricetes,382,Petitvirales,382,Microviridae,382,Sinsheimervirus,0,Sinsheimervirus phiX174,0
NZ_CP026734.1,3790,root,3790,Bacteria,3790,Actinomycetota,3790,Actinomycetes,3790,Micrococcales,3776,Brevibacteriaceae,3776,Brevibacterium,3776,Brevibacterium linens,3696
NZ_CP040348.1,39194,root,39194,Bacteria,39194,Actinomycetota,39020,Coriobacteriia,39020,Coriobacteriales,38978,Coriobacteriaceae,38923,Collinsella,38923,Collinsella aerofaciens,38922
NC_012756.1,5496,root,5496,Viruses,5496,Uroviricota,5496,Caudoviricetes,5496,unclassified Caudoviricetes order,0,unclassified Caudoviricetes family,0,unclassified Caudoviricetes genus,0,Streptococcus phage PH10,5496
NZ_CP036259.1,3284,root,3284,Bacteria,3284,Bacillota,3284,Negativicutes,3284,Selenomonadales,3284,Sporomusaceae,3284,Sporomusa,3284,Sporomusa termitida,3284
NZ_CP008849.1,11030,root,11030,Bacteria,11030,Pseudomonadota,11030,Gammaproteobacteria,11030,Alteromonadales,11030,Alteromonadaceae,11029,Alteromonas,11027,Alteromonas australica,10261
NZ_CP046313.1,42035,root,42035,Bacteria,42035,Bacillota,42007,Bacilli,41997,Bacillales,41974,unclassified Bacillales family,0,Gemella,41973,Gemella sanguinis,41896
NZ_CP126474.1,3893,root,3893,Bacteria,3893,Bacillota,3889,Bacilli,3888,Bacillales,3886,Bacillaceae,3881,Bacillus,3877,Bacillus thuringiensis,1170
NZ_CP047311.1,22827,root,22827,Bacteria,22827,Pseudomonadota,22827,Gammaproteobacteria,22827,Pseudomonadales,22811,Pseudomonadaceae,22810,Pseudomonas,22803,Pseudomonas putida,9258
NZ_CP014150.1,7424,root,7424,Bacteria,7424,Bacillota,7424,Clostridia,7420,Eubacteriales,2,Peptostreptococcaceae,7418,Paeniclostridium,0,Paeniclostridium sordellii,7403
NZ_CP020566.1,5867,root,5867,Bacteria,5867,Bacillota,5866,Negativicutes,5865,Veillonellales,5865,Veillonellaceae,5865,Veillonella,5865,Veillonella atypica,5855
NZ_CP072042.1,104279,root,104279,Bacteria,104279,Verrucomicrobiota,104279,Verrucomicrobiae,104279,Verrucomicrobiales,104279,Akkermansiaceae,104279,Akkermansia,104279,Akkermansia muciniphila,102277
NZ_CP084018.1,13367,root,13367,Bacteria,13367,Bacillota,13365,Negativicutes,13365,Selenomonadales,13365,Selenomonadaceae,13365,Megamonas,13365,Megamonas funiformis,13353
NZ_CP072373.1,1932,root,1932,Bacteria,1932,Bacteroidota,1932,Bacteroidia,1932,Bacteroidales,1932,Prevotellaceae,1926,Prevotella,1920,Prevotella denticola,1879
NZ_CP050134.2,26780,root,26780,Bacteria,26780,Actinomycetota,26780,Actinomycetes,26780,Mycobacteriales,26780,Corynebacteriaceae,26780,Corynebacterium,26780,Corynebacterium matruchotii,26780
NZ_CP046246.1,24430,root,24430,Bacteria,24430,Bacillota,24430,Bacilli,24430,Lactobacillales,24430,Enterococcaceae,24423,Tetragenococcus,24420,Tetragenococcus halophilus,24301
NZ_CP040235.1,5801,root,5801,Bacteria,5801,Actinomycetota,5801,Actinomycetes,5801,Bifidobacteriales,5794,Bifidobacteriaceae,5794,Bifidobacterium,5794,Bifidobacterium longum,5529
NZ_CP040915.1,42895,root,42894,Bacteria,42894,Actinomycetota,42894,Actinomycetes,42894,Micrococcales,42894,Bogoriellaceae,42894,Georgenia,42894,Georgenia yuyongxinii,42889
NZ_CP120209.1,14004,root,14004,Bacteria,14004,Bacteroidota,14003,Flavobacteriia,13958,Flavobacteriales,13958,Weeksellaceae,13943,Chryseobacterium,13910,Chryseobacterium indologenes,13742
NZ_CP068112.1,37811,root,37811,Bacteria,37811,Actinomycetota,37742,Actinomycetes,37741,Actinomycetales,37739,Actinomycetaceae,37739,Mobiluncus,37535,Mobiluncus curtisii,37508
NZ_CP017042.1,5380,root,5380,Bacteria,5380,Bacillota,5380,Negativicutes,5380,Selenomonadales,5380,Selenomonadaceae,5380,Selenomonas,5380,Selenomonas sp. oral taxon 920,5371
NZ_CP040004.1,16988,root,16988,Bacteria,16988,Candidatus Saccharibacteria,16988,Candidatus Saccharimonadia,16983,Candidatus Nanosynbacterales,16982,Candidatus Nanosynbacteraceae,16982,Candidatus Nanosynbacter,16982,Candidatus Nanosynbacter featherlites,16936
NZ_CP012069.2,2524,root,2524,Bacteria,2524,Actinomycetota,2524,Coriobacteriia,2524,Coriobacteriales,2524,Atopobiaceae,2524,Olsenella,2524,Olsenella sp. oral taxon 807,2524
NZ_CP027228.1,4622,root,4622,Bacteria,4622,Bacillota,4622,Clostridia,4617,Eubacteriales,0,Eubacteriales Family XIII. Incertae Sedis,0,Mogibacterium,4617,Mogibacterium diversum,4610
NZ_CP065995.1,4440,root,4440,Bacteria,4440,Bacillota,4440,Bacilli,4440,Lactobacillales,4440,Lactobacillaceae,4440,Leuconostoc,4432,Leuconostoc mesenteroides,4380
NZ_CP022386.1,18182,root,18182,Bacteria,18182,Bacteroidota,18182,Flavobacteriia,18182,Flavobacteriales,18182,Flavobacteriaceae,18182,Capnocytophaga,18182,Capnocytophaga gingivalis,18149
NZ_CP032819.1,8378,root,8378,Bacteria,8378,Bacteroidota,8362,Bacteroidia,8336,Bacteroidales,8336,Odoribacteraceae,7547,Butyricimonas,7545,Butyricimonas faecalis,7542
NC_000866.4,23634,root,23634,Viruses,23634,Uroviricota,23634,Caudoviricetes,23634,unclassified Caudoviricetes order,0,Straboviridae,23614,Tequatrovirus,23607,Tequatrovirus T4,18391
NZ_CP071986.1,3560,root,3560,Bacteria,3560,Campylobacterota,3560,Epsilonproteobacteria,3560,Campylobacterales,3560,Helicobacteraceae,3560,Helicobacter,3560,Helicobacter pylori,3558
NZ_CP033719.1,33069,root,33069,Bacteria,33069,Actinomycetota,33065,Actinomycetes,33065,Propionibacteriales,33065,Propionibacteriaceae,33065,Propionibacterium,33065,Propionibacterium acidifaciens,33064
