accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP015905.2,10290,Lactococcus,1357,0.9997854167627612,0.9793002915451895,0.9999989868205619,10077,986991,1,213,Lactococcus lactis,1358,0.9988629093877158,0.889795918367347,1.0,9156,986992,0,1134
NZ_CP012069.2,26106,Olsenella,133925,0.9999779400410316,0.9991572818509155,1.0,26084,971176,0,22,Olsenella sp. oral taxon 807,712411,0.9999669100615473,0.9987359227763732,1.0,26073,971176,0,33
NZ_CP032364.1,59783,Lachnoanaerobaculum,1164882,0.999736283217786,0.9956007560677784,1.0,59520,937499,0,263,Lachnoanaerobaculum umeaense,617123,0.999736283217786,0.9956007560677784,1.0,59520,937499,0,263
NZ_CP031057.1,3227,Acidipropionibacterium,1912215,0.9999659073361397,0.9894638983576077,1.0,3193,994055,0,34,Acidipropionibacterium acidipropionici,1748,0.9998947138321959,0.9674620390455532,1.0,3122,994055,0,105
NZ_CP008849.1,4887,Alteromonas,226,0.9999919781967387,0.9983630038878658,1.0,4879,992395,0,8,Alteromonas australica,589873,0.9979895355576457,0.5897278493963577,1.0,2882,992395,0,2005
NZ_CP014150.1,21238,Paeniclostridium,1849828,0.9993732966202138,0.9706187023260194,0.9999989754560246,20614,976043,1,624,Paeniclostridium sordellii,1505,0.9993732966202138,0.9706187023260194,0.9999989754560246,20614,976043,1,624
NZ_CP019668.1,39748,Burkholderia,32008,0.9997814058611305,0.9946412398108081,0.9999947782533049,39535,957529,5,213,Burkholderia cenocepacia,95486,0.9851626721428843,0.6277548555902184,0.999998955650661,24952,957533,1,14796
NZ_CP029462.1,7005,Megasphaera,906,0.9999318146722792,0.9949177877428999,1.0,13312,983902,0,68,Megasphaera stantonii,2144175,0.9999298092214639,0.9900071377587437,1.0,6935,990277,0,70
NZ_CP034157.1,6596,Cloacibacterium,501783,0.9998636293445585,0.9849909035779261,0.999962652142051,6497,990649,37,99,Cloacibacterium normanense,237258,0.9992900704113781,0.8926622195269861,1.0,5888,990686,0,708
NZ_CP125315.1,1584,Lacticaseibacillus,2759736,0.999955880082063,0.9772727272727273,0.9999919654353027,1548,995690,8,36,Lacticaseibacillus rhamnosus,47715,0.9999197819673874,0.9494949494949495,1.0,1504,995698,0,80
NZ_CP026548.1,6937,Faecalibacterium,216851,0.999803465820099,0.9746288020758253,0.9999798050174434,6761,990325,20,176,Faecalibacterium prausnitzii,853,0.999419421988966,0.9169669886117918,0.9999969707526165,6361,990342,3,576
NZ_CP017038.2,5147,Tannerella,195950,0.9999879672951081,0.9978628327180882,0.9999989920726514,5136,992134,1,11,Tannerella serpentiformis,712710,0.9999889700205158,0.9978628327180882,1.0,5136,992135,0,11
NZ_CP017042.1,1425,Selenomonas,970,1.0,1.0,1.0,3290,993992,0,0,Selenomonas sp. oral taxon 920,1884263,0.9999739291394009,0.9824561403508771,0.9999989958397641,1400,995856,1,25
