read_accession_id,count
NZ_CP015905.2,4238
NZ_CP012069.2,69385
NZ_CP032364.1,5784
NZ_CP031057.1,7155
NZ_CP008849.1,2013
NZ_CP014150.1,10433
NZ_CP019668.1,14780
NZ_CP029462.1,16707
NZ_CP034157.1,7816
NZ_CP125315.1,9647
NZ_CP026548.1,622
NZ_CP017038.2,2945
NZ_CP017042.1,9484
NZ_AP019822.1,13369
NZ_CP123971.1,13259
NZ_CP013195.1,8875
NZ_CP066811.1,975
NZ_CP027234.1,1775
NZ_CP028105.1,1028
NZ_AP025575.1,7638
NZ_CP065983.1,11559
NZ_CP116810.1,2892
NZ_CP033459.1,2941
NZ_CP014162.1,4902
NZ_CP124126.1,11122
NZ_CP049226.1,452
NZ_CP072042.1,72375
NZ_CP016844.1,22703
NZ_CP096671.1,3539
NZ_CP117966.1,11773
NZ_CP047311.1,1544
NZ_CP012117.1,9560
NZ_CP040121.1,1684
NZ_CP121210.1,6173
NZ_CP123403.1,581
NZ_CP035997.1,14781
NZ_CP012672.1,5585
NZ_CP068112.1,1980
NZ_AP019697.1,1472
NZ_CP121769.1,527
NZ_CP126745.1,29681
NZ_CP027569.1,4924
NZ_AP019735.1,2804
NZ_CP068102.1,3090
NZ_CP017812.1,3860
NZ_CP126077.1,1193
NZ_CP016839.1,2796
NZ_CP050134.2,4432
NZ_CP040235.1,6883
NZ_CP029066.1,47118
NZ_CP126312.1,4687
NZ_CP039381.1,11243
NZ_CP039712.1,8624
NZ_CP014239.1,3847
NZ_CP013745.1,10089
NZ_CP053315.1,4701
NZ_CP054494.1,2631
NZ_CP008852.1,3087
NZ_CP027235.1,1258
NZ_CP068103.1,5311
NZ_CP045696.1,3010
NZ_CP072373.1,9247
NZ_AP019846.1,1685
NZ_CP089305.1,3521
NZ_CP016953.1,9860
NZ_CP017761.1,4025
NZ_CP020566.1,21708
NC_012753.1,3339
NZ_CP047591.1,16137
NZ_CP034465.1,5144
NZ_CP027228.1,1967
NZ_CP085178.1,5460
NZ_CP014228.1,4036
NZ_CP120618.1,10049
NZ_CP033719.1,2236
NZ_CP072246.1,9893
NZ_CP015348.1,4614
NZ_CP046313.1,15594
NZ_CP050497.1,1713
NZ_CP069520.1,1879
NZ_CP015402.2,17159
NZ_CP077403.1,10526
NZ_CP084018.1,27433
NZ_CP012196.1,4373
NZ_AP025240.1,27398
NZ_CP013476.1,3226
NZ_CP017428.1,13880
NZ_CP124202.1,2108
NC_012756.1,4004
NZ_CP035298.1,10896
NZ_CP048000.1,2328
NZ_CP040058.1,9715
NZ_CP040915.1,3117
NZ_CP029197.1,7332
NZ_CP066560.1,5782
NZ_CP046246.1,21367
NZ_CP036259.1,5927
NZ_CP073277.1,3711
NZ_CP032819.1,6020
NZ_CP040004.1,6620
NZ_CP072385.1,11088
NZ_CP040348.1,18413
NZ_CP065995.1,3571
NZ_CP006683.1,7621
NZ_AP025569.1,17160
NZ_CP120209.1,7948
NZ_CP097775.1,15269
NZ_CP053228.1,4304
NZ_CP034438.1,10004
NZ_CP071986.1,5807
NZ_CP073804.1,4105
NZ_CP029033.1,7021
NZ_CP026734.1,1255
