read_accession_id,taxid,count
NZ_AP019829.2,157687,3774
NZ_AP019829.2,3726,1
NZ_AP019829.2,32067,59
NZ_AP019829.2,523794,8
NZ_AP019829.2,712368,4
NZ_AP019829.2,712362,4
NZ_AP019829.2,1785996,7
NZ_AP019829.2,554406,2
NZ_AP019829.2,157688,2
NZ_AP019829.2,712361,5
NZ_AP019829.2,157691,4
NZ_AP019829.2,3058373,4
NZ_AP019829.2,109328,10
NZ_AP019829.2,51240,1
NZ_AP019829.2,203491,2
NZ_AP019829.2,131567,1
NZ_AP019829.2,55577,1
NZ_AP019829.2,2633022,3
NZ_AP019829.2,3369,1
NZ_CP050497.1,69710,5681
NZ_CP050497.1,157,2013
NZ_CP050497.1,158,6
NZ_CP050497.1,1659192,53
NZ_CP050497.1,58231,46
NZ_CP050497.1,1643513,11
NZ_CP050497.1,2638727,28
NZ_CP050497.1,2563662,4
NZ_CP050497.1,1539298,4
NZ_CP050497.1,1643512,3
NZ_CP050497.1,120682,2
NZ_CP019668.1,87882,7812
NZ_CP019668.1,87883,47
NZ_CP019668.1,95486,16064
NZ_CP019668.1,488732,12
NZ_CP019668.1,1009846,17
NZ_CP019668.1,32008,754
NZ_CP019668.1,292,103
NZ_CP019668.1,152480,34
NZ_CP019668.1,95485,26
NZ_CP019668.1,488446,32
NZ_CP019668.1,488730,50
NZ_CP019668.1,488731,26
NZ_CP019668.1,488447,114
NZ_CP019668.1,482957,44
NZ_CP019668.1,406425,88
NZ_CP019668.1,342113,1
NZ_CP019668.1,152500,26
NZ_CP019668.1,265293,11
NZ_CP019668.1,179879,98
NZ_CP019668.1,60550,110
NZ_CP019668.1,1503055,28
NZ_CP019668.1,1207504,16
NZ_CP019668.1,1055524,15
NZ_CP019668.1,28450,1
NZ_CP019668.1,101571,22
NZ_CP019668.1,337,4
NZ_CP019668.1,2015348,4
NZ_CP019668.1,2811788,2
NZ_CP019668.1,28216,1
NZ_CP019668.1,488729,17
NZ_CP019668.1,119060,22
NZ_CP019668.1,1503054,10
NZ_CP019668.1,2613784,8
NZ_CP019668.1,999541,2
NZ_CP019668.1,2217913,1
NZ_CP019668.1,60552,5
NZ_CP019668.1,398577,3
NZ_CP019668.1,1637862,2
NZ_CP019668.1,80840,5
NZ_CP019668.1,1637853,7
NZ_CP019668.1,395019,3
NZ_CP019668.1,331272,4
NZ_CP019668.1,2906514,2
NZ_CP019668.1,2811789,1
NZ_CP019668.1,1637869,1
NZ_CP027232.1,1316593,28924
NZ_CP027232.1,1016,5530
NZ_CP027232.1,2640652,1461
NZ_CP027232.1,1018,577
NZ_CP027232.1,2748316,75
NZ_CP027232.1,1019,36
NZ_CP027232.1,2708117,27
NZ_CP027232.1,1705617,91
NZ_CP027232.1,1316596,12
NZ_CP027232.1,1017,2
NZ_CP027232.1,1848904,5
NZ_CP027232.1,45243,12
NZ_CP027232.1,327575,2
NZ_CP027232.1,2545799,8
NZ_CP027235.1,712310,2781
NZ_CP027235.1,724,127
NZ_CP027235.1,712,7
NZ_CP027235.1,726,13
NZ_CP027235.1,727,10
NZ_CP027235.1,729,2
NZ_CP027235.1,1443036,1
NZ_CP032621.1,1301,773
NZ_CP032621.1,1433513,9854
NZ_CP032621.1,28037,44
NZ_CP032621.1,186826,29
NZ_CP032621.1,1313,47
NZ_CP032621.1,1303,15
NZ_CP032621.1,2598453,4
NZ_CP032621.1,2,59
NZ_CP032621.1,1280,2
