read_accession_id,read_accession_total_count,root,kraken_classified_root,superkingdom,kraken_classified_superkingdom,phylum,kraken_classified_phylum,class,kraken_classified_class,order,kraken_classified_order,family,kraken_classified_family,genus,kraken_classified_genus,species,kraken_classified_species
NZ_AP019829.2,3894,root,3853,Bacteria,3829,Fusobacteriota,3826,Fusobacteriia,3826,Fusobacteriales,3826,Leptotrichiaceae,3818,Leptotrichia,3816,Leptotrichia wadei,3415
NZ_CP050497.1,7851,root,7849,Bacteria,7849,Spirochaetota,7848,Spirochaetia,7848,Spirochaetales,7848,Treponemataceae,7847,Treponema,7847,Treponema vincentii,4311
NZ_CP019668.1,25657,root,25654,Bacteria,25651,Pseudomonadota,25648,Betaproteobacteria,25634,Burkholderiales,25623,Burkholderiaceae,25612,Burkholderia,25502,Burkholderia cenocepacia,11187
NZ_CP027232.1,36765,root,36752,Bacteria,36746,Bacteroidota,36740,Flavobacteriia,36738,Flavobacteriales,36738,Flavobacteriaceae,36737,Capnocytophaga,36728,Capnocytophaga sp. oral taxon 864,20122
NZ_CP027235.1,2941,root,2939,Bacteria,2939,Pseudomonadota,2938,Gammaproteobacteria,2938,Pasteurellales,2933,Pasteurellaceae,2933,Haemophilus,2911,Haemophilus sp. oral taxon 036,2455
NZ_CP032621.1,10891,root,10885,Bacteria,10878,Bacillota,10808,Bacilli,10804,Lactobacillales,10801,Streptococcaceae,10766,Streptococcus,10766,Streptococcus gwangjuense,8284
NZ_CP083898.1,12540,root,12520,Bacteria,12515,Pseudomonadota,12510,Alphaproteobacteria,12489,Sphingomonadales,12487,Zymomonadaceae,12477,Zymomonas,12477,Zymomonas mobilis,12477
NZ_CP008849.1,112135,root,112127,Bacteria,112124,Pseudomonadota,112093,Gammaproteobacteria,112090,Alteromonadales,111965,Alteromonadaceae,111951,Alteromonas,111874,Alteromonas australica,65056
NZ_CP089305.1,7988,root,7988,Bacteria,7987,Bacillota,7980,Bacilli,7978,Lactobacillales,7972,Lactobacillaceae,7907,Limosilactobacillus,7649,Limosilactobacillus fermentum,7612
NZ_CP126745.1,56357,root,56356,Bacteria,56356,Actinomycetota,56348,Actinomycetes,56348,Propionibacteriales,56177,Propionibacteriaceae,56173,Cutibacterium,56154,Cutibacterium acnes,55411
NC_002628.3,356905,root,356867,Archaea,4958,Euryarchaeota,4949,Methanobacteria,4940,Methanobacteriales,4940,Methanobacteriaceae,4940,Methanothermobacter,4935,Methanothermobacter wolfeii,2637
NZ_CP031255.1,34387,root,34385,Bacteria,34384,Pseudomonadota,34363,Betaproteobacteria,34342,Neisseriales,34320,Neisseriaceae,34310,Neisseria,33915,Neisseria elongata,32680
NZ_CP027228.1,9081,root,9080,Bacteria,9079,Bacillota,9077,Clostridia,9038,Eubacteriales,0,Eubacteriales Family XIII. Incertae Sedis,0,Mogibacterium,9035,Mogibacterium diversum,8951
NZ_CP054018.1,36978,root,36971,Bacteria,36971,Actinomycetota,36914,Actinomycetes,36913,Micrococcales,36771,Micrococcaceae,36752,Rothia,36739,Rothia dentocariosa,36224
NC_000866.4,53422,root,53422,Viruses,53422,Uroviricota,53422,Caudoviricetes,53422,unclassified Caudoviricetes order,0,Straboviridae,50730,Tequatrovirus,50238,Tequatrovirus T4,20555
NZ_CP072373.1,8712,root,8709,Bacteria,8709,Bacteroidota,8709,Bacteroidia,8709,Bacteroidales,8709,Prevotellaceae,8680,Prevotella,8551,Prevotella denticola,8040
NZ_CP013195.1,4948,root,4947,Bacteria,4947,Bacteroidota,4947,Bacteroidia,4947,Bacteroidales,4947,Prevotellaceae,4890,Hoylesella,4666,Hoylesella enoeca,4663
NZ_CP014239.1,26448,root,26448,Bacteria,26448,Bacillota,26446,Negativicutes,26445,Selenomonadales,26444,Selenomonadaceae,26444,Selenomonas,26444,Selenomonas sp. oral taxon 136,22501
NZ_CP012544.1,85838,root,85778,Bacteria,85770,Campylobacterota,85761,Epsilonproteobacteria,85761,Campylobacterales,85761,Campylobacteraceae,85755,Campylobacter,85755,Campylobacter showae,84931
NZ_CP020566.1,75393,root,75343,Bacteria,75341,Bacillota,75279,Negativicutes,75269,Veillonellales,75254,Veillonellaceae,75254,Veillonella,75249,Veillonella atypica,73977
NZ_CP024700.1,6506,root,6477,Bacteria,6456,Fusobacteriota,6443,Fusobacteriia,6443,Fusobacteriales,6443,Fusobacteriaceae,6440,Fusobacterium,6440,Fusobacterium pseudoperiodonticum,4828
NZ_CP032364.1,8639,root,8637,Bacteria,8636,Bacillota,8623,Clostridia,8609,Eubacteriales,0,Lachnospiraceae,8601,Lachnoanaerobaculum,8601,Lachnoanaerobaculum umeaense,8532
NZ_CP046313.1,6707,root,6676,Bacteria,6665,Bacillota,6644,Bacilli,6641,Bacillales,6634,unclassified Bacillales family,0,Gemella,6631,Gemella sanguinis,6532
NC_001422.1,9017,root,9017,Viruses,21,Phixviricota,21,Malgrandaviricetes,21,Petitvirales,21,Microviridae,21,Sinsheimervirus,0,Sinsheimervirus phiX174,0
