accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP041379.1,15100,Bacteroides,816,14987,984728,79,113,Bacteroides intestinalis,329854,14139,984807,0,961
NZ_CP065983.1,3903,Aggregatibacter,416916,3861,995988,16,42,Aggregatibacter segnis,739,3265,996004,0,638
NZ_CP032364.1,178084,Lachnoanaerobaculum,1164882,177382,821823,0,702,Lachnoanaerobaculum umeaense,617123,175972,821823,0,2112
NZ_CP033459.1,7379,Pseudoprevotella,2884814,7366,992528,0,13,Pseudoprevotella muciniphila,2133944,7366,992528,0,13
NZ_CP015402.2,1348,Muribaculum,1918540,1318,998558,1,30,Muribaculum intestinale,1796646,1311,998558,1,37
NZ_CP073277.1,25065,Clostridium,1485,24939,974837,5,126,Clostridium butyricum,1492,12086,974842,0,12979
NZ_CP050134.2,15217,Corynebacterium,1716,15205,984690,0,12,Corynebacterium matruchotii,43768,15195,984690,0,22
NZ_CP027235.1,16568,Haemophilus,724,16392,983308,31,176,Haemophilus sp. oral taxon 036,712310,13698,983338,1,2870
NZ_CP046027.1,893,Neisseria,482,878,999011,3,15,Neisseria brasiliensis,2666100,866,999014,0,27
NZ_AP019822.1,2397,Pseudoleptotrichia,2755140,2362,997508,2,35,Pseudoleptotrichia goodfellowii,157692,2362,997508,2,35
NZ_CP040121.1,5199,Duncaniella,2518495,5049,994708,0,150,Duncaniella sp. B8,2576606,46,994708,0,5153
NZ_AP025240.1,53944,Phocaeicola,909656,50603,945958,5,3341,Phocaeicola vulgatus,821,44677,945961,2,9267
NZ_AP019735.1,11401,Alistipes,239759,11124,988504,2,277,Alistipes communis,2585118,11004,988506,0,397
NZ_CP022022.1,52116,Capnocytophaga,1016,51997,947791,0,119,Capnocytophaga endodontalis,2708117,47157,947791,0,4959
NZ_CP127164.1,16463,Bacillus,1386,16288,983440,4,175,Bacillus velezensis,492670,636,983442,2,15827
NZ_CP045696.1,14215,Sodaliphilus,2815786,14042,985692,0,173,Sodaliphilus pleomorphus,2606626,14042,985692,0,173
NZ_AP019831.1,94094,Leptotrichia,32067,92051,905802,11,2043,Leptotrichia trevisanii,109328,85518,905813,0,8576
NZ_CP046313.1,17148,Gemella,1378,16923,982747,12,225,Gemella sanguinis,84135,16695,982759,0,453
NZ_CP066560.1,8823,Histophilus,214906,8481,991077,7,342,Histophilus somni,731,8481,991077,7,342
NZ_CP072373.1,7007,Prevotella,838,6912,992748,152,95,Prevotella denticola,28129,6546,992883,17,461
NZ_CP020566.1,6933,Veillonella,29465,6921,992970,4,12,Veillonella atypica,39777,6801,992974,0,132
NZ_CP121210.1,21322,Riemerella,34084,21130,978585,0,192,Riemerella anatipestifer,34085,21120,978585,0,202
NZ_CP017038.2,26565,Tannerella,195950,26529,973342,0,36,Tannerella serpentiformis,712710,26525,973342,0,40
NZ_CP008849.1,5601,Alteromonas,226,5583,994301,5,18,Alteromonas australica,589873,3268,994306,0,2333
NZ_CP026548.1,1683,Faecalibacterium,216851,1634,998224,0,49,Faecalibacterium prausnitzii,853,1532,998224,0,151
NZ_CP040004.1,61365,Candidatus Nanosynbacter,2093823,61114,938541,1,251,Candidatus Nanosynbacter featherlites,2572088,60912,938542,0,453
NZ_CP017042.1,17844,Selenomonas,970,17835,982063,0,9,Selenomonas sp. oral taxon 920,1884263,17611,982063,0,233
NZ_CP012196.1,24262,Campylobacter,194,24246,975640,5,16,Campylobacter gracilis,824,24191,975645,0,71
NZ_CP024700.1,23353,Fusobacterium,848,23096,976528,26,257,Fusobacterium pseudoperiodonticum,2663009,17327,976551,3,6026
NZ_CP114055.1,4885,Bergeyella,59735,4855,995022,0,30,Bergeyella cardium,1585976,4855,995022,0,30
NZ_CP013195.1,68174,Hoylesella,2974257,64091,931732,1,4083,Hoylesella enoeca,76123,64074,931733,0,4100
NZ_CP063424.1,18453,Actinobacillus,713,17276,981389,65,1177,Actinobacillus pleuropneumoniae,715,12538,981451,3,5915
NZ_CP121769.1,16056,Glaesserella,2094023,15342,983823,28,714,Glaesserella parasuis,738,15311,983828,23,745
NZ_CP050497.1,10453,Treponema,157,10452,989434,20,1,Treponema vincentii,69710,5666,989454,0,4787
NZ_CP068102.1,34204,Rothia,32207,34156,965703,0,48,Rothia aeria,172042,33905,965703,0,299
NZ_CP097843.1,45753,Streptococcus,1301,45322,954086,68,431,Streptococcus oralis,1303,40758,954154,0,4995
NZ_CP027228.1,51217,Mogibacterium,86331,50840,948690,0,377,Mogibacterium diversum,114527,50350,948690,0,867
NZ_CP019668.1,7421,Burkholderia,32008,7374,992486,0,47,Burkholderia cenocepacia,95486,3217,992486,0,4204
NZ_CP097335.1,7999,Mannheimia,75984,6654,991889,19,1345,Mannheimia haemolytica,75985,6131,991898,10,1868
