read_accession_id,count
NZ_CP020468.1,3230
NZ_CP069240.1,3858
NZ_CP017761.1,8240
NZ_CP098447.1,12137
NZ_CP048000.1,5593
NZ_CP066560.1,3050
NZ_CP096671.1,4133
NZ_CP120618.1,1838
NC_074775.1,2323
NZ_CP012196.1,4403
NZ_CP012069.2,508
NZ_CP126312.1,5081
NZ_CP077403.1,1390
NZ_CP029197.1,5645
NC_000883.2,452
NZ_CP006683.1,14920
NZ_CP015402.2,6613
NZ_CP101412.1,1404
NZ_CP046313.1,3399
NZ_CP040121.1,19836
NZ_CP072042.1,4132
NZ_CP127188.1,6498
NZ_CP032819.1,8943
NZ_CP073804.1,7624
NZ_CP027235.1,4417
NC_076103.1,3753
NZ_AP019829.2,10444
NZ_CP083175.1,1585
NZ_CP035298.1,3791
NZ_CP027286.1,2992
NZ_CP120398.1,2108
NZ_CP025330.1,4579
NZ_CP027228.1,2544
NZ_CP014150.1,33875
NZ_CP072236.1,1679
NZ_CP065983.1,9059
NZ_CP012672.1,1393
NZ_CP123971.1,2996
NC_001612.1,12080
NZ_CP033459.1,7467
NZ_CP013476.1,9618
NC_001348.1,843
NZ_CP124126.1,2893
NZ_CP072385.1,11308
NZ_CP019668.1,1912
NZ_AP019697.1,3928
NZ_CP034593.1,3816
NZ_CP023474.1,1241
NZ_CP054018.1,277311
NZ_CP121210.1,8797
NZ_CP026548.1,14250
NZ_CP029462.1,2118
NZ_CP089305.1,23609
NZ_CP008852.1,2260
NZ_AP019822.1,10127
NZ_CP034465.1,1884
NZ_CP019962.1,2504
NZ_CP039712.1,3745
NZ_CP011861.1,5842
NZ_CP123403.1,2044
NZ_CP084018.1,3584
NZ_CP125806.1,832
NZ_CP070914.1,33190
NC_076948.1,7905
NZ_CP025420.1,1600
NZ_CP125315.1,11385
NZ_CP066811.1,4536
NZ_AP025575.1,1570
NZ_CP084221.1,450
NZ_CP126077.1,1928
NZ_CP050134.2,5558
NZ_CP017812.1,8731
NZ_CP104580.1,1789
NZ_CP033719.1,1223
NZ_CP118095.1,2839
NZ_CP040348.1,1747
NC_044045.1,978
NZ_CP116810.1,3334
NZ_CP126983.1,1525
NZ_CP045696.1,2335
NC_004718.3,2737
NZ_CP017038.2,4547
NC_003976.2,4951
NZ_CP034169.1,526
NZ_CP012098.1,1845
NZ_CP068103.1,6970
NZ_CP040915.1,450
NZ_CP069520.1,1411
NZ_CP013745.1,3734
NZ_CP020566.1,3015
NZ_CP098491.1,6683
NZ_CP115634.1,2366
NZ_CP085178.1,1816
NC_001526.4,1207
NZ_CP023482.1,1605
NZ_CP031057.1,3473
NC_001489.1,4876
NZ_CP040235.1,10315
NC_076165.1,1128
NC_012756.1,267
NZ_CP097775.1,3849
NZ_CP036259.1,4717
NC_001538.1,4288
NZ_CP032364.1,1852
NZ_CP046246.1,1310
NZ_CP047630.1,5820
NZ_AP025569.1,12241
NZ_CP016839.1,4112
NZ_CP054494.1,15567
NC_000940.1,1971
NZ_CP065995.1,638
NZ_CP029033.1,5086
NZ_CP027400.1,635
NC_001722.1,2872
NZ_AP019735.1,252
NZ_CP015348.1,1608
NZ_CP017428.1,13553
NZ_CP034157.1,3532
NZ_CP039381.1,1874
NZ_CP071986.1,2853
NZ_CP121769.1,965
NZ_CP013195.1,4712
NZ_CP068112.1,3184
NZ_CP016843.1,1487
NZ_CP054000.1,1337
NZ_CP072246.1,4658
NC_011202.1,1488
NZ_CP040004.1,3703
NZ_CP017042.1,1004
NZ_CP124202.1,12520
NZ_CP047311.1,1908
NZ_CP120209.1,495
NZ_CP008849.1,1314
NZ_CP046315.1,4633
NZ_CP072373.1,3295
NZ_CP098483.1,2967
NZ_CP009709.1,1695
NZ_CP053315.1,1587
NZ_CP013334.1,2792
NZ_CP050497.1,5948
NZ_CP030280.1,1080
NZ_CP047591.1,2051
NZ_CP126076.1,54311
NZ_CP117966.1,1160
