accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP020468.1,3220,Actinomyces,1654,3220,993237,21,0,Actinomyces gaoshouyii,1960083,3217,993258,0,3
NZ_CP069240.1,3842,Cutibacterium,1912216,3842,992635,1,0,Cutibacterium avidum,33010,3835,992635,1,7
NZ_CP017761.1,8213,Marinilactibacillus,191769,8158,988265,0,55,Marinilactibacillus sp. 15R,1911586,8158,988265,0,55
NZ_CP098447.1,12092,Proteus,583,11463,984384,2,629,Proteus mirabilis,584,11384,984386,0,708
NZ_CP048000.1,5576,Anaerocolumna,1843210,5576,990902,0,0,Anaerocolumna sedimenticola,2696063,5573,990902,0,3
NZ_CP066560.1,3042,Histophilus,214906,2931,993436,0,111,Histophilus somni,731,2931,993436,0,111
NZ_CP096671.1,4121,Mediterraneibacter,2316020,4021,992352,5,100,Mediterraneibacter gnavus,33038,4020,992354,3,101
NZ_CP120618.1,1832,Priestia,2800373,1830,994646,0,2,Priestia megaterium,1404,1258,994646,0,574
NC_074775.1,2313,Kobuvirus,194960,2313,994165,0,0,Aichivirus A,72149,2313,994165,0,0
NZ_CP012196.1,4383,Campylobacter,194,4383,992093,2,0,Campylobacter gracilis,824,4383,992095,0,0
NZ_CP012069.2,506,Olsenella,133925,506,995972,0,0,Olsenella sp. oral taxon 807,712411,506,995972,0,0
NZ_CP126312.1,5057,Latilactobacillus,2767885,5017,991419,2,40,Latilactobacillus curvatus,28038,4960,991420,1,97
NZ_CP077403.1,1390,Jonesia,43673,1390,995088,0,0,Jonesia denitrificans,43674,1390,995088,0,0
NZ_CP029197.1,5627,Streptomyces,1883,5611,990823,28,16,Streptomyces venezuelae,54571,5554,990851,0,73
NC_000883.2,452,Erythroparvovirus,40121,452,996026,0,0,Erythroparvovirus primate1,3052189,452,996026,0,0
NZ_CP006683.1,14883,Melissococcus,33969,14882,981595,0,1,Melissococcus plutonius,33970,14882,981595,0,1
NZ_CP015402.2,6597,Muribaculum,1918540,6560,989876,5,37,Muribaculum intestinale,1796646,6529,989877,4,68
NZ_CP101412.1,1397,Parvimonas,543311,1372,995078,3,25,Parvimonas micra,33033,1372,995078,3,25
NZ_CP046313.1,3385,Gemella,1378,3379,993083,10,6,Gemella sanguinis,84135,3375,993093,0,10
NZ_CP040121.1,19756,Duncaniella,2518495,19415,976722,0,341,Duncaniella sp. B8,2576606,580,976722,0,19176
NZ_CP072042.1,4123,Akkermansia,239934,4123,992355,0,0,Akkermansia muciniphila,239935,4038,992355,0,85
NZ_CP127188.1,6477,Listeria,1637,6471,989999,2,6,Listeria monocytogenes,1639,6391,989999,2,86
NZ_CP032819.1,8906,Butyricimonas,574697,8017,987572,0,889,Butyricimonas faecalis,2093856,8010,987572,0,896
NZ_CP073804.1,7606,Macrococcoides,3076173,7513,988872,0,93,Macrococcoides canis,1855823,7504,988872,0,102
NZ_CP027235.1,4401,Haemophilus,724,4392,992076,1,9,Haemophilus sp. oral taxon 036,712310,4289,992077,0,112
NC_076103.1,3743,Deltavirus,39759,3743,992735,0,0,Hepatitis delta virus,12475,3743,992735,0,0
NZ_AP019829.2,10404,Leptotrichia,32067,10400,986074,0,4,Leptotrichia wadei,157687,10296,986074,0,108
NZ_CP083175.1,1579,Gardnerella,2701,1567,994899,0,12,Gardnerella vaginalis,2702,1551,994899,0,28
NZ_CP035298.1,3775,Micrococcus,1269,3773,992698,5,2,Micrococcus luteus,1270,3531,992701,2,244
NZ_CP027286.1,2980,Clostridium,1485,2980,993477,21,0,Clostridium chauvoei,46867,2970,993498,0,10
NZ_CP120398.1,2100,Salmonella,590,2065,994174,204,35,Salmonella enterica,28901,1775,994241,137,325
NZ_CP025330.1,4565,Brevibacterium,1696,4466,991907,6,99,Brevibacterium aurantiacum,273384,3725,991912,1,840
NZ_CP027228.1,2536,Mogibacterium,86331,2535,993939,3,1,Mogibacterium diversum,114527,2534,993942,0,2
NZ_CP014150.1,33752,Paraclostridium,1849822,33709,962719,7,43,Paraclostridium sordellii,1505,33648,962723,3,104
NZ_CP072236.1,1675,Bacteroides,816,1560,994729,74,115,Bacteroides uniformis,820,1333,994800,3,342
NZ_CP065983.1,9019,Aggregatibacter,416916,9001,987459,0,18,Aggregatibacter segnis,739,8626,987459,0,393
NZ_CP012672.1,1389,Sorangium,39643,1388,995089,0,1,Sorangium cellulosum,56,404,995089,0,985
NZ_CP123971.1,2982,Ligilactobacillus,2767887,2967,993489,7,15,Ligilactobacillus salivarius,1624,2964,993494,2,18
NC_001612.1,12046,Enterovirus,12059,12046,984432,0,0,Enterovirus A,138948,12046,984432,0,0
NZ_CP033459.1,7452,Pseudoprevotella,2884814,7447,989026,0,5,Pseudoprevotella muciniphila,2133944,7447,989026,0,5
NZ_CP013476.1,9587,Turicibacter,191303,9522,986887,4,65,Turicibacter sp. H121,1712675,4998,986891,0,4589
NC_001348.1,839,Varicellovirus,10319,839,995639,0,0,Varicellovirus humanalpha3,3050294,839,995639,0,0
NZ_CP124126.1,2884,Capnocytophaga,1016,2884,993594,0,0,Capnocytophaga canimorsus,28188,2881,993594,0,3
NZ_CP072385.1,11271,Arachnia,2801844,11263,985207,0,8,Arachnia propionica,1750,11259,985207,0,12
NZ_CP019668.1,1907,Burkholderia,32008,1905,994571,0,2,Burkholderia cenocepacia,95486,1429,994571,0,478
NZ_AP019697.1,3917,Dialister,39948,3917,992560,1,0,Dialister hominis,2582419,2590,992561,0,1327
NZ_CP034593.1,3811,Flaviflexus,1522056,3810,992666,1,1,Flaviflexus ciconiae,2496867,3810,992666,1,1
NZ_CP023474.1,1238,Brevibacillus,55080,1165,995240,0,73,Brevibacillus brevis,1393,1069,995240,0,169
NZ_CP054018.1,276300,Rothia,32207,275504,720178,0,796,Rothia dentocariosa,2047,274821,720178,0,1479
NZ_CP121210.1,8770,Riemerella,34084,8738,987707,1,32,Riemerella anatipestifer,34085,8736,987707,1,34
NZ_CP026548.1,14212,Faecalibacterium,216851,14025,982263,3,187,Faecalibacterium prausnitzii,853,13813,982266,0,399
NZ_CP029462.1,2114,Megasphaera,906,2102,994363,1,12,Megasphaera stantonii,2144175,2102,994363,1,12
NZ_CP089305.1,23514,Limosilactobacillus,2742598,23367,972963,1,147,Limosilactobacillus fermentum,1613,23345,972963,1,169
NZ_CP008852.1,2255,Pelosinus,365348,2255,994222,1,0,Pelosinus sp. UFO1,484770,2253,994223,0,2
NZ_AP019822.1,10092,Pseudoleptotrichia,2755140,10092,986386,0,0,Pseudoleptotrichia goodfellowii,157692,10092,986386,0,0
NZ_CP034465.1,1880,Jeotgalibaca,1470540,1868,994597,1,12,Jeotgalibaca ciconiae,2496265,1864,994598,0,16
NZ_CP019962.1,2493,Eubacterium,1730,2493,993984,1,0,Eubacterium limosum,1736,2362,993985,0,131
NZ_CP039712.1,3727,Vagococcus,2737,3725,992744,7,2,Vagococcus zengguangii,2571750,3718,992751,0,9
NZ_CP011861.1,5819,Erysipelothrix,1647,5819,990658,1,0,Erysipelothrix rhusiopathiae,1648,5722,990658,1,97
NZ_CP123403.1,2037,Trueperella,1069494,2037,994439,2,0,Trueperella pyogenes,1661,2035,994439,2,2
NZ_CP084018.1,3569,Megamonas,158846,3568,992909,0,1,Megamonas funiformis,437897,3565,992909,0,4
