accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP020468.1,6458,Actinomyces,1654,0.9999122917367289,0.9747599876122639,0.9999939661895431,6295,1988781,12,163,Actinomyces gaoshouyii,1960083,0.9996351336247921,0.8872716011148962,1.0,5730,1988793,0,728
NZ_CP069240.1,7716,Cutibacterium,1912216,0.9999498809924164,0.9870399170554691,1.0,7616,1987535,0,100,Cutibacterium avidum,33010,0.9998546548780078,0.9624157594608606,1.0,7426,1987535,0,290
NZ_CP017761.1,16437,Marinilactibacillus,191769,0.9996451574263088,0.9569264464318307,1.0,15729,1978814,0,708,Marinilactibacillus sp. 15R,1911586,0.9996451574263088,0.9569264464318307,1.0,15729,1978814,0,708
NZ_CP098447.1,24210,Proteus,583,0.9989359734690021,0.9123502684840975,0.9999994926538819,22088,1971040,1,2122,Proteus mirabilis,584,0.9984823964503714,0.8749277158199091,1.0,21182,1971041,0,3028
NZ_CP048000.1,11159,Anaerocolumna,1843210,0.9998701917703587,0.9770588762433909,0.9999984879733399,10903,1984089,3,256,Anaerocolumna sedimenticola,2696063,0.9998636762993729,0.9757146697732771,0.9999994959911133,10888,1984091,1,271
NZ_CP066560.1,6084,Histophilus,214906,0.9997985215895143,0.9340894148586456,0.9999994972770009,5683,1989166,1,401,Histophilus somni,731,0.9997985215895143,0.9340894148586456,0.9999994972770009,5683,1989166,1,401
NZ_CP096671.1,8215,Mediterraneibacter,2316020,0.9997218395079115,0.9337796713329276,0.9999944641164025,7671,1987025,11,544,[Ruminococcus] gnavus,33038,0.9997163264170773,0.9317102860620815,0.9999974836892739,7654,1987031,5,561
NZ_CP120618.1,3636,Priestia,2800373,0.9996947752438164,0.8336083608360836,0.9999979915796979,3031,1991611,4,605,Priestia megaterium,1404,0.9992908160426934,0.6113861386138614,0.999998995789849,2223,1991613,2,1413
NC_074775.1,4646,Kobuvirus,194960,0.9999022679352122,0.9580284115368058,1.0,4451,1990605,0,195,Aichivirus A,72149,0.9999022679352122,0.9580284115368058,1.0,4451,1990605,0,195
NZ_CP012196.1,8804,Campylobacter,194,0.9999062774558188,0.9801226715129486,0.9999939590635945,8629,1986435,12,175,Campylobacter gracilis,824,0.9998867310428613,0.9743298500681509,1.0,8578,1986447,0,226
NZ_CP012069.2,1016,Olsenella,133925,0.999990978578635,0.984251968503937,0.9999989971091672,1000,1994233,2,16,Olsenella sp. oral taxon 807,712411,0.999990978578635,0.9832677165354331,0.9999994985545836,999,1994234,1,17
NZ_CP126312.1,10104,Latilactobacillus,2767885,0.9996155872118345,0.9245843230403801,0.9999974812948361,9342,1985142,5,762,Latilactobacillus curvatus,28038,0.9993685005044478,0.8753958828186856,0.9999994962589672,8845,1985146,1,1259
NZ_CP077403.1,2778,Jonesia,43673,0.9999759428763599,0.9827213822894169,1.0,2730,1992473,0,48,Jonesia denitrificans,43674,0.9999759428763599,0.9827213822894169,1.0,2730,1992473,0,48
NZ_CP029197.1,11288,Streptomyces,1883,0.9997213383178357,0.9555279943302623,0.9999727817504661,10786,1983909,54,502,Streptomyces venezuelae,54571,0.9991379530695637,0.8480687455705174,0.9999974797917098,9573,1983958,5,1715
NC_000883.2,904,Erythroparvovirus,40121,0.9999904773885592,0.9789823008849557,1.0,885,1994347,0,19,Primate erythroparvovirus 1,1511900,0.9999904773885592,0.9789823008849557,1.0,885,1994347,0,19
NZ_CP006683.1,29722,Melissococcus,33969,0.9990186698315149,0.9341228719467062,1.0,27764,1965529,0,1958,Melissococcus plutonius,33970,0.9990186698315149,0.9341228719467062,1.0,27764,1965529,0,1958
NZ_CP015402.2,13158,Muribaculum,1918540,0.9998150608620169,0.9726402188782489,0.9999954593452477,12798,1982084,9,360,Muribaculum intestinale,1796646,0.9997468990117033,0.9622283021735826,0.9999959638624424,12661,1982085,8,497
NZ_CP101412.1,2806,Parvimonas,543311,0.9997990227795901,0.8595866001425517,0.9999964867286174,2412,1992438,7,394,Parvimonas micra,33033,0.9997990227795901,0.8595866001425517,0.9999964867286174,2412,1992438,7,394
NZ_CP046313.1,6775,Gemella,1378,0.9997303597392008,0.9213284132841328,0.9999974855115173,6242,1988471,5,533,Gemella sanguinis,84135,0.9996556824179013,0.8987453874538746,0.9999994971023035,6089,1988475,1,686
NZ_CP040121.1,39413,Duncaniella,2518495,0.9993975695288463,0.9695278207697968,0.9999994887102102,38212,1955837,1,1201,Duncaniella sp. B8,2576606,0.9803598644982511,0.005734148631162307,1.0,226,1955838,0,39187
NZ_CP072042.1,8264,Akkermansia,239934,0.9999644155046157,0.9923765730880929,0.9999959738035528,8201,1986979,8,63,Akkermansia muciniphila,239935,0.9999398571908998,0.9864472410454985,0.9999959738035528,8152,1986979,8,112
NZ_CP127188.1,12938,Listeria,1637,0.9998496429772494,0.97743082392951,0.9999959643103788,12646,1982305,8,292,Listeria monocytogenes,1639,0.998963538923173,0.840469933529139,0.9999979821551894,10874,1982309,4,2064
NZ_CP032819.1,17867,Butyricimonas,574697,0.9987550438516257,0.8609727430458387,1.0,15383,1977384,0,2484,Butyricimonas faecalis,2093856,0.9986558082166104,0.8498908602451447,1.0,15185,1977384,0,2682
