read_accession_id,taxid,count
NZ_CP020468.1,1960083,3152
NZ_CP020468.1,2744574,1
NZ_CP020468.1,1760,2
NZ_CP020468.1,1654,58
NZ_CP020468.1,2737173,11
NZ_CP020468.1,2778070,2
NZ_CP020468.1,1851395,2
NZ_CP020468.1,1685,1
NZ_CP020468.1,2057743,1
NZ_CP069240.1,33010,3806
NZ_CP069240.1,1912216,37
NZ_CP069240.1,31957,9
NZ_CP069240.1,1170318,3
NZ_CP069240.1,1760,2
NZ_CP069240.1,33011,1
NZ_CP017761.1,1911586,8068
NZ_CP017761.1,186826,66
NZ_CP017761.1,2,7
NZ_CP017761.1,186828,40
NZ_CP017761.1,91061,41
NZ_CP017761.1,492670,1
NZ_CP017761.1,1352,1
NZ_CP017761.1,37734,1
NZ_CP017761.1,1377,2
NZ_CP017761.1,1363,1
NZ_CP017761.1,1232430,1
NZ_CP017761.1,2837504,1
NZ_CP017761.1,1346,1
NZ_CP017761.1,1462606,1
NZ_CP017761.1,1350,1
NZ_CP098447.1,584,11076
NZ_CP098447.1,91347,519
NZ_CP098447.1,583,213
NZ_CP098447.1,1903414,38
NZ_CP098447.1,2,97
NZ_CP098447.1,131567,3
NZ_CP098447.1,3977,1
NZ_CP098447.1,1,35
NZ_CP098447.1,1224,60
NZ_CP098447.1,1236,23
NZ_CP098447.1,573,5
NZ_CP098447.1,561,1
NZ_CP098447.1,562,16
NZ_CP098447.1,543,5
NZ_CP098447.1,2500548,1
NZ_CP098447.1,2583588,1
NZ_CP098447.1,1266738,4
NZ_CP098447.1,2508168,1
NZ_CP098447.1,629,1
NZ_CP098447.1,529507,5
NZ_CP098447.1,588,2
NZ_CP098447.1,570,1
NZ_CP098447.1,183417,1
NZ_CP098447.1,479431,1
NZ_CP098447.1,3015951,1
NZ_CP098447.1,545,1
NZ_CP098447.1,558537,1
NZ_CP098447.1,585,2
NZ_CP098447.1,4072,1
NZ_CP098447.1,208962,1
NZ_CP098447.1,2883107,1
NZ_CP098447.1,1443036,1
NZ_CP098447.1,626774,1
NZ_CP098447.1,571,1
NZ_CP098447.1,1392858,1
NZ_CP098447.1,3988,1
NZ_CP098447.1,1987580,1
NZ_CP098447.1,592316,1
NZ_CP098447.1,83334,1
NZ_CP098447.1,9606,1
NZ_CP098447.1,1218933,1
NZ_CP098447.1,2725560,1
NZ_CP098447.1,90105,1
NZ_CP048000.1,2696063,5559
NZ_CP048000.1,1843210,26
NZ_CP048000.1,1239,2
NZ_CP048000.1,131567,1
NZ_CP048000.1,186801,2
NZ_CP048000.1,3081750,1
NZ_CP048000.1,186803,1
NZ_CP066560.1,731,2929
NZ_CP066560.1,2,9
NZ_CP066560.1,712,87
NZ_CP066560.1,747,1
NZ_CP066560.1,1224,1
NZ_CP066560.1,75985,3
NZ_CP066560.1,1236,9
NZ_CP066560.1,562,1
NZ_CP066560.1,228400,3
NZ_CP066560.1,1075089,1
NZ_CP066560.1,587,1
NZ_CP066560.1,1,2
NZ_CP066560.1,595,1
NZ_CP066560.1,2759,1
NZ_CP096671.1,33038,3903
NZ_CP096671.1,186801,52
NZ_CP096671.1,186803,108
NZ_CP096671.1,2316020,8
NZ_CP096671.1,1783272,5
NZ_CP096671.1,1239,47
NZ_CP096671.1,74426,1
NZ_CP096671.1,1912897,1
NZ_CP096671.1,3030639,1
NZ_CP096671.1,2,3
NZ_CP096671.1,187327,1
NZ_CP120618.1,1404,472
NZ_CP120618.1,2800373,1330
NZ_CP120618.1,186817,9
NZ_CP120618.1,2,1
NZ_CP120618.1,592022,3
NZ_CP120618.1,412384,10
NZ_CP120618.1,545693,1
NZ_CP120618.1,86661,1
NZ_CP120618.1,1138452,2
NZ_CP120618.1,1006007,3
NZ_CP120618.1,1783272,2
NZ_CP120618.1,1311,1
NZ_CP120618.1,86664,1
NZ_CP120618.1,1385,1
NZ_CP120618.1,1279,1
NC_074775.1,1313215,2323
NZ_CP012196.1,824,4388
NZ_CP012196.1,194,11
NZ_CP012196.1,131567,1
NZ_CP012069.2,712411,507
NZ_CP126312.1,28038,4784
NZ_CP126312.1,1783272,3
NZ_CP126312.1,33958,113
NZ_CP126312.1,186826,28
NZ_CP126312.1,2767885,132
NZ_CP126312.1,1293592,5
NZ_CP126312.1,2,2
NZ_CP126312.1,1580,1
NZ_CP126312.1,1587,1
NZ_CP126312.1,1590,3
NZ_CP126312.1,91061,1
NZ_CP126312.1,1589,2
NZ_CP126312.1,1239,1
NZ_CP126312.1,1599,3
NZ_CP126312.1,1597,1
NZ_CP126312.1,1334191,1
NZ_CP077403.1,43674,1382
NZ_CP077403.1,85006,6
NZ_CP077403.1,1760,1
NZ_CP029197.1,54571,5081
NZ_CP029197.1,1783272,1
NZ_CP029197.1,1883,429
