accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP120209.1,15022,Chryseobacterium,59732,0.9956338174855596,0.7098921581680202,0.9999979665745525,10664,983560,2,4358,Chryseobacterium indologenes,253,0.9855295097858567,0.03807748635334842,1.0,572,983562,0,14450
NZ_CP039381.1,21412,Ruminococcus,1263,0.9998718184949889,0.9940687464972913,0.9999989766387084,21285,977171,1,127,Ruminococcus bovis,2564099,0.999870817076981,0.9939753409303195,1.0,21283,977172,0,129
NZ_CP019668.1,3272,Burkholderia,32008,0.9999879829839052,0.9969437652811736,0.9999979905798383,3262,995310,2,10,Burkholderia cenocepacia,95486,0.9987402161460628,0.6155256723716381,1.0,2014,995312,0,1258
NZ_CP097775.1,40624,Paenibacillus,44249,0.9999629475337077,0.9991138243402915,0.9999989561150778,40588,957959,1,36,Paenibacillus polymyxa,1406,0.9956969068200572,0.894225088617566,1.0,36327,957960,0,4297
NZ_CP017042.1,5328,Selenomonas,970,1.0,1.0,1.0,5328,993256,0,0,Selenomonas sp. oral taxon 920,1884263,0.9999549361896445,0.9915540540540541,1.0,5283,993256,0,45
NZ_CP084018.1,30843,Megamonas,158846,0.99976166251412,0.9922835003080115,1.0,30605,967741,0,238,Megamonas funiformis,437897,0.9996084455589114,0.9873228933631618,1.0,30452,967741,0,391
NZ_CP068112.1,9686,Mobiluncus,2050,0.9999539347716366,0.9952508775552343,1.0,9640,988898,0,46,Mobiluncus curtisii,2051,0.9999539347716366,0.9952508775552343,1.0,9640,988898,0,46
NZ_CP040004.1,9008,Candidatus Nanosynbacter,2093823,0.999979971639842,0.9977797513321492,1.0,8988,989576,0,20,Candidatus Nanosynbacter featherlites,2572088,0.9999329049934708,0.9925621669626998,1.0,8941,989576,0,67
NC_012753.1,51930,unclassified Caudoviricetes genus,,0.9458272914446857,0.0,1.0,0,944488,0,54096,Streptococcus phage 5093,646413,0.9964760100302028,0.9322357019064125,1.0,48411,946654,0,3519
NZ_CP012117.1,63883,Dermabacter,36739,0.9985609623226489,0.9775057527041623,1.0,62446,934701,0,1437,Dermabacter vaginalis,1630135,0.996622217059356,0.9472003506410156,1.0,60510,934701,0,3373
NZ_CP027228.1,14408,Mogibacterium,86331,0.9999128766333127,0.9939616879511383,1.0,14321,984176,0,87,Mogibacterium diversum,114527,0.9998477844627993,0.9894503053858967,1.0,14256,984176,0,152
NZ_CP029197.1,39547,Streptomyces,1883,0.9996515065332511,0.9914784939439149,0.9999885301609844,39210,959026,11,337,Streptomyces venezuelae,54571,0.9979571072638856,0.948415809037348,1.0,37507,959037,0,2040
NZ_CP077403.1,5196,Jonesia,43673,0.999969957459763,0.9942263279445728,1.0,5166,993388,0,30,Jonesia denitrificans,43674,0.999969957459763,0.9942263279445728,1.0,5166,993388,0,30
NC_001422.1,35214,Sinsheimervirus,1910954,0.9647360662698381,0.0,1.0,0,963370,0,35214,Sinsheimervirus phiX174,10847,0.9647360662698381,0.0,1.0,0,963370,0,35214
NZ_CP040121.1,12646,Duncaniella,2518495,0.9997897022183412,0.9834730349517634,0.9999989857374398,12437,985937,1,209,Duncaniella sp. B8,2576606,0.9875003004254024,0.01296852759765934,1.0,164,985938,0,12482
NC_000866.4,13214,Tequatrovirus,10663,0.9991638159634042,0.9368094445285303,1.0,12379,985370,0,835,Tequatrovirus T4,10665,0.9921148346058019,0.40411684576963824,1.0,5340,985370,0,7874
NZ_CP072246.1,7907,Phocaeicola,909656,0.9990095975901877,0.8755533071961553,0.9999949529463186,6923,990672,5,984,Phocaeicola dorei,357276,0.9980692660807704,0.7564183634754016,0.9999979811785275,5981,990675,2,1926
NZ_CP015348.1,2107,Sporosarcina,1569,0.9999939914919526,0.9971523493118177,1.0,2101,996477,0,6,Sporosarcina ureae,1571,0.9999919886559369,0.996203132415757,1.0,2099,996477,0,8
NZ_CP071986.1,2303,Helicobacter,209,0.9999909872379289,0.9969604863221885,0.9999979925342348,2296,996279,2,7,Helicobacter pylori,210,0.9999849787298815,0.9943551888840643,0.9999979925342348,2290,996279,2,13
NZ_CP050134.2,5751,Corynebacterium,1716,0.9999809730578499,0.9989567031820553,0.999986906156423,5745,992820,13,6,Corynebacterium matruchotii,43768,0.9999929900739447,0.9987828203790645,1.0,5744,992833,0,7
NZ_CP012069.2,2744,Olsenella,133925,0.9999979971639842,0.999271137026239,1.0,2742,995840,0,2,Olsenella sp. oral taxon 807,712411,0.9999959943279684,0.9985422740524781,1.0,2740,995840,0,4
NC_012756.1,2166,unclassified Caudoviricetes genus,,0.9458272914446857,0.0,1.0,0,944488,0,54096,Streptococcus phage PH10,644007,0.999950930517613,0.9773776546629732,1.0,2117,996418,0,49
NZ_CP014150.1,12343,Paeniclostridium,1849828,0.9996304767550852,0.9701855302600665,0.9999989860490489,11975,986240,1,368,Paeniclostridium sordellii,1505,0.9996304767550852,0.9701855302600665,0.9999989860490489,11975,986240,1,368
NZ_CP026734.1,8194,Brevibacterium,1696,0.9999389135015182,0.9925555284354406,1.0,8133,990390,0,61,Brevibacterium linens,1703,0.9990676798346458,0.8863802782523797,1.0,7263,990390,0,931
NZ_CP020566.1,14052,Veillonella,29465,0.9999829758938658,0.9987902077996015,1.0,14035,984532,0,17,Veillonella atypica,39777,0.999751648334041,0.9823512667235981,1.0,13804,984532,0,248
NZ_CP016839.1,1431,Brochothrix,2755,0.9999969957459763,0.9979035639412998,1.0,1428,997153,0,3,Brochothrix thermosphacta,2756,0.9999969957459763,0.9979035639412998,1.0,1428,997153,0,3
NZ_CP047311.1,14909,Pseudomonas,286,0.9999218893953838,0.9956402173183982,0.9999867842529291,14844,983662,13,65,Pseudomonas putida,303,0.9877176081331165,0.17734254477161446,1.0,2644,983675,0,12265
NZ_CP065995.1,8701,Leuconostoc,1243,0.9999409163375339,0.9932191702103207,1.0,8642,989883,0,59,Leuconostoc mesenteroides,1245,0.9995573732405085,0.9492012412366395,1.0,8259,989883,0,442
NZ_CP116810.1,14262,Rhodopseudomonas,1073,0.9999519319356208,0.9966344131257888,1.0,14214,984322,0,48,Rhodopseudomonas palustris,1076,0.999950930517613,0.9965642967325761,1.0,14213,984322,0,49
NZ_CP033719.1,8214,Propionibacterium,1743,0.9999679546237472,0.9961042123204286,1.0,8182,990370,0,32,Propionibacterium acidifaciens,556499,0.9999599432796841,0.9951302654005356,1.0,8174,990370,0,40
NZ_CP028105.1,17447,Fusobacterium,848,0.999672536311417,0.9815441050037256,0.9999949038717325,17125,981132,5,322,Fusobacterium ulcerans,861,0.9995193193562084,0.9724881068378518,1.0,16967,981137,0,480
NZ_CP008849.1,7396,Alteromonas,226,0.9999869815658973,0.9982422931314224,1.0,7383,991188,0,13,Alteromonas australica,589873,0.9969947445582945,0.5942401297998918,1.0,4395,991188,0,3001
NZ_CP068102.1,6006,Rothia,32207,0.9999929900739447,0.9988344988344988,1.0,5999,992578,0,7,Rothia aeria,172042,0.9999439205915577,0.9906759906759907,1.0,5950,992578,0,56
NZ_CP034465.1,5826,Jeotgalibaca,1470540,0.9999048652892496,0.983693786474425,1.0,5731,992758,0,95,Jeotgalibaca ciconiae,2496265,0.9998467830447915,0.9737384140061792,1.0,5673,992758,0,153
NZ_CP036259.1,224034,Sporomusa,2375,0.9999268964854233,0.9996741566012302,1.0,223961,774550,0,73,Sporomusa termitida,2377,0.9999268964854233,0.9996741566012302,1.0,223961,774550,0,73
NZ_CP040915.1,19512,Georgenia,154116,0.999919886559368,0.9959512095120951,0.9999989786246568,19433,979071,1,79,Georgenia yuyongxinii,2589797,0.9999148794693286,0.9956949569495694,0.9999989786246568,19428,979071,1,84
NZ_CP050497.1,18905,Treponema,157,0.9999869815658973,0.9993652472890769,0.9999989792574915,18893,979678,1,12,Treponema vincentii,69710,0.9913036860194034,0.5406506215286961,1.0,10221,979679,0,8684
NZ_CP040235.1,5783,Bifidobacterium,1678,0.9999889844019131,0.9984437143351201,0.9999979854975972,5774,992799,2,9,Bifidobacterium longum,216816,0.9990847039407802,0.8419505446999828,1.0,4869,992801,0,914
NZ_AP025575.1,8499,Eggerthella,84111,0.9999609446976919,0.9954112248499823,1.0,8460,990085,0,39,Eggerthella lenta,84112,0.9997526497520489,0.9709377573832215,1.0,8252,990085,0,247
NZ_CP040348.1,23413,Collinsella,102106,0.9996985731796223,0.9871438944176313,1.0,23112,975171,0,301,Collinsella aerofaciens,74426,0.9996865561635275,0.9866313586469055,1.0,23100,975171,0,313
NZ_CP068103.1,19052,Peptoniphilus,162289,0.9984498049237721,0.9187486878018056,1.0,17504,979532,0,1548,Peptoniphilus harei,54005,0.9982785624444213,0.909773252152005,1.0,17333,979532,0,1719
NZ_CP073804.1,11047,Macrococcus,69965,0.9998968539451863,0.9906762016837151,1.0,10944,987537,0,103,Macrococcus canis,1855823,0.9995593760765243,0.9601701819498506,1.0,10607,987537,0,440
NZ_CP027235.1,2349,Haemophilus,724,0.9999739631317947,0.9902085994040017,0.9999969886623136,2326,996232,3,23,Haemophilus sp. oral taxon 036,712310,0.9996344824271168,0.844614729672201,1.0,1984,996235,0,365
NZ_CP017038.2,30075,Tannerella,195950,0.9999489276815972,0.9983042394014963,1.0,30024,968509,0,51,Tannerella serpentiformis,712710,0.9999469248455813,0.9982377389858687,1.0,30022,968509,0,53
NZ_CP046246.1,14756,Tetragenococcus,51668,0.9999038638712416,0.9934941718622933,1.0,14660,983828,0,96,Tetragenococcus halophilus,51669,0.999602437050864,0.9730956898888588,1.0,14359,983828,0,397
NZ_CP046313.1,22547,Gemella,1378,0.9996074441409035,0.9827027985984832,0.9999979508973533,22157,976035,2,390,Gemella sanguinis,84135,0.9993460740408419,0.9710382756020757,1.0,21894,976037,0,653
