accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP014264.1,8528,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus sp. oral taxon 431,712633,0.999637613258799,0.960717636022514,0.9999843307834295,8193,957276,15,335
NZ_CP072236.1,5012,Bacteroides,816,0.9967675102684872,0.9541281660237433,0.999939929049533,63814,898883,54,3068,Bacteroides uniformis,820,0.9984230999804311,0.6979249800478851,0.9999906328742401,3498,960798,9,1514
NZ_CP049272.1,5939,Campylobacter,194,0.999985504530352,0.999596882558452,0.9999978633642825,29756,936049,2,12,Campylobacter concisus,199,0.9999792921862171,0.9968008082168716,0.9999989582031087,5920,959879,1,19
NZ_CP024700.1,2498,Fusobacterium,848,0.9999306288238272,0.998502121993842,0.9999860180173978,35997,929755,13,54,Fusobacterium pseudoperiodonticum,2663009,0.9996034453660572,0.8783026421136909,0.9999179920296557,2194,963242,79,304
NZ_CP012589.1,1171,Capnocytophaga,1016,0.999530968017817,0.9966756901475488,0.9999927828665252,134017,831349,6,447,Capnocytophaga sp. oral taxon 323,1705617,0.9996396840401773,0.7181895815542272,0.9999813403438352,841,964630,18,330
NZ_CP015402.2,6258,Muribaculum,1918540,0.9999420181214078,0.9912112496005113,0.99999895785677,6203,959560,1,55,Muribaculum intestinale,1796646,0.9998923193683289,0.983381271971876,1.0,6154,959561,0,104
NZ_CP046316.1,2783,Capnocytophaga,1016,0.999530968017817,0.9966756901475488,0.9999927828665252,134017,831349,6,447,Capnocytophaga sp. FDAARGOS_737,2545799,0.9998415852245607,0.959396334890406,0.9999584646887552,2670,962996,40,113
NZ_AP019735.1,5220,Alistipes,239759,0.9998457267873173,0.9722222222222222,0.9999958359315385,5075,960595,4,145,Alistipes communis,2585118,0.9998353728804258,0.9695402298850575,1.0,5061,960599,0,159
NZ_CP070914.1,6002,Escherichia,561,0.9960779400695161,0.3753748750416528,0.9999593672543828,2253,959778,39,3749,Escherichia coli,562,0.9957787121603531,0.3255581472842386,0.9999697859071052,1954,959788,29,4048
NZ_CP009227.1,2692,Treponema,157,0.9999979292186217,1.0,0.9999979209222789,3854,961963,2,0,Treponema sp. OMZ 838,1539298,0.9986094703044773,0.5022288261515602,0.9999968851459881,1352,963124,3,1340
NZ_CP090007.1,12929,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus salivarius,1304,0.997874342915184,0.8494083069069533,0.9998887594580697,10982,952784,106,1947
NZ_CP065726.1,592,Neisseria,482,0.9991168117421587,0.9913244116289801,0.9999919383073209,96669,868297,7,846,Neisseria cinerea,483,0.999900602493842,0.9527027027027027,0.9999295502508736,564,965159,68,28
NZ_AP021887.1,1483,Streptococcus,1301,0.9993062882382724,0.9967459509275747,0.999875955333794,175209,789940,98,572,Streptococcus sp. 116-D4,2598453,0.9999213103076249,0.956844234659474,0.9999875562044764,1419,964324,12,64
NZ_CP022022.1,29060,Capnocytophaga,1016,0.999530968017817,0.9966756901475488,0.9999927828665252,134017,831349,6,447,Capnocytophaga endodontalis,2708117,0.9987575311730251,0.959979353062629,0.9999605021142044,27897,936722,37,1163
NZ_CP046314.1,13250,Gemella,1378,0.9992576248758825,0.9710492122787071,0.9999957500656084,23915,941187,4,713,Gemella morbillorum,29391,0.9992213862017625,0.9435471698113208,0.9999958008291263,12502,952565,4,748
NZ_CP027229.1,12820,Capnocytophaga,1016,0.999530968017817,0.9966756901475488,0.9999927828665252,134017,831349,6,447,Capnocytophaga sp. oral taxon 878,1316596,0.9996893827932563,0.9790171606864274,0.9999674711096234,12551,952968,31,269
NZ_CP046313.1,806,Gemella,1378,0.9992576248758825,0.9710492122787071,0.9999957500656084,23915,941187,4,713,Gemella sanguinis,84135,0.9999844691396628,0.9875930521091811,0.9999948187226493,796,965008,5,10
NZ_AP014938.1,14942,Rothia,32207,0.9999906814837977,0.9996022275258553,1.0,22617,943193,0,9,Rothia mucilaginosa,43675,0.9999761860141496,0.9984607147637532,1.0,14919,950877,0,23
NZ_CP068102.1,7684,Rothia,32207,0.9999906814837977,0.9996022275258553,1.0,22617,943193,0,9,Rothia aeria,172042,0.9999875753117302,0.9984383133784487,1.0,7672,958135,0,12
NZ_CP015424.1,3834,Haemophilus,724,0.9996593564632711,0.9937056165267915,0.9999392919051175,43099,922391,56,273,[Haemophilus] ducreyi,730,0.9999896460931086,0.9979134063641106,0.9999979209655037,3826,961983,2,8
NZ_CP013334.1,4930,Fusobacterium,848,0.9999306288238272,0.998502121993842,0.9999860180173978,35997,929755,13,54,Fusobacterium hwasookii,1583098,0.9992845450338004,0.8624746450304259,0.999986470861879,4252,960876,13,678
NZ_CP017038.2,6254,Tannerella,195950,0.9999668674979474,0.9996802046690119,0.9999687358334245,6252,959535,30,2,Tannerella serpentiformis,712710,0.9999968938279326,0.9996802046690119,0.9999989578611141,6252,959564,1,2
NZ_CP012544.1,8074,Campylobacter,194,0.999985504530352,0.999596882558452,0.9999978633642825,29756,936049,2,12,Campylobacter showae,204,0.9999679028886365,0.9961605152340847,1.0,8043,957745,0,31
NZ_CP032364.1,5646,Lachnoanaerobaculum,1164882,0.999992752265176,0.9987601842012044,1.0,5639,960173,0,7,Lachnoanaerobaculum umeaense,617123,0.999992752265176,0.9987601842012044,1.0,5639,960173,0,7
NZ_CP121769.1,3219,Glaesserella,2094023,0.9998250189735344,0.9496738117427772,0.9999927280282568,3057,962593,7,162,Glaesserella parasuis,738,0.9998136296759538,0.9462566014290152,0.9999927280282568,3046,962593,7,173
NZ_CP097335.1,687,Mannheimia,75984,0.9998892131962615,0.9963946869070208,0.999967186704476,21004,944708,31,76,Mannheimia haemolytica,75985,0.9999554782003668,0.9898107714701602,0.999962699402776,680,965096,36,7
NZ_AP019846.1,9329,Leptotrichia,32067,0.9997566831880508,0.994822665221143,0.9999989137778589,44963,920621,1,234,Leptotrichia hongkongensis,554406,0.9994802338740488,0.951334548183085,0.999949816516639,8875,956442,48,454
NZ_CP124126.1,9876,Capnocytophaga,1016,0.999530968017817,0.9966756901475488,0.9999927828665252,134017,831349,6,447,Capnocytophaga canimorsus,28188,0.9994854108274946,0.9504860267314702,0.9999916313001925,9387,955935,8,489
