accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP046313.1,58496,Gemella,1378,0.9982801083943361,0.9707672319474836,0.99999679998976,56786,937494,3,1710,Gemella sanguinis,84135,0.9974889381752683,0.9572449398249453,1.0,55995,937497,0,2501
NZ_CP024700.1,36308,Fusobacterium,848,0.998991960786873,0.9738349675002754,0.9999437315369105,35358,959631,54,950,Fusobacterium pseudoperiodonticum,2663009,0.9894607693025955,0.7109177040872535,0.9999989579914242,25812,959684,1,10496
NZ_CP126745.1,81688,Cutibacterium,1912216,0.9996485919077744,0.9957154049554402,1.0,81338,914305,0,350,Cutibacterium acnes,1747,0.998300188856749,0.9792748016844579,1.0,79995,914305,0,1693
NZ_CP027235.1,39320,Haemophilus,724,0.9995210809714526,0.9878942014242116,0.9999989547107528,38844,956672,1,476,Haemophilus sp. oral taxon 036,712310,0.9922901064565715,0.80470498474059,1.0,31641,956673,0,7679
NZ_CP020566.1,21762,Veillonella,29465,0.9999216861965897,0.9966455289035934,0.9999948677469717,21689,974226,5,73,Veillonella atypica,39777,0.9994929683240745,0.9767944122782832,1.0,21257,974231,0,505
NZ_CP014239.1,13895,Selenomonas,970,0.9999879517225523,0.9991363799928031,1.0,13883,982098,0,12,Selenomonas sp. oral taxon 136,713030,0.9974879341521476,0.8199352284994602,1.0,11393,982098,0,2502
NZ_CP032621.1,4105,Streptococcus,1301,0.9998654609018337,0.9824604141291109,0.9999374929427516,4033,991826,62,72,Streptococcus gwangjuense,1433513,0.9989256952609105,0.7393422655298416,1.0,3035,991888,0,1070
NZ_CP012544.1,32541,Campylobacter,194,0.9998182718151634,0.9948987431240589,0.9999844309835881,32375,963437,15,166,Campylobacter showae,204,0.9994427671680424,0.9829445929750161,1.0,31986,963452,0,555
NZ_AP019829.2,137506,Leptotrichia,32067,0.9931907151957895,0.9507366951260309,0.9999906812799728,130732,858479,8,6774,Leptotrichia wadei,157687,0.9783040643859947,0.8428650386164968,0.9999976703199932,115899,858485,2,21607
NZ_CP027228.1,66856,Mogibacterium,86331,0.9994558194686107,0.9918930238123729,1.0,66314,929137,0,542,Mogibacterium diversum,114527,0.9990582263128356,0.985969845638387,1.0,65918,929137,0,938
NZ_CP019668.1,38267,Burkholderia,32008,0.9996977890406861,0.9921342148587556,1.0,37966,957726,0,301,Burkholderia cenocepacia,95486,0.9835601254225682,0.5721117411869234,1.0,21893,957726,0,16374
NZ_CP083898.1,23459,Zymomonas,541,0.9998463844625414,0.9934779828637197,1.0,23306,972534,0,153,Zymomonas mobilis,542,0.9998463844625414,0.9934779828637197,1.0,23306,972534,0,153
NZ_CP072373.1,78425,Prevotella,838,0.9985602308449959,0.9817150143449155,1.0,76991,917568,0,1434,Prevotella denticola,28129,0.9933322824558004,0.9153203697800446,1.0,71784,917568,0,6641
NZ_CP032364.1,97047,Lachnoanaerobaculum,1164882,0.9992760993300154,0.9925706101167475,1.0,96326,898946,0,721,Lachnoanaerobaculum umeaense,617123,0.9992760993300154,0.9925706101167475,1.0,96326,898946,0,721
NZ_CP027232.1,15257,Capnocytophaga,1016,0.9999618471214156,0.9975748836599594,0.9999989803576089,15220,980735,1,37,Capnocytophaga sp. oral taxon 864,1316593,0.9925029593581481,0.5105853051058531,1.0,7790,980736,0,7467
NZ_CP089305.1,7123,Limosilactobacillus,2742598,0.9996716844395492,0.9540923768075249,1.0,6796,988870,0,327,Limosilactobacillus fermentum,1613,0.9996285114453616,0.9480555945528569,1.0,6753,988870,0,370
NC_001422.1,17432,Sinsheimervirus,1910954,0.9824978689609264,0.0,1.0,0,978561,0,17432,Sinsheimervirus phiX174,10847,0.9824978689609264,0.0,1.0,0,978561,0,17432
NZ_CP050497.1,28738,Treponema,157,0.9999638551676568,0.9991648688148097,0.9999875937575924,28714,967243,12,24,Treponema vincentii,69710,0.9856565256984738,0.50288816201545,1.0,14452,967255,0,14286
NZ_CP008849.1,29690,Alteromonas,226,0.9999196781503484,0.9973391714381947,0.9999989651279154,29611,966302,1,79,Alteromonas australica,589873,0.986220786692276,0.5377568204782756,1.0,15966,966303,0,13724
NZ_CP031255.1,32870,Neisseria,482,0.9994267027981121,0.982628536659568,1.0,32299,963123,0,571,Neisseria elongata,495,0.9981455692961697,0.9438089443261333,1.0,31023,963123,0,1847
NZ_CP054018.1,61774,Rothia,32207,0.9996134510985519,0.9937676044938,1.0,61389,934219,0,385,Rothia dentocariosa,2047,0.998300188856749,0.9725936478129957,1.0,60081,934219,0,1693
NC_000866.4,56966,Tequatrovirus,10663,0.994824260813078,0.9095074254818664,1.0,51811,939027,0,5155,Tequatrovirus T4,10665,0.9631794600966072,0.3562300319488818,1.0,20293,939027,0,36673
NC_002628.3,16468,Methanothermobacter,145260,0.9837197650987507,0.015363128491620111,1.0,253,979525,0,16215,Methanothermobacter wolfeii,145261,0.9835962702549115,0.007894097643915472,1.0,130,979525,0,16338
