accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP041379.1,11673,Bacteroides,816,0.9999015517651869,0.9929752420114795,0.9999837361019909,11591,983758,16,82,Bacteroides intestinalis,329854,0.9992867525845173,0.9391758759530541,1.0,10963,983774,0,710
NZ_CP065983.1,7541,Aggregatibacter,416916,0.999898538043713,0.9866065508553242,1.0,7440,987906,0,101,Aggregatibacter segnis,739,0.9985594411354899,0.8098395438270787,1.0,6107,987906,0,1434
NZ_CP032364.1,18193,Lachnoanaerobaculum,1164882,0.9998603642383773,0.9924146649810367,0.9999989767245773,18055,977253,1,138,Lachnoanaerobaculum umeaense,617123,0.9998603642383773,0.9924146649810367,0.9999989767245773,18055,977253,1,138
NZ_CP033459.1,6696,Pseudoprevotella,2884814,0.9999799085235075,0.9971624850657109,0.9999989886230204,6677,988750,1,19,Pseudoprevotella muciniphila,2133944,0.9999799085235075,0.9971624850657109,0.9999989886230204,6677,988750,1,19
NZ_CP015402.2,17899,Muribaculum,1918540,0.9996855683928928,0.982512989552489,1.0,17586,977548,0,313,Muribaculum intestinale,1796646,0.9995228274333038,0.9734622045924354,1.0,17424,977548,0,475
NZ_CP073277.1,45328,Clostridium,1485,0.9991822769067564,0.9823729262266149,0.9999842125039075,44529,950104,15,799,Clostridium butyricum,1492,0.9749268419112218,0.44939110483586303,0.9999989475002605,20370,950118,1,24958
NZ_CP050134.2,64244,Corynebacterium,1716,0.9999105929296085,0.9986146566216301,1.0,64155,931203,0,89,Corynebacterium matruchotii,43768,0.9998794511410452,0.9981321212875911,1.0,64124,931203,0,120
NZ_CP027235.1,5085,Haemophilus,724,0.9999246569631532,0.9905604719764012,0.9999727372415339,5037,990335,27,48,Haemophilus sp. oral taxon 036,712310,0.9990044673397981,0.8051130776794494,1.0,4094,990362,0,991
NZ_CP046027.1,12861,Neisseria,482,0.9996735135069974,0.9748075577326802,0.9999989822773783,12537,982585,1,324,Neisseria brasiliensis,2666100,0.9994736033158973,0.9592566674442112,1.0,12337,982586,0,524
NZ_AP019822.1,36056,Pseudoleptotrichia,2755140,0.9984509471624305,0.9572331928111826,1.0,34514,959391,0,1542,Pseudoleptotrichia goodfellowii,157692,0.9984509471624305,0.9572331928111826,1.0,34514,959391,0,1542
NZ_CP040121.1,18956,Duncaniella,2518495,0.9996192665204677,0.9801118379404937,0.9999979518500427,18579,976489,2,377,Duncaniella sp. B8,2576606,0.9811109983756041,0.00807132306393754,1.0,153,976491,0,18803
NZ_AP025240.1,7853,Phocaeicola,909656,0.9994655667253003,0.9330192283203871,0.9999939246289468,7327,987588,6,526,Phocaeicola vulgatus,821,0.9984278419644642,0.8010951228829747,0.9999969623144733,6291,987591,3,1562
NZ_AP019735.1,25118,Alistipes,239759,0.9993661139166625,0.9748785731348037,1.0,24487,970329,0,631,Alistipes communis,2585118,0.9991250161987529,0.9653236722669002,1.0,24247,970329,0,871
NZ_CP022022.1,8081,Capnocytophaga,1016,0.9999658444899628,0.9962875881697809,0.9999959488173585,8051,987362,4,30,Capnocytophaga endodontalis,2708117,0.9990476640142569,0.8828115332260859,0.9999989872043397,7134,987365,1,947
NZ_CP127164.1,63272,Bacillus,1386,0.999605202486923,0.9939783790618283,0.9999871268806823,62891,932163,12,381,Bacillus velezensis,492670,0.9381102158125948,0.02629915286382602,1.0,1664,932175,0,61608
NZ_CP045696.1,2048,Sodaliphilus,2815786,0.9999748856543844,0.98779296875,1.0,2023,993399,0,25,Sodaliphilus pleomorphus,2606626,0.9999748856543844,0.98779296875,1.0,2023,993399,0,25
NZ_AP019831.1,3312,Leptotrichia,32067,0.9997980806612506,0.9516908212560387,0.9999586749787075,3152,992094,41,160,Leptotrichia trevisanii,109328,0.99962629853724,0.8882850241545893,0.9999979841453028,2942,992133,2,370
NZ_CP046313.1,7104,Gemella,1378,0.9997960715136014,0.9718468468468469,0.999996964616535,6904,988340,3,200,Gemella sanguinis,84135,0.9997046552955607,0.9586148648648649,1.0,6810,988343,0,294
NZ_CP066560.1,54895,Histophilus,214906,0.9978009878978992,0.9601238728481647,1.0,52706,940552,0,2189,Histophilus somni,731,0.9978009878978992,0.9601238728481647,1.0,52706,940552,0,2189
NZ_CP072373.1,11110,Prevotella,838,0.9997538794129672,0.9791179117911791,0.999986793140967,10878,984324,13,232,Prevotella denticola,28129,0.9990778012289956,0.9174617461746175,0.9999989840877667,10193,984336,1,917
NZ_CP020566.1,34460,Veillonella,29465,0.9999085837819592,0.9973882762623332,0.9999989594031969,34370,960986,1,90,Veillonella atypica,39777,0.9992174369906183,0.9773940800928613,1.0,33681,960987,0,779
NZ_CP121210.1,53299,Riemerella,34084,0.9982349637901365,0.9670350287997899,1.0,51542,942148,0,1757,Riemerella anatipestifer,34085,0.9982349637901365,0.9670350287997899,1.0,51542,942148,0,1757
NZ_CP017038.2,39857,Tannerella,195950,0.9998894968792914,0.9972652231728429,0.9999989535260938,39748,955589,1,109,Tannerella serpentiformis,712710,0.9998834694363437,0.997089595303209,1.0,39741,955590,0,116
NZ_CP008849.1,9933,Alteromonas,226,0.9999718719329106,0.9971811134601832,1.0,9905,985514,0,28,Alteromonas australica,589873,0.9954151250644183,0.5405214940098662,1.0,5369,985514,0,4564
NZ_CP026548.1,18451,Faecalibacterium,216851,0.9994615484300018,0.9709500840062869,1.0,17915,976996,0,536,Faecalibacterium prausnitzii,853,0.9982219043304164,0.9040702400953878,1.0,16681,976996,0,1770
NZ_CP040004.1,37001,Candidatus Nanosynbacter,2093823,0.9998553413692542,0.9961082132915327,1.0,36857,958446,0,144,Candidatus Nanosynbacter featherlites,2572088,0.9995881247319044,0.9889192183995027,1.0,36591,958446,0,410
NZ_CP017042.1,13215,Selenomonas,970,0.9999949771308769,0.9996216420734014,1.0,13210,982232,0,5,Selenomonas sp. oral taxon 920,1884263,0.9998312315974632,0.9872871736662883,1.0,13047,982232,0,168
NZ_CP012196.1,7508,Campylobacter,194,0.9999688582114367,0.9965370271710176,0.9999949389587819,7482,987934,5,26,Campylobacter gracilis,824,0.9999527850302427,0.993740010655301,1.0,7461,987939,0,47
NZ_CP024700.1,53295,Fusobacterium,848,0.9984921346892401,0.971967351533915,0.9999925702009866,51801,942145,7,1494,Fusobacterium pseudoperiodonticum,2663009,0.984542622560518,0.7113050004690872,0.999998938600141,37909,942151,1,15386
