accession_id,total_reads,genus,genus_taxid,genus_accuracy,genus_sensitivity,genus_specificity,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_accuracy,species_sensitivity,species_specificity,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP020468.1,2090,Actinomyces,1654,0.9999839211493162,0.9937799043062201,0.9999969788702183,2077,993003,3,13,Actinomyces gaoshouyii,1960083,0.9999186008184135,0.961244019138756,1.0,2009,993006,0,81
NZ_CP069240.1,17016,Cutibacterium,1912216,0.9999306599564263,0.9960625293841091,0.9999979551774906,16949,978078,2,67,Cutibacterium avidum,33010,0.999708570831357,0.9829572167371885,1.0,16726,978080,0,290
NZ_CP017761.1,1847,Marinilactibacillus,191769,0.9999628176577938,0.9799675148890092,1.0,1810,993249,0,37,Marinilactibacillus sp. 15R,1911586,0.9999628176577938,0.9799675148890092,1.0,1810,993249,0,37
NZ_CP098447.1,5344,Proteus,583,0.9995970238047385,0.9262724550898204,0.9999929275212377,4950,989745,7,394,Proteus mirabilis,584,0.9995065802696423,0.9081212574850299,1.0,4853,989752,0,491
NZ_CP048000.1,1442,Anaerocolumna,1843210,0.9999909556464904,0.9937586685159501,1.0,1433,993654,0,9,Anaerocolumna sedimenticola,2696063,0.9999909556464904,0.9937586685159501,1.0,1433,993654,0,9
NZ_CP066560.1,32951,Histophilus,214906,0.998652391327068,0.9593335558860125,0.9999989606556184,31611,962144,1,1340,Histophilus somni,731,0.998652391327068,0.9593335558860125,0.9999989606556184,31611,962144,1,1340
NZ_CP096671.1,5301,Mediterraneibacter,2316020,0.9997427383890599,0.9522731560083003,0.9999969690693528,5048,989792,3,253,[Ruminococcus] gnavus,33038,0.9997357038918858,0.9509526504433126,0.9999969690693528,5041,989792,3,260
NZ_CP120618.1,2326,Priestia,2800373,0.999822127714311,0.9243336199484092,0.9999989927173464,2150,992769,1,176,Priestia megaterium,1404,0.999477437352778,0.7768701633705933,0.9999989927173464,1807,992769,1,519
NC_074775.1,3790,Kobuvirus,194960,0.9999678422986324,0.99155672823219,1.0,3758,991306,0,32,Aichivirus A,72149,0.9999678422986324,0.99155672823219,1.0,3758,991306,0,32
NZ_CP012196.1,22446,Campylobacter,194,0.9999075466085684,0.996079479640025,0.9999958875237752,22358,972646,4,88,Campylobacter gracilis,824,0.9998412213494979,0.9929608838991357,1.0,22288,972650,0,158
NZ_CP012069.2,1138,Olsenella,133925,0.9999989950718323,0.9991212653778558,1.0,1137,993958,0,1,Olsenella sp. oral taxon 807,712411,0.9999979901436645,0.9982425307557118,1.0,1136,993958,0,2
NZ_CP126312.1,2653,Latilactobacillus,2767885,0.9998211227861432,0.9332830757632868,0.9999989923854569,2476,992442,1,177,Latilactobacillus curvatus,28038,0.9997115856158602,0.8918205804749341,1.0,2366,992443,0,287
NZ_CP077403.1,3045,Jonesia,43673,0.9999839211493162,0.9947454844006568,1.0,3029,992051,0,16,Jonesia denitrificans,43674,0.9999839211493162,0.9947454844006568,1.0,3029,992051,0,16
NZ_CP029197.1,4991,Streptomyces,1883,0.99987136919453,0.9853736726106993,0.9999444503360755,4918,990050,55,73,Streptomyces venezuelae,54571,0.9996603342793057,0.9322781005810459,1.0,4653,990105,0,338
NC_000883.2,2960,Erythroparvovirus,40121,0.9999989950718323,0.9996621621621622,1.0,2959,992136,0,1,Primate erythroparvovirus 1,1511900,0.9999969852154968,0.9989864864864865,1.0,2957,992136,0,3
NZ_CP006683.1,2506,Melissococcus,33969,0.9999537733042843,0.9816440542697525,1.0,2460,992590,0,46,Melissococcus plutonius,33970,0.9999537733042843,0.9816440542697525,1.0,2460,992590,0,46
NZ_CP015402.2,8022,Muribaculum,1918540,0.9998673494818591,0.9836699077536774,0.9999989869047305,7891,987073,1,131,Muribaculum intestinale,1796646,0.9997859503002725,0.9735726751433558,0.9999989869047305,7810,987073,1,212
NZ_CP101412.1,4445,Parvimonas,543311,0.9996824426989959,0.9291338582677166,0.9999989905627713,4130,990650,1,315,Parvimonas micra,33033,0.9996824426989959,0.9291338582677166,0.9999989905627713,4130,990650,1,315
NZ_CP046313.1,12531,Gemella,1378,0.9996382258596156,0.9715904556699385,0.9999959290225074,12175,982561,4,356,Gemella sanguinis,84135,0.9994533190767524,0.9566674646875748,0.9999989822556269,11988,982564,1,543
NZ_CP040121.1,2573,Duncaniella,2518495,0.99994673880711,0.9801787796346677,0.9999979849333467,2522,992521,2,51,Duncaniella sp. B8,2576606,0.9974344183877737,0.00777302759424796,1.0,20,992523,0,2553
NZ_CP072042.1,6720,Akkermansia,239934,0.9999899507183226,0.9985119047619048,1.0,6710,988376,0,10,Akkermansia muciniphila,239935,0.9999768866521421,0.9965773809523809,1.0,6697,988376,0,23
NZ_CP127188.1,21523,Listeria,1637,0.9997990143664531,0.9907540770338708,0.9999989728556564,21324,973572,1,199,Listeria monocytogenes,1639,0.9981800750882327,0.9158574548157785,1.0,19712,973573,0,1811
NZ_CP032819.1,5963,Butyricimonas,574697,0.999269417222057,0.8780815025993627,1.0,5236,989133,0,727,Butyricimonas faecalis,2093856,0.9992473088023668,0.8743920845212142,1.0,5214,989133,0,749
NZ_CP073804.1,5359,Macrococcus,69965,0.9999346796690972,0.988244075387199,0.9999979792611573,5296,989735,2,63,Macrococcus canis,1855823,0.9997417334608922,0.9520432916588916,1.0,5102,989737,0,257
NZ_CP027235.1,7237,Haemophilus,724,0.999897497326891,0.9868730136797015,0.9999929139684914,7142,987852,7,95,Haemophilus sp. oral taxon 036,712310,0.9985589330074687,0.8019897747685505,0.9999989877097845,5804,987858,1,1433
NC_076103.1,1810,Deltavirus,39759,0.9981810800164004,0.0,1.0,0,993286,0,1810,Hepatitis delta virus,12475,0.9981810800164004,0.0,1.0,0,993286,0,1810
NZ_AP019829.2,1804,Leptotrichia,32067,0.9998914677578846,0.9462305986696231,0.9999889257136874,1707,993281,11,97,Leptotrichia wadei,157687,0.9997025412623506,0.8364745011086474,0.9999989932466988,1509,993291,1,295
NZ_CP083175.1,6109,Gardnerella,2701,0.9998804135480396,0.9847765591749877,0.9999737104734441,6016,988961,26,93,Gardnerella vaginalis,2702,0.9996583244229702,0.9484367326894746,0.9999747216090809,5794,988962,25,315
NZ_CP035298.1,6652,Micrococcus,1269,0.9998653396255236,0.9803066746843054,0.9999969649266929,6521,988441,3,131,Micrococcus luteus,1270,0.997834379798532,0.6764882742032472,0.9999969649266929,4500,988441,3,2152
NZ_CP027286.1,11590,Clostridium,1485,0.9997135954721956,0.9772217428817946,0.9999786478170952,11326,983485,21,264,Clostridium chauvoei,46867,0.9995598414625323,0.9622088006902502,1.0,11152,983506,0,438
NZ_CP120398.1,9449,Salmonella,590,0.9995648661033709,0.9545983701979045,0.9999959417519659,9020,985643,4,429,Salmonella enterica,28901,0.9942477911678873,0.3944332733622606,0.999997970875983,3727,985645,2,5722
NZ_CP025330.1,6841,Brevibacterium,1696,0.9997367088200535,0.9617015056278322,1.0,6579,988255,0,262,Brevibacterium aurantiacum,273384,0.9967560918745528,0.5281391609413828,1.0,3613,988255,0,3228
NZ_CP027228.1,8157,Mogibacterium,86331,0.9999266402437553,0.9910506313595685,1.0,8084,986939,0,73,Mogibacterium diversum,114527,0.9998784036917041,0.9851661149932573,1.0,8036,986939,0,121
NZ_CP014150.1,6608,Paeniclostridium,1849828,0.9996904821243378,0.9535411622276029,0.9999989883539304,6301,988487,1,307,Paeniclostridium sordellii,1505,0.9996904821243378,0.9535411622276029,0.9999989883539304,6301,988487,1,307
NZ_CP072236.1,57598,Bacteroides,816,0.9948497431403603,0.9112469182957742,0.9999861333037511,52486,937485,13,5112,Bacteroides uniformis,820,0.9765479913495784,0.5948470433001146,0.9999989333310578,34262,937497,1,23336
NZ_CP065983.1,6060,Aggregatibacter,416916,0.9999105613930717,0.985973597359736,0.9999959556578325,5975,989032,4,85,Aggregatibacter segnis,739,0.9988272488282538,0.8074257425742575,1.0,4893,989036,0,1167
NZ_CP012672.1,4250,Sorangium,39643,0.9998251424988142,0.9590588235294117,1.0,4076,990846,0,174,Sorangium cellulosum,56,0.9960556569416418,0.07647058823529412,1.0,325,990846,0,3925
NZ_CP123971.1,9381,Ligilactobacillus,2767887,0.9997025412623506,0.9684468606758342,1.0,9085,985715,0,296,Ligilactobacillus salivarius,1624,0.9996633490638089,0.964289521372988,1.0,9046,985715,0,335
NC_001612.1,5486,Enterovirus,12059,1.0,1.0,1.0,5486,989610,0,0,Enterovirus A,138948,1.0,1.0,1.0,5486,989610,0,0
NZ_CP033459.1,7387,Pseudoprevotella,2884814,0.9999598028732907,0.9945850819006362,1.0,7347,987709,0,40,Pseudoprevotella muciniphila,2133944,0.9999598028732907,0.9945850819006362,1.0,7347,987709,0,40
NZ_CP013476.1,4851,Turicibacter,191303,0.9999186008184135,0.9837146980004123,0.9999979802978051,4772,990243,2,79,Turicibacter sp. H121,1712675,0.9963320121877688,0.24757781900639045,1.0,1201,990245,0,3650
NC_001348.1,10414,Varicellovirus,10319,0.9999497535916133,0.9951987708853467,1.0,10364,984682,0,50,Human alphaherpesvirus 3,10335,0.9999497535916133,0.9951987708853467,1.0,10364,984682,0,50
NZ_CP124126.1,5936,Capnocytophaga,1016,0.9997738911622597,0.9620956873315364,1.0,5711,989160,0,225,Capnocytophaga canimorsus,28188,0.9994693979274362,0.9110512129380054,1.0,5408,989160,0,528
NZ_CP072385.1,15196,Arachnia,2801844,0.9999477437352778,0.9965780468544354,1.0,15144,979900,0,52,Arachnia propionica,1750,0.999901517039562,0.9935509344564359,1.0,15098,979900,0,98
NZ_CP019668.1,5454,Burkholderia,32008,0.9999638225859615,0.9937660432709937,0.9999979790671778,5420,989640,2,34,Burkholderia cenocepacia,95486,0.9976997194240556,0.5803080308030804,1.0,3165,989642,0,2289
NZ_AP019697.1,9114,Dialister,39948,0.9999829162211485,0.9981347377660742,1.0,9097,985982,0,17,Dialister hominis,2582419,0.9936920658911301,0.3112793504498574,1.0,2837,985982,0,6277
NZ_CP034593.1,6037,Flaviflexus,1522056,0.9999909556464904,0.9985091933079344,1.0,6028,989059,0,9,Flaviflexus ciconiae,2496867,0.9999788965084776,0.996521451051847,1.0,6016,989059,0,21
NZ_CP023474.1,7275,Brevibacillus,55080,0.9999919605746581,0.9991752577319588,0.9999979753416864,7269,987819,2,6,Brevibacillus brevis,1393,0.9995970238047385,0.9448797250859107,1.0,6874,987821,0,401
