"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1","[Clostridium] scindens","75",97.4791465989862,99.997633488281,99.9692407022797,99.7626369045943,97.5139809854373,99.9975658862876,99.969591571922,99.7548330672029
"2","[Clostridium] scindens","150",98.8405124429886,99.9996306380733,99.9923488332111,99.9259630151225,98.8405124429886,99.9994962897448,99.9922151910567,99.8984340435551
"3","[Clostridium] scindens","300",99.141731206406,99.9974852754564,99.9882648854669,99.7537568050427,99.1477819113131,99.9969248044293,99.9878161574031,99.7062296253701
"4","[Eubacterium] brachy","75",0,100,99.3280950269879,100,0,100,98.0702405258617,100
"5","[Eubacterium] brachy","150",0,100,99.3276927339767,100,0,100,98.0691796023932,100
"6","[Eubacterium] brachy","300",0,100,99.3280579490845,100,0,100,98.0687160807051,100
"7","[Eubacterium] nodatum","75",0,100,98.7421454988738,100,0,100,98.0702405258617,100
"8","[Eubacterium] nodatum","150",0,100,98.7414868684165,100,0,100,98.0691796023932,100
"9","[Eubacterium] nodatum","300",0,100,98.7406581316206,100,0,100,98.0687160807051,100
"10","[Haemophilus] ducreyi","75",97.535035035035,99.9996981466202,99.9898281916429,99.9230867837457,96.5288589701945,99.9949644178421,99.8399067600936,99.8887291946776
"11","[Haemophilus] ducreyi","150",99.3884711779449,99.9993928778501,99.993288214104,99.9395161290323,97.7953840854289,99.9954264271674,99.8674672725306,99.9243264171198
"12","[Haemophilus] ducreyi","300",99.7913406364111,99.9997920965504,99.9989646093109,99.9477533960293,99.3705616526791,99.9939291905117,99.9659356463271,99.8702351987023
"13","[Ruminococcus] gnavus","75",92.9669532132786,99.9996729575834,99.972832908041,99.9062433077778,93.1697555263455,99.9976354769371,99.9715796278692,99.3028387916202
"14","[Ruminococcus] gnavus","150",95.6106070217376,99.999546100092,99.9667176741832,99.9266623207301,95.7176645221159,99.9985370212215,99.9665174019351,99.7707039795647
