"","species","75","150","300"
"1","Abiotrophia defectiva",98.1642812694462,99.1759950248756,99.4849383486811
"2","Achromobacter denitrificans",96.8223964466931,99.1519742027478,99.8017034449256
"3","Acinetobacter baumannii",11.3556545084394,17.7108834080589,36.3926275652017
"4","Acinetobacter lwoffii",50.3716883252489,63.4982584618232,73.9043017235075
"5","Acinetobacter nosocomialis",77.3799671679496,89.3326555671451,92.5871884881738
"6","Acinetobacter pittii",50.3822656368768,69.464239010914,79.9121475856428
"7","Actinomyces graevenitzii",0,0,0
"8","Actinomyces israelii",99.3463660765897,99.9352664808988,99.9981316706047
"9","Actinomyces naeslundii",87.2093733489953,91.5540863338753,92.912371513819
"10","Aerococcus sanguinicola",99.5066948555321,99.7181113460183,99.9290780141844
"11","Aerococcus urinae",90.4950495049505,97.6237623762376,99.5039682539683
"12","Aeromonas sobria",0,0,0
"13","Aggregatibacter actinomycetemcomitans",98.5287885209178,99.551976751226,99.7871564096327
"14","Aggregatibacter aphrophilus",97.2845160027419,99.1560614435179,99.490555596565
"15","Bacillus cereus",12.0639534883721,18.8953488372093,29.5918367346939
"16","Bacillus thuringiensis",6.32763401990983,11.3814536063911,19.823638333566
"17","Bacteroides fragilis",94.6548697360052,96.4976690438614,96.9297679670807
"18","Bordetella bronchiseptica",21.4989920184135,35.005324602448,49.5482780520789
"19","Bordetella hinzii",97.9307264306132,99.6483175954111,99.7379644700485
"20","Bordetella holmesii",97.1973266464908,98.4177837140151,98.8357279584514
"21","Bordetella parapertussis",18.8872964945192,35.2538480968831,53.4323210183782
"22","Bordetella petrii",94.2829534821803,95.5707115022762,96.1367468811374
"23","Brevibacillus brevis",70.18755221078,83.223946358737,86.0580239429764
"24","Brevibacillus laterosporus",65.5882352941177,84.1176470588235,94.4117647058823
"25","Brucella anthropi",52.2477074917805,71.9711110158617,83.8990595208443
"26","Burkholderia cenocepacia",43.5704664565346,62.9923493456551,74.8382635386756
"27","Burkholderia gladioli",98.2990890764444,99.5929802174594,99.8397464873153
"28","Burkholderia glumae",94.3696560719201,99.089484893747,99.5486637559669
"29","Burkholderia thailandensis",86.2280120890371,96.7075250134154,99.2600919124378
"30","Campylobacter concisus",99.4588674195466,99.818893115132,99.9456248901362
"31","Campylobacter curvus",99.3672984642508,99.9162525667227,99.9978681674768
"32","Campylobacter fetus",98.0338071999434,99.2007921352288,99.6946456469252
"33","Campylobacter jejuni",18.1628392484342,29.8538622129436,52.7196652719665
"34","Capnocytophaga gingivalis",98.8729573029168,99.4370948292925,99.913934779879
"35","Capnocytophaga leadbetteri",89.1693784977463,97.3588795618697,97.2686907009889
"36","Capnocytophaga sputigena",93.8562747845764,98.9947991324247,99.6608654262768
"37","Cardiobacterium hominis",99.5288204892946,99.9117465686402,99.9622747762591
"38","Cardiobacterium valvarum",0,0,0
"39","Chromobacterium violaceum",95.7390679493863,99.2212741477489,99.6664805353655
"40","Citrobacter freundii",4.11654797924534,6.02754082026105,14.3908663255029
"41","Citrobacter koseri",58.3607538475752,80.4720480824614,91.9038035427902
"42","Clostridioides difficile",96.2644429718154,97.4722409701766,97.8947760842419
"43","Clostridium botulinum",90.4792401369847,97.8718558234025,99.4773546722831
"44","Clostridium perfringens",57.7549276815671,74.237287359944,85.1420108668651
"45","Clostridium tetani",98.7861271676301,99.9421965317919,99.8259860788863
"46","Corynebacterium diphtheriae",97.3973973973974,98.3483483483484,99.3467336683417
"47","Corynebacterium jeikeium",93.8770335714912,95.4741927218586,96.2634111611874
"48","Corynebacterium propinquum",96.1971807338053,98.383784625688,98.9389269532414
"49","Corynebacterium pseudodiphtheriticum",94.9125052809334,96.8779416267312,97.6415888325999
"50","Corynebacterium pseudotuberculosis",98.9771057427584,99.5431086471084,99.780417156485
"51","Corynebacterium striatum",92.9955224033244,96.2130346178157,97.0845501638814
"52","Corynebacterium ulcerans",60.1905509209453,75.0884449385315,84.4238307722905
"53","Cronobacter sakazakii",87.5826566245785,95.67373992769,97.4286544012689
"54","Delftia acidovorans",50.1922420638301,74.2790878820113,87.7741648760557
"55","Dialister pneumosintes",99.8377685708437,99.9988536711183,100
"56","Dolosigranulum pigrum",99.4495703041803,99.6817936790785,99.8289507835792
"57","Eikenella corrodens",97.8869182318054,99.6040208739944,99.8909879550176
"58","Elizabethkingia anophelis",58.8588259402739,80.3057048532162,90.3158722253147
"59","Enterobacter cloacae",86.8737380111055,95.8970880524971,98.0014241633041
"60","Enterococcus avium",93.2185252075495,94.4816223067174,95.3131003743591
"61","Enterococcus faecalis",76.5066394279877,91.4070480081716,97.5394079200308
"62","Enterococcus faecium",21.4596010963887,29.7611182813511,42.9932002371558
"63","Erysipelothrix rhusiopathiae",89.5244938615875,96.9228977077898,98.405017861936
"64","Escherichia coli",14.0148970087998,21.5928005436831,49.8598356150695
"65","Eubacterium limosum",86.637842876002,91.9837577814664,93.9874209306042
"66","Finegoldia magna",91.9094807129956,94.5388105090814,96.4173968157444
"67","Fusobacterium necrophorum",99.3530472921452,99.89775356649,99.9654960455468
"68","Fusobacterium nucleatum",72.7142491131894,88.7201065154222,93.9867049067407
"69","Gardnerella vaginalis",96.4698035733755,97.5628651870193,98.3751412555215
"70","Gemella haemolysans",98.3070087778158,99.7423081562985,99.9025446237193
"71","Gemella morbillorum",92.3005996288175,95.1365201946109,95.6732116456591
"72","Gordonia araii",0,0,0
"73","Gordonia bronchialis",97.7713700190236,98.6775427586777,99.0343324866059
"74","Haemophilus aegyptius",11.1222995239839,18.9033321127792,26.5583402184889
"75","Haemophilus haemolyticus",86.1468838078507,96.5280674685342,98.7906809124568
"76","Haemophilus influenzae",77.9696533718708,93.3747344558524,97.7806411656128
"77","Haemophilus parahaemolyticus",98.0169807237996,99.4599936070817,99.647573031465
"78","Haemophilus parainfluenzae",97.0516138299413,99.0492748075153,99.4983611043461
"79","Haemophilus pittmaniae",97.3774581928303,99.1548523752844,99.6484450546337
"80","Hafnia alvei",73.5754789088953,89.2444716859571,96.2740176839561
"81","Helicobacter pylori",99.6153371334779,99.9233610058577,99.9764039859923
"82","Heyndrickxia coagulans",54.9331575974393,75.0162548583346,88.9521579404919
"83","Hoylesella pleuritidis",0,0,0
"84","Kingella denitrificans",96.9705036076842,99.4323718178939,99.6291351074881
"85","Kingella kingae",93.9729189882843,97.5860531051545,98.8670239762104
"86","Klebsiella oxytoca",86.5559307505699,93.2219413132992,95.5656735963665
"87","Klebsiella pneumoniae",22.5390062033962,37.351209121664,62.4213440724893
"88","Klebsiella quasipneumoniae",23.1844949045213,40.1693413060094,60.6964456339713
