"","species","75","150","300"
"1","Aichivirus A",100,100,100
"2","Alphapapillomavirus 9",100,100,100
"3","Betacoronavirus 1",100,100,100
"4","Betapolyomavirus hominis",100,100,100
"5","Enterovirus A",99.9648636441883,99.947504447913,99.941499334301
"6","Enterovirus B",99.9973733385849,99.9973750660702,99.996009197004
"7","Enterovirus D",99.9999415806295,99.9995685053727,99.9983202527915
"8","Erythroparvovirus primate1",100,100,100
"9","Hepatitis delta virus",100,100,100
"10","Hepatovirus A",100,100,100
"11","Human coronavirus 229E",100,100,100
"12","Human coronavirus HKU1",99.9990109839648,99.9999140403117,100
"13","Human coronavirus NL63",100,100,100
"14","Human immunodeficiency virus 2",100,100,100
"15","Human mastadenovirus B",99.9998665875902,100,100
"16","Human mastadenovirus C",100,100,100
"17","Human mastadenovirus E",100,100,100
"18","Human rhinovirus sp.",100,100,100
"19","Metapneumovirus hominis",100,100,100
"20","Norwalk virus",100,100,100
"21","Orthopneumovirus hominis",100,100,100
"22","Orthorubulavirus hominis",100,100,100
"23","Orthorubulavirus laryngotracheitidis",100,100,100
"24","Parechovirus A",100,100,100
"25","Parechovirus B",100,100,100
"26","Respirovirus laryngotracheitidis",100,100,100
"27","Rhinovirus A",99.9981233581352,99.9973020612332,99.9964189856646
"28","Rhinovirus B",100,99.9999128179421,100
"29","Rhinovirus C",99.9999649704789,100,100
"30","Rubivirus rubellae",100,100,100
"31","Sapporo virus",100,100,100
"32","Severe acute respiratory syndrome-related coronavirus",100,100,100
"33","Simplexvirus macacinealpha1",100,100,100
"34","Varicellovirus humanalpha3",100,100,100
