"","species","species_sensitivity","accession_id","sample_name","read_length","total_reads","sum_reads","taxon_abundance"
"1","Helicobacter pylori",99.8654708520179,"NZ_CP071986.1","throat_non_pathogen_01","150",4460,999940,0.44602676
"2","Peptoniphilus harei",93.9338235294118,"NZ_CP068103.1","throat_non_pathogen_01","150",3808,999940,0.38082285
"3","Rothia dentocariosa",99.1949699126758,"NZ_CP054018.1","throat_non_pathogen_01","150",148069,999940,14.80778847
"4","Collinsella aerofaciens",99.0507230889791,"NZ_CP040348.1","throat_non_pathogen_01","150",56148,999940,5.61513691
"5","Peptacetobacter hiranonis",99.5844625112918,"NZ_CP066811.1","throat_non_pathogen_01","150",5535,999940,0.55353321
"6","Pseudoprevotella muciniphila",99.927593946854,"NZ_CP033459.1","throat_non_pathogen_01","150",13811,999940,1.38118287
"7","Mogibacterium diversum",99.4579401726561,"NZ_CP027228.1","throat_non_pathogen_01","150",4981,999940,0.49812989
"8","Eggerthella lenta",99.2104957622199,"NZ_AP025575.1","throat_non_pathogen_01","150",8613,999940,0.86135168
"9","Macrococcoides canis",97.8021978021978,"NZ_CP073804.1","throat_non_pathogen_01","150",5824,999940,0.58243495
"10","Corynebacterium matruchotii",99.9931153184165,"NZ_CP050134.2","throat_non_pathogen_01","150",43575,999940,4.35776147
"11","Staphylococcus simulans",99.3606998654105,"NZ_CP017428.1","throat_non_pathogen_01","150",5944,999940,0.59443567
"12","Jonesia denitrificans",99.9666205712651,"NZ_CP077403.1","throat_non_pathogen_01","150",20971,999940,2.09722583
"13","Roseburia hominis",95.3778888194878,"NZ_CP117966.1","throat_non_pathogen_01","150",6404,999940,0.64043843
"14","Georgenia yuyongxinii",99.8925886143931,"NZ_CP040915.1","throat_non_pathogen_01","150",3724,999940,0.37242235
"15","Dermabacter jinjuensis",85.4660999463541,"NZ_CP023482.1","throat_non_pathogen_01","150",24233,999940,2.42344541
"16","Tannerella serpentiformis",99.9893446989878,"NZ_CP017038.2","throat_non_pathogen_01","150",9385,999940,0.93855631
"17","Streptomyces venezuelae",97.6186114673017,"NZ_CP029197.1","throat_non_pathogen_01","150",5459,999940,0.54593276
"18","Olsenella sp. oral taxon 807",100,"NZ_CP012069.2","throat_non_pathogen_01","150",14706,999940,1.47068824
"19","Aerococcus christensenii",98.5618796840186,"NZ_CP118095.1","throat_non_pathogen_01","150",9874,999940,0.98745925
"20","Selenomonas sp. oral taxon 920",99.6019108280255,"NZ_CP017042.1","throat_non_pathogen_01","150",2512,999940,0.25121507
"21","Paenibacillus polymyxa",95.9684727563492,"NZ_CP097775.1","throat_non_pathogen_01","150",131315,999940,13.13228794
"22","Chryseobacterium indologenes",97.5415282392027,"NZ_CP120209.1","throat_non_pathogen_01","150",1505,999940,0.15050903
"23","Veillonella atypica",99.5157943278764,"NZ_CP020566.1","throat_non_pathogen_01","150",4337,999940,0.43372602
"24","Sporosarcina ureae",99.5744059923636,"NZ_CP015348.1","throat_non_pathogen_01","150",41119,999940,4.11214673
"25","Clostridium chauvoei",99.1302578709119,"NZ_CP027286.1","throat_non_pathogen_01","150",19661,999940,1.96621797
"26","Flavobacterium columnare",96.395757438989,"NZ_CP054494.1","throat_non_pathogen_01","150",31019,999940,3.10208613
"27","Turicibacter sp. H121",40.6322580645161,"NZ_CP013476.1","throat_non_pathogen_01","150",7750,999940,0.7750465
"28","Pediococcus pentosaceus",99.6352660042762,"NZ_CP085178.1","throat_non_pathogen_01","150",7951,999940,0.79514771
"29","Marinilactibacillus sp. 15R",98.7337562064951,"NZ_CP017761.1","throat_non_pathogen_01","150",42093,999940,4.20955257
"30","Candidatus Nanosynbacter featherlites",99.6353691886964,"NZ_CP040004.1","throat_non_pathogen_01","150",2194,999940,0.21941316
"31","Lactococcus raffinolactis",97.4516323388303,"NZ_CP047630.1","throat_non_pathogen_01","150",44813,999940,4.48156889
"32","Pelosinus sp. UFO1",99.9071494893222,"NZ_CP008852.1","throat_non_pathogen_01","150",5385,999940,0.53853231
"33","Butyricimonas faecalis",88.5760257441673,"NZ_CP032819.1","throat_non_pathogen_01","150",2486,999940,0.24861492
"34","Actinobaculum sp. 313",99.926854754441,"NZ_CP029033.1","throat_non_pathogen_01","150",9570,999940,0.95705742
"35","Sodaliphilus pleomorphus",99.1480543403177,"NZ_CP045696.1","throat_non_pathogen_01","150",4343,999940,0.43432606
"36","Brevibacterium aurantiacum",71.1246509266311,"NZ_CP025330.1","throat_non_pathogen_01","150",19695,999940,1.96961818
"37","Gemella sanguinis",99.1418811963676,"NZ_CP046313.1","throat_non_pathogen_01","150",12003,999940,1.20037202
"38","Vagococcus zengguangii",99.5383390819846,"NZ_CP039712.1","throat_non_pathogen_01","150",37690,999940,3.76922615
"39","Bacillus subtilis",6.45932251999618,"NZ_CP098491.1","throat_non_pathogen_01","150",31381,999940,3.1382883
"40","Campylobacter gracilis",99.978282115322,"NZ_CP012196.1","throat_non_pathogen_01","150",9209,999940,0.92095526
"41","Faecalibacterium prausnitzii",95.3428424127857,"NZ_CP026548.1","throat_non_pathogen_01","150",5819,999940,0.58193492
"42","Alistipes communis",97.5657732972707,"NZ_AP019735.1","throat_non_pathogen_01","150",8134,999940,0.81344881
"43","Propionibacterium acidifaciens",99.9752073799366,"NZ_CP033719.1","throat_non_pathogen_01","150",96803,999940,9.68088085
"44","Sporomusa termitida",99.9537999537999,"NZ_CP036259.1","throat_non_pathogen_01","150",4329,999940,0.43292598
"45","Phocaeicola dorei",83.4202481568063,"NZ_CP072246.1","throat_non_pathogen_01","150",5561,999940,0.55613337
"46","Bifidobacterium longum",91.7669140858289,"NZ_CP040235.1","throat_non_pathogen_01","150",11721,999940,1.17217033
"47","Brochothrix thermosphacta",100,"NZ_CP016839.1","throat_non_pathogen_01","150",4018,999940,0.40182411
"48","Helicobacter pylori",100,"NZ_CP071986.1","throat_non_pathogen_01","300",4448,996429,0.44639407
"49","Peptoniphilus harei",95.4401686874012,"NZ_CP068103.1","throat_non_pathogen_01","300",3794,996429,0.38075969
"50","Rothia dentocariosa",99.4292299349241,"NZ_CP054018.1","throat_non_pathogen_01","300",147520,996429,14.80486818
"51","Collinsella aerofaciens",99.2831605291384,"NZ_CP040348.1","throat_non_pathogen_01","300",55940,996429,5.61404776
"52","Peptacetobacter hiranonis",99.5650598042769,"NZ_CP066811.1","throat_non_pathogen_01","300",5518,996429,0.55377754
"53","Pseudoprevotella muciniphila",99.9564586357039,"NZ_CP033459.1","throat_non_pathogen_01","300",13780,996429,1.38293847
"54","Mogibacterium diversum",99.7581620314389,"NZ_CP027228.1","throat_non_pathogen_01","300",4962,996429,0.49797828
"55","Eggerthella lenta",99.6039142590867,"NZ_AP025575.1","throat_non_pathogen_01","300",8584,996429,0.86147633
"56","Macrococcoides canis",98.3643250688705,"NZ_CP073804.1","throat_non_pathogen_01","300",5808,996429,0.58288147
"57","Corynebacterium matruchotii",100,"NZ_CP050134.2","throat_non_pathogen_01","300",43431,996429,4.35866479
"58","Staphylococcus simulans",99.6288798920378,"NZ_CP017428.1","throat_non_pathogen_01","300",5928,996429,0.59492448
"59","Jonesia denitrificans",99.9904310798526,"NZ_CP077403.1","throat_non_pathogen_01","300",20901,996429,2.0975905
"60","Roseburia hominis",96.1906254898887,"NZ_CP117966.1","throat_non_pathogen_01","300",6379,996429,0.6401861
"61","Georgenia yuyongxinii",100,"NZ_CP040915.1","throat_non_pathogen_01","300",3709,996429,0.37222923
"62","Dermabacter jinjuensis",89.7448641484427,"NZ_CP023482.1","throat_non_pathogen_01","300",24144,996429,2.42305272
"63","Tannerella serpentiformis",100,"NZ_CP017038.2","throat_non_pathogen_01","300",9354,996429,0.93875228
"64","Streptomyces venezuelae",98.5113030692887,"NZ_CP029197.1","throat_non_pathogen_01","300",5441,996429,0.54604994
"65","Olsenella sp. oral taxon 807",100,"NZ_CP012069.2","throat_non_pathogen_01","300",14646,996429,1.46984883
"66","Aerococcus christensenii",98.8419341731004,"NZ_CP118095.1","throat_non_pathogen_01","300",9844,996429,0.98792789
"67","Selenomonas sp. oral taxon 920",99.8001598721023,"NZ_CP017042.1","throat_non_pathogen_01","300",2502,996429,0.25109667
"68","Paenibacillus polymyxa",97.8254225373636,"NZ_CP097775.1","throat_non_pathogen_01","300",130876,996429,13.13450331
"69","Chryseobacterium indologenes",97.9986657771848,"NZ_CP120209.1","throat_non_pathogen_01","300",1499,996429,0.15043721
"70","Veillonella atypica",99.837925445705,"NZ_CP020566.1","throat_non_pathogen_01","300",4319,996429,0.43344784
"71","Sporosarcina ureae",99.8022654037692,"NZ_CP015348.1","throat_non_pathogen_01","300",40964,996429,4.11108067
"72","Clostridium chauvoei",99.5100540981933,"NZ_CP027286.1","throat_non_pathogen_01","300",19594,996429,1.96642209
"73","Flavobacterium columnare",98.2729624838292,"NZ_CP054494.1","throat_non_pathogen_01","300",30920,996429,3.1030811
"74","Turicibacter sp. H121",52.4919093851133,"NZ_CP013476.1","throat_non_pathogen_01","300",7725,996429,0.77526848
"75","Pediococcus pentosaceus",99.8610935724208,"NZ_CP085178.1","throat_non_pathogen_01","300",7919,996429,0.79473801
"76","Marinilactibacillus sp. 15R",99.0578189104093,"NZ_CP017761.1","throat_non_pathogen_01","300",41924,996429,4.20742471
"77","Candidatus Nanosynbacter featherlites",99.6342021033379,"NZ_CP040004.1","throat_non_pathogen_01","300",2187,996429,0.21948378
"78","Lactococcus raffinolactis",98.7120329719559,"NZ_CP047630.1","throat_non_pathogen_01","300",44644,996429,4.48039951
"79","Pelosinus sp. UFO1",100,"NZ_CP008852.1","throat_non_pathogen_01","300",5368,996429,0.53872378
"80","Butyricimonas faecalis",89.1400888171175,"NZ_CP032819.1","throat_non_pathogen_01","300",2477,996429,0.24858771
"81","Actinobaculum sp. 313",99.9895112229914,"NZ_CP029033.1","throat_non_pathogen_01","300",9534,996429,0.95681679
"82","Sodaliphilus pleomorphus",99.4453431938988,"NZ_CP045696.1","throat_non_pathogen_01","300",4327,996429,0.43425071
"83","Brevibacterium aurantiacum",81.1627432997045,"NZ_CP025330.1","throat_non_pathogen_01","300",19626,996429,1.96963356
"84","Gemella sanguinis",99.4984535651592,"NZ_CP046313.1","throat_non_pathogen_01","300",11963,996429,1.2005873
"85","Vagococcus zengguangii",99.7471117499867,"NZ_CP039712.1","throat_non_pathogen_01","300",37566,996429,3.77006289
"86","Bacillus subtilis",17.7541098957334,"NZ_CP098491.1","throat_non_pathogen_01","300",31266,996429,3.1378051
"87","Campylobacter gracilis",100,"NZ_CP012196.1","throat_non_pathogen_01","300",9182,996429,0.92149064
"88","Faecalibacterium prausnitzii",96.8442834971547,"NZ_CP026548.1","throat_non_pathogen_01","300",5799,996429,0.58197824
"89","Alistipes communis",98.0019733596448,"NZ_AP019735.1","throat_non_pathogen_01","300",8108,996429,0.81370574
"90","Propionibacterium acidifaciens",99.9917068366765,"NZ_CP033719.1","throat_non_pathogen_01","300",96465,996429,9.6810711
"91","Sporomusa termitida",100,"NZ_CP036259.1","throat_non_pathogen_01","300",4308,996429,0.4323439
"92","Phocaeicola dorei",86.054483131878,"NZ_CP072246.1","throat_non_pathogen_01","300",5543,996429,0.5562865
"93","Bifidobacterium longum",94.6255883611468,"NZ_CP040235.1","throat_non_pathogen_01","300",11685,996429,1.17268767
"94","Brochothrix thermosphacta",99.9500998003992,"NZ_CP016839.1","throat_non_pathogen_01","300",4008,996429,0.40223639
"95","Helicobacter pylori",99.5292535305985,"NZ_CP071986.1","throat_non_pathogen_01","75",4461,999856,0.44616425
"96","Peptoniphilus harei",91.7016806722689,"NZ_CP068103.1","throat_non_pathogen_01","75",3808,999856,0.38085484
"97","Rothia dentocariosa",98.0097251300061,"NZ_CP054018.1","throat_non_pathogen_01","75",148070,999856,14.80913252
"98","Collinsella aerofaciens",98.6482635796972,"NZ_CP040348.1","throat_non_pathogen_01","75",56150,999856,5.61580868
"99","Peptacetobacter hiranonis",98.2836495031617,"NZ_CP066811.1","throat_non_pathogen_01","75",5535,999856,0.55357972
"100","Pseudoprevotella muciniphila",99.7828132918265,"NZ_CP033459.1","throat_non_pathogen_01","75",13813,999856,1.38149894
"101","Mogibacterium diversum",98.0927524593455,"NZ_CP027228.1","throat_non_pathogen_01","75",4981,999856,0.49817174
"102","Eggerthella lenta",97.5386044351562,"NZ_AP025575.1","throat_non_pathogen_01","75",8613,999856,0.86142405
"103","Macrococcoides canis",95.5894971683542,"NZ_CP073804.1","throat_non_pathogen_01","75",5827,999856,0.58278392
"104","Corynebacterium matruchotii",99.8554349572042,"NZ_CP050134.2","throat_non_pathogen_01","75",43579,999856,4.35852763
"105","Staphylococcus simulans",98.9064602960969,"NZ_CP017428.1","throat_non_pathogen_01","75",5944,999856,0.59448561
"106","Jonesia denitrificans",99.6423632635544,"NZ_CP077403.1","throat_non_pathogen_01","75",20971,999856,2.09740203
"107","Roseburia hominis",93.5977514053716,"NZ_CP117966.1","throat_non_pathogen_01","75",6404,999856,0.64049223
"108","Georgenia yuyongxinii",99.6508192318023,"NZ_CP040915.1","throat_non_pathogen_01","75",3723,999856,0.37235362
"109","Dermabacter jinjuensis",75.1970616152862,"NZ_CP023482.1","throat_non_pathogen_01","75",24231,999856,2.42344898
"110","Tannerella serpentiformis",99.8295151838039,"NZ_CP017038.2","throat_non_pathogen_01","75",9385,999856,0.93863516
"111","Streptomyces venezuelae",90.4378091225499,"NZ_CP029197.1","throat_non_pathogen_01","75",5459,999856,0.54597862
"112","Olsenella sp. oral taxon 807",99.9387880024485,"NZ_CP012069.2","throat_non_pathogen_01","75",14703,999856,1.47051175
"113","Aerococcus christensenii",98.0854943273906,"NZ_CP118095.1","throat_non_pathogen_01","75",9872,999856,0.98734218
"114","Selenomonas sp. oral taxon 920",98.7261146496815,"NZ_CP017042.1","throat_non_pathogen_01","75",2512,999856,0.25123618
"115","Paenibacillus polymyxa",90.4855463157574,"NZ_CP097775.1","throat_non_pathogen_01","75",131316,999856,13.13349122
"116","Chryseobacterium indologenes",95.1495016611296,"NZ_CP120209.1","throat_non_pathogen_01","75",1505,999856,0.15052168
"117","Veillonella atypica",98.3156437471158,"NZ_CP020566.1","throat_non_pathogen_01","75",4334,999856,0.43346242
"118","Sporosarcina ureae",99.1925284560755,"NZ_CP015348.1","throat_non_pathogen_01","75",41116,999856,4.11219216
"119","Clostridium chauvoei",97.3958598240171,"NZ_CP027286.1","throat_non_pathogen_01","75",19661,999856,1.96638316
"120","Flavobacterium columnare",91.355230828915,"NZ_CP054494.1","throat_non_pathogen_01","75",30932,999856,3.09364548
