read_accession_id,taxid,count
NZ_CP015905.2,1358,3273
NZ_CP015905.2,1359,16
NZ_CP015905.2,1104322,1
NZ_CP015905.2,1357,83
NZ_CP015905.2,1360,688
NZ_CP015905.2,272623,8
NZ_CP015905.2,1117941,16
NZ_CP015905.2,44688,9
NZ_CP015905.2,1046624,74
NZ_CP015905.2,684738,2
NZ_CP015905.2,2,15
NZ_CP015905.2,1111678,1
NZ_CP015905.2,186826,4
NZ_CP015905.2,1,7
NZ_CP015905.2,2899121,1
NZ_CP015905.2,1280,1
NZ_CP015905.2,1151742,2
NZ_CP015905.2,283734,1
NZ_CP015905.2,929102,8
NZ_CP015905.2,3046383,1
NZ_CP015905.2,1428,1
NZ_CP015905.2,1311,1
NZ_CP015905.2,2879149,2
NZ_CP015905.2,889378,1
NZ_CP015905.2,2321403,1
NZ_CP015905.2,91061,1
NZ_CP015905.2,1300,1
NZ_CP015905.2,1402,1
NZ_CP015905.2,1281486,1
NZ_CP015905.2,1449093,1
NZ_CP015905.2,572511,1
NZ_CP015905.2,1111760,1
NZ_CP015905.2,357809,1
NZ_CP015905.2,186817,1
NZ_CP015905.2,1783272,1
NZ_CP015905.2,28037,1
NZ_CP012069.2,712411,69194
NZ_CP032364.1,617123,5762
NZ_CP032364.1,2,1
NZ_CP031057.1,1748,7016
NZ_CP031057.1,1912215,36
NZ_CP031057.1,1171373,43
NZ_CP031057.1,33889,1
NZ_CP031057.1,1760,14
NZ_CP031057.1,1749,2
NZ_CP031057.1,257496,1
NZ_CP031057.1,31957,8
NZ_CP031057.1,706439,1
NZ_CP031057.1,2942909,1
NZ_CP031057.1,2057246,1
NZ_CP008849.1,589873,1840
NZ_CP008849.1,226,153
NZ_CP008849.1,2614992,3
NZ_CP008849.1,2785913,7
NZ_CP008849.1,67572,1
NZ_CP008849.1,72275,1
NZ_CP008849.1,1858656,1
NZ_CP014150.1,1505,10373
NZ_CP014150.1,1849822,10
NZ_CP014150.1,1490,1
NZ_CP014150.1,1239,9
NZ_CP014150.1,89152,1
NZ_CP014150.1,186804,1
NZ_CP014150.1,186801,2
NZ_CP019668.1,87882,2506
NZ_CP019668.1,95486,10977
NZ_CP019668.1,32008,118
NZ_CP019668.1,292,146
NZ_CP019668.1,1503055,36
NZ_CP019668.1,488447,104
NZ_CP019668.1,488731,37
NZ_CP019668.1,488446,35
NZ_CP019668.1,1503054,13
NZ_CP019668.1,179879,93
NZ_CP019668.1,488730,49
NZ_CP019668.1,406425,56
NZ_CP019668.1,1055524,25
NZ_CP019668.1,488729,29
NZ_CP019668.1,60550,105
NZ_CP019668.1,95485,34
NZ_CP019668.1,87883,69
NZ_CP019668.1,482957,56
NZ_CP019668.1,1207504,25
NZ_CP019668.1,152500,28
NZ_CP019668.1,152480,52
NZ_CP019668.1,101571,44
NZ_CP019668.1,1009846,26
NZ_CP019668.1,2015348,4
NZ_CP019668.1,1385591,1
NZ_CP019668.1,41899,1
NZ_CP019668.1,28450,2
NZ_CP019668.1,2217913,1
NZ_CP019668.1,265293,6
NZ_CP019668.1,488732,23
NZ_CP019668.1,1637869,1
NZ_CP019668.1,13373,1
NZ_CP019668.1,1637853,3
NZ_CP019668.1,60552,6
NZ_CP019668.1,28095,1
NZ_CP019668.1,119060,3
NZ_CP019668.1,395019,4
NZ_CP019668.1,331272,2
NZ_CP019668.1,2811788,1
NZ_CP019668.1,1561003,1
NZ_CP019668.1,2613784,1
NZ_CP019668.1,1249668,1
NZ_CP019668.1,1249475,1
NZ_CP019668.1,1494466,1
NZ_CP029462.1,2144175,16556
NZ_CP029462.1,2,36
NZ_CP029462.1,1239,41
NZ_CP029462.1,33959,1
NZ_CP029462.1,906,6
NZ_CP029462.1,186802,1
NZ_CP029462.1,853,2
NZ_CP029462.1,1685,1
NZ_CP029462.1,2500547,1
NZ_CP029462.1,1604,1
NZ_CP029462.1,48296,1
NZ_CP029462.1,1496,1
NZ_CP029462.1,186801,2
NZ_CP029462.1,1783272,1
NZ_CP029462.1,216816,1
NZ_CP029462.1,1261635,1
NZ_CP029462.1,2871826,1
NZ_CP029462.1,292800,1
NZ_CP034157.1,237258,7640
NZ_CP034157.1,501783,94
NZ_CP034157.1,2004710,25
NZ_CP034157.1,2762318,5
NZ_CP034157.1,2929800,1
NZ_CP034157.1,2976818,12
NZ_CP034157.1,976,5
NZ_CP034157.1,76832,1
NZ_CP034157.1,200644,1
NZ_CP034157.1,536441,1
NZ_CP034157.1,2487072,2
NZ_CP034157.1,59732,1
NZ_CP125315.1,47715,9504
NZ_CP125315.1,2759736,55
NZ_CP125315.1,1597,3
NZ_CP125315.1,1088720,10
NZ_CP125315.1,91061,4
NZ_CP125315.1,113557,1
NZ_CP125315.1,1380361,4
NZ_CP125315.1,186826,4
NZ_CP125315.1,1578,1
NZ_CP125315.1,1624,3
NZ_CP125315.1,1584,1
NZ_CP125315.1,568704,5
NZ_CP125315.1,33958,6
NZ_CP125315.1,1316933,1
NZ_CP125315.1,1428,1
NZ_CP125315.1,171523,1
NZ_CP125315.1,1423723,1
NZ_CP125315.1,568703,2
NZ_CP125315.1,1318634,3
NZ_CP125315.1,29397,1
NZ_CP026548.1,853,593
NZ_CP026548.1,186801,4
NZ_CP026548.1,718252,12
NZ_CP026548.1,2929492,1
NZ_CP026548.1,1239,1
NZ_CP026548.1,216851,8
NZ_CP026548.1,3030639,2
NZ_CP017038.2,712710,2931
NZ_CP017042.1,1884263,9448
NZ_CP017042.1,970,16
NZ_CP017042.1,135079,1
NZ_CP017042.1,2637378,1
NZ_AP019822.1,157692,13317
NZ_AP019822.1,1129771,1
NZ_CP123971.1,1624,12743
NZ_CP123971.1,91061,30
NZ_CP123971.1,712961,224
NZ_CP123971.1,362948,67
NZ_CP123971.1,1194971,69
NZ_CP123971.1,68892,1
NZ_CP123971.1,186826,11
NZ_CP123971.1,1280,12
NZ_CP123971.1,89093,1
NZ_CP123971.1,1622,3
NZ_CP123971.1,2767887,15
NZ_CP123971.1,1352,11
NZ_CP123971.1,1074919,1
NZ_CP123971.1,33958,5
