read_accession_id,taxid,count
NZ_CP058277.1,1781,2978
NZ_CP058277.1,133549,20
NZ_CP058277.1,1124626,29
NZ_CP058277.1,2993898,1063
NZ_CP058277.1,216594,46
NZ_CP058277.1,1809,48
NZ_CP058277.1,1763,14
NZ_CP058277.1,265949,18
NZ_CP058277.1,1131442,6
NZ_CP058277.1,459424,1
NZ_CP058277.1,77643,1
NZ_CP058277.1,362242,1
NC_002628.3,1,3032
NC_002628.3,145260,91
NC_002628.3,3981,2
NC_002628.3,90675,25
NC_002628.3,131567,2
NC_002628.3,2606911,38
NC_002628.3,2249226,2
NC_002628.3,173824,92
NC_002628.3,3911,44
NC_002628.3,87458,61
NC_002628.3,145261,114
NC_002628.3,86752,1
NC_002628.3,34305,1
NC_002628.3,3469,4
NC_002628.3,4072,1
NC_002628.3,511,1
NC_002628.3,145971,1
NC_002628.3,3369,8
NC_002628.3,9606,8
NC_002628.3,79200,2
NC_002628.3,98403,1
NC_002628.3,931890,1
NC_002628.3,1094466,1
NC_002628.3,96939,1
NC_002628.3,3635,2
NC_002628.3,77048,18
NC_002628.3,1280,1
NC_002628.3,2518176,1
NC_002628.3,29695,1
NC_002628.3,3705,1
NC_002628.3,4236,1
NC_002628.3,3750,1
NC_002628.3,424551,1
NC_002628.3,29722,2
NC_002628.3,47858,1
NC_002628.3,91888,1
NC_002628.3,32201,2
NC_002628.3,217475,2
NC_002628.3,3633,1
NC_002628.3,1447062,2
NC_002628.3,3818,1
NC_002628.3,59895,1
NC_002628.3,5506,1
NC_002628.3,3641,1
NC_002628.3,51953,3
NC_002628.3,180675,1
NC_002628.3,3885,2
NC_002628.3,67352,1
NC_002628.3,253017,2
NC_002628.3,3888,4
NC_002628.3,237,1
NC_002628.3,112509,1
NC_002628.3,3702,1
NC_002628.3,1002546,1
NC_002628.3,35885,2
NC_002628.3,3817,6
NC_002628.3,4107,2
NC_002628.3,762833,1
NC_002628.3,214687,1
NC_002628.3,165200,2
NC_002628.3,359110,1
NC_002628.3,145263,2
NC_002628.3,3486,2
NC_002628.3,38727,1
NC_002628.3,29729,3
NC_002628.3,47760,1
NC_002628.3,1821552,1
NC_002628.3,3562,1
NC_002628.3,2932258,1
NC_002628.3,29760,1
NC_002628.3,162156,1
NC_002628.3,112874,1
NC_002628.3,1648030,3
NC_002628.3,2750995,1
NC_002628.3,226208,1
NC_002628.3,1437201,2
NC_002628.3,3024400,1
NC_002628.3,4081,2
NC_002628.3,444051,1
NC_002628.3,2590900,1
NC_002628.3,72917,1
NC_002628.3,71139,1
NC_002628.3,89674,1
NC_002628.3,53344,1
NC_002628.3,3193,1
NC_002628.3,3983,1
NC_002628.3,4558,1
NC_002628.3,332648,1
NC_002628.3,28118,1
NC_002628.3,28132,1
NC_002628.3,3871,1
NC_002628.3,3483,1
NC_002628.3,1462606,2
NC_002628.3,2742132,1
NC_002628.3,338,1
NC_002628.3,2847778,1
NC_002628.3,55363,1
NC_002628.3,676965,1
NC_002628.3,4565,2
NC_002628.3,3691,1
NC_002628.3,3689,1
NC_002628.3,666859,1
NC_002628.3,1563222,1
NC_002628.3,1742359,1
NC_002628.3,3914,1
NC_002628.3,4232,1
NC_002628.3,1324350,1
NC_002628.3,49451,1
NC_002628.3,4641,1
NC_002628.3,585,1
NC_002628.3,2,1
NC_002628.3,4564,1
NC_002628.3,326968,1
NC_002628.3,1648404,1
NC_002628.3,3880,1
NC_002628.3,3656,1
NC_002628.3,214697,1
NC_002628.3,3749,1
NC_000866.4,2681598,43599
NC_000866.4,10663,9708
NC_000866.4,2081604,31
NC_000866.4,2060720,93
NC_000866.4,2321390,120
NC_000866.4,2163890,30
NC_000866.4,1863009,207
NC_000866.4,2731619,43
NC_000866.4,2448909,17
NC_000866.4,1651198,17
