read_accession_id,taxid,count
NZ_CP054494.1,996,6848
NZ_CP054494.1,237,486
NZ_CP054494.1,1041826,15
NZ_CP054494.1,2906076,44
NZ_CP054494.1,2,4
NZ_CP054494.1,49546,17
NZ_CP054494.1,2986831,2
NZ_CP054494.1,3885,1
NZ_CP054494.1,2906078,7
NZ_CP054494.1,976,2
NZ_CP054494.1,992289,1
NZ_CP054494.1,2906077,7
NZ_CP054494.1,2201181,1
NZ_CP054494.1,200644,2
NZ_CP054494.1,196869,2
NZ_CP054494.1,1784713,1
NZ_CP054494.1,1094466,1
NZ_CP054494.1,9606,1
NZ_CP054494.1,4533,2
NZ_CP054494.1,1437201,2
NZ_CP054494.1,2614128,1
NZ_CP054494.1,2654325,1
NZ_CP012672.1,39643,12914
NZ_CP012672.1,1254432,535
NZ_CP012672.1,56,329
NZ_CP012672.1,2969250,3
NZ_CP012672.1,448385,243
NZ_CP012672.1,131567,4
NZ_CP012672.1,3003247,1
NZ_CP012672.1,671077,1
NZ_CP012672.1,2593676,1
NZ_CP012672.1,1760,7
NZ_CP012672.1,1930058,1
NZ_CP012672.1,3015152,1
NZ_CP012672.1,1883,6
NZ_CP012672.1,2867410,1
NZ_CP012672.1,2,12
NZ_CP012672.1,477641,1
NZ_CP012672.1,1141657,1
NZ_CP012672.1,1936029,1
NZ_CP012672.1,83451,1
NZ_CP012672.1,1224,4
NZ_CP012672.1,1873,2
NZ_CP012672.1,3014995,1
NZ_CP012672.1,1870862,1
NZ_CP012672.1,1813,1
NZ_CP012672.1,709883,1
NZ_CP012672.1,147389,1
NZ_CP012672.1,2483799,1
NZ_CP012672.1,1561022,1
NZ_CP012672.1,1437183,1
NZ_CP012672.1,134601,1
NZ_CP012672.1,2020377,2
NZ_CP012672.1,2883169,1
NZ_CP012672.1,2620311,1
NZ_CP012672.1,379,1
NZ_CP012672.1,2818505,1
NZ_CP012672.1,28211,1
NZ_CP012672.1,2953750,1
NZ_CP012672.1,37919,1
NZ_CP012672.1,47872,1
NZ_CP012672.1,2903865,1
NZ_CP012672.1,2065379,1
NZ_CP012672.1,208602,1
NZ_CP012672.1,675635,1
NZ_CP012672.1,2018025,1
NZ_CP012672.1,2781962,1
NZ_CP012672.1,51201,1
NZ_CP012672.1,80840,1
NZ_CP012672.1,3065298,1
NZ_CP012672.1,2878153,1
NZ_CP012672.1,1950,1
NZ_CP012672.1,1972068,1
NZ_CP012672.1,455488,1
NZ_CP012672.1,3075198,1
NZ_CP012672.1,861299,1
NZ_CP012672.1,546160,1
NZ_CP012672.1,2714941,1
NZ_CP012672.1,1542730,1
NZ_CP012672.1,1648030,1
NZ_CP012672.1,1146883,1
NZ_CP012672.1,1510570,1
NZ_CP012672.1,1226752,1
NZ_CP012672.1,1286181,1
NZ_CP012672.1,2903684,1
NZ_CP012672.1,134536,1
NZ_CP012672.1,1658665,1
NZ_CP012672.1,9606,1
NZ_CP012672.1,2742136,1
NZ_CP012672.1,269660,1
NZ_CP012672.1,2704468,1
NZ_CP012672.1,2903660,1
NZ_CP012672.1,2975741,1
NZ_CP012672.1,3015154,1
NZ_CP012672.1,2975990,1
NZ_CP012672.1,2986923,1
NZ_CP029033.1,2495645,6122
NZ_CP029033.1,2049,8
NZ_CP029033.1,1760,3
NZ_CP032819.1,2093856,3481
NZ_CP032819.1,171549,464
NZ_CP032819.1,2,6
NZ_CP032819.1,823,2
NZ_CP032819.1,574697,16
NZ_CP032819.1,1598,1
NZ_CP032819.1,976,28
NZ_CP032819.1,375288,2
NZ_CP032819.1,131567,1
NZ_CP032819.1,2585119,3
NZ_CP032819.1,880074,1
NZ_CP032819.1,657309,1
NZ_CP032819.1,2585118,2
NZ_CP032819.1,816,1
NZ_CP032819.1,674529,1
NZ_CP032819.1,544645,1
NZ_CP027228.1,114527,15748
NZ_CP027228.1,86331,138
NZ_CP027228.1,2,8
NZ_CP027228.1,1239,73
NZ_CP027228.1,114528,9
NZ_CP027228.1,1328,1
NZ_CP027228.1,3030910,2
NZ_CP027228.1,186801,5
NZ_CP027228.1,186826,3
NZ_CP027228.1,86332,3
NZ_CP027228.1,1352,1
NZ_CP027228.1,76857,1
NZ_CP027228.1,40091,1
NZ_CP027228.1,1311,1
NZ_CP027228.1,40041,1
NZ_CP040915.1,2589797,51368
NZ_CP040915.1,1760,66
NZ_CP040915.1,154116,25
NZ_CP040915.1,85006,46
NZ_CP040915.1,2,7
NZ_CP040915.1,1643826,1
NZ_CP040915.1,1783272,3
NZ_CP040915.1,399736,1
NZ_CP040915.1,2861288,1
NZ_CP040915.1,85007,1
NZ_CP040915.1,449461,1
NZ_CP040915.1,36813,1
NZ_CP040915.1,2161816,1
NZ_CP040915.1,1276,1
NZ_CP040915.1,3073064,1
NZ_CP040915.1,2917725,1
NZ_CP040915.1,2614638,1
NZ_CP040915.1,2662361,1
NZ_CP040915.1,2892996,1
NZ_CP040915.1,659352,2
NZ_CP040915.1,2593676,1
NZ_CP040915.1,33882,1
NZ_CP040915.1,2062,1
NZ_CP040915.1,614,1
NZ_CP040915.1,2758041,1
NZ_CP040915.1,2996261,1
NZ_CP040915.1,68042,1
NZ_CP040915.1,1494608,1
NZ_CP040915.1,100225,1
NZ_CP040915.1,1150461,1
NZ_CP040915.1,82367,1
NZ_CP040915.1,521392,1
NZ_CP040915.1,2483799,1
NZ_CP040915.1,2830990,1
NZ_CP040915.1,38289,1
NZ_CP066811.1,89152,4141
NZ_CP066811.1,186801,7
NZ_CP066811.1,186804,22
NZ_CP066811.1,158386,1
NZ_CP066811.1,131567,2
NZ_CP066811.1,1239,6
NZ_CP066811.1,35885,1
NZ_CP066811.1,1502,1
NZ_CP066811.1,1783272,1
NZ_CP066811.1,1513,1
NZ_CP066811.1,191303,1
NZ_CP066811.1,470,1
NZ_CP066811.1,1496,1
NZ_CP066811.1,4236,1
NZ_CP066811.1,49451,1
NZ_CP116810.1,1076,49684
NZ_CP116810.1,395960,172
NZ_CP116810.1,28211,36
NZ_CP116810.1,1073,68
NZ_CP116810.1,2631580,2
NZ_CP116810.1,766,1
NZ_CP116810.1,41294,98
NZ_CP116810.1,356,35
NZ_CP116810.1,316058,32
NZ_CP116810.1,2780074,1
NZ_CP116810.1,374,5
NZ_CP116810.1,3034676,1
NZ_CP116810.1,29448,1
NZ_CP116810.1,2,3
NZ_CP116810.1,43675,1
NZ_CP116810.1,258594,2
NZ_CP116810.1,2819096,1
