read_accession_id,taxid,count
CP097095.1,1654,61
CP097095.1,3059028,33
CP097095.1,1660,50
CP097095.1,1760,70
CP097095.1,471857,1
CP097095.1,2758573,2
CP097095.1,2049,19
CP097095.1,2763540,17
CP097095.1,3095341,1
CP097095.1,2583374,1
CP097095.1,712122,7
CP097095.1,1912795,5
CP097095.1,1795,1
CP097095.1,2487892,1
CP097095.1,665913,1
CP097095.1,2682456,1
CP097095.1,103621,14
CP097095.1,1873,1
CP097095.1,446471,1
CP097095.1,1655,4
CP097095.1,2789425,5
CP097095.1,1678,4
CP097095.1,3062461,1
CP097095.1,2047,2
CP097095.1,2932244,1
CP097095.1,1268,8
CP097095.1,82380,2
CP097095.1,1160973,1
CP097095.1,85009,1
CP097095.1,43675,15
CP097095.1,2975955,1
CP097095.1,48075,1
CP097095.1,1716,11
CP097095.1,2831662,1
CP097095.1,2755559,6
CP097095.1,2,20
CP097095.1,1431546,3
CP097095.1,2057246,1
CP097095.1,2744574,5
CP097095.1,2772401,1
CP097095.1,131567,4
CP097095.1,1756150,1
CP097095.1,1684,3
CP097095.1,251747,1
CP097095.1,2719119,3
CP097095.1,3140789,1
CP097095.1,3635,3
CP097095.1,1762,4
CP097095.1,2017484,1
CP097095.1,1783272,7
CP097095.1,111015,5
CP097095.1,2962632,1
CP097095.1,172042,1
CP097095.1,2672569,1
CP097095.1,2079793,1
CP097095.1,178339,3
CP097095.1,2321394,4
CP097095.1,2609248,13
CP097095.1,2722820,12
CP097095.1,2789424,2
CP097095.1,1336740,2
CP097095.1,131111,2
CP097095.1,2079536,8
CP097095.1,1912897,2
CP097095.1,1883,3
CP097095.1,2003551,1
CP097095.1,2495645,2
CP097095.1,1682,1
CP097095.1,1659,4
CP097095.1,52774,10
CP097095.1,706439,2
CP097095.1,2903594,1
CP097095.1,570277,2
CP097095.1,66228,2
CP097095.1,3603,1
CP097095.1,1851395,4
CP097095.1,199136,2
CP097095.1,871541,3
CP097095.1,2774460,1
CP097095.1,2733571,2
CP097095.1,2486855,1
CP097095.1,1742989,2
CP097095.1,35760,1
CP097095.1,2903657,1
CP097095.1,2794089,3
CP097095.1,615,1
CP097095.1,543,4
CP097095.1,2975950,1
CP097095.1,85006,6
CP097095.1,162496,1
CP097095.1,2057743,8
CP097095.1,38289,1
CP097095.1,1453495,2
CP097095.1,712116,4
CP097095.1,41275,1
CP097095.1,1863,1
CP097095.1,2047744,1
CP097095.1,651666,1
CP097095.1,31957,2
CP097095.1,1652495,1
CP097095.1,1862358,1
CP097095.1,43769,2
CP097095.1,2709403,5
CP097095.1,2051,2
CP097095.1,2496867,2
CP097095.1,52771,7
CP097095.1,28256,1
CP097095.1,59561,1
CP097095.1,53431,1
CP097095.1,192944,1
CP097095.1,33010,1
CP097095.1,265976,1
CP097095.1,79200,1
CP097095.1,461393,6
CP097095.1,529883,1
CP097095.1,2735528,1
CP097095.1,2529408,5
CP097095.1,2560010,6
CP097095.1,1069494,3
CP097095.1,2714933,1
CP097095.1,44010,1
CP097095.1,2847992,1
CP097095.1,2509459,2
CP097095.1,2802975,1
CP097095.1,2675754,1
CP097095.1,3108822,4
CP097095.1,2593676,3
CP097095.1,410837,1
CP097095.1,2881056,3
CP097095.1,1503041,2
CP097095.1,1717,1
CP097095.1,1852377,6
