read_accession_id,taxid,count
NZ_CP019962.1,1736,9541
NZ_CP019962.1,1730,1431
NZ_CP019962.1,53442,33
NZ_CP019962.1,2759,1
NZ_CP019962.1,2041044,21
NZ_CP019962.1,9606,1
NZ_CP019962.1,3486,1
NZ_CP019962.1,186802,1
NZ_CP019962.1,186806,1
NC_001722.1,11709,47777
NZ_CP019668.1,95486,22540
NZ_CP019668.1,87882,20520
NZ_CP019668.1,80840,28
NZ_CP019668.1,32008,6257
NZ_CP019668.1,1503054,19
NZ_CP019668.1,488447,173
NZ_CP019668.1,60550,187
NZ_CP019668.1,179879,208
NZ_CP019668.1,119060,231
NZ_CP019668.1,1207504,33
NZ_CP019668.1,406425,157
NZ_CP019668.1,152500,44
NZ_CP019668.1,488446,61
NZ_CP019668.1,1705310,6
NZ_CP019668.1,488731,70
NZ_CP019668.1,1503055,44
NZ_CP019668.1,95485,66
NZ_CP019668.1,1385591,7
NZ_CP019668.1,1503053,4
NZ_CP019668.1,131567,4
NZ_CP019668.1,1009846,38
NZ_CP019668.1,292,223
NZ_CP019668.1,87883,105
NZ_CP019668.1,482957,93
NZ_CP019668.1,2906514,11
NZ_CP019668.1,28095,6
NZ_CP019668.1,398577,4
NZ_CP019668.1,2026199,1
NZ_CP019668.1,1637853,57
NZ_CP019668.1,488730,97
NZ_CP019668.1,152480,86
NZ_CP019668.1,2613784,46
NZ_CP019668.1,488732,16
NZ_CP019668.1,32009,1
NZ_CP019668.1,28216,18
NZ_CP019668.1,488729,43
NZ_CP019668.1,1224,23
NZ_CP019668.1,2813843,11
NZ_CP019668.1,101571,45
NZ_CP019668.1,907261,1
NZ_CP019668.1,2,4
NZ_CP019668.1,60552,17
NZ_CP019668.1,1637869,7
NZ_CP019668.1,48296,1
NZ_CP019668.1,342113,4
NZ_CP019668.1,1295382,1
NZ_CP019668.1,416344,2
NZ_CP019668.1,1637862,10
NZ_CP019668.1,1055524,21
NZ_CP019668.1,1494466,9
NZ_CP019668.1,2217913,12
NZ_CP019668.1,2861782,1
NZ_CP019668.1,2015348,9
NZ_CP019668.1,337,9
NZ_CP019668.1,395019,4
NZ_CP019668.1,13373,3
NZ_CP019668.1,2811788,9
NZ_CP019668.1,265293,22
NZ_CP019668.1,48736,1
NZ_CP019668.1,57975,2
NZ_CP019668.1,331272,1
NZ_CP019668.1,3034358,1
NZ_CP019668.1,2854261,3
NZ_CP019668.1,1245436,1
NZ_CP019668.1,2615214,2
NZ_CP019668.1,111527,5
NZ_CP019668.1,2811789,8
NZ_CP019668.1,1822464,1
NZ_CP019668.1,1247726,1
NZ_CP019668.1,135622,1
NZ_CP019668.1,93221,1
NZ_CP019668.1,28450,2
NZ_CP019668.1,93222,1
NZ_CP019668.1,60548,1
NZ_CP019668.1,204891,1
NZ_CP019668.1,2732364,1
NZ_CP019668.1,754502,1
NZ_CP019668.1,41899,2
NZ_CP019668.1,1761016,1
NZ_CP019668.1,1,2
NZ_CP019668.1,999541,1
NZ_CP019668.1,1236,1
NZ_CP019668.1,2649241,1
NZ_CP019668.1,519,1
NZ_CP019668.1,164546,1
NZ_CP019668.1,1249662,1
NZ_CP019668.1,871203,1
NZ_CP019668.1,305,1
NZ_CP019668.1,59204,1
NZ_CP019668.1,90245,1
NZ_CP019668.1,41275,1
NZ_CP120398.1,543,2083
NZ_CP120398.1,590,33689
NZ_CP120398.1,28901,23309
NZ_CP120398.1,90371,142
NZ_CP120398.1,1,169
NZ_CP120398.1,2729104,93
NZ_CP120398.1,90370,488
NZ_CP120398.1,91347,217
NZ_CP120398.1,1243602,84
NZ_CP120398.1,54736,77
NZ_CP120398.1,59201,856
NZ_CP120398.1,904139,3
NZ_CP120398.1,98360,19
NZ_CP120398.1,2024273,1
NZ_CP120398.1,1242087,3
NZ_CP120398.1,1236,70
NZ_CP120398.1,1242098,7
NZ_CP120398.1,149539,144
NZ_CP120398.1,1242097,4
NZ_CP120398.1,3050630,3
NZ_CP120398.1,941189,5
NZ_CP120398.1,1412562,8
NZ_CP120398.1,1151001,24
NZ_CP120398.1,1160717,10
NZ_CP120398.1,90105,20
NZ_CP120398.1,1382510,6
NZ_CP120398.1,321314,1
NZ_CP120398.1,596155,17
NZ_CP120398.1,611,9
NZ_CP120398.1,2,58
NZ_CP120398.1,687860,2
NZ_CP120398.1,149390,6
NZ_CP120398.1,115981,6
NZ_CP120398.1,28150,23
NZ_CP120398.1,1077085,6
NZ_CP120398.1,1412618,7
NZ_CP120398.1,54388,31
NZ_CP120398.1,358771,1
NZ_CP120398.1,440524,18
NZ_CP120398.1,59202,16
NZ_CP120398.1,595,24
NZ_CP120398.1,192954,10
NZ_CP120398.1,2546350,1
NZ_CP120398.1,1242107,61
NZ_CP120398.1,941190,2
NZ_CP120398.1,1299282,1
NZ_CP120398.1,58101,16
NZ_CP120398.1,562,51
NZ_CP120398.1,984253,1
NZ_CP120398.1,224729,4
NZ_CP120398.1,149385,5
NZ_CP120398.1,158822,1
NZ_CP120398.1,3030529,3
NZ_CP120398.1,2021403,11
NZ_CP120398.1,596,6
NZ_CP120398.1,2172099,1
NZ_CP120398.1,286783,6
NZ_CP120398.1,28142,8
NZ_CP120398.1,1962641,10
NZ_CP120398.1,57743,13
NZ_CP120398.1,1412456,1
NZ_CP120398.1,158836,5
NZ_CP120398.1,1454596,1
NZ_CP120398.1,85581,2
NZ_CP120398.1,1242091,14
NZ_CP120398.1,2577863,14
NZ_CP120398.1,623,5
NZ_CP120398.1,192955,15
NZ_CP120398.1,796731,1
NZ_CP120398.1,1454583,1
NZ_CP120398.1,340190,16
NZ_CP120398.1,2926665,7
NZ_CP120398.1,61645,5
NZ_CP120398.1,938141,5
NZ_CP120398.1,561,9
NZ_CP120398.1,2500152,19
NZ_CP120398.1,53961,4
NZ_CP120398.1,1160769,7
NZ_CP120398.1,2745891,1
NZ_CP120398.1,593905,6
NZ_CP120398.1,1242094,3
