parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1300,1,1301,Streptococcus,234042,234042
1301,2,1335,Streptococcus equinus,41305,41305
1301,2,1313,Streptococcus pneumoniae,32349,32349
1301,2,2382163,Streptococcus koreensis,27970,27970
1301,1,2608887,unclassified Streptococcus,26320,26320
2608887,2,2598453,Streptococcus sp. 116-D4,16066,16066
2608887,2,2610896,Streptococcus sp. LPB0220,5489,5489
2608887,2,1839799,Streptococcus sp. FDAARGOS_192,2013,2013
2608887,2,712633,Streptococcus sp. oral taxon 431,1715,1715
2608887,2,1759399,Streptococcus sp. A12,114,114
2608887,2,2763068,Streptococcus sp. NSJ-72,96,96
2608887,2,3077723,Streptococcus sp. DTU_2020_1000888_1_SI_GRL_NUU_041A,61,61
2608887,2,712624,Streptococcus sp. oral taxon 064,31,31
2608887,2,3098075,Streptococcus sp. S1,28,28
2608887,2,712623,Streptococcus sp. oral taxon 061,23,23
2608887,2,3077584,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,23,23
2608887,2,2993430,Streptococcus sp. SP4011,18,18
2608887,2,2972784,Streptococcus sp. Marseille-Q6470,15,15
2608887,2,3098076,Streptococcus sp. S5,13,13
2608887,2,3038077,Streptococcus sp. D7B5,13,13
2608887,2,1902136,Streptococcus sp. NPS 308,12,12
2608887,2,2954513,Streptococcus sp. FSL K6-1323,10,10
2608887,2,2576376,Streptococcus sp. 1643,10,10
2608887,2,2954545,Streptococcus sp. FSL W7-1342,9,9
2608887,2,2759692,Streptococcus sp. Marseille-Q3533,8,8
2608887,2,2975324,Streptococcus sp. FSL R7-0248,6,6
2608887,2,3028084,Streptococcus sp. 29887,5,5
2608887,2,2975349,Streptococcus sp. FSL W8-0197,4,4
2608887,2,3020829,Streptococcus sp. HN38,4,4
2608887,2,3028082,Streptococcus sp. 29896,4,4
2608887,2,3028083,Streptococcus sp. 29892,2,2
2608887,2,2664091,Streptococcus sp. zg-86,1,1
1301,2,1303,Streptococcus oralis,24479,24479
1301,2,45634,Streptococcus cristatus,17136,17136
1301,2,1433513,Streptococcus gwangjuense,14000,14000
1301,2,1304,Streptococcus salivarius,12240,12240
1301,2,1305,Streptococcus sanguinis,5927,5927
1301,2,28037,Streptococcus mitis,5167,5167
1301,2,1302,Streptococcus gordonii,3141,3141
1301,1,671232,Streptococcus anginosus group,229,229
671232,2,1338,Streptococcus intermedius,132,132
671232,2,1328,Streptococcus anginosus,49,49
671232,2,76860,Streptococcus constellatus,42,42
1301,2,1156431,Streptococcus ilei,223,223
1301,2,113107,Streptococcus australis,129,129
1301,2,1308,Streptococcus thermophilus,109,109
1301,2,1234680,Streptococcus rubneri,102,102
1301,2,1318,Streptococcus parasanguinis,98,98
1301,2,1307,Streptococcus suis,48,48
1301,2,684066,Streptococcus lactarius,35,35
1301,1,119603,Streptococcus dysgalactiae group,35,35
119603,2,1336,Streptococcus equi,20,20
119603,2,1334,Streptococcus dysgalactiae,15,15
1301,2,2819619,Streptococcus toyakuensis,32,32
1301,2,1343,Streptococcus vestibularis,30,30
1301,2,2686210,Streptococcus ruminicola,26,26
1301,2,1311,Streptococcus agalactiae,26,26
1301,2,257758,Streptococcus pseudopneumoniae,25,25
1301,2,68892,Streptococcus infantis,20,20
1301,2,1314,Streptococcus pyogenes,19,19
1301,2,2490633,Streptococcus periodonticum,15,15
1301,2,82348,Streptococcus pluranimalium,13,13
1301,2,150055,Streptococcus lutetiensis,13,13
1301,2,29389,Streptococcus alactolyticus,10,10
1301,2,33040,Streptococcus milleri,9,9
1301,2,2021971,Streptococcus respiraculi,9,9
1301,2,315405,Streptococcus gallolyticus,8,8
1301,2,254785,Streptococcus halichoeri,8,8
1301,2,1329,Streptococcus canis,7,7
1301,2,361101,Streptococcus pseudoporcinus,7,7
1301,2,1346,Streptococcus iniae,7,7
1301,2,1888195,Streptococcus himalayensis,6,6
1301,2,1309,Streptococcus mutans,6,6
1301,2,2173853,Streptococcus chenjunshii,5,5
1301,2,1501662,Streptococcus parasuis,5,5
1301,2,1310,Streptococcus sobrinus,4,4
1301,2,2781599,Streptococcus oriscaviae,4,4
1301,2,400065,Streptococcus merionis,4,4
1301,2,1341,Streptococcus ratti,4,4
1301,2,149016,Streptococcus urinalis,4,4
1301,2,102684,Streptococcus infantarius,3,3
1301,2,1340,Streptococcus porcinus,3,3
1301,2,1349,Streptococcus uberis,3,3
1301,2,1326,Streptococcus acidominimus,2,2
1301,2,1345,Streptococcus ferus,2,2
1301,2,1917441,Streptococcus ruminantium,2,2
1301,2,1814128,Streptococcus halotolerans,2,2
1301,2,1825069,Streptococcus marmotae,1,1
1301,2,1811193,Streptococcus pantholopis,1,1
1301,2,102886,Streptococcus didelphis,1,1
1301,2,1348,Streptococcus parauberis,1,1
1300,1,1357,Lactococcus,2,2
1357,2,1363,Lactococcus garvieae,2,2
81852,1,1350,Enterococcus,47,47
1350,2,1354,Enterococcus hirae,12,12
