read_accession_id,taxid,count
NZ_CP039712.1,2571750,47894
NZ_CP039712.1,81852,108
NZ_CP039712.1,2737,325
NZ_CP039712.1,1296,1
NZ_CP039712.1,2562451,4
NZ_CP039712.1,2,70
NZ_CP039712.1,1239,20
NZ_CP039712.1,283734,1
NZ_CP039712.1,492670,3
NZ_CP039712.1,3066305,1
NZ_CP039712.1,1405,1
NZ_CP039712.1,91061,45
NZ_CP039712.1,659243,1
NZ_CP039712.1,186826,51
NZ_CP039712.1,1513,1
NZ_CP039712.1,926550,1
NZ_CP039712.1,585,1
NZ_CP039712.1,128944,1
NZ_CP039712.1,33958,1
NZ_CP039712.1,1280,2
NZ_CP039712.1,347,6
NZ_CP039712.1,1352,1
NZ_CP039712.1,1783272,10
NZ_CP039712.1,3038979,1
NZ_CP039712.1,225084,1
NZ_CP039712.1,28895,1
NZ_CP039712.1,1938374,1
NZ_CP039712.1,216572,1
NZ_CP039712.1,131567,1
NZ_CP039712.1,2065118,1
NZ_CP039712.1,1396,1
NZ_CP039712.1,1351,1
NZ_CP039712.1,68892,2
NZ_CP039712.1,81947,4
NZ_CP039712.1,851,1
NZ_CP039712.1,1385,1
NZ_CP039712.1,218144,1
NZ_CP039712.1,2954544,1
NZ_CP039712.1,1224,1
NZ_CP039712.1,2991418,1
NZ_CP039712.1,2714946,1
NZ_CP039712.1,2738,1
NZ_CP039712.1,189381,1
NZ_CP039712.1,1279,1
NZ_CP039712.1,9606,1
NZ_CP039712.1,1309807,1
NZ_CP039712.1,81408,1
NZ_CP039712.1,47715,2
NZ_CP033459.1,2133944,113326
NZ_CP033459.1,165179,5
NZ_CP033459.1,976,65
NZ_CP033459.1,171552,77
NZ_CP033459.1,3694,1
NZ_CP033459.1,171549,7
NZ_CP033459.1,838,1
NZ_CP033459.1,717959,1
NZ_CP033459.1,537011,1
NZ_CP033459.1,2,1
NZ_CP033459.1,2869543,1
NZ_CP033459.1,1437183,1
NZ_CP033459.1,2913616,1
NZ_CP033459.1,9606,1
