parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
1268,1,32207,Rothia,553274.0,553274
32207,2,43675,Rothia mucilaginosa,552394.0,552394
32207,2,2047,Rothia dentocariosa,162.0,162
32207,2,396015,Rothia terrae,9.0,9
32207,2,37923,Rothia kristinae,6.0,6
32207,2,172042,Rothia aeria,6.0,6
32207,2,169480,Rothia amarae,4.0,4
32207,2,85336,Rothia nasimurium,2.0,2
32207,1,2689056,unclassified Rothia (in: high G+C Gram-positive bacteria),2.0,2
2689056,2,2810516,Rothia sp. ZJ932,1.0,1
2689056,2,3047030,Rothia sp. SD9660Na,1.0,1
1268,1,1269,Micrococcus,11569.0,11569
1269,2,1273,Micrococcus lylae,4530.0,4530
1269,2,1270,Micrococcus luteus,4160.0,4160
1269,1,2620948,unclassified Micrococcus,92.0,92
2620948,2,3142261,Micrococcus sp. 2A,69.0,69
2620948,2,3101753,Micrococcus sp. HOU1,14.0,14
2620948,2,1179670,Micrococcus sp. KBS0714,5.0,5
2620948,2,2995171,Micrococcus sp. SL257,3.0,3
1269,2,2856555,Micrococcus porci,8.0,8
1269,2,566027,Micrococcus yunnanensis,6.0,6
1269,2,574650,Micrococcus terreus,3.0,3
1268,1,1663,Arthrobacter,84.0,84
1663,1,235627,unclassified Arthrobacter,51.0,51
235627,2,2972479,Arthrobacter sp. CJ23,9.0,9
235627,2,2861279,Arthrobacter sp. PAMC25284,8.0,8
235627,2,2828862,Arthrobacter sp. Helios,5.0,5
235627,2,2651199,Arthrobacter sp. CDRTa11,3.0,3
235627,2,290399,Arthrobacter sp. FB24,2.0,2
235627,2,1704044,Arthrobacter sp. ERGS1:01,2.0,2
235627,2,2017685,Arthrobacter sp. PM3,2.0,2
235627,2,2654190,Arthrobacter sp. JZ12,2.0,2
235627,2,2830997,Arthrobacter sp. NicSoilB4,2.0,2
235627,2,2886938,Arthrobacter sp. zg-Y20,2.0,2
235627,2,2830998,Arthrobacter sp. NicSoilB8,1.0,1
235627,2,2830995,Arthrobacter sp. StoSoilB20,1.0,1
235627,2,2879617,Arthrobacter sp. FW305-BF8,1.0,1
235627,2,3039385,Arthrobacter sp. Y-9,1.0,1
235627,2,2079227,Arthrobacter sp. PGP41,1.0,1
235627,2,3043847,Arthrobacter sp. EM1,1.0,1
235627,2,3140789,Arthrobacter sp. TMP15,1.0,1
235627,2,1652545,Arthrobacter sp. YC-RL1,1.0,1
235627,2,1357915,Arthrobacter sp. QXT-31,1.0,1
235627,2,1118963,Arthrobacter sp. Rue61a,1.0,1
1663,2,2886935,Arthrobacter caoxuetaonis,6.0,6
1663,2,37921,Arthrobacter agilis,3.0,3
1663,2,37928,Arthrobacter crystallopoietes,3.0,3
1663,2,199136,Arthrobacter koreensis,3.0,3
1663,2,2486855,Arthrobacter sulfonylureivorans,3.0,3
1663,2,409290,Arthrobacter oryzae,2.0,2
1663,2,656366,Arthrobacter alpinus,2.0,2
1663,2,1670,Arthrobacter citreus,2.0,2
1663,2,2211210,Arthrobacter dokdonellae,1.0,1
1663,2,2886940,Arthrobacter gengyunqii,1.0,1
1663,2,2817475,Arthrobacter jiangjiafuii,1.0,1
1268,1,1742989,Glutamicibacter,16.0,16
1742989,2,37930,Glutamicibacter protophormiae,5.0,5
1742989,2,1775880,Glutamicibacter mishrai,4.0,4
1742989,2,162496,Glutamicibacter creatinolyticus,3.0,3
1742989,1,2627139,unclassified Glutamicibacter,2.0,2
2627139,2,3023076,Glutamicibacter sp. M10,2.0,2
1742989,2,1933880,Glutamicibacter halophytocola,1.0,1
1268,1,1742992,Paenarthrobacter,15.0,15
1742992,1,2634190,unclassified Paenarthrobacter,9.0,9
2634190,2,2782567,Paenarthrobacter sp. GOM3,5.0,5
2634190,2,2735317,Paenarthrobacter sp. YJN-D,3.0,3
2634190,2,2979324,Paenarthrobacter sp. JL.01a,1.0,1
1742992,2,37931,Paenarthrobacter ureafaciens,1.0,1
1268,1,57493,Kocuria,9.0,9
57493,2,1275,Kocuria rosea,3.0,3
57493,2,72000,Kocuria rhizophila,2.0,2
57493,2,1272,Kocuria varians,1.0,1
57493,2,388357,Kocuria turfanensis,1.0,1
57493,2,1049583,Kocuria indica,1.0,1
1268,1,1160973,Auritidibacter,7.0,7
1160973,2,678932,Auritidibacter ignavus,3.0,3
1268,1,1742993,Pseudarthrobacter,6.0,6
1742993,1,2647000,unclassified Pseudarthrobacter,3.0,3
2647000,2,3092262,Pseudarthrobacter sp. IC2-21,3.0,3
1742993,2,85085,Pseudarthrobacter chlorophenolicus,1.0,1
1742993,2,728066,Pseudarthrobacter equi,1.0,1
1742993,2,2697569,Pseudarthrobacter psychrotolerans,1.0,1
1268,1,596707,Sinomonas,4.0,4
596707,1,2646595,unclassified Sinomonas,4.0,4
2646595,2,2020377,Sinomonas sp. R1AF57,4.0,4
1268,1,169133,Citricoccus,3.0,3
169133,1,2632435,unclassified Citricoccus,3.0,3
2632435,2,3073268,Citricoccus sp. I39-566,2.0,2
2632435,2,3004095,Citricoccus sp. NR2,1.0,1
1268,1,1742991,Pseudoglutamicibacter,3.0,3
1742991,2,98671,Pseudoglutamicibacter albus,3.0,3
1268,1,2078575,Psychromicrobium,2.0,2
2078575,2,1618207,Psychromicrobium lacuslunae,2.0,2
1268,1,370735,Zhihengliuella,2.0,2
370735,1,2626589,unclassified Zhihengliuella,2.0,2
2626589,2,2058657,Zhihengliuella sp. ISTPL4,2.0,2
1268,1,57494,Nesterenkonia,2.0,2
57494,2,1548602,Nesterenkonia pannonica,1.0,1
85021,1,53457,Janibacter,47520.0,47520
53457,2,53458,Janibacter limosus,46994.0,46994
53457,2,103817,Janibacter terrae,5.0,5
53457,1,2649294,unclassified Janibacter,5.0,5
2649294,2,2963431,Janibacter sp. CX7,2.0,2
2649294,2,3028808,Janibacter sp. DB-40,2.0,2
2649294,2,2761047,Janibacter sp. YB324,1.0,1
53457,2,857417,Janibacter indicus,2.0,2
53457,2,1285192,Janibacter cremeus,1.0,1
85021,1,367298,Phycicoccus,5.0,5
367298,1,2637926,unclassified Phycicoccus,3.0,3
2637926,2,2714941,Phycicoccus sp. HDW14,3.0,3
367298,2,1690220,Phycicoccus endophyticus,2.0,2
85021,1,53355,Terrabacter,3.0,3
53355,1,2630222,unclassified Terrabacter,3.0,3
2630222,2,3108389,Terrabacter sp. C0L_2,3.0,3
85021,1,53357,Intrasporangium,2.0,2
53357,2,53358,Intrasporangium calvum,2.0,2
85021,1,99479,Nostocoides,1.0,1
99479,1,2643346,unclassified Nostocoides,1.0,1
2643346,2,1813880,Nostocoides sp. HKS02,1.0,1
85021,1,267408,Arsenicicoccus,1.0,1
267408,1,2663846,unclassified Arsenicicoccus,1.0,1
2663846,2,1658671,Arsenicicoccus sp. oral taxon 190,1.0,1
85023,1,33882,Microbacterium,117.0,117
33882,1,2609290,unclassified Microbacterium,43.0,43
2609290,2,3049069,Microbacterium sp. zg-B96,6.0,6
2609290,2,3049072,Microbacterium sp. zg-Y818,6.0,6
2609290,2,2654193,Microbacterium sp. JZ37,4.0,4
2609290,2,3135255,Microbacterium sp. LWH10-1.2,4.0,4
2609290,2,1906274,Microbacterium sp. JZ31,3.0,3
2609290,2,2981139,Microbacterium sp. AB,2.0,2
2609290,2,3041512,Microbacterium sp. F6_8S_P_2B,2.0,2
2609290,2,3049070,Microbacterium sp. zg-B185,2.0,2
2609290,2,2483401,Microbacterium sp. 10M-3C3,2.0,2
2609290,2,3049073,Microbacterium sp. zg-Y1090,2.0,2
2609290,2,2909588,Microbacterium sp. KUDC0406,1.0,1
2609290,2,2925844,Microbacterium sp. H1-D42,1.0,1
2609290,2,2962064,Microbacterium sp. M28,1.0,1
2609290,2,3019890,Microbacterium sp. nov. GSS16,1.0,1
2609290,2,3049071,Microbacterium sp. zg-Y625,1.0,1
2609290,2,3050384,Microbacterium sp. ET2,1.0,1
2609290,2,3135260,Microbacterium sp. LWH13-1.2,1.0,1
2609290,2,3135262,Microbacterium sp. LWO13-1.2,1.0,1
2609290,2,912630,Microbacterium sp. LKL04,1.0,1
33882,2,273677,Microbacterium oleivorans,7.0,7
33882,2,2782168,Microbacterium atlanticum,5.0,5
33882,2,2909587,Microbacterium elymi,4.0,4
33882,2,936337,Microbacterium amylolyticum,4.0,4
33882,2,57043,Microbacterium esteraromaticum,3.0,3
33882,2,69367,Microbacterium luteolum,3.0,3
33882,2,82380,Microbacterium oxydans,3.0,3
33882,2,2708079,Microbacterium fandaimingii,3.0,3
33882,2,33883,Microbacterium arborescens,2.0,2
33882,2,3079935,Microbacterium limosum,2.0,2
33882,2,2851649,Microbacterium sufflavum,2.0,2
33882,2,2509458,Microbacterium protaetiae,2.0,2
33882,2,683047,Microbacterium suwonense,2.0,2
