read_accession_id,taxid,count
NZ_LT635457.1,1852377,42
NZ_CP033459.1,2133944,2536
NZ_CP033459.1,171552,8
NZ_CP033459.1,237,1
NZ_CP033459.1,976,2
CAKAFU010000002.1,2562285,1
CAKAFU010000002.1,28132,1
CAKAFU010000002.1,575614,1
CAKAFU010000002.1,838,2
CAKAFU010000002.1,2502779,1
CAKAFU010000002.1,2866311,1
CAKAFU010000002.1,28133,1
CAKAFU010000002.1,818,1
CAKAFU010000002.1,329854,1
NZ_CP036550.1,817,286
NZ_CP036550.1,815,3
NZ_CP036550.1,976,1
NZ_CP036550.1,816,2
NZ_CP049272.1,199,7559
NZ_CP049272.1,194,33
NZ_CP049272.1,360104,18
NZ_CP049272.1,1660063,1
NZ_CP049272.1,2593542,1
NZ_CP012544.1,204,138
NZ_CP012544.1,194,1
NZ_CP012544.1,543,1
NZ_CP022386.1,1017,3373
NZ_CP022386.1,1016,42
NZ_CP022386.1,2708117,4
NZ_CP022386.1,200644,1
NZ_CP022386.1,976,2
NZ_CP022386.1,1019,3
NZ_CP022386.1,49546,1
NZ_CP022386.1,9606,1
NZ_CP022386.1,2104,1
NZ_CP022384.1,327575,28761
NZ_CP022384.1,1016,2777
NZ_CP022384.1,1316596,27
NZ_CP022384.1,1019,16
NZ_CP022384.1,2708117,11
NZ_CP022384.1,2545799,144
NZ_CP022384.1,1017,3
NZ_CP022384.1,200644,37
NZ_CP022384.1,1018,5
NZ_CP022384.1,49546,2
NZ_CP022384.1,45243,3
NZ_CP022384.1,976,15
NZ_CP022384.1,1848904,5
NZ_CP022384.1,9606,1
NZ_CP022384.1,1624,2
NZ_CP022384.1,28189,4
NZ_CP022384.1,28188,8
NZ_CP022384.1,2640652,2
NZ_CP022384.1,2748316,1
NZ_CP022384.1,65393,1
NZ_CP022379.1,1019,416
NZ_CP022379.1,1016,15
NZ_CP022379.1,1018,1
NZ_CP022379.1,2708117,1
NZ_CP022379.1,45243,1
NZ_CP028101.1,469602,1
NZ_CP028101.1,525283,4
NZ_CP028101.1,848,22
NZ_CP028101.1,155615,1
NZ_CP028101.1,76856,161
NZ_CP028101.1,851,24
NZ_CP028101.1,469607,1
NZ_CP028101.1,76859,3
NZ_CP028101.1,1583098,1
NZ_CP028101.1,671211,1
NZ_CP028101.1,2663009,2
NZ_CP028101.1,76857,1
NZ_CP024703.1,2663009,29206
NZ_CP024703.1,848,2342
NZ_CP024703.1,285729,32
NZ_CP024703.1,76856,17
NZ_CP024703.1,860,80
NZ_CP024703.1,469602,5
NZ_CP024703.1,851,198
NZ_CP024703.1,76857,84
NZ_CP024703.1,859,5
NZ_CP024703.1,203491,50
NZ_CP024703.1,1583098,42
NZ_CP024703.1,469616,6
NZ_CP024703.1,76859,38
NZ_CP024703.1,9606,18
NZ_CP024703.1,469617,1
NZ_CP024703.1,2,9
NZ_CP024703.1,314275,1
NZ_CP024703.1,525283,4
NZ_CP024703.1,856,7
NZ_CP024703.1,469607,4
NZ_CP024703.1,1755100,5
NZ_CP024703.1,32067,3
NZ_CP024703.1,104268,2
NZ_CP024703.1,131567,5
NZ_CP024703.1,1501662,1
NZ_CP024703.1,469601,3
NZ_CP024703.1,457405,3
NZ_CP024703.1,1307442,4
NZ_CP024703.1,114527,1
NZ_CP024703.1,484019,1
NZ_CP024703.1,157687,2
NZ_CP024703.1,2686361,1
NZ_CP024703.1,2976127,1
NZ_CP024703.1,1307443,2
NZ_CP024703.1,157688,1
NZ_CP024703.1,1628248,1
NZ_CP024703.1,671211,4
NZ_CP024703.1,647113,1
NZ_CP024703.1,768706,1
NZ_CP024703.1,1653831,1
NZ_CP024703.1,1307444,2
NZ_CP024703.1,712361,1
NZ_CP024703.1,1239,1
NZ_CP024703.1,155615,5
NZ_CP024703.1,203492,1
NZ_CP024703.1,3003258,1
NZ_CP024703.1,28200,1
NZ_CP024703.1,239935,1
NZ_CP024703.1,1307427,1
NZ_CP024703.1,470,1
NZ_CP024703.1,237,1
NZ_CP024703.1,1160784,1
NZ_CP024703.1,1301,1
NZ_CP024703.1,519450,1
NZ_CP024703.1,45363,1
NZ_CP083637.1,1379,755
NZ_CP083637.1,2,3
NZ_CP083637.1,1378,2
NZ_CP083637.1,1239,1
NZ_CP083637.1,29391,1
NZ_CP083637.1,91061,1
NZ_CP083637.1,131567,1
NZ_CP031243.1,726,519
NZ_CP031243.1,724,52
NZ_CP031243.1,729,2
NZ_CP031243.1,119602,2
NZ_CP031243.1,727,4
NZ_CP031243.1,712,5
NZ_AP018768.1,724,224
NZ_AP018768.1,727,934
NZ_AP018768.1,712,9
NZ_AP018768.1,729,1
NZ_AP018768.1,726,4
NZ_AP018768.1,1232659,1
NZ_AP018768.1,712310,1
NZ_AP018768.1,1236,2
NZ_CP038817.1,735,1079187
NZ_CP038817.1,724,9595
NZ_CP038817.1,712,5949
NZ_CP038817.1,9606,111
NZ_CP038817.1,1236,776
NZ_CP038817.1,712310,69
NZ_CP038817.1,1224,688
NZ_CP038817.1,728,30
NZ_CP038817.1,573,15
NZ_CP038817.1,615,62
NZ_CP038817.1,727,555
NZ_CP038817.1,109472,35
NZ_CP038817.1,731,19
NZ_CP038817.1,2320868,8
NZ_CP038817.1,726,62
NZ_CP038817.1,1407647,3
NZ_CP038817.1,2,77
NZ_CP038817.1,85402,14
NZ_CP038817.1,1301,34
NZ_CP038817.1,729,227
NZ_CP038817.1,2030797,2
NZ_CP038817.1,75985,21
NZ_CP038817.1,13373,1
NZ_CP038817.1,562,34
NZ_CP038817.1,628,1
NZ_CP038817.1,249188,5
NZ_CP038817.1,487,1
NZ_CP038817.1,1193499,1
NZ_CP038817.1,123824,3
NZ_CP038817.1,1294,8
NZ_CP038817.1,1827285,2
NZ_CP038817.1,273123,1
NZ_CP038817.1,2911527,2
NZ_CP038817.1,732,22
NZ_CP038817.1,550,1
NZ_CP038817.1,715,12
NZ_CP038817.1,482,17
NZ_CP038817.1,738,12
NZ_CP038817.1,485,76
NZ_CP038817.1,272556,2
NZ_CP038817.1,1778264,2
NZ_CP038817.1,67824,1
NZ_CP038817.1,2976237,1
NZ_CP038817.1,97481,2
NZ_CP038817.1,747,23
NZ_CP038817.1,730,33
NZ_CP038817.1,28901,4
NZ_CP038817.1,55212,2
NZ_CP038817.1,351671,1
NZ_CP038817.1,1972134,1
NZ_CP038817.1,221988,1
NZ_CP038817.1,202947,1
NZ_CP038817.1,584609,18
NZ_CP038817.1,655817,1
NZ_CP038817.1,1443036,5
NZ_CP038817.1,189834,25
