read_accession_id,taxid,count
CP097095.1,2,21
CP097095.1,649831,1
CP097095.1,1894,1
CP097095.1,1760,66
CP097095.1,47865,1
CP097095.1,1496,1
CP097095.1,52774,9
CP097095.1,2961994,2
CP097095.1,2976000,1
CP097095.1,3041175,2
CP097095.1,1670,1
CP097095.1,1121356,1
CP097095.1,2963431,1
CP097095.1,41673,1
CP097095.1,2003551,1
CP097095.1,2763540,8
CP097095.1,2079536,6
CP097095.1,1655,9
CP097095.1,3123041,1
CP097095.1,59505,1
CP097095.1,3059028,19
CP097095.1,2806348,1
CP097095.1,1870995,2
CP097095.1,2744574,5
CP097095.1,410837,2
CP097095.1,1660,36
CP097095.1,103621,8
CP097095.1,1654,44
CP097095.1,2751478,1
CP097095.1,2055947,1
CP097095.1,43770,1
CP097095.1,2722820,13
CP097095.1,52771,5
CP097095.1,630515,3
CP097095.1,2975966,1
CP097095.1,706439,5
CP097095.1,712122,7
CP097095.1,72000,1
CP097095.1,1653174,1
CP097095.1,2737173,2
CP097095.1,2772401,2
CP097095.1,2049,5
CP097095.1,1716,6
CP097095.1,2729175,2
CP097095.1,2057743,5
CP097095.1,172042,1
CP097095.1,35755,2
CP097095.1,131567,5
CP097095.1,358099,1
CP097095.1,1812480,1
CP097095.1,43675,14
CP097095.1,2609248,16
CP097095.1,2593676,5
CP097095.1,38942,1
CP097095.1,1659,2
CP097095.1,2057800,4
CP097095.1,1224,6
CP097095.1,2529408,1
CP097095.1,251747,2
CP097095.1,452863,1
CP097095.1,33007,1
CP097095.1,52773,1
CP097095.1,1229727,1
CP097095.1,2886936,1
CP097095.1,2714933,1
CP097095.1,2903657,1
CP097095.1,28028,1
CP097095.1,871541,2
CP097095.1,592010,2
CP097095.1,2020965,2
CP097095.1,2719119,2
CP097095.1,1437824,1
CP097095.1,675090,10
CP097095.1,44249,1
CP097095.1,2672569,1
CP097095.1,2991545,1
CP097095.1,2903790,1
CP097095.1,1050174,4
CP097095.1,853,3
CP097095.1,458696,2
CP097095.1,2995145,1
CP097095.1,1823759,1
CP097095.1,85006,6
CP097095.1,1850093,1
CP097095.1,1069494,2
CP097095.1,2051,5
CP097095.1,2593973,1
CP097095.1,461393,3
CP097095.1,1286181,1
CP097095.1,178339,5
CP097095.1,2769067,1
CP097095.1,1270,1
CP097095.1,43769,1
CP097095.1,2321394,5
CP097095.1,2840457,1
CP097095.1,2692125,2
CP097095.1,3140789,1
CP097095.1,2857059,1
CP097095.1,699041,2
CP097095.1,2903583,1
CP097095.1,2830983,1
CP097095.1,1667168,1
CP097095.1,83656,1
CP097095.1,2604537,1
CP097095.1,656366,4
CP097095.1,1618207,1
CP097095.1,1851395,4
CP097095.1,1756150,1
CP097095.1,165697,1
CP097095.1,2099694,1
CP097095.1,2719313,1
CP097095.1,2708340,2
CP097095.1,232537,1
CP097095.1,499555,2
CP097095.1,2929802,1
CP097095.1,445930,1
CP097095.1,1268,2
CP097095.1,2984842,1
CP097095.1,651,1
CP097095.1,33010,1
CP097095.1,2859226,1
CP097095.1,1236,3
CP097095.1,340345,1
CP097095.1,2684406,1
CP097095.1,1285583,3
CP097095.1,108486,1
CP097095.1,754397,1
CP097095.1,2062,2
CP097095.1,642,2
CP097095.1,1847,1
CP097095.1,91347,1
CP097095.1,33882,1
CP097095.1,1979527,1
CP097095.1,303,1
CP097095.1,2499145,1
CP097095.1,58340,1
CP097095.1,1839,1
CP097095.1,3036374,1
CP097095.1,235627,5
CP097095.1,28211,1
CP097095.1,2881056,2
CP097095.1,1680,2
CP097095.1,2057246,1
CP097095.1,2498704,1
CP097095.1,1852377,2
CP097095.1,1671680,1
CP097095.1,3880,1
CP097095.1,2758572,1
CP097095.1,3092262,1
CP097095.1,146819,1
CP097095.1,200451,1
CP097095.1,2733571,1
CP097095.1,2775081,1
CP097095.1,201174,1
CP097095.1,1912795,2
CP097095.1,28264,2
CP097095.1,1471400,1
CP097095.1,1806508,1
CP097095.1,2716227,1
CP097095.1,38290,3
CP097095.1,111015,3
CP097095.1,2768834,1
CP097095.1,1696,1
CP097095.1,71999,1
CP097095.1,131110,1
CP097095.1,2987701,1
CP097095.1,2609290,2
CP097095.1,39778,2
CP097095.1,882083,1
CP097095.1,1744,1
CP097095.1,2976003,1
CP097095.1,767452,1
CP097095.1,2781735,1
CP097095.1,2758440,2
CP097095.1,169133,1
CP097095.1,1663,2
CP097095.1,52,1
CP097095.1,1883,1
CP097095.1,540747,1
CP097095.1,1267766,1
CP097095.1,435,1
CP097095.1,44008,1
CP097095.1,665913,1
CP097095.1,2789425,3
CP097095.1,2830997,1
CP097095.1,2080757,1
CP097095.1,2578107,1
CP097095.1,161895,1
CP097095.1,1330547,2
CP097095.1,398694,1
CP097095.1,38304,1
CP097095.1,2811781,2
CP097095.1,2755559,1
CP097095.1,2810563,1
CP097095.1,216816,1
CP097095.1,477697,1
CP097095.1,471827,1
CP097095.1,485917,1
CP097095.1,666,1
CP097095.1,98671,1
CP097095.1,999183,1
CP097095.1,1762,1
CP097095.1,38301,1
CP097095.1,1336740,1
CP097095.1,71254,1
CP097095.1,710685,1
CP097095.1,1749,2
CP097095.1,710705,1
CP097095.1,1416627,1
CP097095.1,2921375,1
CP097095.1,2610895,1
CP097095.1,1661,2
CP097095.1,2917725,1
CP097095.1,2709403,3
CP097095.1,3635,1
