read_accession_id,taxid,count
NZ_CP014264.1,712633,7917
NZ_CP014264.1,3077584,15
NZ_CP014264.1,1301,378
NZ_CP014264.1,2608887,395
NZ_CP014264.1,487214,2
NZ_CP014264.1,2810514,1
NZ_CP014264.1,2,21
NZ_CP014264.1,1234680,5
NZ_CP014264.1,1783272,2
NZ_CP014264.1,186826,9
NZ_CP014264.1,1749074,1
NZ_CP014264.1,2576376,1
NZ_CP014264.1,365659,2
NZ_CP014264.1,2759692,7
NZ_CP014264.1,1313,11
NZ_CP014264.1,68892,2
NZ_CP014264.1,1303,7
NZ_CP014264.1,712623,3
NZ_CP014264.1,1300,2
NZ_CP014264.1,3020829,1
NZ_CP014264.1,1318,1
NZ_CP014264.1,1302,1
NZ_CP014264.1,1308,1
NZ_CP014264.1,1340,1
NZ_CP014264.1,1239,2
NZ_CP014264.1,2598453,1
NZ_CP014264.1,1305,3
NZ_CP014264.1,1329,1
NZ_CP014264.1,2781599,1
NZ_CP014264.1,2972784,5
NZ_CP014264.1,28037,1
NZ_CP014264.1,1307,1
NZ_CP014264.1,1311,1
NZ_CP072236.1,820,3225
NZ_CP072236.1,816,1501
NZ_CP072236.1,171549,290
NZ_CP072236.1,976,57
NZ_CP072236.1,815,81
NZ_CP072236.1,28111,2
NZ_CP072236.1,291644,1
NZ_CP072236.1,246787,2
NZ_CP072236.1,2785531,3
NZ_CP072236.1,387661,1
NZ_CP072236.1,821,1
NZ_CP072236.1,693979,2
NZ_CP072236.1,997890,4
NZ_CP072236.1,2755405,2
NZ_CP072236.1,357276,1
NZ_CP072236.1,2715212,1
NZ_CP072236.1,817,1
NZ_CP072236.1,2792859,1
NZ_CP072236.1,909656,1
NZ_CP072236.1,2972761,1
NZ_CP072236.1,387090,1
NZ_CP049272.1,199,6076
NZ_CP049272.1,194,18
NZ_CP049272.1,360104,9
NZ_CP049272.1,131567,1
NZ_CP049272.1,3218,1
NZ_CP049272.1,9606,2
NZ_CP049272.1,3369,1
NZ_CP024700.1,2663009,1904
NZ_CP024700.1,848,595
NZ_CP024700.1,76859,9
NZ_CP024700.1,851,7
NZ_CP024700.1,155615,3
NZ_CP024700.1,860,12
NZ_CP024700.1,1583098,5
NZ_CP024700.1,76857,17
NZ_CP024700.1,3749,1
NZ_CP024700.1,285729,2
NZ_CP024700.1,1920034,1
NZ_CP024700.1,2,9
NZ_CP024700.1,856,1
NZ_CP024700.1,94328,1
NZ_CP024700.1,1313,1
NZ_CP024700.1,469602,1
NZ_CP024700.1,182163,1
NZ_CP024700.1,3817,1
NZ_CP024700.1,203492,1
NZ_CP012589.1,1705617,671
NZ_CP012589.1,1016,439
NZ_CP012589.1,2640652,76
NZ_CP012589.1,1018,22
NZ_CP012589.1,2545799,1
NZ_CP012589.1,45243,2
NZ_CP012589.1,200644,2
NZ_CP012589.1,2708117,2
NZ_CP012589.1,1019,2
NZ_CP012589.1,1316593,2
NZ_CP012589.1,1316596,1
NZ_CP015402.2,1796646,6330
NZ_CP015402.2,171549,36
NZ_CP015402.2,2005473,82
NZ_CP015402.2,1918540,64
NZ_CP015402.2,1796613,1
NZ_CP046316.1,2545799,2611
NZ_CP046316.1,1848904,2
NZ_CP046316.1,1016,233
NZ_CP046316.1,3469,1
NZ_CP046316.1,200644,3
NZ_CP046316.1,2640652,6
NZ_CP046316.1,1316596,3
NZ_CP046316.1,327575,6
NZ_CP046316.1,28188,1
NZ_CP046316.1,976,4
NZ_AP019735.1,2585118,5194
NZ_AP019735.1,239759,51
NZ_AP019735.1,976,46
NZ_AP019735.1,171549,84
NZ_AP019735.1,997877,1
NZ_AP019735.1,816,1
NZ_AP019735.1,818,1
NZ_AP019735.1,2755405,1
NZ_AP019735.1,2,1
NZ_AP019735.1,328813,1
NZ_AP019735.1,667015,1
NZ_AP019735.1,823,1
NZ_AP019735.1,2862460,1
NZ_AP019735.1,291645,1
NZ_CP070914.1,562,853
NZ_CP070914.1,543,5009
NZ_CP070914.1,497725,1
NZ_CP070914.1,1261127,1
NZ_CP070914.1,91347,40
NZ_CP070914.1,54736,2
NZ_CP070914.1,1224,14
NZ_CP070914.1,208962,15
NZ_CP070914.1,622,9
NZ_CP070914.1,67824,2
NZ_CP070914.1,564,13
NZ_CP070914.1,1,60
NZ_CP070914.1,561,95
NZ_CP070914.1,2,15
NZ_CP070914.1,570,6
NZ_CP070914.1,2810407,1
NZ_CP070914.1,58169,1
NZ_CP070914.1,3048583,1
NZ_CP070914.1,2714951,2
NZ_CP070914.1,1499973,10
NZ_CP070914.1,354276,2
NZ_CP070914.1,131567,3
NZ_CP070914.1,28901,2
NZ_CP070914.1,544,9
NZ_CP070914.1,1236,19
NZ_CP070914.1,83654,1
NZ_CP070914.1,2848143,1
NZ_CP070914.1,35703,1
NZ_CP070914.1,573,2
NZ_CP070914.1,623,7
NZ_CP070914.1,2873296,1
NZ_CP070914.1,2980557,1
NZ_CP070914.1,885040,1
NZ_CP070914.1,621,5
NZ_CP070914.1,645,1
NZ_CP070914.1,2725997,1
NZ_CP070914.1,67825,1
NZ_CP070914.1,28141,2
NZ_CP070914.1,1160769,1
NZ_CP070914.1,548,1
NZ_CP070914.1,2742626,1
NZ_CP070914.1,2026240,1
NZ_CP070914.1,54291,1
NZ_CP070914.1,2044467,10
NZ_CP070914.1,216592,1
NZ_CP070914.1,981367,1
NZ_CP070914.1,590,1
NZ_CP070914.1,413496,2
NZ_CP070914.1,579,2
NZ_CP070914.1,158822,1
NZ_CP070914.1,3031919,1
NZ_CP070914.1,61645,1
NZ_CP070914.1,1915310,1
NZ_CP070914.1,2848144,1
NZ_CP070914.1,208224,1
NZ_CP070914.1,1446600,1
NZ_CP070914.1,2644389,1
NZ_CP070914.1,80840,1
NZ_CP070914.1,620,1
NZ_CP070914.1,83334,3
NZ_CP070914.1,2546350,1
NZ_CP070914.1,2742624,2
NZ_CP070914.1,67826,1
NZ_CP070914.1,158483,2
NZ_CP070914.1,487004,1
NZ_CP070914.1,2509666,1
NZ_CP070914.1,1639133,1
NZ_CP070914.1,580,1
NZ_CP070914.1,61647,1
NZ_CP070914.1,2778657,1
NZ_CP070914.1,340186,1
NZ_CP070914.1,2153354,1
NZ_CP070914.1,1243602,1
NZ_CP070914.1,1259973,1
NZ_CP070914.1,2815358,1
NZ_CP070914.1,244320,2
NZ_CP070914.1,547,2
NZ_CP070914.1,2047724,1
NZ_CP070914.1,199310,1
NZ_CP070914.1,546,1
NZ_CP070914.1,2027293,1
NZ_CP070914.1,2971264,1
NZ_CP070914.1,1073999,1
NZ_CP070914.1,1045010,1
NZ_CP070914.1,83655,1
NZ_CP070914.1,2489010,1
NZ_CP070914.1,2509662,1
NZ_CP070914.1,108619,1
NZ_CP070914.1,1330547,1
NZ_CP070914.1,1072459,1
NZ_CP070914.1,69218,1
NZ_CP070914.1,1502658,1
NZ_CP070914.1,2773705,1
NZ_CP070914.1,208223,1
NZ_CP070914.1,1282357,1
NZ_CP009227.1,2638727,1571
NZ_CP009227.1,1539298,1046
NZ_CP009227.1,157,133
NZ_CP009227.1,1659192,3
NZ_CP009227.1,158,1
NZ_CP009227.1,1643512,16
NZ_CP009227.1,69710,4
NZ_CP009227.1,2,3
NZ_CP009227.1,1643513,11
NZ_CP009227.1,58231,4
NZ_CP009227.1,120682,2
NZ_CP009227.1,2563662,1
NZ_CP090007.1,1304,8798
NZ_CP090007.1,1301,4310
NZ_CP090007.1,186826,10
NZ_CP090007.1,1433289,3
NZ_CP090007.1,3020829,1
NZ_CP090007.1,1308,55
NZ_CP090007.1,91061,4
NZ_CP090007.1,1888195,1
NZ_CP090007.1,1046629,17
NZ_CP090007.1,1783272,1
NZ_CP090007.1,760570,1
NZ_CP090007.1,3028082,1
NZ_CP090007.1,1300,12
NZ_CP090007.1,467705,1
NZ_CP090007.1,347253,20
NZ_CP090007.1,1343,18
NZ_CP090007.1,1048332,8
NZ_CP090007.1,1435972,1
NZ_CP090007.1,1349,1
