read_accession_id,taxid,count
NZ_LT635457.1,1852377,12736
NZ_LT635457.1,2049,50
NZ_LT635457.1,1760,21
NZ_LT635457.1,1654,4
NZ_LT635457.1,2,8
NZ_LT635457.1,1236,1
NZ_LT635457.1,1783272,1
NZ_LT635457.1,2662261,1
NZ_CAKAHJ010000001.1,52773,156
NZ_CAKAHJ010000001.1,1660,1522
NZ_CAKAHJ010000001.1,1760,131
NZ_CAKAHJ010000001.1,2529408,87
NZ_CAKAHJ010000001.1,2794089,18
NZ_CAKAHJ010000001.1,84112,1
NZ_CAKAHJ010000001.1,2049,65
NZ_CAKAHJ010000001.1,52774,4
NZ_CAKAHJ010000001.1,85006,19
NZ_CAKAHJ010000001.1,1775880,1
NZ_CAKAHJ010000001.1,131111,26
NZ_CAKAHJ010000001.1,199136,2
NZ_CAKAHJ010000001.1,2744574,3
NZ_CAKAHJ010000001.1,1696,3
NZ_CAKAHJ010000001.1,443156,1
NZ_CAKAHJ010000001.1,2,29
NZ_CAKAHJ010000001.1,85023,6
NZ_CAKAHJ010000001.1,199591,1
NZ_CAKAHJ010000001.1,178339,33
NZ_CAKAHJ010000001.1,888050,14
NZ_CAKAHJ010000001.1,2615065,1
NZ_CAKAHJ010000001.1,2583822,1
NZ_CAKAHJ010000001.1,1852377,18
NZ_CAKAHJ010000001.1,544580,4
NZ_CAKAHJ010000001.1,85007,5
NZ_CAKAHJ010000001.1,1828,3
NZ_CAKAHJ010000001.1,2057798,4
NZ_CAKAHJ010000001.1,904291,1
NZ_CAKAHJ010000001.1,2731112,2
NZ_CAKAHJ010000001.1,2830675,1
NZ_CAKAHJ010000001.1,43675,19
NZ_CAKAHJ010000001.1,2722820,4
NZ_CAKAHJ010000001.1,33882,2
NZ_CAKAHJ010000001.1,2614639,1
NZ_CAKAHJ010000001.1,1654,8
NZ_CAKAHJ010000001.1,53358,1
NZ_CAKAHJ010000001.1,2758572,2
NZ_CAKAHJ010000001.1,657387,1
NZ_CAKAHJ010000001.1,35755,2
NZ_CAKAHJ010000001.1,1813,1
NZ_CAKAHJ010000001.1,668,1
NZ_CAKAHJ010000001.1,1661,5
NZ_CAKAHJ010000001.1,69362,2
NZ_CAKAHJ010000001.1,1799,1
NZ_CAKAHJ010000001.1,1032480,1
NZ_CAKAHJ010000001.1,2782609,1
NZ_CAKAHJ010000001.1,2902624,1
NZ_CAKAHJ010000001.1,2559073,2
NZ_CAKAHJ010000001.1,32,1
NZ_CAKAHJ010000001.1,1002689,1
NZ_CAKAHJ010000001.1,1883,4
NZ_CAKAHJ010000001.1,2778070,1
NZ_CAKAHJ010000001.1,2996261,1
NZ_CAKAHJ010000001.1,218821,2
NZ_CAKAHJ010000001.1,1331682,1
NZ_CAKAHJ010000001.1,1851395,6
NZ_CAKAHJ010000001.1,131110,2
NZ_CAKAHJ010000001.1,653045,2
NZ_CAKAHJ010000001.1,1827,2
NZ_CAKAHJ010000001.1,2583243,1
NZ_CAKAHJ010000001.1,2773266,1
NZ_CAKAHJ010000001.1,37923,2
NZ_CAKAHJ010000001.1,2704468,1
NZ_CAKAHJ010000001.1,1719132,1
NZ_CAKAHJ010000001.1,507626,1
NZ_CAKAHJ010000001.1,80840,1
NZ_CAKAHJ010000001.1,85336,1
NZ_CAKAHJ010000001.1,2589797,2
NZ_CAKAHJ010000001.1,624315,1
NZ_CAKAHJ010000001.1,384,2
NZ_CAKAHJ010000001.1,2849642,2
NZ_CAKAHJ010000001.1,2566013,1
NZ_CAKAHJ010000001.1,3028117,1
NZ_CAKAHJ010000001.1,85015,1
NZ_CAKAHJ010000001.1,196821,3
NZ_CAKAHJ010000001.1,1701758,1
NZ_CAKAHJ010000001.1,29318,3
NZ_CAKAHJ010000001.1,2614124,1
NZ_CAKAHJ010000001.1,161896,1
NZ_CAKAHJ010000001.1,1072256,1
NZ_CAKAHJ010000001.1,1716,5
NZ_CAKAHJ010000001.1,1667168,2
NZ_CAKAHJ010000001.1,2081702,1
NZ_CAKAHJ010000001.1,43927,1
NZ_CAKAHJ010000001.1,1268,3
NZ_CAKAHJ010000001.1,374606,1
NZ_CAKAHJ010000001.1,2633591,1
NZ_CAKAHJ010000001.1,135621,2
NZ_CAKAHJ010000001.1,2773299,1
NZ_CAKAHJ010000001.1,2493675,1
NZ_CAKAHJ010000001.1,2017485,2
NZ_CAKAHJ010000001.1,1619308,1
NZ_CAKAHJ010000001.1,2045452,2
NZ_CAKAHJ010000001.1,312285,1
NZ_CAKAHJ010000001.1,2825844,1
NZ_CAKAHJ010000001.1,2321394,2
NZ_CAKAHJ010000001.1,2897332,1
NZ_CAKAHJ010000001.1,2855503,1
NZ_CAKAHJ010000001.1,2742603,1
NZ_CAKAHJ010000001.1,1564114,1
NZ_CAKAHJ010000001.1,2675219,1
NZ_CAKAHJ010000001.1,1223515,1
NZ_CAKAHJ010000001.1,2170745,1
NZ_CAKAHJ010000001.1,529,1
NZ_CAKAHJ010000001.1,630515,1
NZ_CAKAHJ010000001.1,2875729,1
NZ_CAKAHJ010000001.1,721785,1
NZ_CAKAHJ010000001.1,2051,1
NZ_CAKAHJ010000001.1,2692125,3
NZ_CAKAHJ010000001.1,257496,1
NZ_CAKAHJ010000001.1,2887346,2
NZ_CAKAHJ010000001.1,2789739,1
NZ_CAKAHJ010000001.1,1328866,2
NZ_CAKAHJ010000001.1,33011,1
NZ_CAKAHJ010000001.1,2419771,1
NZ_CAKAHJ010000001.1,546874,1
NZ_CAKAHJ010000001.1,2709403,5
NZ_CAKAHJ010000001.1,446469,2
NZ_CAKAHJ010000001.1,2908837,1
NZ_CAKAHJ010000001.1,1694,1
NZ_CAKAHJ010000001.1,2835787,2
NZ_CAKAHJ010000001.1,2883169,2
NZ_CAKAHJ010000001.1,251229,1
NZ_CAKAHJ010000001.1,1882747,1
NZ_CAKAHJ010000001.1,2219224,1
NZ_CAKAHJ010000001.1,2951806,1
NZ_CAKAHJ010000001.1,618,1
NZ_CAKAHJ010000001.1,1224,4
NZ_CAKAHJ010000001.1,1708,2
NZ_CAKAHJ010000001.1,2684406,2
NZ_CAKAHJ010000001.1,2942449,1
NZ_CAKAHJ010000001.1,1783272,3
NZ_CAKAHJ010000001.1,2829501,1
NZ_CAKAHJ010000001.1,36739,1
NZ_CAKAHJ010000001.1,53458,1
NZ_CAKAHJ010000001.1,2973977,1
NZ_CAKAHJ010000001.1,1656,1
NZ_CAKAHJ010000001.1,2062,2
NZ_CAKAHJ010000001.1,217203,1
NZ_CAKAHJ010000001.1,2585135,1
NZ_CAKAHJ010000001.1,2995141,2
NZ_CAKAHJ010000001.1,2593676,1
NZ_CAKAHJ010000001.1,670516,1
NZ_CAKAHJ010000001.1,2761578,1
NZ_CAKAHJ010000001.1,455632,1
NZ_CAKAHJ010000001.1,111015,4
NZ_CAKAHJ010000001.1,235627,1
NZ_CAKAHJ010000001.1,2053,1
NZ_CAKAHJ010000001.1,38304,2
NZ_CAKAHJ010000001.1,1685,1
NZ_CAKAHJ010000001.1,2733571,2
NZ_CAKAHJ010000001.1,1658671,1
NZ_CAKAHJ010000001.1,2755559,1
NZ_CAKAHJ010000001.1,131567,1
NZ_CAKAHJ010000001.1,2806442,1
NZ_CAKAHJ010000001.1,2897773,1
NZ_CAKAHJ010000001.1,2714941,1
NZ_CAKAHJ010000001.1,1835,1
NZ_CAKAHJ010000001.1,2509458,2
NZ_CAKAHJ010000001.1,1431546,1
NZ_CAKAHJ010000001.1,2651199,1
NZ_CAKAHJ010000001.1,636,1
NZ_CAKAHJ010000001.1,2968085,2
NZ_CAKAHJ010000001.1,589382,2
NZ_CAKAHJ010000001.1,629295,1
NZ_CAKAHJ010000001.1,2857058,1
NZ_CAKAHJ010000001.1,404589,1
NZ_CAKAHJ010000001.1,2999062,1
NZ_CAKAHJ010000001.1,1573,2
NZ_CAKAHJ010000001.1,1724,1
NZ_CAKAHJ010000001.1,1437605,2
NZ_CAKAHJ010000001.1,1926494,1
NZ_CAKAHJ010000001.1,1028989,1
NZ_CAKAHJ010000001.1,2292766,1
NZ_CAKAHJ010000001.1,2609279,1
NZ_CAKAHJ010000001.1,2942909,1
NZ_CAKAHJ010000001.1,656366,1
NZ_CAKAHJ010000001.1,2770551,1
NZ_CAKAHJ010000001.1,340320,1
NZ_CAKAHJ010000001.1,51201,1
NZ_CAKAHJ010000001.1,2057800,1
NZ_CAKAHJ010000001.1,2609253,1
NZ_CAKAHJ010000001.1,928724,2
NZ_CAKAHJ010000001.1,1612173,1
NZ_CAKAHJ010000001.1,2830983,1
NZ_CAKAHJ010000001.1,33889,1
NZ_CAKAHJ010000001.1,2493672,1
NZ_CAKAHJ010000001.1,134034,1
NZ_CAKAHJ010000001.1,585529,1
NZ_CAKAHJ010000001.1,2483799,2
NZ_CAKAHJ010000001.1,204447,1
NZ_CAKAHJ010000001.1,1836,1
NZ_CAKAHJ010000001.1,201174,1
NZ_CAKAHJ010000001.1,1750,1
NZ_CAKAHJ010000001.1,2962065,1
NZ_CAKAHJ010000001.1,861360,1
NZ_CAKAHJ010000001.1,2795488,1
NZ_CAKAHJ010000001.1,1003195,1
NZ_CAKAHJ010000001.1,2565782,1
NZ_CAKAHJ010000001.1,31957,1
NZ_CAKAHJ010000001.1,1690220,2
NZ_CAKAHJ010000001.1,1236,1
NZ_CAKAHJ010000001.1,449461,1
NZ_CAKAHJ010000001.1,227318,1
NZ_CAKAHJ010000001.1,2675523,1
NZ_CAKAHJ010000001.1,433659,1
NZ_CAKAHJ010000001.1,469383,1
NZ_CAKAHJ010000001.1,2729175,2
NZ_CAKAHJ010000001.1,2057743,1
NZ_CAKAHJ010000001.1,2934161,1
NZ_CAKAHJ010000001.1,1972846,1
NZ_CAKAHJ010000001.1,1889,1
NZ_CAKAHJ010000001.1,353,1
NZ_CAKAHJ010000001.1,370526,1
NZ_CAKAHJ010000001.1,278992,1
NZ_CAKAHJ010000001.1,48,1
NZ_CAKAHJ010000001.1,2886932,1
NZ_CAKAHJ010000001.1,2486855,1
NZ_CAKAHJ010000001.1,392593,1
NZ_CAKAHJ010000001.1,1978566,1
NZ_CAKAHJ010000001.1,2079536,2
NZ_CAKAHJ010000001.1,472569,1
NZ_CAKAHJ010000001.1,119219,1
NZ_CAKAHJ010000001.1,2020377,1
NZ_CAKAHJ010000001.1,2763006,1
NZ_CAKAHJ010000001.1,2026885,1
NZ_CAKAHJ010000001.1,29580,1
NZ_CAKAHJ010000001.1,43765,1
NZ_CAKAHJ010000001.1,2759167,1
NZ_CAKAHJ010000001.1,1300344,1
NZ_CAKAHJ010000001.1,33918,1
NZ_CAKAHJ010000001.1,2268449,1
NZ_CAKAHJ010000001.1,1690815,1
NZ_CAKAHJ010000001.1,2712222,1
NZ_CAKAHJ010000001.1,2830998,1
NZ_CAKAHJ010000001.1,2880933,1
NZ_CAKAHJ010000001.1,82380,1
NZ_CAKAHJ010000001.1,72763,1
NZ_CAKAHJ010000001.1,169292,2
NZ_CAKAHJ010000001.1,2663824,1
NZ_CAKAHJ010000001.1,1914461,1
NZ_CAKAHJ010000001.1,1714373,2
NZ_CAKAHJ010000001.1,2004647,1
NZ_CAKAHJ010000001.1,2716227,1
NZ_CAKAHJ010000001.1,649638,1
NZ_CAKAHJ010000001.1,2006,1
NZ_CAKAHJ010000001.1,1960,2
NZ_CAKAHJ010000001.1,2675218,1
NZ_CAKAHJ010000001.1,479433,1
NZ_CAKAHJ010000001.1,2819978,2
NZ_CAKAHJ010000001.1,2035,1
NZ_CAKAHJ010000001.1,1150468,1
NZ_CAKAHJ010000001.1,344163,1
NZ_CAKAHJ010000001.1,2483401,1
NZ_CAKAHJ010000001.1,85021,1
NZ_CAKAHJ010000001.1,1912,1
NZ_CAKAHJ010000001.1,2875706,1
NZ_CAKAHJ010000001.1,712122,1
NZ_CAKAHJ010000001.1,28056,1
NZ_CAKAHJ010000001.1,2609248,1
NZ_CAKAHJ010000001.1,1827580,1
NZ_CAKAHJ010000001.1,85009,1
NZ_CAKAHJ010000001.1,471853,1
NZ_CAKAHJ010000001.1,2621730,1
NZ_CAKAHJ010000001.1,2161816,1
NZ_CAKAHJ010000001.1,28028,1
NZ_CAKAHJ010000001.1,119981,1
NZ_CAKAHJ010000001.1,1205910,1
NZ_CAKAHJ010000001.1,517,1
NZ_CAKAHJ010000001.1,2865112,1
NZ_CAKAHJ010000001.1,273677,1
NZ_CAKAHJ010000001.1,2766784,1
NZ_CAKAHJ010000001.1,39691,1
NZ_CAKAHJ010000001.1,2779775,1
NZ_CAKAHJ010000001.1,1226752,1
NZ_CAKAHJ010000001.1,145458,1
NZ_CAKAHJ010000001.1,657308,1
NZ_CAKAHJ010000001.1,502025,1
NZ_CAKAHJ010000001.1,1,1
NZ_CAKAHJ010000001.1,212765,1
NZ_CAKAHJ010000001.1,2972479,1
NZ_CAKAHJ010000001.1,2768834,1
NZ_CAKAHJ010000001.1,2623841,1
NZ_CAKAHJ010000001.1,571913,1
NZ_CAKAHJ010000001.1,2736640,1
NZ_CAKAHJ010000001.1,2654282,1
NZ_CAKAHJ010000001.1,2495645,1
NZ_CAKAHJ010000001.1,84292,1
NZ_CAKAHJ010000001.1,1652028,1
NZ_CAKAHJ010000001.1,2600159,1
NZ_CAKAHJ010000001.1,926566,1
NZ_CAKAHJ010000001.1,2613769,1
NZ_CAKAHJ010000001.1,57494,1
NZ_CAKAHJ010000001.1,2734634,1
NZ_CAKAHJ010000001.1,644,1
NZ_CAKAHJ010000001.1,285578,1
NZ_CAKAHJ010000001.1,2567884,1
