read_accession_id,taxid,count
CP097095.1,1654,2
CP097095.1,1660,2
CP097095.1,2853258,1
CP097095.1,1526412,1
CP097095.1,1268,1
CP097095.1,111015,1
NZ_CP033459.1,2133944,9144
NZ_CP033459.1,976,5
NZ_CP033459.1,171552,5
NZ_CP033459.1,171549,1
NZ_CP033459.1,1437183,1
NZ_CP033459.1,28124,1
CAKAFU010000002.1,28132,222
CAKAFU010000002.1,838,895
CAKAFU010000002.1,28133,196
CAKAFU010000002.1,171549,298
CAKAFU010000002.1,28129,330
CAKAFU010000002.1,2816950,2
CAKAFU010000002.1,2758573,2
CAKAFU010000002.1,29549,1
CAKAFU010000002.1,976,82
CAKAFU010000002.1,171552,266
CAKAFU010000002.1,28131,445
CAKAFU010000002.1,1236517,41
CAKAFU010000002.1,702439,27
CAKAFU010000002.1,1239415,3
CAKAFU010000002.1,3126690,1
CAKAFU010000002.1,1076,4
CAKAFU010000002.1,2606626,2
CAKAFU010000002.1,158386,1
CAKAFU010000002.1,28125,23
CAKAFU010000002.1,470565,39
CAKAFU010000002.1,908937,97
CAKAFU010000002.1,2979869,7
CAKAFU010000002.1,3042315,4
CAKAFU010000002.1,329854,4
CAKAFU010000002.1,239759,8
CAKAFU010000002.1,162156,28
CAKAFU010000002.1,2761579,3
CAKAFU010000002.1,28135,94
CAKAFU010000002.1,28113,7
CAKAFU010000002.1,1224,20
CAKAFU010000002.1,712471,65
CAKAFU010000002.1,49546,10
CAKAFU010000002.1,393921,12
CAKAFU010000002.1,4072,4
CAKAFU010000002.1,2585118,4
CAKAFU010000002.1,837,55
CAKAFU010000002.1,1471398,1
CAKAFU010000002.1,2094151,6
CAKAFU010000002.1,575614,43
CAKAFU010000002.1,2867410,1
CAKAFU010000002.1,28137,24
CAKAFU010000002.1,158,1
CAKAFU010000002.1,41945,1
CAKAFU010000002.1,28211,5
CAKAFU010000002.1,28111,8
CAKAFU010000002.1,2294119,3
CAKAFU010000002.1,2,100
CAKAFU010000002.1,29378,2
CAKAFU010000002.1,1177574,130
CAKAFU010000002.1,1236,10
CAKAFU010000002.1,511995,4
CAKAFU010000002.1,28065,1
CAKAFU010000002.1,2759,2
CAKAFU010000002.1,759620,1
CAKAFU010000002.1,909656,4
CAKAFU010000002.1,76123,40
CAKAFU010000002.1,1324352,2
CAKAFU010000002.1,577309,4
CAKAFU010000002.1,2801997,5
CAKAFU010000002.1,2133944,29
CAKAFU010000002.1,1279,3
CAKAFU010000002.1,28124,2
CAKAFU010000002.1,2650157,3
CAKAFU010000002.1,626932,4
CAKAFU010000002.1,423349,3
CAKAFU010000002.1,319795,2
CAKAFU010000002.1,131567,17
CAKAFU010000002.1,322095,1
CAKAFU010000002.1,28119,31
CAKAFU010000002.1,1122984,21
CAKAFU010000002.1,46506,7
CAKAFU010000002.1,2230877,1
CAKAFU010000002.1,1243007,2
CAKAFU010000002.1,746697,1
CAKAFU010000002.1,1497681,2
CAKAFU010000002.1,2937786,1
CAKAFU010000002.1,1842532,3
CAKAFU010000002.1,1716143,5
CAKAFU010000002.1,165696,2
CAKAFU010000002.1,2714928,2
CAKAFU010000002.1,55209,1
CAKAFU010000002.1,38284,1
CAKAFU010000002.1,200643,8
CAKAFU010000002.1,651561,1
CAKAFU010000002.1,202950,2
CAKAFU010000002.1,28128,14
CAKAFU010000002.1,1437183,3
CAKAFU010000002.1,2913616,9
CAKAFU010000002.1,712411,1
CAKAFU010000002.1,36874,4
CAKAFU010000002.1,182163,4
CAKAFU010000002.1,69965,2
CAKAFU010000002.1,1337936,1
CAKAFU010000002.1,2490858,1
CAKAFU010000002.1,762982,8
CAKAFU010000002.1,703,3
CAKAFU010000002.1,816,33
CAKAFU010000002.1,2722756,1
CAKAFU010000002.1,680248,1
CAKAFU010000002.1,820,11
CAKAFU010000002.1,660470,1
CAKAFU010000002.1,1236518,21
