read_accession_id,taxid,count
NZ_CP033459.1,2133944,6083
NZ_CP033459.1,171552,6
NZ_CP033459.1,171549,1
CAKAFU010000002.1,28137,1
CAKAFU010000002.1,28129,1
CAKAFU010000002.1,1484118,1
CAKAFU010000002.1,28131,1
NZ_CP036550.1,817,10240
NZ_CP036550.1,816,276
NZ_CP036550.1,818,1
NZ_CP036550.1,815,81
NZ_CP036550.1,171549,235
NZ_CP036550.1,537011,4
NZ_CP036550.1,976,36
NZ_CP036550.1,862962,8
NZ_CP036550.1,1117645,1
NZ_CP036550.1,997879,4
NZ_CP036550.1,295405,3
NZ_CP036550.1,2709390,1
NZ_CP036550.1,2,4
NZ_CP036550.1,371601,1
NZ_CP036550.1,2650157,1
NZ_CP036550.1,667015,1
NZ_CP036550.1,838,1
NZ_CP036550.1,76832,1
NZ_CP049272.1,199,242
NZ_CP049272.1,194,3
NZ_CP012544.1,204,5390
NZ_CP012544.1,194,39
NZ_CP012544.1,203,2
NZ_CP012544.1,2517362,1
NZ_CP012544.1,200,1
NZ_CP022386.1,1017,1434
NZ_CP022386.1,1016,16
NZ_CP022386.1,1018,1
NZ_CP022386.1,1019,1
NZ_CP022386.1,2545799,1
NZ_CP022384.1,327575,717
NZ_CP022384.1,1016,90
NZ_CP022384.1,1316596,2
NZ_CP022384.1,200644,1
NZ_CP022384.1,2545799,4
NZ_CP022384.1,28189,1
NZ_CP022379.1,1019,21148
NZ_CP022379.1,1016,733
NZ_CP022379.1,2708117,33
NZ_CP022379.1,200644,45
NZ_CP022379.1,45243,3
NZ_CP022379.1,1316596,6
NZ_CP022379.1,49546,5
NZ_CP022379.1,2748316,4
NZ_CP022379.1,1848904,1
NZ_CP022379.1,1017,3
NZ_CP022379.1,1705617,3
NZ_CP022379.1,1783272,1
NZ_CP022379.1,28189,1
NZ_CP022379.1,976,4
NZ_CP022379.1,1018,10
NZ_CP022379.1,327575,2
NZ_CP022379.1,1316593,2
NZ_CP022379.1,2545799,7
NZ_CP022379.1,9606,1
NZ_CP022379.1,2640652,1
NZ_CP022379.1,2,2
NZ_CP022379.1,1761453,1
NZ_CP022379.1,171549,1
ACIL03000013.1,747365,1
ACIL03000013.1,186802,1
NZ_CP028101.1,851,32
NZ_CP028101.1,76856,160
NZ_CP028101.1,848,22
NZ_CP028101.1,76859,5
NZ_CP028101.1,1307427,1
NZ_CP028101.1,9606,1
NZ_CP028101.1,671211,1
NZ_CP028101.1,1583098,2
NZ_CP024703.1,2663009,92173
NZ_CP024703.1,848,7318
NZ_CP024703.1,1583098,166
NZ_CP024703.1,851,542
NZ_CP024703.1,76856,44
NZ_CP024703.1,76857,252
NZ_CP024703.1,469,3
NZ_CP024703.1,469617,6
NZ_CP024703.1,860,243
NZ_CP024703.1,2989854,2
NZ_CP024703.1,9606,79
NZ_CP024703.1,2764326,5
NZ_CP024703.1,76859,125
NZ_CP024703.1,1054034,1
NZ_CP024703.1,469601,9
NZ_CP024703.1,203491,163
NZ_CP024703.1,131567,38
NZ_CP024703.1,498213,1
NZ_CP024703.1,2023057,2
NZ_CP024703.1,2976127,2
NZ_CP024703.1,859,18
NZ_CP024703.1,238,1
NZ_CP024703.1,856,18
NZ_CP024703.1,470,3
NZ_CP024703.1,285729,70
NZ_CP024703.1,1307442,19
NZ_CP024703.1,1,5
NZ_CP024703.1,1496,4
NZ_CP024703.1,155615,22
NZ_CP024703.1,1307443,4
NZ_CP024703.1,2686361,2
NZ_CP024703.1,203492,11
NZ_CP024703.1,457405,16
NZ_CP024703.1,2745197,4
NZ_CP024703.1,525283,13
NZ_CP024703.1,157688,4
NZ_CP024703.1,1485,4
NZ_CP024703.1,647113,2
NZ_CP024703.1,157687,4
NZ_CP024703.1,32067,7
NZ_CP024703.1,469616,15
NZ_CP024703.1,1755100,18
NZ_CP024703.1,469602,3
NZ_CP024703.1,1128398,1
NZ_CP024703.1,1855823,1
NZ_CP024703.1,1307427,7
