read_accession_id,taxid,count
NZ_CP126983.1,837,36785
NZ_CP126983.1,171549,747
NZ_CP126983.1,976,17
NZ_CP126983.1,836,106
NZ_CP126983.1,1403338,114
NZ_CP126983.1,1177574,1
NZ_CP126983.1,867595,1
NZ_CP126983.1,431947,4
NZ_CP126983.1,1403336,14
NZ_CP126983.1,28131,3
NZ_CP126983.1,1403335,8
NZ_CP126983.1,1030843,4
NZ_CP126983.1,2785531,1
NZ_CP126983.1,838,2
NZ_CP126983.1,322095,1
NZ_CP126983.1,28135,1
NZ_CP126983.1,693979,1
NZ_CP126983.1,823,1
NZ_CP126983.1,702439,1
NZ_CP126983.1,28124,1
NZ_CP126983.1,393921,1
NZ_CP126983.1,371601,1
NZ_CP126983.1,556259,1
NZ_CP027286.1,46867,25471
NZ_CP027286.1,1485,365
NZ_CP027286.1,79200,1
NZ_CP027286.1,131567,14
NZ_CP027286.1,4641,1
NZ_CP027286.1,186801,4
NZ_CP027286.1,1504,40
NZ_CP027286.1,1501,1
NZ_CP027286.1,1437183,1
NZ_CP027286.1,169679,8
NZ_CP027286.1,931276,1
NZ_CP027286.1,3817,1
NZ_CP027286.1,3486,2
NZ_CP027286.1,1282,1
NZ_CP027286.1,1437201,3
NZ_CP027286.1,1783272,5
NZ_CP027286.1,29729,2
NZ_CP027286.1,91835,3
NZ_CP027286.1,186807,1
NZ_CP027286.1,3827,1
NZ_CP027286.1,29466,1
NZ_CP027286.1,1351755,5
NZ_CP027286.1,1513,1
NZ_CP027286.1,9606,6
NZ_CP027286.1,182773,1
NZ_CP027286.1,36745,1
NZ_CP027286.1,31979,22
NZ_CP027286.1,1239,6
NZ_CP027286.1,394958,5
NZ_CP027286.1,165200,1
NZ_CP027286.1,1216932,2
NZ_CP027286.1,1031752,1
NZ_CP027286.1,3888,2
NZ_CP027286.1,1902580,1
NZ_CP027286.1,3871,1
NZ_CP027286.1,1520,3
NZ_CP027286.1,3369,2
NZ_CP027286.1,3070681,2
NZ_CP027286.1,469616,1
