read_accession_id,taxid,count
NZ_CP120209.1,253,1879
NZ_CP120209.1,59732,40
NZ_CP120209.1,2,2
NZ_CP120209.1,976,16
NZ_CP120209.1,200644,7
NZ_CP120209.1,1117645,2
NZ_CP120209.1,878220,1
NZ_CP120209.1,2762318,12
NZ_CP120209.1,2782232,3
NZ_CP120209.1,2004710,1
NZ_CP120209.1,421058,1
NZ_CP120209.1,112234,1
NZ_CP120209.1,2593645,1
NZ_CP120209.1,2487063,1
NZ_CP120209.1,131567,1
NZ_CP039381.1,2564099,7066
NZ_CP039381.1,186801,7
NZ_CP039381.1,2,8
NZ_CP039381.1,1263,3
NZ_CP039381.1,131567,2
NZ_CP039381.1,3070656,1
NZ_CP039381.1,216572,2
NZ_CP039381.1,1783272,1
NZ_CP019668.1,95486,1942
NZ_CP019668.1,87882,1806
NZ_CP019668.1,32008,532
NZ_CP019668.1,28095,3
NZ_CP019668.1,292,27
NZ_CP019668.1,488730,9
NZ_CP019668.1,488729,5
NZ_CP019668.1,2613784,4
NZ_CP019668.1,119060,19
NZ_CP019668.1,1207504,6
NZ_CP019668.1,87883,6
NZ_CP019668.1,488731,7
NZ_CP019668.1,406425,13
NZ_CP019668.1,2015348,2
NZ_CP019668.1,101571,11
NZ_CP019668.1,488447,12
NZ_CP019668.1,179879,17
NZ_CP019668.1,2811788,1
NZ_CP019668.1,60550,9
NZ_CP019668.1,152480,7
NZ_CP019668.1,1224,3
NZ_CP019668.1,95485,4
NZ_CP019668.1,28216,1
NZ_CP019668.1,1055524,3
NZ_CP019668.1,152500,2
NZ_CP019668.1,80840,3
NZ_CP019668.1,488446,5
NZ_CP019668.1,482957,4
NZ_CP019668.1,1494466,1
NZ_CP019668.1,57975,2
NZ_CP019668.1,1503054,1
NZ_CP019668.1,1503055,7
NZ_CP019668.1,1637862,1
NZ_CP019668.1,1637853,3
NZ_CP019668.1,60552,2
NZ_CP019668.1,871203,1
NZ_CP019668.1,286,1
NZ_CP019668.1,398577,1
NZ_CP019668.1,1179675,1
NZ_CP019668.1,2906514,1
NZ_CP019668.1,342113,1
NZ_CP019668.1,488732,1
NZ_CP019668.1,2854261,1
NZ_CP019668.1,41899,1
NZ_CP097775.1,1406,8896
NZ_CP097775.1,44249,890
NZ_CP097775.1,185978,3
NZ_CP097775.1,1778678,1
NZ_CP097775.1,1413214,8
NZ_CP097775.1,1239,7
NZ_CP097775.1,2921435,1
NZ_CP097775.1,2810347,1
NZ_CP097775.1,59893,1
NZ_CP097775.1,1740264,1
NZ_CP097775.1,2954661,2
NZ_CP097775.1,128574,4
NZ_CP097775.1,1385,8
NZ_CP097775.1,2926710,1
NZ_CP097775.1,1036171,1
NZ_CP097775.1,2823905,1
NZ_CP097775.1,1532905,1
NZ_CP097775.1,2921604,2
NZ_CP097775.1,1452,1
NZ_CP097775.1,2565926,1
NZ_CP097775.1,492670,1
NZ_CP097775.1,867076,3
NZ_CP097775.1,172713,3
NZ_CP097775.1,186822,3
NZ_CP097775.1,253703,1
NZ_CP097775.1,1052684,1
NZ_CP097775.1,189425,1
NZ_CP097775.1,2954752,1
NZ_CP097775.1,2823904,1
NZ_CP097775.1,33932,1
NZ_CP097775.1,1938374,1
NZ_CP097775.1,692420,1
NZ_CP097775.1,349520,3
NZ_CP097775.1,3045840,1
NZ_CP097775.1,1429244,1
NZ_CP097775.1,985665,1
NZ_CP097775.1,1783272,1
NZ_CP097775.1,2487928,1
NZ_CP097775.1,1536774,1
NZ_CP097775.1,539262,1
NZ_CP097775.1,2069255,1
NZ_CP097775.1,169760,1
NZ_CP017042.1,1884263,42526
NZ_CP017042.1,970,359
NZ_CP017042.1,1390,1
NZ_CP017042.1,712528,2
NZ_CP017042.1,2637378,181
NZ_CP017042.1,3095337,3
NZ_CP017042.1,713030,1
NZ_CP017042.1,712538,1
NZ_CP017042.1,135079,4
NZ_CP017042.1,1843491,2
NZ_CP017042.1,2754044,2
NZ_CP017042.1,909929,1
NZ_CP017042.1,2,2
NZ_CP017042.1,1239,1
NZ_CP017042.1,909932,2
NZ_CP084018.1,437897,1328
NZ_CP084018.1,158846,5
NZ_CP084018.1,158847,1
NZ_CP084018.1,2764326,1
NZ_CP084018.1,131567,1
NZ_CP068112.1,2051,32549
NZ_CP068112.1,1760,117
NZ_CP068112.1,190146,1
NZ_CP068112.1,2049,220
NZ_CP068112.1,2050,115
NZ_CP068112.1,2,60
NZ_CP068112.1,1783272,16
NZ_CP068112.1,1239,11
NZ_CP068112.1,548479,6
NZ_CP068112.1,147802,4
NZ_CP068112.1,3036302,3
NZ_CP068112.1,2708340,1
NZ_CP068112.1,1532023,1
NZ_CP040004.1,2093823,46
NZ_CP040004.1,2572088,11805
NZ_CP040004.1,2,13
NZ_CP040004.1,95818,41
NZ_CP040004.1,2841264,1
NC_012753.1,3044850,2680
NC_012753.1,646413,3480
NC_012753.1,3044455,344
NC_012753.1,2731619,111
NC_012753.1,2419649,14
NC_012753.1,1623303,12
NC_012753.1,1,31
NC_012753.1,9606,1
NC_012753.1,1623304,1
NC_012753.1,2419638,2
NC_012753.1,1971430,3
NC_012753.1,2365045,1
NC_012753.1,1971412,1
NC_012753.1,2681626,1
NC_012753.1,2483877,4
NC_012753.1,2069608,1
NC_012753.1,2919544,1
NC_012753.1,2365027,3
NC_012753.1,1971414,2
NC_012753.1,2365012,2
NC_012753.1,2365016,1
NC_012753.1,1433289,1
NC_012753.1,73422,1
NC_012753.1,2905688,1
NC_012753.1,2365054,1
NZ_CP012117.1,36739,78
NZ_CP012117.1,1630135,2403
NZ_CP012117.1,1760,55
NZ_CP012117.1,1667168,1
NZ_CP012117.1,98671,1
NZ_CP012117.1,85020,2
NZ_CP027228.1,114527,35877
NZ_CP027228.1,86331,363
NZ_CP027228.1,1239,198
NZ_CP027228.1,186826,11
NZ_CP027228.1,186801,14
NZ_CP027228.1,2,21
NZ_CP027228.1,29391,2
NZ_CP027228.1,1328,6
NZ_CP027228.1,1311,3
NZ_CP027228.1,86332,8
NZ_CP027228.1,1313,5
NZ_CP027228.1,1314,1
NZ_CP027228.1,1301,1
NZ_CP027228.1,3030910,2
NZ_CP027228.1,131567,1
NZ_CP027228.1,114528,6
NZ_CP027228.1,699246,1
NZ_CP027228.1,3082720,1
NZ_CP027228.1,147802,1
NZ_CP027228.1,2806552,2
NZ_CP027228.1,2583584,1
NZ_CP029197.1,54571,7132
NZ_CP029197.1,1883,568
NZ_CP029197.1,1760,18
NZ_CP029197.1,1,26
NZ_CP029197.1,66425,1
NZ_CP029197.1,2062,6
NZ_CP029197.1,2903671,11
NZ_CP029197.1,2593676,19
NZ_CP029197.1,2903862,1
NZ_CP029197.1,953739,11
NZ_CP029197.1,3075199,1
NZ_CP029197.1,2967224,5
NZ_CP029197.1,2903641,8
NZ_CP029197.1,2975946,2
NZ_CP029197.1,2903634,1
NZ_CP029197.1,2903828,1
NZ_CP029197.1,2903863,1
NZ_CP029197.1,1169025,1
NZ_CP029197.1,1892,1
NZ_CP029197.1,68286,12
NZ_CP029197.1,1888,1
NZ_CP029197.1,1077946,4
NZ_CP029197.1,3041765,1
NZ_CP029197.1,42234,1
NZ_CP029197.1,2305220,1
NZ_CP029197.1,2903798,2
NZ_CP029197.1,1648182,1
NZ_CP029197.1,887462,1
NZ_CP029197.1,2929798,1
NZ_CP029197.1,1907,1
NZ_CP029197.1,2903657,1
