read_accession_id,taxid,count
NZ_CP033459.1,2133944,18262
NZ_CP033459.1,38300,1
NZ_CP033459.1,976,8
NZ_CP033459.1,171549,4
NZ_CP033459.1,171552,6
NZ_CP033459.1,2,3
NZ_CP033459.1,9606,1
NZ_CP033459.1,131567,1
NZ_CP033459.1,423349,1
CAKAFU010000002.1,28129,713
CAKAFU010000002.1,171552,378
CAKAFU010000002.1,171549,452
CAKAFU010000002.1,2590900,12
CAKAFU010000002.1,47678,13
CAKAFU010000002.1,28133,409
CAKAFU010000002.1,838,1758
CAKAFU010000002.1,976,149
CAKAFU010000002.1,2674997,8
CAKAFU010000002.1,200644,21
CAKAFU010000002.1,28132,567
CAKAFU010000002.1,28135,230
CAKAFU010000002.1,49546,30
CAKAFU010000002.1,2,223
CAKAFU010000002.1,28119,67
CAKAFU010000002.1,28131,991
CAKAFU010000002.1,880074,6
CAKAFU010000002.1,1177574,276
CAKAFU010000002.1,46506,12
CAKAFU010000002.1,1122984,86
CAKAFU010000002.1,2098,1
CAKAFU010000002.1,1853230,2
CAKAFU010000002.1,241368,3
CAKAFU010000002.1,122277,3
CAKAFU010000002.1,44249,1
CAKAFU010000002.1,1236,31
CAKAFU010000002.1,2133944,77
CAKAFU010000002.1,2722756,6
CAKAFU010000002.1,239759,24
CAKAFU010000002.1,1783272,13
CAKAFU010000002.1,575614,78
CAKAFU010000002.1,9606,12
CAKAFU010000002.1,1848904,3
CAKAFU010000002.1,282402,19
CAKAFU010000002.1,2703789,4
CAKAFU010000002.1,470565,89
CAKAFU010000002.1,254955,2
CAKAFU010000002.1,2502781,1
CAKAFU010000002.1,2689102,10
CAKAFU010000002.1,712471,177
CAKAFU010000002.1,2709396,2
CAKAFU010000002.1,76123,79
CAKAFU010000002.1,2866311,10
CAKAFU010000002.1,879243,7
CAKAFU010000002.1,551989,4
CAKAFU010000002.1,908937,176
CAKAFU010000002.1,817,13
CAKAFU010000002.1,821,7
CAKAFU010000002.1,674529,13
CAKAFU010000002.1,837,124
CAKAFU010000002.1,1367477,4
CAKAFU010000002.1,816,93
CAKAFU010000002.1,702439,41
CAKAFU010000002.1,244366,3
CAKAFU010000002.1,2937774,25
CAKAFU010000002.1,162209,7
CAKAFU010000002.1,1534,4
CAKAFU010000002.1,636,1
CAKAFU010000002.1,818,21
CAKAFU010000002.1,1454201,3
CAKAFU010000002.1,28127,39
CAKAFU010000002.1,836,4
CAKAFU010000002.1,654,2
CAKAFU010000002.1,748197,4
CAKAFU010000002.1,1760,8
CAKAFU010000002.1,2714928,5
CAKAFU010000002.1,28113,23
CAKAFU010000002.1,2712698,3
CAKAFU010000002.1,1301,4
CAKAFU010000002.1,1709477,5
CAKAFU010000002.1,318167,3
CAKAFU010000002.1,820,15
CAKAFU010000002.1,1224,50
CAKAFU010000002.1,2932249,2
CAKAFU010000002.1,227942,5
CAKAFU010000002.1,2913616,26
CAKAFU010000002.1,2691580,32
CAKAFU010000002.1,486,3
CAKAFU010000002.1,2975157,3
CAKAFU010000002.1,2638335,30
CAKAFU010000002.1,165695,4
CAKAFU010000002.1,641,7
CAKAFU010000002.1,1236517,85
CAKAFU010000002.1,762982,38
CAKAFU010000002.1,28111,19
CAKAFU010000002.1,200991,3
CAKAFU010000002.1,2913621,23
CAKAFU010000002.1,359370,3
CAKAFU010000002.1,28453,2
CAKAFU010000002.1,291644,6
CAKAFU010000002.1,89373,3
CAKAFU010000002.1,1217282,18
CAKAFU010000002.1,1730,1
CAKAFU010000002.1,991789,2
CAKAFU010000002.1,29378,4
CAKAFU010000002.1,28448,3
CAKAFU010000002.1,537011,7
CAKAFU010000002.1,28454,3
CAKAFU010000002.1,2005525,5
CAKAFU010000002.1,679937,9
CAKAFU010000002.1,751585,5
CAKAFU010000002.1,2144175,4
CAKAFU010000002.1,28124,13
CAKAFU010000002.1,2774015,4
CAKAFU010000002.1,889453,5
CAKAFU010000002.1,2650157,10
CAKAFU010000002.1,421058,4
CAKAFU010000002.1,39643,3
CAKAFU010000002.1,2602070,3
CAKAFU010000002.1,1853232,3
CAKAFU010000002.1,212,2
CAKAFU010000002.1,712411,4
CAKAFU010000002.1,2676868,6
