read_accession_id,taxid,count
NZ_CP015905.2,1358,3429
NZ_CP015905.2,1360,423
NZ_CP015905.2,1117941,5
NZ_CP015905.2,1359,17
NZ_CP015905.2,1357,243
NZ_CP015905.2,2,35
NZ_CP015905.2,1,16
NZ_CP015905.2,272623,4
NZ_CP015905.2,1046624,36
NZ_CP015905.2,1300,2
NZ_CP015905.2,44688,6
NZ_CP015905.2,186826,12
NZ_CP015905.2,2879149,4
NZ_CP015905.2,1239,1
NZ_CP015905.2,2419773,1
NZ_CP015905.2,1151742,1
NZ_CP015905.2,1295826,1
NZ_CP015905.2,2592653,1
NZ_CP015905.2,929102,1
NZ_CP012069.2,712411,69376
NZ_CP012069.2,133925,7
NZ_CP012069.2,1643824,2
NZ_CP032364.1,617123,5775
NZ_CP032364.1,1164882,5
NZ_CP032364.1,40041,1
NZ_CP032364.1,1239,1
NZ_CP032364.1,186803,1
NZ_CP032364.1,186801,1
NZ_CP031057.1,1748,7010
NZ_CP031057.1,1912215,82
NZ_CP031057.1,1760,24
NZ_CP031057.1,31957,24
NZ_CP031057.1,1171373,12
NZ_CP031057.1,1744,1
NZ_CP031057.1,1430326,1
NZ_CP031057.1,1849032,1
NZ_CP008849.1,226,379
NZ_CP008849.1,589873,1626
NZ_CP008849.1,2785913,4
NZ_CP008849.1,28108,1
NZ_CP008849.1,1236,1
NZ_CP008849.1,2267264,1
NZ_CP008849.1,2614992,1
NZ_CP014150.1,1505,10367
NZ_CP014150.1,1849822,38
NZ_CP014150.1,186804,9
NZ_CP014150.1,1239,11
NZ_CP014150.1,186801,2
NZ_CP014150.1,1490,1
NZ_CP014150.1,1437201,1
NZ_CP014150.1,3369,1
NZ_CP014150.1,1496,1
NZ_CP014150.1,131567,1
NZ_CP019668.1,87882,4425
NZ_CP019668.1,95486,9336
NZ_CP019668.1,95485,22
NZ_CP019668.1,32008,409
NZ_CP019668.1,292,80
NZ_CP019668.1,488447,49
NZ_CP019668.1,406425,60
NZ_CP019668.1,179879,50
NZ_CP019668.1,87883,26
NZ_CP019668.1,152480,26
NZ_CP019668.1,119060,17
NZ_CP019668.1,488731,16
NZ_CP019668.1,488729,17
NZ_CP019668.1,488730,32
NZ_CP019668.1,60550,61
NZ_CP019668.1,482957,24
NZ_CP019668.1,152500,5
NZ_CP019668.1,2613784,1
NZ_CP019668.1,1503054,6
NZ_CP019668.1,80840,2
NZ_CP019668.1,2217913,3
NZ_CP019668.1,488446,22
NZ_CP019668.1,1009846,7
NZ_CP019668.1,101571,16
NZ_CP019668.1,2813843,1
NZ_CP019668.1,1207504,8
NZ_CP019668.1,1055524,9
NZ_CP019668.1,2015348,4
NZ_CP019668.1,1503055,11
NZ_CP019668.1,1385591,2
NZ_CP019668.1,57975,1
NZ_CP019668.1,488732,6
NZ_CP019668.1,398577,2
NZ_CP019668.1,265293,5
NZ_CP019668.1,395019,2
NZ_CP019668.1,1249468,1
NZ_CP019668.1,2854261,2
NZ_CP019668.1,1637853,6
NZ_CP019668.1,2811789,1
NZ_CP019668.1,1705310,1
NZ_CP019668.1,60552,2
NZ_CP019668.1,1503053,2
NZ_CP019668.1,28216,2
NZ_CP029462.1,2144175,16594
NZ_CP029462.1,2,51
NZ_CP029462.1,1239,45
NZ_CP029462.1,2904247,1
NZ_CP029462.1,906,11
NZ_CP029462.1,909932,1
NZ_CP029462.1,186801,2
NZ_CP029462.1,2108523,2
NZ_CP034157.1,237258,7530
NZ_CP034157.1,501783,177
NZ_CP034157.1,2762318,30
NZ_CP034157.1,2976818,18
NZ_CP034157.1,2004710,50
NZ_CP034157.1,976,7
NZ_CP034157.1,200644,3
NZ_CP034157.1,2893886,1
NZ_CP125315.1,47715,9543
NZ_CP125315.1,186826,12
NZ_CP125315.1,91061,5
NZ_CP125315.1,33958,7
NZ_CP125315.1,2759736,66
NZ_CP125315.1,1318634,4
NZ_CP125315.1,568704,2
NZ_CP125315.1,1599,1
NZ_CP125315.1,1088720,2
NZ_CP125315.1,2100821,1
NZ_CP125315.1,568703,1
NZ_CP125315.1,2,1
NZ_CP125315.1,1623,1
NZ_CP125315.1,1380361,1
NZ_CP026548.1,853,589
NZ_CP026548.1,216851,16
NZ_CP026548.1,1239,6
NZ_CP026548.1,718252,4
NZ_CP026548.1,216572,2
NZ_CP026548.1,186801,3
NZ_CP026548.1,1783272,1
NZ_CP026548.1,2,1
