read_accession_id,taxid,count
NZ_LT635457.1,1852377,30
NZ_CP033459.1,2133944,3047
NZ_CP033459.1,171552,1
NZ_CP033459.1,976,1
CAKAFU010000002.1,28131,2
CAKAFU010000002.1,2,1
CAKAFU010000002.1,28129,1
CAKAFU010000002.1,2742683,1
NZ_CP036550.1,817,5223
NZ_CP036550.1,815,24
NZ_CP036550.1,976,33
NZ_CP036550.1,171549,93
NZ_CP036550.1,338188,1
NZ_CP036550.1,816,60
NZ_CP036550.1,171552,1
NZ_CP036550.1,862962,8
NZ_CP036550.1,997879,4
NZ_CP036550.1,28128,1
NZ_CP036550.1,295405,3
NZ_CP036550.1,2650157,1
NZ_CP036550.1,537011,1
NZ_CP036550.1,76832,2
NZ_CP036550.1,2685834,1
NZ_CP036550.1,667015,1
NZ_CP036550.1,162156,1
NZ_CP036550.1,2,2
NZ_CP049272.1,199,122
NZ_CP049272.1,194,1
NZ_CP012544.1,204,2717
NZ_CP012544.1,194,5
NZ_CP012544.1,2517362,1
NZ_CP012544.1,1032243,1
NZ_CP022386.1,1017,727
NZ_CP022386.1,1016,2
NZ_CP022379.1,1019,10905
NZ_CP022379.1,200644,14
NZ_CP022379.1,1016,108
NZ_CP022379.1,1018,2
NZ_CP022379.1,976,1
NZ_CP022379.1,2708117,1
NZ_CP022379.1,2545799,1
NZ_CP022384.1,327575,390
NZ_CP022384.1,1016,12
NZ_CP022384.1,2545799,1
NZ_CP022384.1,28189,1
NZ_CP022384.1,976,1
NZ_CP022384.1,2708117,2
NZ_CP022384.1,200644,1
ACIL03000013.1,582,1
ACIL03000013.1,2017483,1
ACIL03000013.1,116085,1
ACIL03000013.1,88431,1
ACIL03000013.1,112863,1
ACIL03000013.1,3369,1
ACIL03000013.1,572511,1
NZ_CP028101.1,851,101
NZ_CP028101.1,525283,1
NZ_CP028101.1,76857,3
NZ_CP028101.1,848,7
NZ_CP028101.1,155615,1
NZ_CP028101.1,76856,1
NZ_CP024703.1,2663009,49767
NZ_CP024703.1,76859,100
NZ_CP024703.1,848,1138
NZ_CP024703.1,860,34
NZ_CP024703.1,856,3
NZ_CP024703.1,851,76
NZ_CP024703.1,76857,150
NZ_CP024703.1,1583098,33
NZ_CP024703.1,285729,36
NZ_CP024703.1,32067,3
NZ_CP024703.1,165179,1
NZ_CP024703.1,71275,1
NZ_CP024703.1,859,5
NZ_CP024703.1,4072,1
NZ_CP024703.1,1307442,6
NZ_CP024703.1,4533,1
NZ_CP024703.1,131567,4
NZ_CP024703.1,203491,5
NZ_CP024703.1,469616,4
NZ_CP024703.1,3817,1
NZ_CP024703.1,143387,1
NZ_CP024703.1,2759,1
NZ_CP024703.1,1437201,1
NZ_CP024703.1,2764326,1
NZ_CP024703.1,76856,1
NZ_CP024703.1,9606,1
NZ_CP024703.1,469602,1
NZ_CP024703.1,155615,1
NZ_CP083637.1,1379,6970
NZ_CP083637.1,1682,1
NZ_CP083637.1,1385,2
NZ_CP083637.1,113107,1
NZ_CP083637.1,1378,16
NZ_CP083637.1,1437183,1
NZ_CP083637.1,29394,1
NZ_CP083637.1,1301,1
NZ_CP083637.1,1239,2
NZ_CP035368.2,729,33266
NZ_CP035368.2,724,206
NZ_CP035368.2,862965,136
NZ_CP035368.2,416916,1
NZ_CP035368.2,712,107
NZ_CP035368.2,1236,5
NZ_CP035368.2,1224,8
NZ_CP035368.2,727,4
NZ_CP035368.2,1288,1
NZ_CP035368.2,1296,1
NZ_CP035368.2,747,2
NZ_CP035368.2,634176,1
NZ_CP031243.1,726,149
NZ_CP031243.1,724,8
NZ_CP031243.1,712,1
NZ_AP018768.1,724,9
NZ_AP018768.1,727,129
NZ_AP018768.1,281310,1
NZ_CP038817.1,735,22
NC_013203.1,521095,15
NZ_LR134378.1,47671,409
NZ_LR134378.1,887898,3
NZ_AP019831.1,109328,22
NZ_CP101528.1,1269,6
NZ_CP101528.1,1270,30
NZ_CP126965.1,1273,108
NZ_CP039886.1,484,4513
NZ_CP039886.1,482,278
NZ_CP039886.1,206351,1
NZ_CP039886.1,481,18
NZ_CP039886.1,487,5
NZ_CP039886.1,726,1
NZ_CP039886.1,28449,3
NZ_CP039886.1,1224,1
NZ_CP039886.1,485,2
NZ_CP039886.1,1871109,1
NZ_CP039886.1,2972775,1
NZ_CP039886.1,488,1
NZ_CP039886.1,1853278,1
NZ_CP039886.1,490,1
NZ_CP039886.1,935599,1
NZ_CP039886.1,3077590,1
NZ_CP039886.1,2937985,1
NZ_CP030820.1,487,5444
NZ_CP030820.1,482,319
NZ_CP030820.1,942513,2
NZ_CP030820.1,485,21
NZ_CP030820.1,1224,15
NZ_CP030820.1,909420,1
