read_accession_id,taxid,count
NZ_LT635457.1,1852377,12464
NZ_LT635457.1,1760,1
NZ_LT635457.1,2049,9
NZ_LT635457.1,1654,1
NZ_LT635457.1,178339,1
NZ_CAKAHJ010000001.1,1660,4194
NZ_CAKAHJ010000001.1,2,71
NZ_CAKAHJ010000001.1,888050,16
NZ_CAKAHJ010000001.1,52773,281
NZ_CAKAHJ010000001.1,38289,2
NZ_CAKAHJ010000001.1,1760,151
NZ_CAKAHJ010000001.1,2049,59
NZ_CAKAHJ010000001.1,2778082,1
NZ_CAKAHJ010000001.1,85023,9
NZ_CAKAHJ010000001.1,135487,1
NZ_CAKAHJ010000001.1,2079793,3
NZ_CAKAHJ010000001.1,593907,3
NZ_CAKAHJ010000001.1,131111,31
NZ_CAKAHJ010000001.1,358099,4
NZ_CAKAHJ010000001.1,2932244,3
NZ_CAKAHJ010000001.1,2880933,1
NZ_CAKAHJ010000001.1,83262,1
NZ_CAKAHJ010000001.1,67351,2
NZ_CAKAHJ010000001.1,59737,1
NZ_CAKAHJ010000001.1,83889,1
NZ_CAKAHJ010000001.1,2665643,1
NZ_CAKAHJ010000001.1,1743,2
NZ_CAKAHJ010000001.1,1926868,2
NZ_CAKAHJ010000001.1,2594795,3
NZ_CAKAHJ010000001.1,1852377,17
NZ_CAKAHJ010000001.1,2909588,1
NZ_CAKAHJ010000001.1,2722820,3
NZ_CAKAHJ010000001.1,2825844,2
NZ_CAKAHJ010000001.1,85007,5
NZ_CAKAHJ010000001.1,85006,20
NZ_CAKAHJ010000001.1,1245469,2
NZ_CAKAHJ010000001.1,1783272,7
NZ_CAKAHJ010000001.1,1408189,2
NZ_CAKAHJ010000001.1,178339,71
NZ_CAKAHJ010000001.1,53360,2
NZ_CAKAHJ010000001.1,1936029,1
NZ_CAKAHJ010000001.1,1804990,1
NZ_CAKAHJ010000001.1,1224,14
NZ_CAKAHJ010000001.1,2811424,1
NZ_CAKAHJ010000001.1,2744574,10
NZ_CAKAHJ010000001.1,1883,25
NZ_CAKAHJ010000001.1,2663824,1
NZ_CAKAHJ010000001.1,1,1
NZ_CAKAHJ010000001.1,2886935,4
NZ_CAKAHJ010000001.1,2710756,1
NZ_CAKAHJ010000001.1,47312,1
NZ_CAKAHJ010000001.1,2917724,1
NZ_CAKAHJ010000001.1,2529408,79
NZ_CAKAHJ010000001.1,2638500,1
NZ_CAKAHJ010000001.1,1172567,1
NZ_CAKAHJ010000001.1,1136941,3
NZ_CAKAHJ010000001.1,43675,38
NZ_CAKAHJ010000001.1,1545728,1
NZ_CAKAHJ010000001.1,2714937,3
NZ_CAKAHJ010000001.1,2794089,17
NZ_CAKAHJ010000001.1,131110,8
NZ_CAKAHJ010000001.1,399497,1
NZ_CAKAHJ010000001.1,2672569,1
NZ_CAKAHJ010000001.1,257496,1
NZ_CAKAHJ010000001.1,1696,4
NZ_CAKAHJ010000001.1,2835531,3
NZ_CAKAHJ010000001.1,2079536,6
NZ_CAKAHJ010000001.1,2819238,1
NZ_CAKAHJ010000001.1,2609248,5
NZ_CAKAHJ010000001.1,28056,4
NZ_CAKAHJ010000001.1,1654,16
NZ_CAKAHJ010000001.1,37931,1
NZ_CAKAHJ010000001.1,2697565,2
NZ_CAKAHJ010000001.1,2779775,2
NZ_CAKAHJ010000001.1,204441,1
NZ_CAKAHJ010000001.1,2714923,3
NZ_CAKAHJ010000001.1,161899,1
NZ_CAKAHJ010000001.1,192944,2
NZ_CAKAHJ010000001.1,2758573,1
NZ_CAKAHJ010000001.1,1582356,1
NZ_CAKAHJ010000001.1,1236,2
NZ_CAKAHJ010000001.1,2760308,1
NZ_CAKAHJ010000001.1,131567,4
NZ_CAKAHJ010000001.1,1068978,1
NZ_CAKAHJ010000001.1,2966192,1
NZ_CAKAHJ010000001.1,446466,1
NZ_CAKAHJ010000001.1,2609290,1
NZ_CAKAHJ010000001.1,2759167,2
NZ_CAKAHJ010000001.1,1295382,1
NZ_CAKAHJ010000001.1,1136497,1
NZ_CAKAHJ010000001.1,72407,2
NZ_CAKAHJ010000001.1,316058,2
NZ_CAKAHJ010000001.1,2714935,1
NZ_CAKAHJ010000001.1,2589797,3
NZ_CAKAHJ010000001.1,2716227,2
NZ_CAKAHJ010000001.1,218821,2
NZ_CAKAHJ010000001.1,2895559,1
NZ_CAKAHJ010000001.1,2560010,6
NZ_CAKAHJ010000001.1,448385,1
NZ_CAKAHJ010000001.1,2615065,2
NZ_CAKAHJ010000001.1,2813744,3
NZ_CAKAHJ010000001.1,2987701,4
NZ_CAKAHJ010000001.1,29318,1
NZ_CAKAHJ010000001.1,399736,1
NZ_CAKAHJ010000001.1,1072256,1
NZ_CAKAHJ010000001.1,571913,1
NZ_CAKAHJ010000001.1,2998080,3
NZ_CAKAHJ010000001.1,1531429,1
NZ_CAKAHJ010000001.1,286,7
NZ_CAKAHJ010000001.1,2750812,2
NZ_CAKAHJ010000001.1,9606,2
NZ_CAKAHJ010000001.1,2875706,2
NZ_CAKAHJ010000001.1,217203,3
NZ_CAKAHJ010000001.1,1144275,1
NZ_CAKAHJ010000001.1,1353136,1
NZ_CAKAHJ010000001.1,1609966,1
NZ_CAKAHJ010000001.1,95486,1
NZ_CAKAHJ010000001.1,2675523,1
NZ_CAKAHJ010000001.1,1643824,1
NZ_CAKAHJ010000001.1,556288,4
NZ_CAKAHJ010000001.1,33882,4
NZ_CAKAHJ010000001.1,1286180,3
NZ_CAKAHJ010000001.1,2080742,1
NZ_CAKAHJ010000001.1,82380,1
NZ_CAKAHJ010000001.1,75385,2
NZ_CAKAHJ010000001.1,3009083,1
NZ_CAKAHJ010000001.1,2203205,1
NZ_CAKAHJ010000001.1,1282737,5
NZ_CAKAHJ010000001.1,2486855,1
NZ_CAKAHJ010000001.1,1032480,1
NZ_CAKAHJ010000001.1,2697032,2
NZ_CAKAHJ010000001.1,2968083,1
NZ_CAKAHJ010000001.1,1716,2
NZ_CAKAHJ010000001.1,936337,1
NZ_CAKAHJ010000001.1,2762331,1
NZ_CAKAHJ010000001.1,2509458,3
NZ_CAKAHJ010000001.1,1269,1
NZ_CAKAHJ010000001.1,37331,1
NZ_CAKAHJ010000001.1,52774,2
NZ_CAKAHJ010000001.1,2969247,1
NZ_CAKAHJ010000001.1,2057800,3
NZ_CAKAHJ010000001.1,84531,1
NZ_CAKAHJ010000001.1,157920,2
NZ_CAKAHJ010000001.1,2597660,1
NZ_CAKAHJ010000001.1,2932245,2
NZ_CAKAHJ010000001.1,1219491,1
NZ_CAKAHJ010000001.1,163604,2
NZ_CAKAHJ010000001.1,2714941,1
NZ_CAKAHJ010000001.1,28211,2
NZ_CAKAHJ010000001.1,2742128,1
NZ_CAKAHJ010000001.1,2811421,1
NZ_CAKAHJ010000001.1,2745,1
NZ_CAKAHJ010000001.1,235627,4
NZ_CAKAHJ010000001.1,2589074,1
NZ_CAKAHJ010000001.1,2953881,1
NZ_CAKAHJ010000001.1,446860,1
NZ_CAKAHJ010000001.1,209247,1
NZ_CAKAHJ010000001.1,2748080,1
NZ_CAKAHJ010000001.1,2692125,3
NZ_CAKAHJ010000001.1,1146883,2
NZ_CAKAHJ010000001.1,2999062,2
NZ_CAKAHJ010000001.1,2593676,2
NZ_CAKAHJ010000001.1,1710,2
NZ_CAKAHJ010000001.1,2507162,1
NZ_CAKAHJ010000001.1,2714938,1
NZ_CAKAHJ010000001.1,1985873,1
NZ_CAKAHJ010000001.1,2593973,1
NZ_CAKAHJ010000001.1,2579977,1
NZ_CAKAHJ010000001.1,2202148,1
NZ_CAKAHJ010000001.1,795665,1
NZ_CAKAHJ010000001.1,208223,1
NZ_CAKAHJ010000001.1,35755,4
NZ_CAKAHJ010000001.1,2830998,2
NZ_CAKAHJ010000001.1,2879846,1
NZ_CAKAHJ010000001.1,2843215,1
NZ_CAKAHJ010000001.1,1179773,1
NZ_CAKAHJ010000001.1,2830995,1
NZ_CAKAHJ010000001.1,2918170,1
NZ_CAKAHJ010000001.1,2995141,1
NZ_CAKAHJ010000001.1,1680,2
NZ_CAKAHJ010000001.1,1827,1
NZ_CAKAHJ010000001.1,2054,2
NZ_CAKAHJ010000001.1,1431546,1
NZ_CAKAHJ010000001.1,2055,2
NZ_CAKAHJ010000001.1,2025949,1
NZ_CAKAHJ010000001.1,2499145,1
NZ_CAKAHJ010000001.1,1268,4
NZ_CAKAHJ010000001.1,111015,8
NZ_CAKAHJ010000001.1,472569,1
NZ_CAKAHJ010000001.1,1352936,1
NZ_CAKAHJ010000001.1,2861279,1
NZ_CAKAHJ010000001.1,2819979,4
NZ_CAKAHJ010000001.1,1205910,1
NZ_CAKAHJ010000001.1,577492,1
NZ_CAKAHJ010000001.1,2684468,2
NZ_CAKAHJ010000001.1,283878,1
NZ_CAKAHJ010000001.1,39691,1
NZ_CAKAHJ010000001.1,2789776,1
NZ_CAKAHJ010000001.1,2626549,1
NZ_CAKAHJ010000001.1,2609253,1
NZ_CAKAHJ010000001.1,1778,3
NZ_CAKAHJ010000001.1,446465,2
NZ_CAKAHJ010000001.1,119981,1
NZ_CAKAHJ010000001.1,2871170,1
NZ_CAKAHJ010000001.1,350688,1
NZ_CAKAHJ010000001.1,636,1
NZ_CAKAHJ010000001.1,214851,1
NZ_CAKAHJ010000001.1,1525,1
NZ_CAKAHJ010000001.1,300028,1
NZ_CAKAHJ010000001.1,1828,4
NZ_CAKAHJ010000001.1,1051973,1
NZ_CAKAHJ010000001.1,445710,1
NZ_CAKAHJ010000001.1,2496867,3
NZ_CAKAHJ010000001.1,2040,2
NZ_CAKAHJ010000001.1,1851395,4
NZ_CAKAHJ010000001.1,582702,1
NZ_CAKAHJ010000001.1,1133546,1
NZ_CAKAHJ010000001.1,356,1
NZ_CAKAHJ010000001.1,879274,1
NZ_CAKAHJ010000001.1,228405,1
NZ_CAKAHJ010000001.1,1121353,1
NZ_CAKAHJ010000001.1,693977,1
NZ_CAKAHJ010000001.1,1748,2
NZ_CAKAHJ010000001.1,2875729,1
NZ_CAKAHJ010000001.1,665577,2
NZ_CAKAHJ010000001.1,712122,3
NZ_CAKAHJ010000001.1,2818388,1
NZ_CAKAHJ010000001.1,344163,1
NZ_CAKAHJ010000001.1,2709403,4
NZ_CAKAHJ010000001.1,2758442,1
NZ_CAKAHJ010000001.1,1235441,2
NZ_CAKAHJ010000001.1,68173,1
NZ_CAKAHJ010000001.1,2035,2
NZ_CAKAHJ010000001.1,290399,1
NZ_CAKAHJ010000001.1,2770551,1
NZ_CAKAHJ010000001.1,374,1
NZ_CAKAHJ010000001.1,1744,2
NZ_CAKAHJ010000001.1,1762,1
NZ_CAKAHJ010000001.1,340320,1
NZ_CAKAHJ010000001.1,2642494,2
NZ_CAKAHJ010000001.1,2017685,1
NZ_CAKAHJ010000001.1,82115,1
NZ_CAKAHJ010000001.1,2986919,2
NZ_CAKAHJ010000001.1,571,2
NZ_CAKAHJ010000001.1,640132,1
NZ_CAKAHJ010000001.1,1461694,3
NZ_CAKAHJ010000001.1,85009,1
NZ_CAKAHJ010000001.1,912630,1
NZ_CAKAHJ010000001.1,2126321,1
NZ_CAKAHJ010000001.1,2865833,1
NZ_CAKAHJ010000001.1,2843216,1
NZ_CAKAHJ010000001.1,2585135,1
NZ_CAKAHJ010000001.1,196821,1
NZ_CAKAHJ010000001.1,2161816,1
NZ_CAKAHJ010000001.1,653045,1
NZ_CAKAHJ010000001.1,199591,1
NZ_CAKAHJ010000001.1,1725,1
NZ_CAKAHJ010000001.1,615,1
NZ_CAKAHJ010000001.1,1855519,1
NZ_CAKAHJ010000001.1,446471,1
NZ_CAKAHJ010000001.1,1578165,1
NZ_CAKAHJ010000001.1,216816,2
NZ_CAKAHJ010000001.1,2970464,2
NZ_CAKAHJ010000001.1,670516,1
NZ_CAKAHJ010000001.1,2646786,1
NZ_CAKAHJ010000001.1,407,2
NZ_CAKAHJ010000001.1,2881056,3
NZ_CAKAHJ010000001.1,2866715,1
NZ_CAKAHJ010000001.1,1763,1
NZ_CAKAHJ010000001.1,95301,1
NZ_CAKAHJ010000001.1,1795631,1
NZ_CAKAHJ010000001.1,1703,2
NZ_CAKAHJ010000001.1,2170745,2
NZ_CAKAHJ010000001.1,1118379,1
NZ_CAKAHJ010000001.1,101571,2
NZ_CAKAHJ010000001.1,1457250,1
NZ_CAKAHJ010000001.1,312285,1
NZ_CAKAHJ010000001.1,2755559,2
NZ_CAKAHJ010000001.1,266940,1
NZ_CAKAHJ010000001.1,1630693,1
NZ_CAKAHJ010000001.1,1742992,1
NZ_CAKAHJ010000001.1,40323,1
NZ_CAKAHJ010000001.1,353,1
NZ_CAKAHJ010000001.1,1300344,1
NZ_CAKAHJ010000001.1,200252,1
NZ_CAKAHJ010000001.1,946334,2
NZ_CAKAHJ010000001.1,2651199,1
NZ_CAKAHJ010000001.1,722731,2
NZ_CAKAHJ010000001.1,2691889,2
NZ_CAKAHJ010000001.1,1470176,1
NZ_CAKAHJ010000001.1,618,1
NZ_CAKAHJ010000001.1,512565,1
NZ_CAKAHJ010000001.1,745377,1
NZ_CAKAHJ010000001.1,2908839,1
NZ_CAKAHJ010000001.1,69578,1
NZ_CAKAHJ010000001.1,479435,2
NZ_CAKAHJ010000001.1,2571747,1
NZ_CAKAHJ010000001.1,1661,1
NZ_CAKAHJ010000001.1,2904523,1
NZ_CAKAHJ010000001.1,1656,2
NZ_CAKAHJ010000001.1,240016,1
NZ_CAKAHJ010000001.1,1348662,1
NZ_CAKAHJ010000001.1,2575374,1
NZ_CAKAHJ010000001.1,77635,1
NZ_CAKAHJ010000001.1,1912,1
NZ_CAKAHJ010000001.1,77643,1
NZ_CAKAHJ010000001.1,1274,2
NZ_CAKAHJ010000001.1,2973976,1
NZ_CAKAHJ010000001.1,1076124,1
NZ_CAKAHJ010000001.1,221822,1
NZ_CAKAHJ010000001.1,72000,1
NZ_CAKAHJ010000001.1,136857,1
NZ_CAKAHJ010000001.1,1504981,1
NZ_CAKAHJ010000001.1,1637869,1
NZ_CAKAHJ010000001.1,160826,1
NZ_CAKAHJ010000001.1,116188,1
NZ_CAKAHJ010000001.1,712116,2
NZ_CAKAHJ010000001.1,1047172,1
NZ_CAKAHJ010000001.1,1866885,2
NZ_CAKAHJ010000001.1,2951806,1
NZ_CAKAHJ010000001.1,2072590,1
NZ_CAKAHJ010000001.1,2500546,1
NZ_CAKAHJ010000001.1,471853,1
NZ_CAKAHJ010000001.1,1658671,1
NZ_CAKAHJ010000001.1,76862,1
NZ_CAKAHJ010000001.1,2575923,4
NZ_CAKAHJ010000001.1,33914,2
NZ_CAKAHJ010000001.1,2709394,1
NZ_CAKAHJ010000001.1,1343740,2
NZ_CAKAHJ010000001.1,39692,1
NZ_CAKAHJ010000001.1,2509455,1
NZ_CAKAHJ010000001.1,53358,1
NZ_CAKAHJ010000001.1,1911175,1
NZ_CAKAHJ010000001.1,758802,1
NZ_CAKAHJ010000001.1,84292,1
NZ_CAKAHJ010000001.1,44010,1
NZ_CAKAHJ010000001.1,186817,2
NZ_CAKAHJ010000001.1,754523,1
NZ_CAKAHJ010000001.1,33011,1
NZ_CAKAHJ010000001.1,2567896,1
NZ_CAKAHJ010000001.1,452863,1
NZ_CAKAHJ010000001.1,2768066,1
NZ_CAKAHJ010000001.1,882082,1
NZ_CAKAHJ010000001.1,74426,1
NZ_CAKAHJ010000001.1,1905,1
NZ_CAKAHJ010000001.1,1332264,2
NZ_CAKAHJ010000001.1,2708082,1
NZ_CAKAHJ010000001.1,2082387,1
NZ_CAKAHJ010000001.1,35760,1
NZ_CAKAHJ010000001.1,1742993,2
NZ_CAKAHJ010000001.1,2949664,1
NZ_CAKAHJ010000001.1,714943,1
NZ_CAKAHJ010000001.1,2737173,1
NZ_CAKAHJ010000001.1,2973977,2
NZ_CAKAHJ010000001.1,1813,1
NZ_CAKAHJ010000001.1,535,1
NZ_CAKAHJ010000001.1,374606,2
NZ_CAKAHJ010000001.1,2897774,1
NZ_CAKAHJ010000001.1,698968,1
NZ_CAKAHJ010000001.1,2735133,1
NZ_CAKAHJ010000001.1,39791,1
NZ_CAKAHJ010000001.1,1387353,1
NZ_CAKAHJ010000001.1,161895,1
NZ_CAKAHJ010000001.1,544580,3
NZ_CAKAHJ010000001.1,2835787,1
NZ_CAKAHJ010000001.1,2908651,1
NZ_CAKAHJ010000001.1,743718,1
NZ_CAKAHJ010000001.1,1775411,1
NZ_CAKAHJ010000001.1,2909669,1
NZ_CAKAHJ010000001.1,2653857,1
NZ_CAKAHJ010000001.1,479433,1
NZ_CAKAHJ010000001.1,2047,1
NZ_CAKAHJ010000001.1,2895818,2
NZ_CAKAHJ010000001.1,2760083,1
NZ_CAKAHJ010000001.1,743009,1
NZ_CAKAHJ010000001.1,2654547,1
NZ_CAKAHJ010000001.1,459858,1
NZ_CAKAHJ010000001.1,1850093,1
NZ_CAKAHJ010000001.1,2321394,1
NZ_CAKAHJ010000001.1,2934161,1
NZ_CAKAHJ010000001.1,2829501,1
NZ_CAKAHJ010000001.1,2925843,1
NZ_CAKAHJ010000001.1,2976824,1
NZ_CAKAHJ010000001.1,53458,1
NZ_CAKAHJ010000001.1,2754044,1
NZ_CAKAHJ010000001.1,2742137,1
NZ_CAKAHJ010000001.1,1150461,1
NZ_CAKAHJ010000001.1,433659,1
NZ_CAKAHJ010000001.1,201174,1
NZ_CAKAHJ010000001.1,1610493,1
NZ_CAKAHJ010000001.1,71655,1
NZ_CAKAHJ010000001.1,2633591,1
NZ_CAKAHJ010000001.1,2059672,1
NZ_CAKAHJ010000001.1,2721244,1
NZ_CAKAHJ010000001.1,1714373,1
NZ_CAKAHJ010000001.1,419479,1
NZ_CAKAHJ010000001.1,2763540,1
NZ_CAKAHJ010000001.1,1312364,1
NZ_CAKAHJ010000001.1,655015,1
NZ_CAKAHJ010000001.1,398694,1
NZ_CAKAHJ010000001.1,2712223,2
NZ_CAKAHJ010000001.1,630129,1
NZ_CAKAHJ010000001.1,2735434,1
NZ_CAKAHJ010000001.1,1389020,1
NZ_CAKAHJ010000001.1,43770,1
NZ_CAKAHJ010000001.1,57493,1
