parent_taxid,level,taxid,name,kraken_classifed_reads,NT_rPM
186803,1,1164882,Lachnoanaerobaculum,177449,178070
1164882,2,617123,Lachnoanaerobaculum umeaense,177416,178037
1164882,2,2490855,Lachnoanaerobaculum gingivalis,2,2
186803,1,2316020,Mediterraneibacter,18,18
2316020,2,33039,[Ruminococcus] torques,18,18
186803,1,2719313,Enterocloster,5,5
2719313,2,208479,Enterocloster bolteae,4,4
2719313,2,1531,Enterocloster clostridioformis,1,1
186803,1,572511,Blautia,5,5
572511,2,1532,Blautia coccoides,2,2
572511,2,1796616,Blautia pseudococcoides,2,2
572511,1,2648079,unclassified Blautia,1,1
2648079,2,2479767,Blautia sp. SC05B48,1,1
186803,1,1506553,Lachnoclostridium,2,2
1506553,2,29347,[Clostridium] scindens,2,2
186803,1,2944195,Qiania,1,1
2944195,2,2763669,Qiania dongpingensis,1,1
186803,1,841,Roseburia,1,1
841,2,166486,Roseburia intestinalis,1,1
3118652,1,2039240,Anaerotignum,1,1
2039240,1,2685769,unclassified Anaerotignum,1,1
2685769,2,3070814,Anaerotignum sp. MB30-C6,1,1
3030910,1,86331,Mogibacterium,50975,51153
86331,2,114527,Mogibacterium diversum,50927,51105
86331,2,86332,Mogibacterium pumilum,7,7
86331,2,114528,Mogibacterium neglectum,3,3
186804,1,1870884,Clostridioides,4,4
1870884,2,1496,Clostridioides difficile,4,4
31979,1,1485,Clostridium,24997,25084
1485,2,1492,Clostridium butyricum,20169,20239
1485,1,2614128,unclassified Clostridium,136,136
2614128,2,2992805,Clostridium sp. LQ25,48,48
2614128,2,641107,Clostridium sp. DL-VIII,35,35
2614128,2,2930219,Clostridium sp. BJN0001,19,19
2614128,2,3070681,Clostridium sp. OS1-26,5,5
2614128,2,2483110,Clostridium sp. JN-1,5,5
2614128,2,2507159,Clostridium sp. JN-9,3,3
2614128,2,1702238,Clostridium sp. MF28,3,3
2614128,2,3070996,Clostridium sp. MB40-C1,2,2
2614128,2,97138,Clostridium sp. MD294,2,2
2614128,2,1970093,Clostridium sp. 001,1,1
2614128,2,2681265,Clostridium sp. 16K-1-R1,1,1
2614128,2,2779445,Clostridium sp. 'deep sea',1,1
1485,2,169679,Clostridium saccharobutylicum,50,50
1485,2,1520,Clostridium beijerinckii,43,43
1485,2,704125,Clostridium gelidum,34,34
1485,2,1491,Clostridium botulinum,29,29
1485,2,1502,Clostridium perfringens,25,25
1485,2,36745,Clostridium saccharoperbutylacetonicum,22,22
1485,2,1561,Clostridium baratii,22,22
1485,2,394958,Clostridium taeniosporum,19,19
1485,2,238834,Clostridium estertheticum,17,17
1485,2,2320868,Clostridium manihotivorum,15,15
1485,2,94869,Clostridium gasigenes,13,13
1485,2,1501,Clostridium pasteurianum,12,12
1485,2,46867,Clostridium chauvoei,11,11
1485,2,1529,Clostridium cadaveris,10,10
1485,2,1542,Clostridium novyi,10,10
1485,2,182773,Clostridium isatidis,9,9
1485,2,1504,Clostridium septicum,9,9
1485,2,1519,Clostridium tyrobutyricum,7,7
1485,2,1513,Clostridium tetani,6,6
1485,2,36839,Clostridium felsineum,5,5
1485,2,36845,Clostridium intestinale,5,5
1485,2,1216932,Clostridium bornimense,5,5
1485,2,1509,Clostridium sporogenes,3,3
1485,2,1493,Clostridium cellulovorans,3,3
1485,2,1716543,Clostridium thermarum,3,3
1485,2,1494,Clostridium cochlearium,3,3
1485,2,1534,Clostridium kluyveri,3,3
1485,2,332101,Clostridium drakei,2,2
1485,2,2068654,Clostridium fermenticellae,2,2
1485,2,217159,Clostridium carboxidivorans,2,2
1485,2,360422,Clostridium tagluense,1,1
1485,2,1488,Clostridium acetobutylicum,1,1
1485,2,84032,Clostridium thermosuccinogenes,1,1
1485,2,29341,Clostridium argentinense,1,1
1485,2,1497,Clostridium formicaceticum,1,1
31979,1,49082,Candidatus Arthromitus,1,1
49082,1,2638829,unclassified Candidatus Arthromitus,1,1
216572,1,216851,Faecalibacterium,1670,1675
216851,2,853,Faecalibacterium prausnitzii,1622,1627
216851,1,2646395,unclassified Faecalibacterium,3,3
2646395,2,2929491,Faecalibacterium sp. HTF-F,1,1
2646395,2,2929494,Faecalibacterium sp. I4-1-79,1,1
2646395,2,3030639,Faecalibacterium sp. CYL33,1,1
216572,1,244127,Anaerotruncus,1,1
244127,2,169435,Anaerotruncus colihominis,1,1
216572,1,2304687,Petroclostridium,1,1
2304687,1,2619260,unclassified Petroclostridium,1,1
2619260,2,3045146,Petroclostridium sp. X23,1,1
2937909,1,79206,Desulfosporosinus,1,1
1300,1,1301,Streptococcus,45378,45537
1301,2,1303,Streptococcus oralis,44575,44731
1301,2,1313,Streptococcus pneumoniae,70,70
1301,1,2608887,unclassified Streptococcus,38,38
2608887,2,2576376,Streptococcus sp. 1643,8,8
2608887,2,712623,Streptococcus sp. oral taxon 061,7,7
2608887,2,712633,Streptococcus sp. oral taxon 431,4,4
2608887,2,2598457,Streptococcus sp. KS 6,4,4
2608887,2,712624,Streptococcus sp. oral taxon 064,3,3
2608887,2,2759692,Streptococcus sp. Marseille-Q3533,2,2
2608887,2,2763068,Streptococcus sp. NSJ-72,2,2
2608887,2,2598453,Streptococcus sp. 116-D4,2,2
2608887,2,2972784,Streptococcus sp. Marseille-Q6470,1,1
2608887,2,3098076,Streptococcus sp. S5,1,1
